[00:09.730 --> 00:10.110]  Zero.
[54:09.210 --> 54:10.770]  We'll put it on Gracie's card.
[54:11.030 --> 54:12.570]  Oh, they're holding hands. Is that one?
[54:13.070 --> 54:14.650]  Where's that? No, that's a handshake.
[54:14.650 --> 54:15.670]  That's a handhug.
[54:15.790 --> 54:18.510]  A handhug?
[54:22.550 --> 54:24.070]  A pink taxi.
[54:25.510 --> 54:27.350]  Yeah, I'm still waiting on the original.
[54:28.130 --> 54:29.630]  Do they exist anymore?
[54:29.750 --> 54:30.910]  Did they paint the taxis?
[54:31.130 --> 54:32.530]  Did they get rid of the pink taxis?
[54:32.730 --> 54:33.550]  They're around.
[54:33.850 --> 54:35.430]  Are there white taxis now?
[54:35.570 --> 54:36.830]  I've seen a lot of white taxis.
[54:37.970 --> 54:39.550]  There's always a lot of white taxis.
[54:40.090 --> 54:41.910]  I don't feel like I see a lot of white taxis.
[54:41.910 --> 54:42.530]  Yeah.
[54:43.190 --> 54:46.110]  Taxi with pink lettering, that doesn't cut it.
[54:46.610 --> 54:48.410]  It's because the pink taxis exist
[54:48.410 --> 54:49.770]  and they're so starkly pink.
[54:50.990 --> 54:54.750]  I was just told the magnet is almost sold out.
[54:56.230 --> 54:57.910]  That's fucking bonkers.
[54:59.050 --> 55:00.070]  Jump on the magnet.
[55:00.430 --> 55:02.610]  If you're thinking about it, you might want to grab it
[55:02.610 --> 55:03.510]  because it's almost gone.
[55:03.850 --> 55:05.350]  How many do we have? 2000.
[55:05.850 --> 55:06.330]  No!
[55:07.870 --> 55:08.470]  What?
[55:08.470 --> 55:09.230]  Yeah.
[55:09.830 --> 55:10.270]  Really?
[55:11.110 --> 55:14.030]  The Vancouver child kicker mats are getting low also.
[55:14.670 --> 55:16.750]  We still got bingo sets, but they're going.
[55:17.130 --> 55:18.310]  So jump on all that stuff.
[55:18.470 --> 55:20.090]  But I just wanted to let you know the magnets are almost gone.
[55:20.810 --> 55:22.730]  Thanks for the heads up, Eric.
[55:23.390 --> 55:23.970]  It's Leia.
[55:24.730 --> 55:26.690]  That's formal. Look at those high heels.
[55:30.890 --> 55:31.770]  I don't...
[55:31.770 --> 55:33.150]  This is who we saw earlier
[55:33.150 --> 55:35.090]  and Emily, I think, would have said yes
[55:35.090 --> 55:36.070]  if it was formal.
[55:36.070 --> 55:37.970]  I don't think he's going to let us take it.
[55:38.150 --> 55:38.870]  Yeah, I agree.
[55:39.530 --> 55:40.410]  It's close.
[55:43.470 --> 55:46.730]  But you're not wearing that to the spring formal.
[55:48.530 --> 55:50.930]  I mean, you could wear it to a Key West wedding,
[55:51.190 --> 55:53.750]  but I think that's more of an indictment on Key West
[55:53.750 --> 55:54.690]  than it is anything else.
[55:56.410 --> 55:57.650]  Yeah, I could buy it
[55:57.650 --> 56:01.310]  if the guys weren't wearing that next to them.
[56:01.890 --> 56:03.810]  Because that dude didn't wear that t-shirt
[56:03.810 --> 56:05.090]  and shorts to the wedding.
[56:05.910 --> 56:07.530]  Unless he's a total badass.
[56:09.130 --> 56:11.530]  Fuck, you're lucky to have me.
[56:12.050 --> 56:13.130]  I wear what I wear.
[56:13.330 --> 56:15.150]  I'm John Fetterman.
[56:16.270 --> 56:17.530]  You don't tell me what to wear.
[56:19.670 --> 56:21.950]  I'll wear a fucking hoodie to this wedding in Key West.
[56:22.090 --> 56:23.190]  I don't care if it's 100 degrees.
[56:27.290 --> 56:29.230]  Yeah, maybe you guys should hug and make up.
[56:29.750 --> 56:31.050]  Are these guys arguing?
[56:31.590 --> 56:33.450]  I can't tell if they're fighting
[56:33.450 --> 56:34.250]  or play fighting.
[56:35.650 --> 56:36.850]  No, that's fighting.
[56:36.930 --> 56:38.130]  Yeah, that was a fight.
[56:38.850 --> 56:39.110]  Couple fighting.
[56:41.430 --> 56:43.310]  Now on that line, I just need someone to puke
[56:43.310 --> 56:44.210]  and I got one.
[56:44.370 --> 56:45.270]  Hug and make up.
[56:46.910 --> 56:49.370]  Dude, if you win on puke,
[56:49.450 --> 56:50.910]  that would be the coolest victory ever.
[56:53.590 --> 56:55.310]  I can't wait to watch this VOD
[56:55.310 --> 56:57.430]  back at all the jeans and flip flops
[56:57.430 --> 56:57.950]  that I've missed.
[56:59.450 --> 57:00.890]  It's an endless wave.
[57:00.890 --> 57:02.850]  It's so funny because I only
[57:02.850 --> 57:04.930]  put puking in because when I first
[57:04.930 --> 57:07.150]  started doing this, it happened so much.
[57:07.470 --> 57:09.030]  It was like, well, it's clearly a common
[57:09.030 --> 57:10.350]  occurrence, I guess I should add it.
[57:10.850 --> 57:12.570]  And then it's like, all the puke dried up,
[57:12.730 --> 57:13.290]  I feel like.
[57:14.590 --> 57:17.610]  Uh, no.
[57:21.450 --> 57:21.890]  Close.
[57:22.410 --> 57:22.910]  And so did Eric.
[57:24.630 --> 57:25.510]  Dinner scooters!
[57:27.230 --> 57:28.790]  I can't believe we haven't seen anybody
[57:28.790 --> 57:29.530]  chug yet.
[57:30.370 --> 57:32.550]  That dude's a litterbug, he just dropped a cigarette on the ground, didn't he?
[57:32.990 --> 57:34.250]  Is that that white cigarette right there?
[57:34.770 --> 57:36.430]  Did that just happen? God damn it.
[57:37.450 --> 57:37.830]  Sorry.
[57:38.530 --> 57:39.250]  I couldn't confirm.
[57:42.070 --> 57:42.450]  Motherfucker.
[57:44.330 --> 57:45.510]  God damn dickhead.
[57:45.550 --> 57:46.510]  Okay, I just got confirmation
[57:46.510 --> 57:47.910]  we are extending until we get a bingo.
[57:48.590 --> 57:49.430]  Oh, hell yeah.
[57:50.330 --> 57:52.390]  Thanks, Fisher. Thanks, Michael.
[57:53.010 --> 57:54.550]  Thank you, Fisher. Thank you, Michael.
[57:54.630 --> 57:56.210]  Thank you, everybody in broadcast.
[57:56.210 --> 57:56.970]  Yeah.
[57:57.510 --> 57:58.570]  Really appreciate it.
[57:59.770 --> 58:02.350]  That was a dickhead truck. That's on the new...
[58:02.350 --> 58:03.210]  That'll be in the updates.
[58:03.370 --> 58:04.410]  What makes a truck dickhead?
[58:05.110 --> 58:08.230]  Uh, if it's got giant tires, or if it's incredibly loud
[58:08.230 --> 58:10.230]  and it's booming from some speaker
[58:10.230 --> 58:12.250]  that's broken, or if it's got ground effects
[58:12.250 --> 58:14.730]  blasting so it looks like a neon bomb
[58:14.730 --> 58:15.450]  down the street.
[58:15.770 --> 58:18.210]  I guess a cybertruck would also be a dickhead truck.
[58:18.590 --> 58:20.070]  Yes, for sure.
[58:20.610 --> 58:21.730]  Time dicktruck, yes.
[58:23.330 --> 58:24.210]  That's like the...
[58:24.210 --> 58:26.230]  If you look up dickhead truck in the dictionary
[58:26.230 --> 58:27.110]  it's a cybertruck.
[58:27.930 --> 58:30.110]  It looks like a fancy car.
[58:30.970 --> 58:31.230]  Where?
[58:32.470 --> 58:33.170]  Ah, never mind.
[58:34.370 --> 58:35.510]  Magnets are sold out.
[58:36.070 --> 58:36.850]  Oh my god.
[58:38.050 --> 58:39.010]  Thank you so much.
[58:39.270 --> 58:40.310]  You guys are crazy.
[58:41.530 --> 58:43.410]  I'll tell you what, you guys are crazy, but
[58:43.410 --> 58:46.110]  you're crazy with an awesome kitchen magnet
[58:46.110 --> 58:48.230]  that you are going to love.
[58:48.350 --> 58:49.970]  You just added a refrigerator
[58:50.530 --> 58:51.650]  to your house.
[58:51.650 --> 58:52.970]  It is such a premium
[58:53.550 --> 58:53.950]  thing.
[58:54.730 --> 58:56.450]  You've never had a magnet this
[58:57.710 --> 58:58.510]  beautifully crafted.
[58:59.450 --> 59:01.250]  And you got it way faster than I got his.
[59:01.350 --> 59:01.930]  How's a high five?
[59:03.950 --> 59:05.030]  Does anybody have a high five?
[59:05.430 --> 59:06.550]  I don't.
[59:07.510 --> 59:09.110]  Nick's right, you get it way faster than I got mine.
[59:13.060 --> 59:15.300]  I waited 15 months so you don't have to.
[59:19.580 --> 59:21.180]  That guy's Heisman-ing his way.
[59:23.220 --> 59:25.140]  Whoa. Those are some
[59:25.820 --> 59:26.340]  heels.
[59:27.260 --> 59:27.880]  Hell yeah.
[59:30.860 --> 59:33.140]  No jeans with flip flops has been
[59:33.140 --> 59:33.580]  crazy.
[59:34.640 --> 59:35.620]  Dead parent head?
[59:35.760 --> 59:37.640]  That guy's a dead parent head right there.
[59:38.740 --> 59:39.620]  He's got it.
[59:41.480 --> 59:43.340]  The guy with the camo hat?
[59:43.800 --> 59:44.060]  Yeah.
[59:46.760 --> 59:48.360]  I need someone to y'all
[59:48.360 --> 59:48.820]  weight up.
[59:49.540 --> 59:50.920]  And then I got it.
[59:50.920 --> 59:52.020]  Cool mustache, buddy.
[59:52.700 --> 59:53.040]  Thanks.
[59:55.300 --> 59:56.800]  Okay, yeah, I just need skateboard
[59:56.800 --> 59:57.860]  and I have it.
[59:58.320 --> 01:00:00.800]  I need a lot of things. I'm fucked.
[01:00:04.660 --> 01:00:05.620]  I'm just having a beer.
[01:00:05.760 --> 01:00:08.840]  If I get trying to get in the wrong car,
[01:00:09.280 --> 01:00:10.760]  if I get go-kart, or
[01:00:10.760 --> 01:00:12.820]  if I get someone yells weight up, then
[01:00:12.820 --> 01:00:13.700]  I got it.
[01:00:14.560 --> 01:00:16.660]  Have you guys ever tried to get into the wrong Uber before?
[01:00:17.400 --> 01:00:18.400]  No. On purpose?
[01:00:19.060 --> 01:00:20.280]  No, not on purpose.
[01:00:21.660 --> 01:00:22.620]  When you say try,
[01:00:23.200 --> 01:00:24.240]  it doesn't apply.
[01:00:24.520 --> 01:00:26.360]  Well, like, I tried to get into the wrong Uber once
[01:00:26.360 --> 01:00:27.860]  and the guy stopped me. He's like, who the fuck are you?
[01:00:27.920 --> 01:00:29.780]  And I was like, uh, Uber? And he was like,
[01:00:30.220 --> 01:00:32.600]  no? And then I looked. It was like a green
[01:00:32.600 --> 01:00:34.540]  sedan. And I looked and right behind him
[01:00:34.540 --> 01:00:36.360]  was a green sedan. And I was like, sorry.
[01:00:36.640 --> 01:00:38.320]  So I tried to get in. There was a car seat. And I'm like,
[01:00:38.320 --> 01:00:40.540]  do I move it? And he's like, who the fuck are you?
[01:00:41.900 --> 01:00:42.500]  Get out of my
[01:00:42.500 --> 01:00:43.120]  kid's lap.
[01:00:44.240 --> 01:00:46.340]  So you didn't try to get in the wrong Uber, you just
[01:00:46.340 --> 01:00:48.280]  got in a car. I got in the wrong
[01:00:48.280 --> 01:00:49.780]  car, it wasn't an Uber. Yeah, you just got in a car.
[01:00:50.780 --> 01:00:52.340]  To my knowledge, he was not
[01:00:52.340 --> 01:00:52.600]  an Uber.
[01:00:55.240 --> 01:00:56.460]  Just a confused dad.
[01:00:57.540 --> 01:00:58.100]  Andrew, you still
[01:00:58.100 --> 01:01:00.260]  have confidence that you're gonna win this cake?
[01:01:00.280 --> 01:01:02.540]  No, I don't think there are any pink taxis
[01:01:02.540 --> 01:01:03.420]  on this planet.
[01:01:04.100 --> 01:01:05.600]  I think they painted them white.
[01:01:10.700 --> 01:01:11.360]  Like, I've seen
[01:01:11.360 --> 01:01:13.820]  50,000 taxis, not a single pink one.
[01:01:14.160 --> 01:01:15.700]  Yes. What if that one, uh,
[01:01:15.700 --> 01:01:18.040]  what if that SUV on the left over there that's about to
[01:01:18.040 --> 01:01:19.640]  come across- Is that an electric car?
[01:01:20.060 --> 01:01:20.780]  No, it's a keyhole.
[01:01:22.120 --> 01:01:23.700]  Was that- no, nevermind.
[01:01:25.380 --> 01:01:25.780]  Nevermind.
[01:01:25.980 --> 01:01:27.900]  That was not a wheelchair.
[01:01:29.760 --> 01:01:30.320]  I'm never
[01:01:30.320 --> 01:01:31.680]  gonna see a wheelchair, that's just dumb.
[01:01:33.400 --> 01:01:34.060]  Not in this.
[01:01:34.800 --> 01:01:35.780]  I don't care about that.
[01:01:36.200 --> 01:01:38.120]  This point is pink tax. I don't care about
[01:01:38.120 --> 01:01:40.220]  that. You'll see one when it doesn't
[01:01:40.220 --> 01:01:41.560]  help you in any way whatsoever.
[01:01:42.140 --> 01:01:44.120]  That could be from a wedding. Yeah, look,
[01:01:44.140 --> 01:01:46.400]  she's carrying the- Oh, come on.
[01:01:46.400 --> 01:01:47.740]  The bride's veil.
[01:01:48.460 --> 01:01:50.220]  That could be from a wedding.
[01:01:55.640 --> 01:01:56.440]  Once again,
[01:01:56.480 --> 01:01:58.420]  it's fucking quiet
[01:01:58.420 --> 01:01:59.940]  for a midnight on a Friday. Yeah.
[01:02:00.400 --> 01:02:00.740]  Yeah.
[01:02:04.570 --> 01:02:06.770]  Wow, those two are waiting a long
[01:02:06.770 --> 01:02:07.890]  time to cross this street.
[01:02:08.390 --> 01:02:09.630]  They're really pondering.
[01:02:10.010 --> 01:02:11.850]  Really crosswalk cowards.
[01:02:12.230 --> 01:02:14.090]  There may have been a network disconnect
[01:02:14.090 --> 01:02:15.030]  on those people.
[01:02:15.630 --> 01:02:17.170]  They're getting rebooted right now.
[01:02:17.390 --> 01:02:17.750]  Remotely.
[01:02:18.530 --> 01:02:20.910]  Here we go. Oh my god,
[01:02:20.970 --> 01:02:21.790]  they really were waiting.
[01:02:23.030 --> 01:02:24.890]  That was crosswalk coward in a whole
[01:02:24.890 --> 01:02:25.730]  different way.
[01:02:27.430 --> 01:02:29.190]  They were just crosswalk squares.
[01:02:29.550 --> 01:02:31.010]  I think that's gotta count
[01:02:31.590 --> 01:02:32.870]  for crosswalk coward.
[01:02:33.270 --> 01:02:34.830]  But yeah, it's like, I never envisioned it
[01:02:35.370 --> 01:02:36.550]  being picked up that way.
[01:02:36.870 --> 01:02:38.450]  I'd get his guns out.
[01:02:38.790 --> 01:02:40.970]  How are none of these guys in jeans and flip-flops?
[01:02:41.070 --> 01:02:42.590]  Like, look at these guys.
[01:02:42.590 --> 01:02:43.710]  None of them?
[01:02:44.290 --> 01:02:46.110]  That's clearly a golfing team.
[01:02:47.030 --> 01:02:48.470]  Jeans and flip-flops were designed
[01:02:48.470 --> 01:02:49.750]  for these guys. Nice belt.
[01:02:50.810 --> 01:02:52.350]  Dear lord, he tucked it in.
[01:02:53.050 --> 01:02:54.570]  There is not much
[01:02:54.570 --> 01:02:56.350]  worse on this earth than a belt
[01:02:56.350 --> 01:02:57.990]  with shorts and a tuck-in.
[01:02:58.890 --> 01:02:59.090]  Yeah.
[01:02:59.930 --> 01:03:02.710]  There's something about a polo shirt with shorts
[01:03:02.710 --> 01:03:03.430]  that is
[01:03:04.310 --> 01:03:05.550]  absurd to me.
[01:03:05.770 --> 01:03:08.490]  I find it to be
[01:03:08.490 --> 01:03:09.270]  slightly offensive.
[01:03:09.270 --> 01:03:10.830]  Yeah, it's just like,
[01:03:10.910 --> 01:03:12.170]  I just don't get it.
[01:03:12.410 --> 01:03:15.010]  Not tucked in. You can do it otherwise, maybe.
[01:03:15.250 --> 01:03:17.330]  You can do it sloppy style a little bit.
[01:03:17.510 --> 01:03:18.970]  I think you can do it if you're golfing
[01:03:18.970 --> 01:03:20.890]  and that's it. And then if you're going somewhere,
[01:03:21.010 --> 01:03:21.730]  you better change.
[01:03:22.670 --> 01:03:24.310]  Okay, sweet. I feel better now.
[01:03:24.630 --> 01:03:25.730]  Okay, sweet.
[01:03:26.610 --> 01:03:28.410]  Nick looks over at his closet and it's all
[01:03:28.410 --> 01:03:30.770]  fucking shorts and he starts sweating.
[01:03:33.970 --> 01:03:34.370]  Fellas!
[01:03:35.370 --> 01:03:36.010]  Right, guys?
[01:03:38.290 --> 01:03:38.930]  All right.
[01:03:39.070 --> 01:03:40.850]  Bouncer bouncing, litterbug,
[01:03:40.950 --> 01:03:42.790]  offensive t-shirt, chug, bandage dude,
[01:03:42.910 --> 01:03:44.610]  handshake. Some of these are classics.
[01:03:44.810 --> 01:03:46.710]  It's just not happening. He said it again,
[01:03:46.790 --> 01:03:48.790]  right? Yeah. Did I say
[01:03:48.790 --> 01:03:50.530]  offensive t-shirt? No, you said
[01:03:50.530 --> 01:03:51.690]  offensive t-shirt.
[01:03:52.550 --> 01:03:54.790]  I'm pretty sure I said offensive t-shirt. Yeah, I just said it again.
[01:03:54.830 --> 01:03:56.770]  Hey, go back and listen to this bot.
[01:03:56.890 --> 01:03:58.690]  No, you didn't. I don't like to live in the past, dude.
[01:03:58.690 --> 01:03:59.770]  I'm trying to move forward with my life.
[01:04:01.610 --> 01:04:02.790]  She's fucking hoofing,
[01:04:02.910 --> 01:04:04.770]  but I think we already had it. We did, yeah.
[01:04:04.770 --> 01:04:06.690]  But she was definitely hoofing.
[01:04:07.090 --> 01:04:08.790]  Everyone has had shoes on tonight.
[01:04:10.650 --> 01:04:12.330]  Is that a luxury car?
[01:04:17.370 --> 01:04:20.550]  Can that be a luxury car?
[01:04:23.310 --> 01:04:26.090]  It has a real cool back window.
[01:04:26.490 --> 01:04:28.270]  I really want Andrew to win
[01:04:28.270 --> 01:04:30.410]  tonight. Is that a
[01:04:30.410 --> 01:04:31.590]  luxury car?
[01:04:33.170 --> 01:04:34.310]  Andrew's in the best
[01:04:34.310 --> 01:04:36.430]  time zone. Yeah, right?
[01:04:36.550 --> 01:04:38.490]  I'm just beaten down by these luxury
[01:04:38.490 --> 01:04:40.190]  cars, Gavin, and the pink taxi.
[01:04:40.570 --> 01:04:42.490]  It's not about energy. I'm a broken man
[01:04:42.490 --> 01:04:44.310]  at the moment. You still have your whole night
[01:04:44.310 --> 01:04:44.810]  ahead of you.
[01:04:46.350 --> 01:04:48.090]  How's your phone situation going, Andrew?
[01:04:48.410 --> 01:04:50.290]  I don't have one, so it's
[01:04:50.290 --> 01:04:52.130]  the same. Same, okay.
[01:04:53.410 --> 01:04:54.070]  There's our
[01:04:54.070 --> 01:04:55.590]  parrot head friend again. Yeah, no kidding.
[01:04:56.950 --> 01:04:58.410]  He is. He even walks
[01:04:58.410 --> 01:05:00.230]  kind of parrot-y. Yes, yeah.
[01:05:00.230 --> 01:05:00.790]  Ah!
[01:05:03.150 --> 01:05:04.430]  He's known to make that noise
[01:05:04.430 --> 01:05:05.510]  as well. Yeah.
[01:05:06.230 --> 01:05:07.390]  He's just chasing that guy.
[01:05:08.490 --> 01:05:09.890]  Oh, he's still with that dude.
[01:05:10.490 --> 01:05:11.970]  You'll never get away. Is that Jesus
[01:05:11.970 --> 01:05:13.690]  in flip-flops? Where?
[01:05:14.590 --> 01:05:15.730]  Where? Right there.
[01:05:16.730 --> 01:05:17.770]  Crossing the street.
[01:05:18.470 --> 01:05:20.530]  That woman. No, she's wearing shoes.
[01:05:20.750 --> 01:05:22.250]  No, those are sandals, but
[01:05:22.250 --> 01:05:23.070]  I don't think they're flip-flops. Damn it.
[01:05:23.930 --> 01:05:25.330]  Why did you call that lady Jesus?
[01:05:25.890 --> 01:05:28.290]  Oh, you said jeans in flip-flops. It sounded like you said Jesus.
[01:05:28.290 --> 01:05:30.530]  You thought her name was Jesus
[01:05:30.530 --> 01:05:31.870]  flip-flops? Yeah.
[01:05:31.990 --> 01:05:34.330]  You heard the same thing here? Yeah,
[01:05:34.350 --> 01:05:34.790]  absolutely.
[01:05:35.930 --> 01:05:38.050]  It also doesn't help, Gavin, if someone says
[01:05:38.050 --> 01:05:39.830]  where, you yelling there is not
[01:05:40.430 --> 01:05:40.990]  useless.
[01:05:43.110 --> 01:05:44.030]  I'm pointing.
[01:05:45.270 --> 01:05:45.670]  Thanks.
[01:05:46.070 --> 01:05:46.570]  Fair enough.
[01:05:49.670 --> 01:05:50.510]  Oh my
[01:05:50.510 --> 01:05:52.090]  God. I'm just that
[01:05:52.090 --> 01:05:53.790]  Leonardo DiCaprio gif all night.
[01:05:54.130 --> 01:05:56.310]  What if you threw up on the ground right now,
[01:05:56.310 --> 01:05:56.490]  buddy?
[01:05:57.170 --> 01:05:58.430]  What if what?
[01:06:00.230 --> 01:06:02.370]  Obviously, I don't want this. What if one of
[01:06:02.370 --> 01:06:04.250]  the security guards gets hit by a taxi
[01:06:04.250 --> 01:06:06.190]  that's wearing pink? Is that
[01:06:06.190 --> 01:06:07.990]  then a pink taxi? You know what?
[01:06:08.130 --> 01:06:10.310]  If that happens, Andrew, I'll give it to
[01:06:10.310 --> 01:06:12.310]  you. That's a FaceTime
[01:06:12.310 --> 01:06:14.250]  screen. Oh, this ice cream cake
[01:06:14.250 --> 01:06:16.330]  is coming. Is that a FaceTime screen? I'm pretty sure
[01:06:16.330 --> 01:06:17.290]  that's a FaceTime screen there.
[01:06:18.870 --> 01:06:19.310]  Okay.
[01:06:20.910 --> 01:06:21.850]  I'll undo it.
[01:06:21.950 --> 01:06:22.350]  Is that a kid?
[01:06:22.350 --> 01:06:23.610]  Is that a kid out late?
[01:06:24.150 --> 01:06:25.530]  That's a little kid out late.
[01:06:25.850 --> 01:06:28.130]  Look at that little fucker. That's a little kid out late.
[01:06:28.270 --> 01:06:29.510]  Oh, that is a kid out late.
[01:06:30.050 --> 01:06:32.210]  That's a bouncer bouncing. Look, he's spinning people.
[01:06:33.470 --> 01:06:34.350]  Everyone needs to get
[01:06:34.350 --> 01:06:35.270]  rotated occasionally.
[01:06:35.830 --> 01:06:36.810]  Was that Litterbug?
[01:06:37.210 --> 01:06:39.250]  That was in the street.
[01:06:39.890 --> 01:06:40.630]  It's drifting.
[01:06:42.230 --> 01:06:43.890]  What if the wind blows it into the bin?
[01:06:46.350 --> 01:06:48.490]  I got that, but it doesn't help me in any way.
[01:06:49.190 --> 01:06:49.690]  High five.
[01:06:49.690 --> 01:06:50.870]  Did anyone have high five?
[01:06:51.350 --> 01:06:52.470]  Oh, don't hit the bag!
[01:06:55.170 --> 01:06:57.290]  Is that guy choking that lady for a second?
[01:06:57.610 --> 01:06:58.870]  I don't know. What was that?
[01:07:00.050 --> 01:07:01.890]  Are we watching American Beauty right now?
[01:07:02.310 --> 01:07:03.170]  God damn it!
[01:07:06.130 --> 01:07:07.730]  American Beauty should be on there.
[01:07:10.030 --> 01:07:11.450]  Just a bag in the wind.
[01:07:13.350 --> 01:07:15.410]  That's the most beautiful thing I've ever seen.
[01:07:17.110 --> 01:07:17.670]  And boy, that guy
[01:07:17.670 --> 01:07:19.590]  drowned an interstellar.
[01:07:20.030 --> 01:07:20.790]  Oh, yeah.
[01:07:21.690 --> 01:07:22.130]  No.
[01:07:25.630 --> 01:07:27.250]  Did he drown in a bag?
[01:07:27.850 --> 01:07:28.790]  No, no.
[01:07:30.830 --> 01:07:31.770]  Oh, it was completely
[01:07:31.770 --> 01:07:33.470]  unrelated to a bag drowning?
[01:07:34.110 --> 01:07:35.030]  Yeah, just water.
[01:07:35.490 --> 01:07:37.550]  They probably had bags on the spaceship, but it was mainly
[01:07:37.550 --> 01:07:38.330]  just on the water.
[01:07:40.790 --> 01:07:41.710]  How long were they
[01:07:41.710 --> 01:07:43.590]  stuck on that planet? Because that's how long
[01:07:43.590 --> 01:07:45.270]  we're probably going to take to find a bingo.
[01:07:45.270 --> 01:07:45.370]  I don't know.
[01:07:46.290 --> 01:07:48.310]  Give me a go-kart and we're done!
[01:07:48.570 --> 01:07:50.070]  I think it was like two hours for them,
[01:07:50.630 --> 01:07:53.710]  but like 28 years for everyone else.
[01:07:57.930 --> 01:07:59.430]  So someone else weighed up
[01:07:59.430 --> 01:08:00.130]  and we're done?
[01:08:01.290 --> 01:08:03.590]  Dude, we should add in long shorts.
[01:08:04.370 --> 01:08:04.770]  Oh, yeah.
[01:08:04.890 --> 01:08:07.110]  Long shorts is a good one.
[01:08:07.270 --> 01:08:08.830]  God, ankle shorts.
[01:08:09.670 --> 01:08:10.650]  Conflicted shorts.
[01:08:12.030 --> 01:08:13.070]  Conflicted shorts.
[01:08:18.010 --> 01:08:19.430]  Andrew, none of these are pink.
[01:08:19.830 --> 01:08:21.590]  None of them are luxury either.
[01:08:24.010 --> 01:08:26.010]  Those guys took a photo.
[01:08:27.990 --> 01:08:29.390]  We already did that.
[01:08:31.990 --> 01:08:33.230]  These guys are...
[01:08:33.230 --> 01:08:34.870]  That's guy next to guy scooter.
[01:08:34.990 --> 01:08:36.910]  Yeah, that's guy near guy scooter.
[01:08:38.110 --> 01:08:38.850]  Bad boys.
[01:08:39.070 --> 01:08:40.490]  They both had coolers.
[01:08:40.870 --> 01:08:43.150]  That guy is struggling, pushing...
[01:08:43.150 --> 01:08:44.170]  Come on, buddy, you got it.
[01:08:44.170 --> 01:08:45.990]  He's having to push his knee
[01:08:45.990 --> 01:08:46.590]  with his hand.
[01:08:48.770 --> 01:08:49.950]  It's hard to ride a bicycle
[01:08:49.950 --> 01:08:50.590]  when you're drunk.
[01:08:51.370 --> 01:08:52.670]  Take your shoes off!
[01:08:57.060 --> 01:08:57.980]  I really thought
[01:08:57.980 --> 01:08:59.960]  the go-go-now guy would loop back around.
[01:09:00.560 --> 01:09:02.040]  That's how you know it had
[01:09:02.040 --> 01:09:03.060]  nothing to do with this.
[01:09:03.360 --> 01:09:04.140]  He had no idea.
[01:09:07.160 --> 01:09:08.060]  He's going to find out
[01:09:08.060 --> 01:09:09.520]  later all of his friends are going to make fun of him.
[01:09:09.540 --> 01:09:10.100]  It's going to be awesome.
[01:09:10.380 --> 01:09:12.340]  If that dude literally just
[01:09:13.560 --> 01:09:14.560]  randomly showed up
[01:09:14.560 --> 01:09:16.220]  and was like, oh, since I'm here, I'll go say hi
[01:09:16.220 --> 01:09:18.620]  in front of the thing and had no idea that the entire
[01:09:18.620 --> 01:09:19.980]  staff was watching him.
[01:09:21.400 --> 01:09:22.580]  That's pretty fucking funny.
[01:09:23.080 --> 01:09:23.800]  Say wait up!
[01:09:24.740 --> 01:09:26.120]  She was pretty formal.
[01:09:28.240 --> 01:09:29.440]  She had a purse.
[01:09:32.880 --> 01:09:34.220]  That's the purse of this guy
[01:09:34.220 --> 01:09:34.940]  and girl scooter.
[01:09:36.940 --> 01:09:38.240]  That bag is
[01:09:38.240 --> 01:09:39.060]  still there.
[01:09:42.360 --> 01:09:44.440]  Do you think that bag will still be there
[01:09:44.440 --> 01:09:44.860]  when we're done?
[01:09:46.440 --> 01:09:48.180]  I don't think that bag is ever moving.
[01:09:48.460 --> 01:09:50.220]  I think that bag is just there now.
[01:09:50.480 --> 01:09:51.300]  It's like when somebody
[01:09:51.920 --> 01:09:54.060]  got drunk and lost their keys in that grate
[01:09:54.060 --> 01:09:55.860]  and they had to pick up the grate and move it
[01:09:55.860 --> 01:09:57.960]  and they couldn't put it back and the grate was
[01:09:57.960 --> 01:09:59.300]  off for like three weeks.
[01:10:00.920 --> 01:10:02.000]  Until it finally got fixed.
[01:10:02.860 --> 01:10:03.220]  Secret.
[01:10:05.600 --> 01:10:06.300]  Oh, wait.
[01:10:07.720 --> 01:10:08.580]  Going in for a hug
[01:10:08.580 --> 01:10:08.880]  or something?
[01:10:10.380 --> 01:10:10.860]  Handshake?
[01:10:10.960 --> 01:10:13.120]  My mother says we missed Guy on Guy's
[01:10:13.120 --> 01:10:13.720]  scooter twice.
[01:10:13.860 --> 01:10:17.180]  I'm blind as dicks.
[01:10:17.240 --> 01:10:17.760]  Is this a hug?
[01:10:18.720 --> 01:10:20.120]  We can't mark it.
[01:10:20.340 --> 01:10:22.800]  That's a handshake right there.
[01:10:23.900 --> 01:10:24.440]  That's a handshake.
[01:10:24.720 --> 01:10:26.300]  I just need cop car and I'll win.
[01:10:26.320 --> 01:10:27.240]  That's half a hug.
[01:10:28.900 --> 01:10:30.080]  That's a hug.
[01:10:30.620 --> 01:10:32.080]  No, that's a whisper.
[01:10:33.080 --> 01:10:34.280]  That's a secret whisper.
[01:10:34.480 --> 01:10:35.180]  That's a handshake.
[01:10:35.180 --> 01:10:35.960]  Kiss.
[01:10:36.860 --> 01:10:38.000]  That's a back pat.
[01:10:38.460 --> 01:10:40.040]  They did everything except hug.
