[00:07.880 --> 00:08.880]  And we're back.
[34:30.180 --> 34:30.860]  And the worst part is
[34:30.860 --> 34:31.740]  they don't care.
[34:32.080 --> 34:33.080]  Yeah, they don't care.
[34:33.200 --> 34:34.260]  And so a bunch of
[34:34.260 --> 34:35.100]  stuff in the locker
[34:35.100 --> 34:36.240]  room started to leak out.
[34:37.080 --> 34:37.820]  Like what?
[34:38.000 --> 34:38.300]  Like them
[34:38.300 --> 34:38.760]  talking shit?
[34:39.000 --> 34:39.280]  Oh, yeah.
[34:39.380 --> 34:40.300]  It was just a bunch
[34:40.300 --> 34:40.740]  of people going,
[34:40.880 --> 34:41.740]  there are no leaders
[34:41.740 --> 34:42.200]  on this team.
[34:42.320 --> 34:42.960]  There are guys that
[34:42.960 --> 34:43.700]  just show up.
[34:44.100 --> 34:44.820]  There are guys that
[34:44.820 --> 34:45.940]  don't give a fuck
[34:45.940 --> 34:46.780]  about being on this team.
[34:46.780 --> 34:47.900]  Eloy got hit with that.
[34:48.060 --> 34:49.160]  And it was like,
[34:49.200 --> 34:50.360]  yeah, cool guy.
[34:51.260 --> 34:52.020]  Not a leader.
[34:52.020 --> 34:52.600]  Damn.
[34:52.760 --> 34:54.360]  Jansen Junk Rookie.
[34:54.500 --> 34:55.020]  That's a good name.
[34:55.100 --> 34:55.780]  That's a name as
[34:55.780 --> 34:56.900]  a career or...
[34:56.900 --> 34:56.960]  What?
[34:58.360 --> 34:58.900]  Junk guy.
[34:59.300 --> 34:59.840]  Or like...
[34:59.840 --> 35:00.140]  Junk collector.
[35:00.160 --> 35:01.880]  A name for a...
[35:01.880 --> 35:02.820]  I would just say
[35:02.820 --> 35:03.560]  like name as an object.
[35:03.840 --> 35:04.220]  Name as an object.
[35:04.340 --> 35:05.180]  Name as something interesting.
[35:05.440 --> 35:05.720]  Yeah, yeah.
[35:05.960 --> 35:06.740]  Like a body part.
[35:06.860 --> 35:07.880]  Yeah, maybe like not career,
[35:08.060 --> 35:08.540]  but yeah, you can do
[35:08.540 --> 35:09.000]  body part.
[35:09.240 --> 35:09.700]  It's pretty good.
[35:09.960 --> 35:11.340]  Well, you can be like
[35:11.340 --> 35:12.300]  in the Three Investigators,
[35:12.420 --> 35:12.980]  Jupiter Jones'
[35:13.160 --> 35:13.980]  grandparent, his aunt
[35:13.980 --> 35:14.620]  and his uncle owned
[35:14.620 --> 35:15.840]  a junkyard and they
[35:15.840 --> 35:16.520]  were salvaged people.
[35:16.560 --> 35:16.780]  Uh-huh.
[35:16.980 --> 35:17.140]  Yeah.
[35:17.860 --> 35:18.180]  Okay.
[35:18.620 --> 35:18.940]  Cool.
[35:19.820 --> 35:20.460]  Gabriel Arias.
[35:20.800 --> 35:21.620]  He looks like he
[35:21.620 --> 35:21.960]  doesn't want to
[35:21.960 --> 35:22.480]  take that picture.
[35:24.500 --> 35:25.140]  Kebryan Hayes.
[35:25.600 --> 35:26.060]  Come here.
[35:26.280 --> 35:26.820]  Yeah, please.
[35:26.920 --> 35:27.600]  Colton Wong,
[35:28.440 --> 35:28.760]  refractor.
[35:28.860 --> 35:29.240]  That's pretty.
[35:30.200 --> 35:31.620]  And then we have...
[35:31.620 --> 35:32.300]  Oh, speaking of,
[35:32.360 --> 35:32.780]  Mookie Betts.
[35:32.820 --> 35:33.160]  There you go.
[35:33.360 --> 35:33.680]  Yay.
[35:33.920 --> 35:34.740]  Happy to be a Dodger.
[35:35.260 --> 35:36.300]  He's very happy to be a Dodger.
[35:36.700 --> 35:37.120]  They put him in the
[35:37.120 --> 35:37.940]  infield and he was thrilled.
[35:38.180 --> 35:39.540]  He's the most likable dude.
[35:39.800 --> 35:40.420]  Yeah, he's...
[35:40.420 --> 35:40.760]  That's how we had
[35:40.760 --> 35:41.880]  38 home runs this year.
[35:42.240 --> 35:42.520]  Dang.
[35:42.680 --> 35:43.020]  I hate him.
[35:43.160 --> 35:43.520]  I hate him.
[35:43.520 --> 35:45.020]  If he played for any other team,
[35:45.120 --> 35:45.420]  he'd be...
[35:45.420 --> 35:46.120]  I'd be so happy.
[35:47.540 --> 35:48.420]  Miguel Seno.
[35:49.640 --> 35:50.520]  Riley Adams.
[35:51.780 --> 35:52.640]  Sleep that.
[35:53.560 --> 35:54.360]  Here we have
[35:54.360 --> 35:55.500]  Jim Bunning.
[35:57.400 --> 35:58.280]  And then...
[35:58.280 --> 35:59.320]  The old Phillies P.
[35:59.360 --> 35:59.860]  I like that.
[36:00.380 --> 36:01.240]  Vlad Jr.
[36:01.240 --> 36:01.740]  Vladdy Jr.
[36:03.220 --> 36:03.840]  He's almost
[36:03.840 --> 36:04.840]  the guy there.
[36:05.040 --> 36:05.860]  We're gonna put this pack
[36:05.860 --> 36:07.000]  into the pack sack.
[36:07.300 --> 36:08.420]  Otherwise, we need to feed that.
[36:08.960 --> 36:09.720]  I wonder if he'll go anywhere.
[36:09.800 --> 36:10.400]  I wonder if he'll just
[36:10.400 --> 36:11.980]  stick around the...
[36:11.980 --> 36:13.500]  keep being a blue jay.
[36:13.520 --> 36:14.600]  He seems happy there.
[36:14.900 --> 36:15.520]  You think so?
[36:15.640 --> 36:16.400]  Yeah, it seems like
[36:16.400 --> 36:17.260]  that's where all the kids
[36:17.260 --> 36:18.380]  from former players go.
[36:18.980 --> 36:19.940]  They've got a bunch of
[36:19.940 --> 36:21.220]  second generation guys
[36:21.220 --> 36:23.340]  that play in Toronto.
[36:23.560 --> 36:24.120]  And they seem really
[36:24.120 --> 36:24.640]  happy up there.
[36:25.300 --> 36:25.680]  I don't think there's
[36:25.680 --> 36:26.480]  probably a lot of pressure
[36:26.480 --> 36:27.260]  to perform in Toronto.
[36:27.680 --> 36:27.800]  You know?
[36:28.460 --> 36:28.820]  Let's open up
[36:28.820 --> 36:29.540]  a pack of Barbie cards.
[36:29.840 --> 36:30.200]  Hooray.
[36:30.800 --> 36:31.160]  Barbie.
[36:31.980 --> 36:33.140]  Another first for Barbie.
[36:33.720 --> 36:34.440]  English edition.
[36:35.320 --> 36:35.920]  Right, because
[36:36.520 --> 36:37.400]  they were printed...
[36:37.400 --> 36:38.020]  We have some at home
[36:38.020 --> 36:38.600]  that were printed
[36:38.600 --> 36:39.900]  in Canadian.
[36:40.060 --> 36:40.300]  They were printed
[36:40.300 --> 36:41.000]  in French, too.
[36:41.180 --> 36:41.480]  Really?
[36:41.480 --> 36:41.940]  Yeah.
[36:42.020 --> 36:42.500]  Gross.
[36:44.340 --> 36:44.580]  Whoa.
[36:45.320 --> 36:45.800]  What?
[36:45.880 --> 36:46.220]  There we go.
[36:46.240 --> 36:46.780]  It's just stuck.
[36:46.960 --> 36:47.620]  Alright, let's see
[36:47.620 --> 36:48.840]  what's up with...
[36:49.780 --> 36:50.740]  1984 Barbie.
[36:51.600 --> 36:51.640]  Wow.
[36:52.180 --> 36:54.660]  That's the dystopian
[36:54.660 --> 36:55.700]  George Orwell Barbie.
[36:57.160 --> 36:58.500]  Beware the savage lore.
[36:58.740 --> 36:59.160]  Ungood.
[36:59.300 --> 36:59.980]  I like her like
[36:59.980 --> 37:00.680]  Feather Boa.
[37:01.060 --> 37:02.620]  She's dressed
[37:02.620 --> 37:03.560]  double plus well.
[37:03.760 --> 37:04.640]  Yeah, this is a
[37:04.640 --> 37:05.960]  double plus good outfit.
[37:07.220 --> 37:08.320]  Barbie, 1985.
[37:09.120 --> 37:09.940]  I guess she survived.
[37:09.940 --> 37:10.480]  One of my friends
[37:10.480 --> 37:11.160]  had that bed,
[37:11.240 --> 37:12.220]  and I was so jealous.
[37:12.400 --> 37:12.600]  Oh, really?
[37:12.780 --> 37:13.740]  That seems like
[37:13.740 --> 37:14.680]  everything you're aiming
[37:14.680 --> 37:15.420]  for right there.
[37:15.640 --> 37:16.960]  Yes, it's all I want.
[37:17.820 --> 37:18.520]  There's another
[37:18.520 --> 37:19.220]  1985 Barbie.
[37:19.660 --> 37:20.400]  That's a very
[37:20.400 --> 37:21.080]  Sue Ellen outfit.
[37:21.080 --> 37:22.280]  This is like before...
[37:22.280 --> 37:23.220]  My Barbie didn't look
[37:23.220 --> 37:23.520]  like that.
[37:23.580 --> 37:24.560]  She has kind of
[37:24.560 --> 37:25.040]  the little bit
[37:25.040 --> 37:26.080]  older Barbie face.
[37:26.500 --> 37:27.280]  They changed
[37:27.280 --> 37:27.940]  her face around.
[37:27.980 --> 37:28.520]  She hadn't had
[37:28.520 --> 37:29.920]  80s Barbie Botox yet?
[37:30.040 --> 37:30.220]  Yeah.
[37:31.360 --> 37:32.240]  89 Barbie.
[37:32.420 --> 37:33.960]  Wow, that's awesome.
[37:34.700 --> 37:35.380]  That's so cool.
[37:35.380 --> 37:35.900]  She looks so good.
[37:35.900 --> 37:36.400]  Look at her little
[37:36.400 --> 37:37.020]  knee bend.
[37:37.600 --> 37:38.900]  That's what the 80s
[37:38.900 --> 37:40.200]  look like in my head.
[37:40.860 --> 37:41.720]  It's the hair
[37:41.720 --> 37:42.620]  with the purple
[37:42.620 --> 37:43.480]  to pink.
[37:44.400 --> 37:44.940]  That's a good one.
[37:45.080 --> 37:45.560]  That's so good.
[37:45.820 --> 37:46.700]  I'm gonna save that one.
[37:46.800 --> 37:47.180]  Yeah, I agree.
[37:47.300 --> 37:48.100]  That one's just for you.
[37:48.380 --> 37:48.480]  She looks so good.
[37:49.060 --> 37:49.760]  1990s Barbie.
[37:50.020 --> 37:50.300]  Uh-huh.
[37:50.780 --> 37:51.740]  There you go.
[37:52.440 --> 37:53.260]  1989 Barbie
[37:53.260 --> 37:54.060]  in a different outfit.
[37:54.140 --> 37:55.240]  A little more formal.
[37:55.280 --> 37:55.740]  She's gonna do
[37:55.740 --> 37:56.480]  a karate chop.
[37:56.580 --> 37:56.720]  Yeah.
[37:56.960 --> 37:58.340]  And then unexpected
[37:58.340 --> 37:58.780]  karate.
[37:59.400 --> 38:00.060]  Save that.
[38:00.500 --> 38:01.900]  It's a new...
[38:02.420 --> 38:02.760]  Great.
[38:03.980 --> 38:04.860]  1990 Barbie...
[38:04.860 --> 38:05.600]  I have that dress!
[38:05.920 --> 38:06.320]  Oh my God,
[38:06.320 --> 38:07.040]  I don't have my Barbie
[38:07.040 --> 38:07.800]  with me!
[38:07.800 --> 38:09.560]  It's in my car,
[38:09.700 --> 38:10.460]  but this is the dress
[38:10.460 --> 38:11.260]  that I have on my weird
[38:11.260 --> 38:12.280]  Barbie right now.
[38:12.560 --> 38:13.000]  Ah!
[38:13.940 --> 38:14.980]  Wow, it looks so much
[38:14.980 --> 38:15.140]  better in this.
[38:15.140 --> 38:16.300]  Is that your Jasper Barbie?
[38:16.500 --> 38:17.620]  Yeah, that's in my Jasper.
[38:17.620 --> 38:18.780]  I don't have it with me.
[38:18.820 --> 38:19.600]  It looks so much better
[38:19.600 --> 38:20.240]  new than it does
[38:20.240 --> 38:20.980]  on my weird Barbie.
[38:21.380 --> 38:22.120]  Oh, man.
[38:22.760 --> 38:22.840]  Here we have
[38:22.840 --> 38:23.920]  1989 Barbie again.
[38:24.020 --> 38:25.400]  This is my first Barbie.
[38:25.700 --> 38:26.600]  The most beautiful
[38:26.600 --> 38:27.800]  princess of all time
[38:27.800 --> 38:28.900]  will delight her subjects.
[38:29.180 --> 38:30.200]  Barbie's gown is really
[38:30.200 --> 38:30.920]  that of a princess
[38:30.920 --> 38:31.800]  with its shiny
[38:31.800 --> 38:32.640]  fuchsia bodice,
[38:33.060 --> 38:33.660]  puffed sleeves,
[38:34.340 --> 38:34.780]  and...
[38:35.520 --> 38:36.400]  organdy skirt?
[38:36.680 --> 38:36.860]  What?
[38:36.860 --> 38:37.960]  With velvety patterns
[38:37.960 --> 38:38.460]  and hues.
[38:38.620 --> 38:38.980]  She's wearing
[38:38.980 --> 38:40.280]  a magnificent crown
[38:40.280 --> 38:41.620]  and holding a chiffon
[38:41.620 --> 38:42.300]  rose in her hands.
[38:42.460 --> 38:43.540]  Her shoes are white.
[38:44.680 --> 38:45.500]  Barbie facts.
[38:45.920 --> 38:46.940]  The bathing suits
[38:46.940 --> 38:47.940]  of dolls in the
[38:47.940 --> 38:49.020]  Wet and Wild collection
[38:49.020 --> 38:49.840]  change color
[38:49.840 --> 38:50.440]  when submerged
[38:50.440 --> 38:51.280]  in cold water.
[38:51.420 --> 38:51.720]  They return
[38:51.720 --> 38:52.760]  to their original color
[38:52.760 --> 38:53.160]  when dry.
[38:53.420 --> 38:54.220]  Fun facts.
[38:54.840 --> 38:55.860]  The television series
[38:55.860 --> 38:56.380]  The Simpsons,
[38:56.540 --> 38:57.640]  originally a comic strip,
[38:57.800 --> 38:58.820]  is one of the 10
[38:58.820 --> 38:59.700]  most popular shows
[38:59.700 --> 39:00.400]  on TV today.
[39:00.540 --> 39:01.120]  It doesn't have
[39:01.120 --> 39:01.780]  anything to do
[39:01.780 --> 39:02.840]  with the fun facts.
[39:02.960 --> 39:04.020]  That is a fun fact.
[39:04.020 --> 39:05.420]  It's just a fact.
[39:05.440 --> 39:06.120]  The one time
[39:06.120 --> 39:06.660]  I got a hit
[39:06.660 --> 39:06.980]  and I didn't have
[39:06.980 --> 39:07.980]  my Barbies.
[39:08.120 --> 39:08.420]  It's tough.
[39:10.440 --> 39:11.400]  What are these?
[39:12.100 --> 39:12.980]  28 cards?
[39:13.260 --> 39:13.440]  Yeah,
[39:13.560 --> 39:14.080]  these are
[39:15.480 --> 39:16.360]  1985 tops.
[39:16.520 --> 39:16.840]  Wow.
[39:17.240 --> 39:17.900]  These are
[39:17.900 --> 39:18.660]  some kind of
[39:18.660 --> 39:19.080]  fat pack
[39:19.080 --> 39:19.700]  they would sell.
[39:19.940 --> 39:20.720]  I did pay $15
[39:20.720 --> 39:21.460]  for this at the
[39:21.820 --> 39:22.260]  card shop.
[39:22.540 --> 39:23.040]  But you can
[39:23.040 --> 39:24.180]  get a
[39:24.180 --> 39:24.680]  Maguire
[39:27.020 --> 39:27.900]  Olympic rookie.
[39:28.520 --> 39:29.400]  Bud Black.
[39:29.720 --> 39:30.800]  I have one already.
[39:30.820 --> 39:31.040]  Really?
[39:31.120 --> 39:31.620]  Bud Black?
[39:31.900 --> 39:32.620]  That's the manager
[39:32.620 --> 39:33.360]  for the Rockies.
[39:33.360 --> 39:34.600]  Former Padres
[39:34.600 --> 39:34.840]  manager.
[39:36.180 --> 39:37.100]  Scott Sanderson.
[39:38.640 --> 39:39.600]  Scott Sanderson.
[39:39.800 --> 39:40.740]  Andre Thornton.
[39:40.840 --> 39:41.400]  This is back
[39:41.400 --> 39:42.220]  when jerseys looked
[39:42.220 --> 39:42.960]  really good.
[39:43.100 --> 39:43.660]  Because it was the
[39:43.660 --> 39:44.740]  pullover and not
[39:44.740 --> 39:45.660]  everything's buttoned
[39:45.660 --> 39:46.140]  down now.
[39:46.260 --> 39:46.980]  And it sucks.
[39:47.200 --> 39:47.940]  The pullover is
[39:47.940 --> 39:48.920]  like the look, man.
[39:49.200 --> 39:49.920]  Cliff Johnson.
[39:51.100 --> 39:51.380]  Dang.
[39:51.560 --> 39:52.580]  Barry Bunnell.
[39:52.820 --> 39:53.280]  Hey, Mount
[39:53.280 --> 39:53.500]  Bunnell.
[39:53.800 --> 39:54.340]  Oh yeah.
[39:55.020 --> 39:56.300]  That's a hyper
[39:56.300 --> 39:56.940]  specific one.
[39:56.980 --> 39:57.500]  Name is a place
[39:57.500 --> 39:57.820]  in Austin.
[39:58.020 --> 39:58.360]  What's
[39:58.360 --> 39:59.260]  with his nostril?
[39:59.260 --> 40:00.620]  It's flaring, baby.
[40:01.180 --> 40:01.820]  That's like as
[40:01.820 --> 40:02.560]  big as his eye.
[40:02.660 --> 40:03.300]  Maybe we'll have a
[40:03.300 --> 40:03.860]  team flare.
[40:04.280 --> 40:04.640]  Yeah.
[40:06.300 --> 40:06.720]  Damn.
[40:07.000 --> 40:07.460]  Darryl Porter.
[40:09.200 --> 40:10.100]  He's got nostrils
[40:10.100 --> 40:10.660]  like Gavin.
[40:10.800 --> 40:11.120]  God.
[40:12.000 --> 40:12.840]  Sid Fernandez.
[40:13.920 --> 40:14.580]  Ooh, Jesse
[40:14.580 --> 40:15.100]  Barfield.
[40:15.260 --> 40:15.640]  I liked Jesse
[40:15.640 --> 40:16.100]  Barfield a lot
[40:16.100 --> 40:16.620]  when I was a kid.
[40:17.120 --> 40:17.720]  Julio Franco.
[40:17.960 --> 40:18.460]  I was a big Julio
[40:18.460 --> 40:19.100]  Franco fan when I
[40:19.100 --> 40:19.580]  was a kid, too.
[40:19.680 --> 40:20.720]  Aw, good smile.
[40:20.960 --> 40:21.320]  Rich Dower.
[40:21.760 --> 40:22.740]  Julio Franco's got a
[40:22.740 --> 40:23.160]  winning, how about
[40:23.160 --> 40:23.800]  winning smile?
[40:24.040 --> 40:24.560]  Winning smile.
[40:25.540 --> 40:26.420]  Brian Downing.
[40:28.340 --> 40:29.100]  Isn't that, Brian
[40:29.100 --> 40:29.860]  Downing, isn't that
[40:29.860 --> 40:30.800]  where the prime
[40:30.800 --> 40:31.960]  minister works?
[40:32.180 --> 40:32.300]  Yeah.
[40:32.900 --> 40:33.260]  Downing Street.
[40:33.920 --> 40:34.720]  Bruce Benedict.
[40:35.560 --> 40:36.440]  That's a breakfast.
[40:37.080 --> 40:37.380]  That's a food.
[40:37.380 --> 40:37.800]  Eggs Benedict.
[40:37.960 --> 40:38.400]  Eggs Benedict.
[40:40.480 --> 40:41.360]  Garth Iorg.
[40:42.060 --> 40:42.440]  Wow.
[40:42.740 --> 40:43.260]  The fuck is that?
[40:43.340 --> 40:43.880]  Dude, that's like
[40:43.880 --> 40:44.700]  not even a name.
[40:44.880 --> 40:45.500]  It's a bunch of
[40:45.500 --> 40:45.700]  letters.
[40:46.640 --> 40:47.500]  There's a bunch of
[40:47.500 --> 40:48.140]  letters on there.
[40:49.660 --> 40:50.540]  Alex Trevino.
[40:53.920 --> 40:54.780]  If you want to
[40:54.780 --> 40:55.500]  play this game, you
[40:55.500 --> 40:56.220]  gotta fucking mail
[40:56.220 --> 40:56.800]  it in, apparently.
[40:58.280 --> 40:58.920]  Craig Lefferts.
[40:59.100 --> 40:59.420]  We should.
[40:59.900 --> 41:00.220]  We should.
[41:00.380 --> 41:00.800]  Love that old
[41:00.800 --> 41:01.400]  Padres hat.
[41:01.560 --> 41:02.220]  Let's mail that in
[41:02.220 --> 41:03.160]  off episode.
[41:04.240 --> 41:05.060]  Oh, God, I don't
[41:05.060 --> 41:05.700]  know where we put
[41:05.700 --> 41:06.400]  this, but I think
[41:06.400 --> 41:07.320]  Joey McLaughlin
[41:07.320 --> 41:08.840]  belongs in one of
[41:08.840 --> 41:08.860]  our...
[41:08.860 --> 41:09.620]  That's step-dads,
[41:09.640 --> 41:09.820]  right?
[41:09.840 --> 41:10.120]  Step-dads, right.
[41:10.120 --> 41:10.520]  Didn't we have
[41:10.520 --> 41:11.200]  a step-dad's file?
[41:11.220 --> 41:11.340]  Daddy stepped
[41:11.340 --> 41:11.900]  up, his dad
[41:11.900 --> 41:12.040]  stepped up.
[41:12.220 --> 41:12.900]  Do you think that
[41:12.900 --> 41:13.760]  he stepped up or
[41:13.760 --> 41:14.900]  that he's like...
[41:14.900 --> 41:15.680]  He might be a dad
[41:15.680 --> 41:16.220]  who got stepped
[41:16.220 --> 41:16.600]  on.
[41:16.800 --> 41:17.200]  What?
[41:17.920 --> 41:18.540]  What's up?
[41:18.620 --> 41:19.220]  Dwight Gooden?
[41:19.400 --> 41:19.840]  Okay.
[41:21.500 --> 41:22.260]  Mark McGuire,
[41:22.360 --> 41:22.840]  United States...
[41:22.840 --> 41:23.500]  No way!
[41:24.380 --> 41:25.080]  Legitimate fucking
[41:25.080 --> 41:25.340]  hit.
[41:25.580 --> 41:25.940]  Wait!
[41:26.000 --> 41:26.380]  Is that good?
[41:26.400 --> 41:27.040]  That's the card
[41:27.040 --> 41:27.760]  that you said you
[41:27.760 --> 41:28.460]  could get in this
[41:28.460 --> 41:28.860]  patch.
[41:28.920 --> 41:29.680]  That's the card to
[41:29.680 --> 41:29.920]  get.
[41:30.140 --> 41:31.020]  It's the McGuire
[41:31.020 --> 41:31.960]  Olympic card.
[41:32.680 --> 41:33.820]  I don't even know
[41:33.820 --> 41:34.600]  what this runs at
[41:34.600 --> 41:35.220]  PSA 10.
[41:35.300 --> 41:35.820]  This wouldn't be
[41:35.820 --> 41:36.240]  a 10.
[41:36.460 --> 41:36.640]  Why?
[41:36.880 --> 41:37.860]  This corner's a
[41:37.860 --> 41:38.860]  little soft, but
[41:38.860 --> 41:39.800]  the centering is
[41:39.800 --> 41:40.820]  really good on
[41:40.820 --> 41:41.120]  it.
[41:41.660 --> 41:42.760]  It's probably a
[41:42.760 --> 41:43.140]  9.
[41:43.240 --> 41:43.620]  You better sleeve
[41:43.620 --> 41:44.220]  the fuck out of
[41:44.220 --> 41:44.580]  this thing.
[41:44.840 --> 41:45.620]  This is a 10.
[41:45.780 --> 41:46.840]  It's a little bit
[41:46.840 --> 41:47.100]  of money.
[41:47.360 --> 41:47.980]  So let's sleeve
[41:47.980 --> 41:48.480]  and then...
[41:48.480 --> 41:49.200]  Do you have one
[41:49.200 --> 41:49.640]  of the hard
[41:49.640 --> 41:50.100]  sleeves?
[41:53.100 --> 41:54.140]  Good job, Mike.
[41:54.320 --> 41:54.900]  I can't believe
[41:54.900 --> 41:55.600]  you actually got
[41:55.600 --> 41:56.300]  the card that you
[41:56.300 --> 41:56.920]  said here's the
[41:56.920 --> 41:57.480]  thing to get.
[41:57.580 --> 41:58.040]  It never
[41:58.040 --> 41:58.440]  happens.
[41:58.640 --> 41:58.980]  That never
[41:58.980 --> 41:59.720]  happens on this
[41:59.720 --> 41:59.960]  show.
[42:00.040 --> 42:00.840]  He looks so
[42:00.840 --> 42:01.760]  different before
[42:02.420 --> 42:03.320]  playing more
[42:03.320 --> 42:04.420]  games and
[42:04.420 --> 42:04.860]  getting more
[42:04.860 --> 42:05.200]  muscles.
[42:06.060 --> 42:07.620]  Before he put
[42:07.620 --> 42:08.060]  on a lot of
[42:08.060 --> 42:08.560]  hard work at the
[42:08.560 --> 42:08.760]  gym.
[42:09.440 --> 42:09.940]  JTibbs.
[42:09.960 --> 42:10.600]  He looks so
[42:10.600 --> 42:11.420]  different before
[42:11.420 --> 42:12.200]  playing more
[42:12.200 --> 42:12.600]  games.
[42:13.100 --> 42:13.900]  Frank Williams.
[42:14.040 --> 42:14.840]  That's probably the
[42:14.840 --> 42:15.840]  best card you can
[42:15.840 --> 42:16.300]  get out of this
[42:16.300 --> 42:16.560]  set.
[42:16.640 --> 42:17.180]  Yeah, that's
[42:17.180 --> 42:17.800]  really impressive.
[42:18.120 --> 42:19.880]  Julio Solano.
[42:21.420 --> 42:22.420]  Geoff Cornell.
[42:23.300 --> 42:24.300]  Steve Yeager.
[42:24.720 --> 42:25.080]  Oda B.
[42:25.380 --> 42:26.240]  McDowell Olympic
[42:26.240 --> 42:26.640]  team.
[42:26.720 --> 42:26.980]  We'll go ahead
[42:26.980 --> 42:27.540]  and sleeve that
[42:27.540 --> 42:27.820]  too.
[42:28.860 --> 42:29.800]  Doug Rader
[42:29.800 --> 42:30.640]  manager card.
[42:30.740 --> 42:31.240]  We sleeve all
[42:31.240 --> 42:32.040]  manager cards I've
[42:32.040 --> 42:32.360]  decided.
[42:33.340 --> 42:34.380]  Pete Vukovich.
[42:36.100 --> 42:37.440]  That's a name, a
[42:37.440 --> 42:38.660]  hair, and a...
[42:38.660 --> 42:39.740]  That's all in one.
[42:39.740 --> 42:41.020]  That's a mustache
[42:41.020 --> 42:41.420]  too.
[42:41.640 --> 42:42.460]  You know what?
[42:42.500 --> 42:43.200]  That's not a
[42:43.200 --> 42:43.520]  stepdad.
[42:43.580 --> 42:44.380]  That's your dad.
[42:45.120 --> 42:46.160]  That's a real
[42:46.160 --> 42:46.840]  damn dad.
[42:47.240 --> 42:48.140]  He's had a few
[42:48.140 --> 42:48.840]  beers and you're
[42:48.840 --> 42:50.460]  like, oh shit.
[42:50.800 --> 42:51.160]  You know, but
[42:51.160 --> 42:52.480]  like, yeah.
[42:52.740 --> 42:53.240]  That's your
[42:53.240 --> 42:54.200]  friend's dad who
[42:54.200 --> 42:55.000]  can be kind of
[42:55.000 --> 42:55.180]  mean.
[42:55.320 --> 42:56.040]  That guy smokes.
[42:56.780 --> 42:57.600]  In the house.
[42:59.880 --> 43:01.320]  Laying in bed, he smokes.
[43:01.800 --> 43:03.920]  Should we have smokes
[43:03.920 --> 43:04.340]  in bed?
[43:04.480 --> 43:05.120]  Yeah, absolutely.
[43:06.460 --> 43:07.620]  Like, big time.
[43:07.720 --> 43:08.060]  Oh, yeah.
[43:08.260 --> 43:08.940]  Leon Durant.
[43:09.000 --> 43:09.780]  Man, that was so
[43:09.780 --> 43:10.640]  much fun to open.
[43:10.720 --> 43:11.000]  I'm going to go
[43:11.000 --> 43:11.660]  back and buy more
[43:11.660 --> 43:11.840]  of those.
[43:12.620 --> 43:12.980]  Awesome.
[43:13.960 --> 43:14.860]  You got the best
[43:14.860 --> 43:15.420]  card that you can
[43:15.420 --> 43:15.620]  get.
[43:15.660 --> 43:16.120]  Why would you get
[43:16.120 --> 43:16.400]  more?
[43:16.640 --> 43:17.200]  Yeah, that's true.
[43:17.280 --> 43:17.780]  They're fun to open
[43:17.780 --> 43:17.940]  though.
[43:18.000 --> 43:18.280]  Wow.
[43:18.480 --> 43:19.180]  How much did
[43:19.180 --> 43:20.280]  Mark McGuire weigh
[43:20.280 --> 43:21.700]  at his highest wall
[43:21.700 --> 43:22.320]  plane?
[43:23.680 --> 43:24.040]  240?
[43:24.800 --> 43:25.520]  Yeah, probably.
[43:25.540 --> 43:26.160]  He said he's only
[43:26.160 --> 43:27.080]  220 in this.
[43:27.400 --> 43:27.900]  Yeah, that's because
[43:27.900 --> 43:28.740]  he's 185.
[43:29.680 --> 43:30.080]  Yeah.
[43:30.340 --> 43:31.260]  And that he's 65.
[43:31.900 --> 43:32.480]  Yeah, he's a big dude.
[43:32.540 --> 43:33.320]  His brother, Dan
[43:33.320 --> 43:35.100]  McGuire, was 67?
[43:35.580 --> 43:36.160]  Something like that,
[43:36.220 --> 43:36.280]  yeah.
[43:36.300 --> 43:37.240]  And played, very
[43:37.240 --> 43:37.820]  briefly, he was a
[43:37.820 --> 43:38.140]  quarterback.
[43:38.320 --> 43:38.880]  I think he played
[43:38.880 --> 43:40.300]  one year in the NFL.
[43:40.660 --> 43:42.280]  But he's a big guy,
[43:42.580 --> 43:43.500]  like, all kind of
[43:43.500 --> 43:44.780]  size-wise, and that
[43:45.620 --> 43:46.280]  weight is not
[43:46.280 --> 43:46.600]  accurate.
[43:46.720 --> 43:47.680]  He was, like...
[43:47.680 --> 43:48.680]  The bat looks so
[43:48.680 --> 43:49.980]  little in his hands,
[43:50.120 --> 43:50.320]  too.
[43:50.640 --> 43:51.280]  He was small.
[43:51.360 --> 43:51.800]  In that early
[43:51.800 --> 43:52.480]  career, like, the
[43:52.480 --> 43:53.020]  early run of his
[43:53.020 --> 43:53.540]  career, he was a
[43:53.540 --> 43:54.200]  power hitter, but,
[43:54.320 --> 43:55.400]  like, he was not
[43:55.400 --> 43:55.680]  big.
[43:55.960 --> 43:56.100]  Yeah.
[43:56.520 --> 43:57.340]  Man, I'm so excited
[43:57.340 --> 43:58.040]  for you to look up
[43:58.040 --> 43:59.060]  what you might get
[43:59.060 --> 43:59.420]  for that.
[43:59.540 --> 43:59.860]  The value?
[44:00.020 --> 44:00.280]  Yeah.
[44:00.720 --> 44:01.420]  And it's funny,
[44:01.500 --> 44:02.360]  because that was
[44:02.360 --> 44:03.200]  one of the...
[44:03.200 --> 44:04.040]  When I was a kid
