[00:10.280 --> 00:11.010]  Geoff, go!
[51:00.480 --> 51:02.080]  Uh, yeah, but man, there's no...
[51:02.080 --> 51:05.000]  I don't think I'm going to see a go-kart or a wheelchair.
[51:05.520 --> 51:07.820]  If a beach goth trips, I'm set.
[51:08.200 --> 51:09.220]  We've seen a beach goth.
[51:09.220 --> 51:10.480]  Yeah, we've seen a beach goth.
[51:10.520 --> 51:11.660]  We've seen a beach...
[51:12.380 --> 51:12.740]  BINGO!
[51:14.260 --> 51:16.400]  I mean, Andrew, we already did that.
[51:16.640 --> 51:18.480]  What do you mean?
[51:18.900 --> 51:20.380]  Does that not count?
[51:20.620 --> 51:22.240]  Yeah, we're playing blackout.
[51:22.320 --> 51:24.560]  We can celebrate our bingos.
[51:24.860 --> 51:25.780]  Yeah, no, absolutely.
[51:26.480 --> 51:28.580]  It's just that I won your cake.
[51:29.100 --> 51:30.160]  Oh, drop something from that.
[51:30.720 --> 51:32.340]  One can! Roll out!
[51:32.640 --> 51:34.780]  Drop it, litterbug. Come on.
[51:35.040 --> 51:36.720]  He had a great tie job on that.
[51:37.100 --> 51:42.180]  It's so frustrating how it works, too, because the next time we play, you're going to see people drop shit constantly.
[51:42.180 --> 51:42.660]  Oh, yeah.
[51:42.660 --> 51:45.080]  Dude, the next time I watch this video, I'm going to see it.
[51:49.800 --> 51:52.980]  My favorite part is the audience members that are watching this screaming at all.
[51:52.980 --> 51:53.260]  Oh, yeah.
[51:54.020 --> 51:57.020]  Like, how could you be so stupid?
[52:01.680 --> 52:03.840]  I had a nickel for every time I heard that.
[52:08.820 --> 52:10.400]  Hey, take those dogs home.
[52:10.860 --> 52:11.480]  They're tired.
[52:11.480 --> 52:12.320]  Too late for dogs.
[52:12.360 --> 52:12.760]  They're tired.
[52:12.840 --> 52:15.080]  They don't want to be walking around this hard-ass street at night.
[52:15.120 --> 52:16.160]  They got paws.
[52:19.560 --> 52:19.920]  Goddamn.
[52:20.080 --> 52:22.000]  Dude, let's have fully loaded convertibles.
[52:22.180 --> 52:22.800]  Yeah, no kidding.
[52:22.880 --> 52:24.240]  I don't know why everyone...
[52:24.240 --> 52:25.040]  Is that FaceTime?
[52:26.380 --> 52:27.880]  No, it's just Instagram.
[52:28.620 --> 52:29.860]  We got FaceTime earlier.
[52:30.060 --> 52:30.600]  Might be Instagram.
[52:30.780 --> 52:31.500]  We did?
[52:31.760 --> 52:32.460]  I did.
[52:33.640 --> 52:33.820]  Bingo.
[52:33.820 --> 52:34.820]  Is that not the one at the top?
[52:35.080 --> 52:36.240]  Oh, there you go, buddy.
[52:36.520 --> 52:36.860]  Good job, man.
[52:36.860 --> 52:38.100]  I'm at 17 now, too.
[52:39.860 --> 52:40.580]  Oh, cupcake.
[52:41.160 --> 52:44.260]  I have a cover band thing, so I'm never going to clear my cart.
[52:44.400 --> 52:46.200]  Yeah, have you got a cover band playing Green Day?
[52:46.840 --> 52:49.800]  You know, I might have to pull... we might pull the cover band out.
[52:50.060 --> 52:51.680]  Because they also had to remove the camera.
[52:52.580 --> 52:53.680]  That's a real niche one.
[52:54.060 --> 52:54.320]  Yeah.
[52:54.680 --> 52:58.460]  It just used to be, like, every five minutes they were playing Green Day.
[53:01.420 --> 53:02.060]  Come on, crosswalk.
[53:02.100 --> 53:02.340]  Nope.
[53:02.760 --> 53:03.880]  Oh, he was confident.
[53:04.260 --> 53:05.000]  What a stride.
[53:05.480 --> 53:06.340]  Zero pause.
[53:07.040 --> 53:07.920]  That dude doesn't fuck around.
[53:08.100 --> 53:08.660]  No fear.
[53:09.140 --> 53:09.920]  Oh, what's on the shirt?
[53:09.920 --> 53:11.400]  No one barefoot.
[53:11.560 --> 53:12.540]  Can't believe it.
[53:13.120 --> 53:15.000]  Yeah, some lady will take her shoes off.
[53:15.380 --> 53:16.540]  Boats and hoes.
[53:19.460 --> 53:22.220]  I mean, these aren't matching outfits, but they almost are.
[53:22.580 --> 53:25.340]  That dude on the left is a little toasty.
[53:25.580 --> 53:26.140]  He's having fun.
[53:26.260 --> 53:26.800]  He's having fun.
[53:27.180 --> 53:29.800]  I can't believe no one tripped all night.
[53:29.860 --> 53:31.360]  That's what Key West is all about.
[53:31.980 --> 53:33.240]  Oh, double fisting.
[53:35.740 --> 53:37.460]  Once you see it once, you keep seeing it.
[53:37.960 --> 53:38.220]  Yeah.
[53:42.340 --> 53:47.580]  You know, we've been, Eric, we've been going through the Stern catalog, Emily and I, and showing it to her.
[53:47.620 --> 53:48.660]  The bucket hat's stupid.
[53:51.500 --> 53:54.160]  Socks and sandals should be something, because that's fucking dumb, too.
[53:54.980 --> 54:01.580]  And we've got her... I just explained, just showed Emily, the Scores Man is about partying and having fun.
[54:02.360 --> 54:03.240]  Oh, hell yeah.
[54:03.380 --> 54:05.120]  That's become, like, the phrase around the house.
[54:05.380 --> 54:08.260]  What does he say? I'm about meeting guys. I'm about meeting girls.
[54:08.480 --> 54:09.520]  I'm about meeting girls. I'm about meeting guys.
[54:11.180 --> 54:12.240]  The Scores Man.
[54:12.660 --> 54:14.340]  The best. The best.
[54:15.120 --> 54:17.440]  We only have a few minutes left.
[54:17.880 --> 54:19.560]  Is there anything we want to plug out?
[54:19.800 --> 54:22.100]  You gotta listen to the regular podcast.
[54:22.440 --> 54:24.520]  We have 150 something episodes of...
[54:25.900 --> 54:28.720]  I mean, we're in our nickname era right now, I would say.
[54:29.100 --> 54:31.680]  We did two episodes yesterday, and one of them was weird.
[54:32.340 --> 54:34.780]  Yeah, I was about to say, can we plug... what did we do yesterday?
[54:34.920 --> 54:37.340]  We did 158 and 159?
[54:37.560 --> 54:37.720]  Yeah.
[54:37.720 --> 54:41.960]  Man, 159 is fucking out there.
[54:42.940 --> 54:47.440]  I mean, I don't want to give anything away, but, I mean, we learn a lot about Snoopy.
[54:48.220 --> 54:49.380]  God damn, dude.
[54:49.860 --> 54:50.540]  That's what happens.
[54:51.640 --> 54:51.840]  Yeah.
[54:55.320 --> 54:57.400]  Okay. Yeah, it's weird.
[54:57.860 --> 54:59.600]  And about what people wear in Canada.
[55:01.780 --> 55:03.860]  To me, that's what started it.
[55:03.860 --> 55:05.180]  That is what started it.
[55:05.320 --> 55:10.360]  It's the worst question, and it's just like, is this a topic of conversation?
[55:10.700 --> 55:11.860]  Well, there's a worst question.
[55:11.880 --> 55:13.540]  But apparently not the worst question.
[55:15.920 --> 55:19.260]  But yeah, that moment was the iceberg to that episode.
[55:22.660 --> 55:24.060]  We were just the Titanic.
[55:24.840 --> 55:27.080]  It was so fucked.
[55:28.900 --> 55:30.960]  This has been a lot of fun.
[55:31.360 --> 55:32.860]  Yeah, it has been a lot of fun.
[55:32.860 --> 55:35.200]  I can't wait to eat a whole cake. I'm very thrilled.
[55:35.320 --> 55:36.680]  Two guys on a scooter again, I think.
[55:37.320 --> 55:39.160]  Can you eat that whole cake in one sitting?
[55:39.500 --> 55:40.900]  No, no, no, no, no.
[55:40.920 --> 55:41.980]  That'd be fun to try, though.
[55:42.200 --> 55:43.440]  I would love to try.
[55:43.660 --> 55:45.260]  That's a dead parrot head right there.
[55:45.260 --> 55:48.140]  And he's got steel hat.
[55:48.520 --> 55:49.980]  That's a golden snitch, man.
[55:50.560 --> 55:52.240]  That's a late game nothing, though.
[55:52.340 --> 55:53.580]  That's like an empty snitch.
[55:54.400 --> 55:56.380]  Yeah, we got all that shit.
[55:57.780 --> 55:59.120]  Anything else we want to plug?
[55:59.320 --> 56:04.860]  Anything else we want to say before we kick it over to the A.H. Halo playing?
[56:06.800 --> 56:07.000]  No.
[56:07.900 --> 56:08.860]  Thank you.
[56:11.840 --> 56:15.000]  Welcome to Rooster Teeth, where we have the gift of gab.
[56:15.460 --> 56:16.760]  Thank you so much.
[56:17.240 --> 56:18.040]  Hey, you know what?
[56:18.140 --> 56:19.180]  I got something for you.
[56:20.620 --> 56:22.220]  What was the guy's name?
[56:22.300 --> 56:23.640]  Gherky T that made this?
[56:23.640 --> 56:24.220]  What?
[56:26.260 --> 56:27.020]  Gooby Con?
[56:27.900 --> 56:29.180]  I'm sorry, hang on.
[56:29.380 --> 56:30.740]  He made this thing.
[56:31.140 --> 56:33.480]  We're like, oh, this is going to be the official thing.
[56:33.520 --> 56:35.280]  He is so excited. He's a big fan.
[56:35.520 --> 56:37.240]  And you said, what's his name?
[56:37.660 --> 56:38.500]  Gherky T?
[56:38.860 --> 56:40.680]  I was close. Gooby Con.
[56:41.100 --> 56:42.820]  No, Geoff was just giving him his nickname.
[56:44.600 --> 56:45.760]  Gherky T, congratulations.
[56:47.000 --> 56:47.580]  Nickname era.
[56:47.760 --> 56:48.920]  You've been christened.
[56:48.960 --> 56:49.780]  Yeah, you're in the nickname era.
[56:49.780 --> 56:51.980]  You didn't pick your nickname.
[56:52.100 --> 56:53.280]  Much like Gooch Pooch.
[56:53.580 --> 56:54.720]  You didn't pick your nickname.
[56:54.880 --> 56:57.740]  Please don't call Eric Gooch Pooch.
[56:58.020 --> 56:59.820]  Or the Gooch, or the Goocher.
[57:00.020 --> 57:01.120]  Or Gooch Dog.
[57:01.940 --> 57:03.580]  Just call him Big Dog.
[57:04.280 --> 57:06.060]  I've blocked and unblocked
[57:06.060 --> 57:07.980]  so many people in the last few days.
[57:08.200 --> 57:09.220]  My point being,
[57:09.720 --> 57:12.020]  now that
[57:12.020 --> 57:14.120]  Gherky T has released this into the world,
[57:15.160 --> 57:16.160]  you can play this
[57:16.160 --> 57:16.840]  whenever you want.
[57:17.360 --> 57:18.140]  Bookmark the
[57:18.960 --> 57:21.200]  bingo generator and feel free to play along.
[57:21.320 --> 57:22.320]  You can play it in the daytime.
[57:22.480 --> 57:24.340]  I've played it in the daytime. It's not as entertaining,
[57:24.500 --> 57:26.360]  but it's still playable and it is still fun.
[57:27.020 --> 57:28.600]  I think he's dancing his little dick off.
[57:28.680 --> 57:29.660]  Just so you guys know,
[57:29.880 --> 57:32.620]  I just got a message that a computer froze
[57:32.620 --> 57:34.680]  and they asked us to vamp for another five minutes.
[57:34.860 --> 57:35.800]  Not a problem.
[57:37.700 --> 57:39.160]  Dancing his ass off.
[57:39.440 --> 57:40.420]  Hey, Andrew?
[57:40.920 --> 57:41.300]  Yes?
[57:41.500 --> 57:44.100]  What the fuck did you post in the Slack channel?
[57:44.100 --> 57:45.860]  So, I posted
[57:45.860 --> 57:47.740]  in case I won,
[57:47.960 --> 57:50.000]  I wanted to show what my bingo card was
[57:50.000 --> 57:52.220]  ahead of time, so I posted it, but then I lost
[57:52.220 --> 57:54.060]  my card, so then I had to
[57:55.360 --> 57:56.240]  post it in
[57:56.240 --> 57:57.720]  Messenger to make adjustments
[57:57.720 --> 57:58.640]  to it.
[57:58.900 --> 58:01.580]  It is fucked.
[58:02.200 --> 58:03.220]  It's so bad.
[58:03.460 --> 58:04.420]  It's so fucked.
[58:05.580 --> 58:07.880]  You can't tell if he got anything or not.
[58:08.180 --> 58:09.740]  The thing about what Gherky T made
[58:09.740 --> 58:12.100]  on the site is that you can just tap on it.
[58:12.100 --> 58:13.580]  It's great.
[58:15.200 --> 58:15.980]  The problem is
[58:15.980 --> 58:16.820]  I really like my card.
[58:17.020 --> 58:18.880]  G-U-V-K-O-N on Twitter.
[58:19.800 --> 58:20.760]  Yeah, GoovyCon.
[58:21.060 --> 58:23.280]  Yeah, just knows.
[58:23.760 --> 58:25.200]  His nickname is Gherky T.
[58:25.500 --> 58:27.860]  Gherky T. Oh, man.
[58:29.020 --> 58:29.560]  Nickname error.
[58:29.600 --> 58:32.160]  Dude, do you know how many people have an official f*** face nickname?
[58:32.340 --> 58:33.100]  Oh, hold on a second.
[58:33.520 --> 58:34.480]  Nick, are you here with the button?
[58:35.440 --> 58:36.240]  Ready, set.
[58:36.860 --> 58:38.840]  Do you know how many people have an official...
[58:40.580 --> 58:41.780]  It's so bad.
[58:42.060 --> 58:43.140]  It is every time.
[58:43.180 --> 58:43.620]  I know.
[58:44.940 --> 58:46.280]  Not that many.
[58:46.520 --> 58:51.000]  Do you know how many people have an official f*** face nickname?
[58:52.680 --> 58:54.960]  Nickname? Us and Gherky T.
[58:55.100 --> 58:55.560]  That's it.
[58:56.760 --> 58:57.640]  Oh, man.
[58:58.580 --> 58:59.640]  Gherky T.
[59:00.320 --> 59:02.980]  I think GoovyCon is way better than Gherky T.
[59:03.140 --> 59:03.960]  Oh, absolutely.
[59:04.920 --> 59:07.020]  I'm sure Eric thinks Eric is better
[59:07.020 --> 59:09.300]  than f***ing GoochBooch, but he's still GoochBooch.
[59:09.400 --> 59:10.600]  Not really, though.
[59:10.680 --> 59:11.640]  Call him BigDog.
[59:13.120 --> 59:14.100]  GoochBooch rules, though.
[59:16.180 --> 59:17.540]  Is that a dumb hat?
[59:17.980 --> 59:19.120]  Or is that just a headband?
[59:19.480 --> 59:20.580]  Can a headband be a dumb hat?
[59:20.980 --> 59:21.900]  I don't know.
[59:22.300 --> 59:23.520]  I don't think a headband is a hat.
[59:24.640 --> 59:26.420]  Is that guy on the scooter barefoot?
[59:26.480 --> 59:26.960]  I can't tell.
[59:28.500 --> 59:30.220]  I think I just want it too bad.
[59:30.400 --> 59:31.560]  I mean, he just doesn't have a shirt on.
[59:31.940 --> 59:32.920]  He's wearing boots.
[59:33.720 --> 59:34.160]  Damn.
[59:34.540 --> 59:35.540]  No, he's not.
[59:36.580 --> 59:38.660]  I'm definitely getting confirmation that the bleeps
[59:38.660 --> 59:39.880]  are not being heard by the audience.
[59:41.860 --> 59:42.640]  Don't worry.
[59:42.800 --> 59:43.900]  That's just for the live feed.
[59:44.160 --> 59:47.500]  In the VOD you watch later,
[59:47.600 --> 59:48.380]  they'll be there, I'm sure.
[59:48.600 --> 59:50.540]  Yeah, the bleeps will be everywhere for no reason.
[59:51.460 --> 59:52.160]  Oh, my God.
[59:52.280 --> 59:54.420]  You'll hear how f***ing terrible those bleeps were.
[59:54.580 --> 59:55.500]  So funny.
[59:55.720 --> 59:56.780]  It's so funny.
[59:57.820 --> 59:58.620]  It's the best.
[59:58.620 --> 59:59.400]  Ugh.
[01:00:00.360 --> 01:00:02.620]  Again, we're just vamping until the computer
[01:00:02.620 --> 01:00:04.560]  comes back, but this is...
[01:00:04.560 --> 01:00:06.620]  Oh! I thought she was going to
[01:00:06.620 --> 01:00:07.940]  see the camera. Never mind.
[01:00:08.260 --> 01:00:10.000]  I thought she was going to see the camera and then get shy.
[01:00:10.280 --> 01:00:11.540]  That's what I thought was going to happen.
[01:00:11.820 --> 01:00:12.960]  Trip, trip, trip, trip.
[01:00:14.140 --> 01:00:14.980]  Somebody lit her.
[01:00:16.220 --> 01:00:18.060]  I'm getting separated at the crosswalk.
[01:00:18.780 --> 01:00:19.580]  Zero cowardly.
[01:00:20.140 --> 01:00:21.420]  That car was fast.
[01:00:22.640 --> 01:00:23.760]  Some people aren't safe.
[01:00:24.580 --> 01:00:24.960]  Oh, yeah?
[01:00:25.920 --> 01:00:26.880]  We're watching
[01:00:26.880 --> 01:00:27.480]  this.
[01:00:29.400 --> 01:00:30.580]  From the safe
[01:00:30.580 --> 01:00:32.040]  to our own homes.
[01:00:32.220 --> 01:00:34.940]  Oh, that's
[01:00:34.940 --> 01:00:35.420]  so funny.
[01:00:36.460 --> 01:00:37.480]  Skateboard! Skateboard!
[01:00:37.680 --> 01:00:38.000]  Oh, my God.
[01:00:38.780 --> 01:00:42.960]  Ah, f***. Are you serious, Nick?
[01:00:43.380 --> 01:00:43.780]  Cupcake?
[01:00:44.220 --> 01:00:45.160]  That gives you 18.
[01:00:48.540 --> 01:00:49.720]  Just in time.
[01:00:50.700 --> 01:00:52.740]  That guy's got a Let's Go Brandon shirt on.
[01:00:52.740 --> 01:00:53.320]  That's cool.
[01:00:53.500 --> 01:00:55.240]  Was he double fisting phones?
[01:00:58.500 --> 01:00:59.820]  One for work, one for pleasure.
[01:01:01.220 --> 01:01:06.360]  Oh, look at that.
[01:01:06.420 --> 01:01:09.500]  What the hell is going on in that SUV back there?
[01:01:09.640 --> 01:01:11.520]  Maybe ugly decals should be
[01:01:12.000 --> 01:01:12.280]  on the wall.
[01:01:12.520 --> 01:01:14.320]  They seem to be cropping up a lot tonight.
[01:01:14.560 --> 01:01:16.340]  It's interesting to see the trends.
[01:01:16.520 --> 01:01:17.800]  What's hot in Key West right now?
[01:01:18.560 --> 01:01:20.600]  Ground effects on cars and ugly...
[01:01:20.600 --> 01:01:22.320]  I like that it causes our game of bingo
[01:01:22.320 --> 01:01:23.540]  to be ever-evolving.
[01:01:23.880 --> 01:01:28.880]  Ever-evolving?
[01:01:29.380 --> 01:01:30.220]  Oh, my God.
[01:01:33.560 --> 01:01:34.140]  That guy's got a
[01:01:34.140 --> 01:01:35.220]  Burberry shirt on.
[01:01:36.380 --> 01:01:37.840]  It just says it.
[01:01:37.960 --> 01:01:39.420]  Dogs! Dogs.
[01:01:39.840 --> 01:01:41.780]  Come on, man. Those dogs are tired.
[01:01:42.160 --> 01:01:43.480]  Look how late it is.
[01:01:44.340 --> 01:01:45.200]  Who's that for?
[01:01:45.440 --> 01:01:47.300]  That's not for the dogs. That's for you.
[01:01:47.500 --> 01:01:49.500]  And guess what? Nobody cares that you have dogs.
[01:01:49.500 --> 01:01:51.540]  Yeah, in fact, we're mad at you.
[01:01:51.720 --> 01:01:52.920]  That's not something to brag about.
[01:01:53.220 --> 01:01:56.000]  Can I ask the chat? Did anyone in chat see a mullet tonight?
[01:01:56.300 --> 01:01:56.840]  Let me know.
[01:01:57.940 --> 01:01:58.760]  Thanks for your help.
[01:02:00.220 --> 01:02:01.620]  I heard that people are debating
[01:02:01.620 --> 01:02:03.620]  on if they're comment leavers if they were in the chat.
[01:02:03.760 --> 01:02:05.740]  I don't know, like, what kind of world
[01:02:05.740 --> 01:02:07.460]  are you living in where you think you're not?
[01:02:07.700 --> 01:02:09.120]  Well, only if you typed in the chat.
[01:02:09.200 --> 01:02:10.200]  If you're reading the chat, you don't.
[01:02:10.200 --> 01:02:12.380]  Well, I mean, if they're asking the question, they type in the chat.
[01:02:12.800 --> 01:02:15.200]  Hey, am I a comment leaver? Hey, are you fucking kidding?
[01:02:18.870 --> 01:02:19.270]  Like,
[01:02:19.350 --> 01:02:20.530]  come on.
[01:02:21.710 --> 01:02:23.390]  Well, her pants are two different
[01:02:23.390 --> 01:02:24.250]  kinds of pants.
[01:02:24.430 --> 01:02:26.730]  Oh, dude, we missed multiple mullets, apparently.
[01:02:27.330 --> 01:02:27.730]  Really?
[01:02:28.450 --> 01:02:29.970]  Yeah, but you don't know that.
[01:02:30.150 --> 01:02:32.790]  Sometimes people think
[01:02:32.790 --> 01:02:34.590]  we'll call long hair a mullet.
[01:02:34.950 --> 01:02:37.330]  Gavin, are you going to trust the audience?
[01:02:37.830 --> 01:02:38.530]  I think I do.
[01:02:38.650 --> 01:02:39.790]  I think I do on the mullet front.
[01:02:40.430 --> 01:02:41.830]  Because a mullet...
[01:02:41.830 --> 01:02:42.770]  Well...
[01:02:45.010 --> 01:02:47.330]  To not see a crosswalk coward
[01:02:47.330 --> 01:02:50.150]  is truly like a dagger in my heart.
[01:02:50.170 --> 01:02:51.370]  Yeah. Thanks, chat.
[01:02:55.600 --> 01:02:56.200]  Man.
[01:02:56.840 --> 01:02:58.060]  I'm really amazed
[01:02:58.060 --> 01:02:59.320]  we didn't see the ghost tour bus.
[01:02:59.500 --> 01:03:00.900]  What happened?
[01:03:01.420 --> 01:03:04.560]  Like, I guarantee you
[01:03:04.560 --> 01:03:06.360]  this street is on the
[01:03:06.360 --> 01:03:08.340]  part of the tour and it runs till midnight
[01:03:08.340 --> 01:03:08.880]  probably.
[01:03:10.720 --> 01:03:11.320]  Man.
[01:03:11.320 --> 01:03:13.720]  Maybe inflation
[01:03:13.720 --> 01:03:15.880]  has killed the ghost hunting market.
[01:03:16.720 --> 01:03:17.480]  Maybe people just
[01:03:17.480 --> 01:03:19.240]  aren't doing tours of dead people.
[01:03:20.160 --> 01:03:21.600]  But they are! We saw it earlier
[01:03:21.600 --> 01:03:22.600]  before we started.
[01:03:23.320 --> 01:03:25.420]  Maybe they have to cut it short. Maybe they can't
[01:03:25.420 --> 01:03:25.900]  fill enough.
[01:03:27.100 --> 01:03:29.340]  I don't know. I'm just trying to make excuses for where they are.
[01:03:31.340 --> 01:03:32.500]  For the ghost tour.
[01:03:32.860 --> 01:03:34.840]  I don't like that that lady's pants are two different colors.
[01:03:35.320 --> 01:03:37.000]  Oh, wow.
[01:03:37.040 --> 01:03:37.520]  Very weird.
[01:03:38.480 --> 01:03:39.360]  Not a fan.
[01:03:39.380 --> 01:03:41.620]  Well, that lady came out of the fucking bar fast.
[01:03:42.320 --> 01:03:43.120]  Jesus Christ.
[01:03:43.500 --> 01:03:45.100]  I've never seen any...
[01:03:45.100 --> 01:03:47.080]  Oh, they're not well.
[01:03:47.280 --> 01:03:48.500]  They're fine.
[01:03:51.160 --> 01:03:52.160]  That's not a good sign.
[01:03:53.520 --> 01:03:55.280]  I was about to say, I've never seen anybody
[01:03:55.280 --> 01:03:57.520]  hoof it and still be walking, but she definitely...
[01:03:58.240 --> 01:03:59.220]  Pointing is fine,
[01:03:59.400 --> 01:04:01.540]  but when someone's walking towards you fast
[01:04:01.540 --> 01:04:02.700]  and pointing, it's never good.
[01:04:03.680 --> 01:04:04.680]  That's a bad combo.
[01:04:04.680 --> 01:04:06.100]  That's a bad combo.
[01:04:07.380 --> 01:04:08.680]  Crosswalk coward. Come on, get...
[01:04:09.220 --> 01:04:09.780]  Get nervous.
[01:04:10.700 --> 01:04:11.220]  Fall.
[01:04:13.480 --> 01:04:14.880]  A dude accepted his fate.
[01:04:18.460 --> 01:04:19.800]  That looks like a luxury car.
[01:04:20.660 --> 01:04:21.200]  Yeah, that is.
[01:04:24.180 --> 01:04:26.340]  Something I would take if I was playing GTA.
[01:04:26.600 --> 01:04:27.060]  I'd go for that.
[01:04:29.660 --> 01:04:30.180]  Budapest.
[01:04:30.860 --> 01:04:30.960]  What?
[01:04:31.700 --> 01:04:33.560]  She looks hungry, I guess.
[01:04:34.920 --> 01:04:35.520]  Gavin and I
[01:04:35.520 --> 01:04:37.640]  have been to Budapest together. Lovely city.
[01:04:37.900 --> 01:04:38.200]  Oh, yeah?
[01:04:39.720 --> 01:04:41.460]  Did you get a shirt
[01:04:41.460 --> 01:04:43.280]  that says Buda-fucking-pest?
[01:04:43.400 --> 01:04:44.240]  They give them out at the airport.
[01:04:44.940 --> 01:04:47.040]  We saw a little statue of Columba.
[01:04:48.140 --> 01:04:48.840]  They don't
[01:04:49.420 --> 01:04:51.700]  give them out at the airport, but when you do get to the airport,
[01:04:51.840 --> 01:04:53.780]  they tell you to follow the colored line
[01:04:53.780 --> 01:04:55.560]  on the ground and not to step off it
[01:04:55.560 --> 01:04:56.660]  or you may be robbed.
[01:04:57.480 --> 01:04:57.840]  Whoa!
[01:04:58.740 --> 01:04:59.620]  Do you remember that, Gavin?
[01:04:59.620 --> 01:05:00.500]  No.
[01:05:01.160 --> 01:05:02.380]  They were like,
[01:05:02.720 --> 01:05:05.360]  there was a green line, follow it out to the cab,
[01:05:05.460 --> 01:05:07.400]  don't get off of it, and don't talk to anybody else.
[01:05:07.480 --> 01:05:08.600]  They're just trying to rob you.
[01:05:11.620 --> 01:05:13.640]  I'm just picturing a shielded line.
[01:05:15.020 --> 01:05:15.820]  It was wild.
[01:05:16.480 --> 01:05:17.360]  That's crazy.
[01:05:18.080 --> 01:05:19.820]  There's people hugging in the street
[01:05:19.820 --> 01:05:20.560]  at the top right.
[01:05:20.860 --> 01:05:22.280]  Yeah, do it in the corner, man.
[01:05:23.380 --> 01:05:24.380]  That's so unsafe.
[01:05:24.900 --> 01:05:27.420]  I will also say that I'm very surprised
[01:05:27.420 --> 01:05:28.140]  that no
[01:05:29.000 --> 01:05:30.900]  bleep face fans came and
[01:05:31.260 --> 01:05:31.820]  checked it out.
[01:05:32.940 --> 01:05:35.040]  They were too busy at home playing.
[01:05:36.160 --> 01:05:36.840]  Hey Geoff,
[01:05:39.300 --> 01:05:40.520]  I think we're ready
[01:05:40.520 --> 01:05:41.960]  to kick it on over.
[01:05:42.160 --> 01:05:42.860]  I think we're good now.
[01:05:43.840 --> 01:05:45.320]  Anything you want to say to wrap up?
[01:05:45.640 --> 01:05:47.380]  Yeah, let's just do our final counts here.
[01:05:47.760 --> 01:05:49.320]  I have 4, 5, 6, 7, 8,
[01:05:49.360 --> 01:05:51.300]  9, 10, 11, 12, 13, 14, 15, 16,
[01:05:51.320 --> 01:05:52.720]  17 is my final score.
[01:05:53.860 --> 01:05:54.680]  13 for me.
[01:05:56.360 --> 01:05:56.860]  Alright,
[01:05:57.240 --> 01:05:58.920]  Eric wins the cake.
[01:05:58.980 --> 01:06:00.920]  I believe you're getting
[01:06:00.920 --> 01:06:01.640]  cookie puss.
[01:06:01.860 --> 01:06:04.500]  Nick, you get a cupcake of your choice.
[01:06:05.840 --> 01:06:06.880]  Eric, congratulations
[01:06:06.880 --> 01:06:08.680]  on winning. The ultimate reward is
[01:06:08.680 --> 01:06:10.160]  that you now have to buy your own cake.
[01:06:10.260 --> 01:06:12.680]  Because you are
[01:06:12.680 --> 01:06:14.380]  the producer, so go ahead and produce yourself
[01:06:14.380 --> 01:06:15.240]  a cake.
[01:06:17.420 --> 01:06:18.660]  And if you
[01:06:18.660 --> 01:06:20.900]  liked Sloppy Joe Bingo
[01:06:20.900 --> 01:06:22.660]  on a Friday night, let us know.
[01:06:22.660 --> 01:06:24.380]  Oh, those people are having pizza.
[01:06:24.860 --> 01:06:25.240]  Drop a slice.
[01:06:26.860 --> 01:06:28.500]  I was thinking of it so hard.
[01:06:28.560 --> 01:06:29.640]  I wanted to see it so bad.
[01:06:30.520 --> 01:06:32.500]  You know that's some greasy-filled
[01:06:32.500 --> 01:06:35.060]  flimsy paper plates there.
[01:06:35.240 --> 01:06:36.580]  I just learned that I definitely
[01:06:36.580 --> 01:06:38.240]  don't have telekinesis.
[01:06:40.440 --> 01:06:42.180]  Anyway, if you enjoyed
[01:06:42.180 --> 01:06:44.300]  this, maybe go ahead and give
[01:06:44.300 --> 01:06:46.660]  Face a shot.
[01:06:49.220 --> 01:06:50.920]  We've got 159 episodes.
[01:06:52.160 --> 01:06:52.640]  We've got 159 episodes.
[01:06:53.100 --> 01:06:53.500]  159.
[01:06:55.920 --> 01:06:58.900]  And if you liked Sloppy Joe Bingo, let us know
[01:06:58.900 --> 01:07:00.540]  and we will play it again.
[01:07:00.740 --> 01:07:02.880]  Also, go ahead and check out those kids from Achievement Hunter.
[01:07:03.220 --> 01:07:04.960]  I hear they're trying Halo for the first time.
[01:07:05.100 --> 01:07:07.600]  And come to RTXAustin.com.
[01:07:07.840 --> 01:07:08.620]  July 7th through 9th.
[01:07:08.680 --> 01:07:09.360]  Come see the museum.
[01:07:10.720 --> 01:07:11.420]  Love you, bye!
[01:07:12.040 --> 01:07:12.440]  Bye!
