[00:05.530 --> 00:07.730]  Hello! It's coming hoooome!
[40:34.540 --> 40:35.340]  Did he become a doorknob?
[40:36.480 --> 40:37.600]  J.J. Reddick.
[40:37.980 --> 40:38.540]  Larry Nantz.
[40:39.020 --> 40:39.740]  Oh, yeah.
[40:40.120 --> 40:42.360]  Reddick in his brief 76er stint.
[40:42.440 --> 40:43.200]  Those long, long...
[40:43.200 --> 40:44.260]  Those are in, like, long shorts.
[40:44.460 --> 40:45.320]  Jonathan Isaac.
[40:46.060 --> 40:46.860]  Faces of the Future, huh?
[40:46.860 --> 40:48.720]  Turns out he wasn't a Face of the Future, but okay.
[40:48.880 --> 40:49.360]  Ronald Baker.
[40:50.140 --> 40:50.780]  Eric Gordon.
[40:51.000 --> 40:55.200]  That was the most looking like they're being sucked off that we've had yet.
[40:56.380 --> 40:56.880]  Which one?
[41:00.400 --> 41:01.140]  That blue one.
[41:01.600 --> 41:03.260]  Oh, that one? He looks like he's being sucked off?
[41:03.440 --> 41:04.580]  Well, more than most.
[41:04.740 --> 41:07.620]  Yeah, he's got the hands up.
[41:07.940 --> 41:09.140]  Can we get the suck-off cam?
[41:09.660 --> 41:11.000]  Yeah, can we go to card cam?
[41:11.240 --> 41:12.000]  Can we get suck-off cam?
[41:13.500 --> 41:14.560]  I see it, I see it.
[41:14.640 --> 41:14.740]  Yeah.
[41:15.780 --> 41:19.940]  Oh, Cody Zeller, one of the two Zeller brothers in the NBA.
[41:20.220 --> 41:22.080]  His brother, Tyler, played for the Celtics for a while.
[41:22.500 --> 41:23.220]  You don't need to know that.
[41:23.320 --> 41:23.500]  Nope.
[41:23.860 --> 41:25.160]  Devin Harris.
[41:26.200 --> 41:26.920]  Kent Bazemore.
[41:26.920 --> 41:31.920]  Dude, what was going on in the NBA in 2017, 2018? Like, nothing? There's like pop-up cards, dude.
[41:31.920 --> 41:31.940]  Yeah, not a lot.
[41:31.940 --> 41:32.660]  This is raw.
[41:33.920 --> 41:35.640]  You got a hot Ivan Raab rookie.
[41:36.020 --> 41:36.920]  Is that Raab himself?
[41:37.140 --> 41:37.620]  Westbrook.
[41:37.700 --> 41:40.540]  Ivan Raab himself. Russell Westbrook.
[41:40.620 --> 41:42.520]  I guess cool. Westbrook.
[41:43.220 --> 41:44.760]  What? Hang on, what is that pose?
[41:45.240 --> 41:47.260]  Okay, that's a pretty good CJ McCollum pose.
[41:48.580 --> 41:50.080]  CJ McCollum's doing the gremlin.
[41:50.460 --> 41:52.580]  Yeah, I like that. Let's save that.
[41:52.880 --> 41:53.220]  Thriller.
[41:54.800 --> 41:57.460]  He's a really good dude. He got kind of fucked over by Brooklyn.
[41:57.560 --> 41:58.900]  So you're excited to open these, huh?
[41:59.020 --> 41:59.180]  Yeah.
[42:00.720 --> 42:01.660]  How much you got left?
[42:01.920 --> 42:04.660]  Oh, I got a lot left. We got 5, 6, 7, 8, 8 or 9.
[42:05.020 --> 42:05.400]  And a bunch.
[42:06.260 --> 42:06.820]  It's 443.
[42:07.180 --> 42:09.700]  Alright, and then we got all the other cards in the world that we'll never get.
[42:09.720 --> 42:10.640]  The time's down there, Eric.
[42:11.040 --> 42:11.820]  Oh, yeah, 444.
[42:12.080 --> 42:12.680]  Oh, I didn't know that.
[42:13.540 --> 42:14.100]  Tim Frazier.
[42:15.040 --> 42:18.000]  We got Omar Asic. I don't think he's in the NBA anymore.
[42:18.160 --> 42:18.780]  No, I don't think so.
[42:18.860 --> 42:21.380]  He used to play for Houston. He got dealt to...
[42:21.380 --> 42:23.200]  He's probably in...
[42:23.200 --> 42:24.420]  Probably EuroLeague.
[42:25.920 --> 42:26.680]  Wade Baldwin.
[42:27.120 --> 42:27.500]  The fourth.
[42:27.800 --> 42:29.940]  The fourth. OG and a newbie. That's a rookie card.
[42:30.040 --> 42:30.200]  Yep.
[42:30.400 --> 42:31.140]  He's doing pretty well.
[42:31.640 --> 42:34.760]  Draymond Green. He's the guy you love him if he's on your team.
[42:34.940 --> 42:37.880]  And if you're the other 29 teams, you can't fucking stand him.
[42:38.280 --> 42:39.260]  Which means he's a good player.
[42:39.880 --> 42:43.740]  Bismack Biambo. Man, that dude had a run with Toronto.
[42:44.080 --> 42:46.720]  And then he had a little bit of heat and went to Orlando and disappeared.
[42:47.800 --> 42:48.600]  Carmelo Anthony.
[42:49.000 --> 42:49.740]  Yeah, baby!
[42:50.140 --> 42:50.660]  Chris Paul.
[42:51.140 --> 42:51.600]  There you go.
[42:51.660 --> 42:52.660]  There you go. CP3.
[42:52.660 --> 42:56.360]  A lot has changed since 2017-2018 with Carmelo Anthony and Chris Paul.
[42:57.220 --> 42:57.860]  A whole lot.
[42:57.980 --> 42:59.340]  Just those two players.
[42:59.860 --> 43:00.840]  They were on the same team briefly.
[43:00.940 --> 43:02.000]  I don't think they ever shared the court.
[43:02.240 --> 43:02.400]  Nope.
[43:03.540 --> 43:05.260]  One of them is going to win an NBA championship.
[43:05.540 --> 43:08.960]  So these are actually probably worth some money now.
[43:09.580 --> 43:11.420]  Oh, that one's definitely...
[43:11.420 --> 43:13.120]  It's probably pretty hot.
[43:13.160 --> 43:13.500]  Definitely.
[43:14.300 --> 43:15.360]  Happy about that one.
[43:15.920 --> 43:18.240]  Wesley Wundu, rookie. Chris Paul again.
[43:18.240 --> 43:19.440]  That's a double. This is the same one.
[43:19.840 --> 43:20.500]  CP3 double.
[43:20.960 --> 43:21.500]  Oh, here we go.
[43:21.500 --> 43:22.180]  Oh, great.
[43:23.080 --> 43:24.280]  Kyrie? Is this Kyrie?
[43:24.660 --> 43:25.360]  Oh, no!
[43:25.860 --> 43:26.680]  Kyrie Irving, wow.
[43:26.720 --> 43:27.000]  No!
[43:27.800 --> 43:28.140]  Yeah.
[43:28.360 --> 43:29.960]  Here he is getting scored on.
[43:31.180 --> 43:33.320]  That guy in the background, that's a huge head.
[43:33.800 --> 43:34.600]  Lance Stevenson.
[43:35.340 --> 43:39.400]  Lance Stevenson, one of the most interesting people in the history of the NBA.
[43:40.040 --> 43:44.080]  Lance Stevenson, famous for blowing in LeBron's ear.
[43:44.520 --> 43:45.620]  Oh, that's that guy!
[43:45.800 --> 43:47.620]  And untying people's shoes.
[43:47.760 --> 43:48.240]  Yeah, yeah.
[43:48.620 --> 43:48.900]  Cool.
[43:49.120 --> 43:50.360]  What would he blow in someone's ear for?
[43:50.360 --> 43:51.680]  To piss them off and be annoying.
[43:52.240 --> 43:53.380]  Could you imagine?
[43:53.640 --> 43:54.640]  He was like the me of the NBA.
[43:54.840 --> 44:00.120]  If you were heated and you're like, I'm ready to go, we're going to play, this is going to be like a battle.
[44:00.260 --> 44:01.360]  And then a guy just went...
[44:02.700 --> 44:04.860]  I'd lose my mind. I don't know what I'd do.
[44:04.960 --> 44:08.200]  That's a great card for people whose head is a basketball.
[44:08.820 --> 44:10.200]  If we're making a pile of them.
[44:13.540 --> 44:14.060]  This one?
[44:14.120 --> 44:15.400]  Yeah, because look at the...
[44:15.400 --> 44:15.520]  Oh!
[44:18.800 --> 44:23.960]  I didn't understand what you were saying at all.
[44:24.000 --> 44:26.520]  That's why it's important that you're here, Gavin. You notice stuff we don't.
[44:26.640 --> 44:27.920]  Oh, here's a...
[44:27.920 --> 44:29.460]  You know, overseeing observations.
[44:29.700 --> 44:33.000]  We've switched from 2017 Hoops to 2017 Giannis.
[44:33.200 --> 44:34.580]  That is a little, little man.
[44:35.120 --> 44:36.180]  Why is he so small?
[44:37.240 --> 44:42.040]  As ISO Joe Johnson, he had about 30 years there. Really interesting years.
[44:42.460 --> 44:44.640]  TJ Leafrookie, boy, do I have a lot of those.
[44:44.640 --> 44:46.160]  I didn't think he was really playing a game.
[44:46.520 --> 44:48.900]  That's the only court time he ever had.
[44:49.180 --> 44:50.660]  Oh, Ante Zizek.
[44:50.800 --> 44:54.440]  Ante Zizek, he... I don't know that he... I think he got traded to...
[44:54.440 --> 44:55.240]  Euro League?
[44:55.960 --> 44:57.100]  G Fuel League or whatever.
[44:58.400 --> 45:01.500]  Oh, all clear for... Look at his face!
[45:02.020 --> 45:03.680]  Look at his stupid ass face!
[45:03.700 --> 45:05.200]  All clear for consultation.
[45:06.260 --> 45:07.100]  Come on, Pickford.
[45:07.340 --> 45:12.020]  Gary Harris, Drew Holliday, MKG again.
[45:12.180 --> 45:12.960]  Come on, Pickford!
[45:12.960 --> 45:15.640]  I like Drew Holliday because he spells his name with a J.
[45:16.300 --> 45:19.480]  His name is Drew. Spelled Drew.
[45:19.820 --> 45:22.320]  Drew Holliday has interesting shoulders.
[45:22.780 --> 45:24.660]  Every time I see Drew Holliday, I think about his shoulders.
[45:25.500 --> 45:25.800]  Boy.
[45:26.440 --> 45:28.100]  They're kind of rounded in a weird way.
[45:29.240 --> 45:30.360]  Tough, tough defense.
[45:30.380 --> 45:31.160]  Gavin, how's that kick going?
[45:31.780 --> 45:33.100]  Italy scored a penalty.
[45:34.840 --> 45:36.400]  You got Hayward?
[45:36.600 --> 45:38.080]  Yeah, he's got a flaw on the card at the bottom.
[45:38.280 --> 45:38.900]  Oh, no.
[45:39.880 --> 45:41.240]  You can, you can see it right there.
[45:41.520 --> 45:42.160]  Throwing the trash.
[45:46.020 --> 45:46.900]  Brooke Lopez.
[45:47.300 --> 45:50.740]  How is this guy still in the NBA?
[45:50.920 --> 45:51.340]  No idea.
[45:51.680 --> 45:52.900]  Still performing very well.
[45:53.120 --> 45:55.460]  The most unassuming dude who makes his team.
[45:57.240 --> 45:58.900]  His brother looks like Sideshow Bob with that hair.
[45:59.240 --> 45:59.600]  Uh-huh.
[45:59.800 --> 46:01.060]  Oh, great, another Kyrie Irving.
[46:01.520 --> 46:01.880]  Yeah, what's up?
[46:02.640 --> 46:05.700]  Oh, Frank Winston Jr., rookie jersey.
[46:06.800 --> 46:07.740]  Wow, cool.
[46:09.000 --> 46:10.020]  Oh, there's a Shaq card.
[46:10.180 --> 46:11.260]  Oh, big Shaq card. Shaq Attack?
[46:11.580 --> 46:12.140]  Shaq Attack.
[46:13.200 --> 46:13.900]  It's right there.
[46:14.260 --> 46:15.260]  It's right here.
[46:15.880 --> 46:16.900]  Back in the box?
[46:17.660 --> 46:18.160]  Well, it's...
[46:18.160 --> 46:18.600]  He's a collector.
[46:18.660 --> 46:21.200]  Markel Fultz, this poor motherfucker, rookie of...
[46:21.720 --> 46:22.880]  Did he get rookie of the year that year?
[46:23.420 --> 46:24.180]  They broke...
[46:24.180 --> 46:24.240]  Fultz?
[46:24.520 --> 46:25.740]  He was drafted first.
[46:26.060 --> 46:30.800]  They fucking broke his shot in Philly, and then he just has been dumped around the league.
[46:30.920 --> 46:32.020]  I don't know if he's fixed it yet.
[46:32.160 --> 46:32.820]  Felt bad for him.
[46:32.940 --> 46:34.760]  Rudy Gobert and Kyle Lowry.
[46:36.920 --> 46:37.720]  2017, 18.
[46:38.260 --> 46:41.160]  He's traded back from Fultz, right, to get the tandem pick?
[46:41.160 --> 46:43.540]  Like, Fultz is key in the tandem chase card.
[46:43.880 --> 46:44.140]  Yeah.
[46:44.180 --> 46:47.420]  The Celtics won the draft that year when Fultz was number one.
[46:48.520 --> 46:49.160]  What's up, Geoff?
[46:49.680 --> 46:50.020]  Safe.
[46:52.120 --> 46:53.320]  That's an excellent point.
[46:53.620 --> 46:54.680]  That's an excellent point, Gavin.
[46:55.120 --> 46:55.560]  Andrew.
[46:56.060 --> 46:57.980]  This is the best time we could have had this.
[46:58.560 --> 46:58.960]  Hey, AD.
[46:59.300 --> 47:00.220]  There's Klay Thompson.
[47:00.800 --> 47:02.860]  He hasn't played basketball in two and a half years.
[47:02.860 --> 47:03.920]  I was gonna say, where's he been?
[47:04.160 --> 47:04.940]  He's rehabbing.
[47:05.320 --> 47:06.560]  He fucking...
[47:06.560 --> 47:06.960]  Did he break his leg?
[47:07.000 --> 47:09.520]  He tore his hamstring or something.
[47:09.520 --> 47:15.940]  And then he was playing a pickup game as he was rehabbing, a year into rehab.
[47:16.300 --> 47:17.520]  And in the pickup game, he tore his ACL.
[47:18.100 --> 47:19.960]  Yeah, so he's not gonna be playing again for a long time.
[47:20.000 --> 47:20.260]  Jesus.
[47:20.500 --> 47:21.240]  This dude...
[47:21.720 --> 47:22.120]  Yeah.
[47:23.300 --> 47:24.020]  Not a huge fan.
[47:24.280 --> 47:25.260]  Al Horford.
[47:26.100 --> 47:27.420]  He's back at the Celtics again.
[47:27.880 --> 47:28.640]  Lucky for him.
[47:29.340 --> 47:32.100]  Sweet Lou Williams, playing for Atlanta right now.
[47:32.760 --> 47:34.100]  Couldn't help him take it all the way.
[47:34.200 --> 47:34.660]  Oh, great.
[47:34.860 --> 47:35.180]  Who's that?
[47:35.260 --> 47:36.560]  Oh, wow, that's cool.
[47:36.660 --> 47:37.280]  Jaylan Brown.
[47:37.540 --> 47:38.680]  I've never seen this card before.
[47:38.680 --> 47:40.380]  Year two card for Jaylan Brown.
[47:40.680 --> 47:41.500]  He's all clear for day one.
[47:41.500 --> 47:42.940]  Wesley Wundu again.
[47:43.140 --> 47:43.780]  JJ Redick again.
[47:44.460 --> 47:45.080]  And Derek White.
[47:45.160 --> 47:46.800]  Probably getting every rookie but the one I want.
[47:46.880 --> 47:47.300]  Yeah, baby.
[47:47.940 --> 47:49.860]  We got this pack and one more pack?
[47:50.100 --> 47:51.000]  And then two more packs.
[47:51.020 --> 47:51.740]  Oh, and then two more packs.
[47:51.740 --> 47:52.580]  Then two more different packs.
[47:52.640 --> 47:54.520]  We got this pack and one more pack and then two different packs.
[47:54.620 --> 47:56.160]  Yeah, we have two packs like this and then a different pack.
[47:56.160 --> 47:56.580]  Uh-oh.
[47:57.780 --> 47:58.220]  $4.50.
[47:58.560 --> 47:59.200]  Okay, $4.50?
[47:59.540 --> 48:00.040]  You better hurry up.
[48:00.340 --> 48:01.800]  All right, Zach Randolph.
[48:02.040 --> 48:03.120]  His nickname was Zeebo.
[48:03.300 --> 48:04.680]  I named my character in...
[48:05.100 --> 48:09.020]  I named my character in the Bigfoot Let's Play series after Zach Randolph.
[48:09.020 --> 48:09.540]  Did you really?
[48:09.840 --> 48:10.500]  That's awesome.
[48:11.080 --> 48:12.160]  I don't know, but I hate him.
[48:12.200 --> 48:13.940]  He's one of my least favorite players in the history of basketball.
[48:14.000 --> 48:14.060]  That's awesome.
[48:14.260 --> 48:15.120]  It wasn't...
[48:15.120 --> 48:16.920]  Yeah, but I like the name Zeebo.
[48:17.160 --> 48:17.680]  So, Frank...
[48:19.860 --> 48:20.460]  I'm open.
[48:21.440 --> 48:22.080]  Kawhi Leonard.
[48:22.320 --> 48:23.160]  Hey, all right.
[48:23.240 --> 48:23.960]  De'Aaron Fox.
[48:23.960 --> 48:24.700]  What it do, baby?
[48:25.360 --> 48:27.180]  The champ is here, Kevin Durant.
[48:27.200 --> 48:27.680]  Yeah, okay.
[48:28.060 --> 48:28.460]  Whatever.
[48:29.020 --> 48:30.260]  Blake Griffin, Chris Dunn.
[48:30.680 --> 48:31.500]  Let's see the...
[48:31.500 --> 48:32.920]  Blake Griffin went any good or no?
[48:33.240 --> 48:33.560]  Nah.
[48:33.560 --> 48:36.520]  It's back when he stole a clipper back when he was pretty broken.
[48:37.680 --> 48:38.840]  All right, here we go.
[48:38.940 --> 48:39.640]  Kevin, how's it looking?
[48:40.340 --> 48:40.900]  Is it coming home?
[48:41.900 --> 48:42.760]  Is it already home?
[48:43.000 --> 48:43.660]  No, it's not home.
[48:43.860 --> 48:44.280]  Where is it?
[48:44.300 --> 48:46.180]  Let's not even be talking about whether or not it's coming home.
[48:46.340 --> 48:47.960]  Let's not say anything, all right?
[48:49.120 --> 48:50.280]  Let's not make any predictions.
[48:50.620 --> 48:51.360]  Who's predicting?
[48:52.620 --> 48:54.460]  If we were going to make a prediction, who would we predict?
[48:54.940 --> 48:57.360]  That's one saved for England still.
[48:58.240 --> 48:58.960]  Rodney Hood.
[48:59.200 --> 49:00.200]  This will make it 3-2.
[49:00.260 --> 49:01.060]  Luke Kinnard.
[49:01.140 --> 49:02.740]  Wow, he looks dumb as hell.
[49:03.700 --> 49:08.040]  Luke Kinnard looks like he doesn't understand what he's doing or where he is.
[49:08.240 --> 49:12.040]  He also looks like he was like, I am way too pale.
[49:12.200 --> 49:13.760]  I need to go get a tan before I get a photo.
[49:13.980 --> 49:15.560]  And he went and he's like, blast me.
[49:15.660 --> 49:16.280]  Oh, baby.
[49:16.700 --> 49:17.540]  That's cool.
[49:18.180 --> 49:18.800]  John Wall.
[49:18.880 --> 49:20.920]  I like those jerseys.
[49:21.140 --> 49:22.220]  The Washington jerseys.
[49:22.300 --> 49:22.680]  No!
[49:25.540 --> 49:27.020]  Don't talk about it.
[49:27.120 --> 49:28.220]  Don't predict anything.
[49:28.240 --> 49:30.680]  He was pissing about and then he hit the post.
[49:31.040 --> 49:32.780]  He was pissing about and he hit the post.
[49:32.940 --> 49:33.920]  Rookie jersey.
[49:34.460 --> 49:34.980]  Bam, bam.
[49:35.380 --> 49:35.740]  Autobio.
[49:36.080 --> 49:36.640]  That's a hit.
[49:36.900 --> 49:37.400]  That's a good one.
[49:37.920 --> 49:39.160]  Oh, another one, baby.
[49:39.860 --> 49:42.240]  They can't give you enough Alonzo Ball rookies.
[49:42.420 --> 49:44.300]  God damn it, these Alonzo Ball rookies.
[49:44.420 --> 49:45.320]  Cool, J.J. Barea.
[49:46.220 --> 49:47.000]  That's what I wanted.
[49:48.660 --> 49:50.480]  So that was your last chance to get what you wanted, huh?
[49:50.640 --> 49:51.540]  Wait, wait, wait.
[49:51.720 --> 49:52.200]  Show this.
[49:52.460 --> 49:53.220]  What is this?
[49:53.240 --> 49:54.100]  It's a fat pack.
[49:54.300 --> 49:54.820]  Jumbo pack.
[49:54.860 --> 49:55.780]  What is a fat pack?
[49:56.060 --> 49:56.840]  Look at this shit.
[49:57.080 --> 49:58.060]  Yeah, it's a fat pack.
[49:58.180 --> 49:58.640]  That's insane.
[49:59.380 --> 50:01.920]  You have to stop saying it and just say what it is.
[50:01.960 --> 50:02.320]  Why not?
[50:02.500 --> 50:03.180]  It's called a fat pack.
[50:03.360 --> 50:04.840]  I understand what it's called.
[50:05.320 --> 50:05.920]  Why not only buy fat packs?
[50:06.020 --> 50:06.940]  That's what I'm saying.
[50:07.220 --> 50:08.120]  I buy what I can get.
[50:08.200 --> 50:08.880]  These are five years old.
[50:08.900 --> 50:10.360]  No, but I mean, why do they sell small ones?
[50:10.360 --> 50:11.180]  Oh, I don't know, dude.
[50:11.500 --> 50:14.840]  Frank Kaminsky, Etwan Moore, Zat Zeebo again.
[50:15.420 --> 50:16.720]  We're back at the hoops, obviously.
[50:16.840 --> 50:18.720]  Rodney Stuckey, Nerlens Noel.
[50:19.240 --> 50:20.920]  I always thought he would have a bigger crew than he did.
[50:21.020 --> 50:21.540]  I like him a lot.
[50:22.100 --> 50:28.420]  Dwight Howard, one of the worst reputations for locker room boys in the history of the NBA.
[50:28.420 --> 50:30.160]  But as an underneath big man, he does.
[50:31.540 --> 50:32.240]  He shows up.
[50:33.420 --> 50:35.640]  Wilson Chandler, Biznack Biombo again.
[50:36.100 --> 50:36.760]  A career that should have happened.
[50:36.840 --> 50:39.400]  Tyler Johnson, Boban Marjanovic.
[50:39.680 --> 50:40.600]  Love it.
[50:41.020 --> 50:42.280]  That's a cool name.
[50:42.580 --> 50:43.560]  Boban Marjanovic.
[50:43.780 --> 50:46.360]  He is currently playing for Dallas.
[50:46.500 --> 50:49.340]  He is, what's his face, Luca's best friend.
[50:50.460 --> 50:51.200]  Up by John Wick.
[50:52.000 --> 50:53.260]  Yeah, he was in John Wick, too.
[50:53.680 --> 50:54.420]  Tristan Thompson.
[50:54.680 --> 50:55.760]  It says Italy has three.
[50:56.620 --> 50:58.040]  Rashawn Holmes has three what?
[50:58.040 --> 50:59.070]  Oh, no!
[51:00.480 --> 51:00.900]  Kicks.
[51:02.200 --> 51:02.940]  Oh, no.
[51:03.720 --> 51:04.400]  Gavin's upset.
[51:04.600 --> 51:05.340]  Gavin left.
[51:05.620 --> 51:06.360]  We got another Kobe.
[51:06.580 --> 51:07.740]  Gavin's going home.
[51:08.940 --> 51:09.980]  He's coming home.
[51:10.100 --> 51:11.820]  He's going home.
[51:12.980 --> 51:13.820]  Don't worry, Gavin's coming home.
[51:13.820 --> 51:14.900]  He's going home.
[51:15.040 --> 51:15.700]  Tyler Ferguson.
[51:16.200 --> 51:16.900]  All right, cards.
[51:17.160 --> 51:17.460]  Zubox.
[51:17.580 --> 51:18.560]  Zubox is doing pretty well.
[51:18.740 --> 51:19.080]  Oh, well, he was.
[51:19.080 --> 51:19.680]  Cards, go.
[51:20.700 --> 51:22.540]  Juwan Evans, Kay Felder.
[51:22.720 --> 51:23.360]  Oh, Jared Allen.
[51:23.540 --> 51:23.800]  Oh, Jared.
[51:23.920 --> 51:24.420]  I met that guy.
[51:24.460 --> 51:25.380]  Jared Allen's a cool dude.
[51:25.480 --> 51:26.460]  He's familiar with Rooster Teeth.
[51:26.460 --> 51:27.700]  He follows Gavin and I am.
[51:27.940 --> 51:28.780]  I met him at Razor.
[51:28.800 --> 51:31.300]  When I worked at Razor, he came in, and he was like, I'm here.
[51:31.400 --> 51:32.840]  Can I check the place out?
[51:32.880 --> 51:33.720]  I'm like, yeah, come here.
[51:33.840 --> 51:34.540]  Here's a keyboard.
[51:35.220 --> 51:36.020]  Come hang out.
[51:36.120 --> 51:37.300]  He's a big gamer, too.
[51:37.880 --> 51:38.820]  He's a really cool dude.
[51:38.900 --> 51:39.640]  He is a really cool dude.
[51:39.940 --> 51:42.320]  Plays for Cleveland currently, I believe.
[51:43.000 --> 51:43.640]  Caleb Swannigan.
[51:43.780 --> 51:44.520]  Oh, Dario Sarek.
[51:45.280 --> 51:45.300]  Uh-oh.
[51:45.300 --> 51:45.520]  What?
[51:45.660 --> 51:45.740]  What?
[51:46.160 --> 51:46.440]  Uh-oh.
[51:46.880 --> 51:47.520]  Isaiah Thomas.
[51:47.820 --> 51:48.020]  Yeah.
[51:49.320 --> 51:49.840]  Fucked me up.
[51:49.920 --> 51:50.960]  That would happen.
[51:51.080 --> 51:51.360]  Isaiah Thomas.
[51:52.780 --> 51:53.420]  Dario Sarek.
[51:53.420 --> 51:54.300]  Oh, Dario Sarek.
[51:54.300 --> 51:57.760]  Uh, this is, uh, like, uh, Explosion Parallel.
[51:58.140 --> 51:59.320]  Like, Teal Explosion Parallel.
[51:59.660 --> 52:00.220]  Caleb Swannigan.
[52:00.360 --> 52:00.740]  I've never heard of him.
[52:01.220 --> 52:02.240]  Uh, CJ McCollum.
[52:02.300 --> 52:04.280]  Oh, he's got the same, he's got the Gargoyles.
[52:04.280 --> 52:05.420]  Oh, he's doing Gargoyles again.
[52:05.560 --> 52:07.320]  Geoff T.
[52:07.380 --> 52:08.180]  Mad Facts are cool.
[52:08.400 --> 52:09.160]  You've got another Carmelo.
[52:10.600 --> 52:11.620]  Chris Paul again.
[52:11.980 --> 52:12.680]  That was a good one?
[52:13.120 --> 52:13.700]  Was that a good one?
[52:14.000 --> 52:14.580]  Was that good?
[52:14.620 --> 52:15.280]  Did you like that?
[52:15.880 --> 52:16.740]  Billy Colley Stein.
[52:16.840 --> 52:17.440]  Little Marcus Aldrich.
[52:17.660 --> 52:19.360]  Had to retire for blood clots.
[52:19.520 --> 52:20.040]  Oh, no.
[52:21.060 --> 52:22.960]  He demanded out of San Antonio.
[52:23.180 --> 52:23.660]  Went to...
[52:23.660 --> 52:25.300]  So his life is, like, just different now, huh?
[52:25.300 --> 52:25.960]  Dude, his life's different.
[52:26.100 --> 52:27.640]  He demanded out of San Antonio.
[52:27.760 --> 52:28.220]  They let him go.
[52:28.300 --> 52:31.840]  He signed, like, I think that minimum with Brooklyn to ring chase.
[52:32.020 --> 52:34.480]  And then in the physical, I think, found out he had blood clots.
[52:34.480 --> 52:36.020]  They're like, your blood, it's all clotted.
[52:36.280 --> 52:37.380]  Same thing that got Chris Bosch.
[52:37.500 --> 52:38.340]  And so he had to retire.
[52:38.640 --> 52:39.800]  This should be just blood.
[52:41.280 --> 52:42.700]  This is mostly clots.
[52:42.920 --> 52:43.080]  Yeah.
[52:43.560 --> 52:44.040]  All right.
[52:44.220 --> 52:45.160]  Geoff, is this your last quick pack?
[52:45.160 --> 52:47.300]  I've never opened a pack of essentials before.
[52:47.400 --> 52:47.900]  I don't even know what's in it.
[52:47.900 --> 52:48.660]  Oh, my God.
[52:49.060 --> 52:49.560]  Very excited.
[52:49.600 --> 52:51.360]  Does it need to go in the pack sack?
[52:52.240 --> 52:53.140]  Fuck off, man.
[52:54.740 --> 52:55.980]  I don't even know what these look like.
[52:56.060 --> 52:56.260]  Let's go.
[52:56.420 --> 52:57.880]  We got Lonzo Ball, rookie.
[52:57.940 --> 52:58.260]  Stop!
[52:59.200 --> 53:01.180]  Goddamn, that would have been a major card.
[53:01.380 --> 53:01.580]  When?
[53:01.840 --> 53:02.620]  If he had a career.
[53:02.760 --> 53:02.880]  Yeah.
[53:03.440 --> 53:04.460]  And he's still good at some point.
[53:05.620 --> 53:06.600]  Uh, Kevin Durant.
[53:07.100 --> 53:07.920]  Yeah, that's probably worth a lot.
[53:07.920 --> 53:08.200]  That's pretty.
[53:08.920 --> 53:09.160]  I don't know.
[53:09.900 --> 53:10.540]  Jonathan Simmons.
[53:10.660 --> 53:10.920]  All right.
[53:11.020 --> 53:11.700]  Don't know who that is.
[53:12.200 --> 53:14.140]  That's a gorgeous card, though.
[53:14.200 --> 53:14.460]  Mm-hmm.
[53:14.820 --> 53:15.800]  These cards are nice.
[53:16.520 --> 53:18.920]  Uh, Etuan Moore again.
[53:19.660 --> 53:20.800]  And Antonio Blakeney.
[53:21.740 --> 53:22.020]  I don't know.
[53:22.380 --> 53:22.740]  Blakeney.
[53:23.340 --> 53:23.700]  Damn.
[53:24.380 --> 53:25.400]  What's going on with you, Gav?
[53:26.040 --> 53:28.200]  Do you want to give us a footy check?
[53:28.240 --> 53:29.380]  Hey, Gavin, is this good or bad?
[53:30.380 --> 53:30.840]  Did it?
[53:31.700 --> 53:32.580]  How are we doing on time?
[53:33.400 --> 53:34.120]  4.55.
[53:34.520 --> 53:35.740]  Well, we'll open up some Zoom.
[53:36.200 --> 53:36.880]  How many times...
[53:36.880 --> 53:38.140]  How many minutes do we have?
[53:38.180 --> 53:38.620]  Five minutes?
[53:40.560 --> 53:41.180]  Somebody yell.
[53:41.800 --> 53:43.160]  Maybe we'll get lucky and end on a...
[53:43.160 --> 53:43.580]  About five minutes?
[53:44.440 --> 53:44.660]  Cool.
[53:44.660 --> 53:45.940]  Maybe we'll get lucky and end on a Zoom.
[53:45.940 --> 53:46.760]  Oh, what if we end on a Zoom?
[53:46.840 --> 53:47.440]  Gavin, how are you doing?
[53:47.540 --> 53:48.280]  Mike Teneman.
[53:48.800 --> 53:49.600]  Frank DePino.
[53:50.180 --> 53:51.120]  Future star Greg Colbin.
[53:51.180 --> 53:51.720]  He was not.
[53:51.840 --> 53:52.020]  No.
[53:52.980 --> 53:53.380]  Checklist.
[53:53.400 --> 53:54.960]  Casey Candale.
[53:56.220 --> 53:56.620]  Candelli?
[53:56.780 --> 53:57.000]  Is that it?
[53:57.040 --> 53:57.480]  I can't remember.
[53:57.740 --> 53:58.420]  Dwayne Ward.
[53:58.600 --> 53:58.620]  Geoff Kunkel.
[53:58.620 --> 54:01.780]  I would love if those jackets came back into style.
[54:01.940 --> 54:02.280]  Which one?
[54:02.280 --> 54:02.500]  These?
[54:02.600 --> 54:02.880]  Yeah.
[54:03.600 --> 54:04.520]  They're just cool.
[54:04.580 --> 54:04.920]  Those are cool.
[54:05.020 --> 54:05.880]  Don Mattingly.
