[00:10.200 --> 00:11.160]  Can't hear anybody.
[50:48.310 --> 50:48.510]  Yeah.
[50:48.510 --> 50:50.550]  Got a Miami Vice.
[50:51.190 --> 50:52.250]  Yeah, I didn't know what that was.
[50:52.950 --> 50:54.630]  Eric introduced me
[50:54.630 --> 50:56.490]  to a lot of stuff. Yeah, all weekend
[50:56.490 --> 50:58.390]  it was everything I ordered. Gavin went,
[50:58.470 --> 51:00.250]  Oh, me too. Well, I like
[51:00.250 --> 51:02.750]  trying new shit and I just always order the same stuff.
[51:02.850 --> 51:04.550]  So I'm in Vegas with different people.
[51:04.610 --> 51:06.670]  I'm going to try different stuff. I thought you did great.
[51:06.830 --> 51:08.550]  I thought everything you ordered was really good
[51:08.550 --> 51:10.170]  because it's what I got and I liked it.
[51:10.470 --> 51:12.570]  But yeah, I think she was
[51:12.570 --> 51:13.950]  impressed. Oh, yeah.
[51:14.470 --> 51:16.290]  I think she was impressed because you
[51:16.290 --> 51:18.190]  again, didn't say, Oh, you're British.
[51:18.330 --> 51:19.810]  She just said you have an accent.
[51:20.270 --> 51:22.210]  Also, it's Vegas where
[51:22.210 --> 51:24.130]  that's the least impressive thing in
[51:24.130 --> 51:26.330]  the world. Yeah, I think it's
[51:26.330 --> 51:28.410]  because Americans don't often have the confidence
[51:28.410 --> 51:30.430]  to call out the difference between Australian
[51:30.430 --> 51:32.570]  and British. So they just say accent.
[51:32.590 --> 51:33.970]  I get that a lot. Yeah.
[51:34.410 --> 51:34.930]  Interesting.
[51:36.530 --> 51:37.850]  But that was
[51:37.850 --> 51:39.870]  our first kind of like day
[51:39.870 --> 51:41.330]  and then, oh,
[51:41.950 --> 51:44.130]  and then we had to hide
[51:44.850 --> 51:46.230]  in our hotel room
[51:47.110 --> 51:48.070]  until Geoff
[51:48.070 --> 51:49.290]  made his way in
[51:50.070 --> 51:52.310]  and then didn't go to his hotel room
[51:52.310 --> 51:53.970]  just hung out at the sports book
[51:53.970 --> 51:55.050]  so we couldn't come down.
[51:56.290 --> 51:57.250]  For like an hour.
[51:57.970 --> 51:59.690]  No, from the time you landed
[51:59.690 --> 52:01.670]  which was like 5 or something
[52:01.670 --> 52:04.350]  until the meal at 8, we were scarce.
[52:04.830 --> 52:04.990]  Yeah.
[52:05.650 --> 52:07.970]  We had gone way before and then had to
[52:07.970 --> 52:09.810]  go over to the casino early,
[52:09.910 --> 52:11.810]  the other casino early and it was like,
[52:11.810 --> 52:13.270]  we were getting
[52:13.730 --> 52:15.150]  texts from Kent too, who was
[52:15.150 --> 52:16.070]  keeping us
[52:17.670 --> 52:18.950]  informed of where you were. He was like,
[52:19.070 --> 52:20.410]  GOTUS is on the move.
[52:21.250 --> 52:23.650]  We were like, what the fuck, Geoff of the
[52:23.650 --> 52:24.650]  United States?
[52:27.110 --> 52:27.750]  I forgot
[52:27.750 --> 52:29.090]  you guys called me GOTUS all weekend.
[52:30.710 --> 52:31.630]  And what was the deal
[52:31.630 --> 52:33.450]  with my cousin bringing all of his climbing
[52:33.450 --> 52:33.790]  gear?
[52:36.670 --> 52:37.550]  Well, your
[52:39.550 --> 52:39.990]  idiotic
[52:39.990 --> 52:41.910]  cousin decided to fly
[52:41.910 --> 52:43.990]  at what, a flight that
[52:43.990 --> 52:45.890]  was 10 minutes apart from your one?
[52:46.410 --> 52:47.990]  We were all in Vegas and he
[52:47.990 --> 52:49.930]  was like headed to the
[52:49.930 --> 52:52.090]  airport and we were like 6 hours into our time
[52:52.090 --> 52:52.430]  wasting.
[52:53.730 --> 52:56.330]  And he was like, oh yeah, I didn't even think about it.
[52:56.810 --> 52:58.090]  I knew Gavin
[52:58.090 --> 52:59.890]  was upset that this could get
[52:59.890 --> 53:01.970]  blown because he started
[53:01.970 --> 53:04.030]  participating in the group text
[53:04.030 --> 53:05.890]  and he said, Chris, if you
[53:05.890 --> 53:07.950]  fuck this for me and I woke up
[53:07.950 --> 53:09.870]  at 5am for nothing,
[53:10.110 --> 53:11.350]  I'm gonna be pissed.
[53:11.790 --> 53:12.530]  I didn't say that.
[53:14.370 --> 53:15.830]  So he decided
[53:15.830 --> 53:16.670]  that he would
[53:17.830 --> 53:19.970]  mitigate that by, if he bumped into you
[53:19.970 --> 53:21.630]  in the airport, he could say that he was on a
[53:21.630 --> 53:23.070]  climbing trip because he loves climbing.
[53:24.290 --> 53:25.130]  So he was
[53:26.130 --> 53:27.270]  sending us a picture of
[53:27.270 --> 53:29.470]  a climbing bag and a helmet
[53:29.470 --> 53:31.390]  that he was gonna take to the airport.
[53:31.690 --> 53:33.670]  It was so crazy
[53:33.670 --> 53:35.790]  that he was just like, oh, I'm just gonna
[53:35.790 --> 53:37.270]  repack all my stuff.
[53:37.850 --> 53:39.930]  And it's like, what do you, what does that mean?
[53:40.090 --> 53:41.730]  And he's like, well, this way,
[53:42.410 --> 53:43.770]  you know, he
[53:43.770 --> 53:45.210]  won't know that I'm going to Vegas.
[53:45.610 --> 53:47.890]  Geoff told us later, he's like, oh, if I saw Chris at the airport
[53:47.890 --> 53:49.250]  I would never think he was going to Vegas.
[53:49.550 --> 53:51.890]  No, it would've crossed my mind in a million years. He could've just been like,
[53:51.950 --> 53:53.950]  he travels for work like 30 months
[53:53.950 --> 53:55.670]  out of the year. He could've just been like,
[53:55.750 --> 53:57.590]  oh, small world, yeah, I'm headed to fuckin'
[53:58.090 --> 53:59.810]  Kuala Lumpur for the weekend or whatever.
[54:00.290 --> 54:01.670]  I'd be like, oh, cool, man, well,
[54:01.770 --> 54:03.770]  you know, stay safe. Love ya.
[54:03.770 --> 54:05.990]  It was so nice to see Chris. I hadn't seen him
[54:05.990 --> 54:07.930]  in probably five years.
[54:08.330 --> 54:08.590]  I love it.
[54:09.090 --> 54:11.350]  I never met him. He's a great guy.
[54:11.790 --> 54:13.750]  He's the fuckin' best. I love
[54:13.750 --> 54:15.870]  that you guys all got to experience
[54:15.870 --> 54:17.870]  my favorite thing about him, which is
[54:17.870 --> 54:20.050]  that he's like professionally late
[54:20.050 --> 54:22.070]  to everything. Dude, that was crazy.
[54:22.930 --> 54:23.910]  I don't know how else
[54:23.910 --> 54:26.050]  to describe it. It's like, he does it in a way
[54:26.050 --> 54:27.990]  that seems like, oh, this dude's a pro
[54:27.990 --> 54:28.690]  at being late.
[54:31.190 --> 54:31.750]  It is
[54:31.750 --> 54:33.510]  always, in every circumstance,
[54:33.670 --> 54:35.590]  he's late, and there's always a reason and an
[54:35.590 --> 54:37.510]  excuse that's plausible. It's really impressive.
[54:38.650 --> 54:39.610]  He was a very
[54:40.010 --> 54:41.630]  cool guy. I just never
[54:42.630 --> 54:43.930]  met him, never seen him.
[54:44.150 --> 54:45.470]  I had a great weekend with him.
[54:45.530 --> 54:46.950]  It was a lot of fun.
[54:47.370 --> 54:49.290]  I asked him if he's a big gambler, and he said,
[54:49.370 --> 54:51.510]  oh, I forgot my debit card and all my cash.
[54:51.650 --> 54:53.650]  Oh, yeah! Which I found out
[54:53.650 --> 54:55.610]  on the last day. I was like, goddammit, Chris,
[54:55.790 --> 54:57.350]  here, here's some money, man.
[54:57.630 --> 54:59.630]  I just thought he was just quietly not gambling.
[54:59.630 --> 55:01.370]  Not that any of us gambled a lot.
[55:01.490 --> 55:03.470]  We're mostly playing $5 on
[55:03.470 --> 55:04.490]  craps or whatever.
[55:06.010 --> 55:07.210]  I think
[55:07.210 --> 55:09.230]  almost everybody except for Gavin ended
[55:09.230 --> 55:11.730]  about even, I want to say.
[55:12.350 --> 55:12.550]  Yeah.
[55:13.430 --> 55:14.890]  Gavin ended way down.
[55:15.330 --> 55:16.550]  Way down.
[55:16.650 --> 55:19.210]  I wanted to send a picture real quick of
[55:19.210 --> 55:21.390]  Chris's repacked bag
[55:21.390 --> 55:23.830]  that he texted us to assure us
[55:23.830 --> 55:25.630]  that there's no way he was getting
[55:25.630 --> 55:26.970]  caught at this airport.
[55:26.970 --> 55:29.110]  So he took that to a fucking...
[55:29.110 --> 55:30.870]  Do you think you scared him
[55:30.870 --> 55:32.510]  into that, Gavin, with your text?
[55:32.810 --> 55:33.950]  A hundred percent.
[55:34.110 --> 55:35.510]  Yeah, I hope so.
[55:37.150 --> 55:37.750]  No doubt.
[55:39.330 --> 55:41.170]  Also, it was
[55:42.850 --> 55:43.770]  47 degrees.
[55:44.210 --> 55:44.430]  Yeah.
[55:45.030 --> 55:45.890]  That's Celsius.
[55:46.850 --> 55:48.830]  Which means it was way hotter in
[55:48.830 --> 55:51.430]  regular temperatures. I think that's like 116
[55:51.430 --> 55:51.770]  or something.
[55:53.150 --> 55:54.970]  I've been to India in the summer
[55:54.970 --> 55:56.750]  and it was hotter than that
[55:56.750 --> 55:59.130]  in Vegas. I've never experienced
[55:59.130 --> 56:01.050]  heat like that. After we got home
[56:01.050 --> 56:02.290]  because there's like a text
[56:02.850 --> 56:04.990]  chain that I guess you guys have been on for months
[56:04.990 --> 56:06.670]  that I was just added onto
[56:07.490 --> 56:09.010]  which is currently called
[56:09.010 --> 56:11.050]  it changed names constantly, but what
[56:11.050 --> 56:13.250]  is it called right now? Oh, Knees Patilla.
[56:13.830 --> 56:14.710]  Knees Patilla.
[56:15.110 --> 56:17.330]  That's another one. Oh my god.
[56:19.210 --> 56:21.090]  Well, because the only thing we had to bring
[56:21.090 --> 56:23.090]  on the trip was some like jeans
[56:23.090 --> 56:24.810]  and a smart-ish shirt
[56:24.810 --> 56:26.710]  because of the restaurant and Jack forgot his
[56:26.710 --> 56:29.190]  jeans. So he was wearing shorts
[56:29.190 --> 56:30.830]  and Kent called him Knees Patilla.
[56:31.270 --> 56:32.970]  Yeah, but I will say that
[56:32.970 --> 56:35.170]  he was better dressed than Gavin
[56:35.170 --> 56:36.770]  was, even with his shorts.
[56:37.010 --> 56:38.750]  Where's the photo you guys took of Jack
[56:38.750 --> 56:40.950]  with his giant... Oh yeah,
[56:41.050 --> 56:43.070]  do you have that, Gavin? Yeah, for some reason
[56:43.070 --> 56:45.030]  like I crouched a little bit and also I
[56:45.030 --> 56:47.030]  switched to the point five lens.
[56:47.390 --> 56:48.930]  It made him look like he was
[56:48.930 --> 56:51.210]  completely ginormous. Oh, it's...
[56:51.930 --> 56:53.310]  Yeah, you know, a DNG
[56:53.310 --> 56:55.130]  file, the regular file that we all use.
[56:55.170 --> 56:56.670]  You uploaded your DONG file.
[56:58.750 --> 56:59.290]  Okay, well
[56:59.290 --> 57:00.950]  that's not a real image, apparently. That's a
[57:01.510 --> 57:01.910]  DNG.
[57:02.970 --> 57:05.150]  Well, you needed a DNG
[57:05.150 --> 57:06.330]  to capture the size of Jack.
[57:06.710 --> 57:08.030]  You need a whole new format.
[57:09.570 --> 57:10.870]  While he's doing that,
[57:11.890 --> 57:13.270]  so right when we got home,
[57:13.730 --> 57:15.230]  Kent, like the next day, Kent sent
[57:15.230 --> 57:17.090]  a TikTok that
[57:18.510 --> 57:19.310]  was about
[57:19.310 --> 57:21.010]  a Delta,
[57:21.310 --> 57:23.210]  I think, Delta Airlines flight
[57:23.210 --> 57:25.330]  that was going from Vegas that weekend
[57:25.330 --> 57:27.210]  to Arizona, where
[57:27.210 --> 57:28.690]  it was... Oh, there's Nese Petillo.
[57:29.150 --> 57:31.090]  That's how he showed up at the fancy restaurant.
[57:31.190 --> 57:32.130]  Nese Petillo was so tall!
[57:32.530 --> 57:35.030]  It looks like that scene in
[57:35.030 --> 57:37.070]  Willy Wonka where he's walking down the hallway
[57:37.070 --> 57:38.410]  to the tiny door.
[57:39.390 --> 57:41.210]  Apparently, it was so
[57:41.210 --> 57:43.210]  hot in the plane while they were waiting for it to
[57:43.210 --> 57:44.990]  take off, a bunch of people passed out
[57:44.990 --> 57:46.970]  and shit themselves. Oh my god!
[57:46.970 --> 57:48.330]  Oh my god!
[57:48.530 --> 57:49.710]  Eric, you didn't see that?
[57:49.770 --> 57:52.630]  It was like
[57:53.510 --> 57:54.950]  the remembrance of
[57:54.950 --> 57:56.110]  that could've been us.
[57:56.290 --> 57:57.250]  That could've been us.
[57:58.710 --> 58:00.790]  I didn't realize that was a heat-based thing.
[58:00.890 --> 58:02.310]  I thought you would just pass out. I didn't realize
[58:02.310 --> 58:03.950]  shitting your pants was a part of that.
[58:04.070 --> 58:06.670]  I think they said at least five people shit themselves.
[58:07.030 --> 58:08.650]  That's crazy, I wonder why.
[58:09.530 --> 58:10.930]  People don't shit themselves in the cold.
[58:11.470 --> 58:12.850]  I tell you what though, that's a great excuse
[58:12.850 --> 58:13.550]  from here on out.
[58:15.770 --> 58:16.470]  That's true.
[58:16.710 --> 58:17.710]  Dude, speaking of
[58:17.710 --> 58:19.370]  Geoff shitting himself, he was
[58:20.030 --> 58:21.750]  ripping farts at the basketball game
[58:21.750 --> 58:23.730]  and you've stopped drinking years ago.
[58:23.770 --> 58:25.510]  I don't know how you do it. I remember
[58:25.510 --> 58:27.690]  your drunk farts. How do you
[58:27.690 --> 58:28.950]  still have those in the tank?
[58:29.410 --> 58:31.590]  Hey man, it turns out it wasn't the alcohol
[58:31.590 --> 58:32.550]  the magic was in me.
[58:33.030 --> 58:33.430]  Yeah.
[58:35.070 --> 58:37.490]  I mean, you're cursed
[58:37.490 --> 58:39.310]  in that way, right? You have diverticulitis.
[58:39.610 --> 58:41.230]  You've got a lot going on. Yeah, I've been in bed all week.
[58:41.230 --> 58:42.870]  This is my first day out of bed actually, diverticulitis.
[58:43.130 --> 58:45.170]  The second I got home from Vegas, I got hit
[58:45.170 --> 58:47.190]  with it. Like the worst it's been
[58:47.190 --> 58:48.930]  in like three years. It's okay though, I'm fine now.
[58:50.170 --> 58:51.250]  Yeah, so the next
[58:51.250 --> 58:52.710]  day we went to the NBA.
[58:53.210 --> 58:55.130]  How did it start? Oh, it started with breakfast
[58:56.230 --> 58:57.210]  where Chris got
[58:57.210 --> 58:59.310]  lost in another hotel somehow.
[58:59.330 --> 59:00.370]  He went to another hotel?
[59:01.330 --> 59:01.550]  What?
[59:03.090 --> 59:04.690]  Wait, what? Like he...
[59:05.050 --> 59:06.750]  The hotels are connected?
[59:07.150 --> 59:09.290]  He walked out of a hotel to a different one for breakfast.
[59:09.890 --> 59:11.030]  Oh. So he was
[59:11.030 --> 59:11.930]  20 minutes late.
[59:13.330 --> 59:15.170]  Which by the way, I'd like to point out
[59:15.170 --> 59:16.690]  he sounds like a goddamn idiot.
[59:17.030 --> 59:19.010]  My cousin is incredibly smart
[59:19.010 --> 59:21.070]  and incredibly successful. Way more
[59:21.070 --> 59:22.230]  successful than I am.
[59:22.550 --> 59:24.950]  We look like shit. He's so
[59:24.950 --> 59:26.910]  put together you would never guess
[59:26.910 --> 59:28.430]  that he's the late one.
[59:29.070 --> 59:30.370]  Oh my god.
[59:31.130 --> 59:32.750]  He's like one of those people you see on TV
[59:32.750 --> 59:35.290]  that you're like, man, life's unfair.
[59:35.890 --> 59:36.810]  Yeah. He's got it all.
[59:36.810 --> 59:38.510]  It's weird. He seems disciplined
[59:38.510 --> 59:39.970]  except when it comes to time.
[59:40.710 --> 59:42.750]  Yeah, everybody's gotta have like one chink
[59:42.750 --> 59:43.870]  in their armor, I guess, right?
[59:44.270 --> 59:46.730]  So we
[59:46.730 --> 59:48.110]  had breakfast and then
[59:48.770 --> 59:50.590]  we all went to NBA Summer League.
[59:51.950 --> 59:52.570]  What did you see?
[59:52.930 --> 59:53.250]  What games?
[59:54.030 --> 59:56.790]  How many games did we see? We watched three games.
[59:56.930 --> 59:59.010]  We saw the Timberwolves and I think the Mavs
[59:59.010 --> 01:00:00.390]  play at the start.
[01:00:01.090 --> 01:00:03.190]  Then we saw...
[01:00:03.930 --> 01:00:04.870]  Who did we see
[01:00:04.870 --> 01:00:05.250]  next?
[01:00:06.350 --> 01:00:09.030]  Back-to-back-to-back games or how does that work?
[01:00:09.150 --> 01:00:10.550]  They don't even wait until they're off the
[01:00:10.550 --> 01:00:11.750]  fucking court, dude.
[01:00:13.030 --> 01:00:14.450]  It's awesome. It was wild.
[01:00:15.650 --> 01:00:16.790]  It's so fucking awesome
[01:00:16.790 --> 01:00:18.130]  how quickly they cycle them through.
[01:00:18.490 --> 01:00:21.310]  Okay, that was the...
[01:00:21.310 --> 01:00:22.550]  That was...
[01:00:23.970 --> 01:00:24.730]  And there's no
[01:00:24.730 --> 01:00:26.470]  difference to the rules for the Summer League.
[01:00:26.630 --> 01:00:27.410]  It's shorter.
[01:00:29.050 --> 01:00:30.170]  Is that 10 minute quarters?
[01:00:30.530 --> 01:00:32.850]  Yeah, 10 minute quarters. We saw Charlotte
[01:00:32.850 --> 01:00:34.370]  against Minnesota.
[01:00:35.050 --> 01:00:36.710]  We saw the Bucks against the Kings.
[01:00:36.990 --> 01:00:38.890]  And then we watched the Celtics against the Magic.
[01:00:39.490 --> 01:00:40.790]  We did not stay
[01:00:40.790 --> 01:00:42.870]  for the Grizzlies and
[01:00:42.870 --> 01:00:44.870]  the Suns because why would
[01:00:44.870 --> 01:00:46.950]  we do that? Yeah, we were just done at that point.
[01:00:47.070 --> 01:00:48.990]  Three straight NBA games was fucking awesome.
[01:00:49.330 --> 01:00:50.750]  The arena, the Thomas and Mac
[01:00:50.750 --> 01:00:52.710]  Center was fucking awesome. Eric and I
[01:00:52.710 --> 01:00:54.790]  ran into a bunch of community members out
[01:00:54.790 --> 01:00:56.470]  there. We saw some
[01:00:57.290 --> 01:00:58.850]  massive fucking dudes
[01:00:58.850 --> 01:01:00.990]  who play college
[01:01:00.990 --> 01:01:03.050]  football at... I want to say
[01:01:03.050 --> 01:01:05.250]  Washington State. Is that right? I thought it was like Colorado.
[01:01:05.850 --> 01:01:06.530]  I thought it was Washington.
[01:01:06.850 --> 01:01:08.730]  Number 80 and 8, right? Or 8 and 80.
[01:01:09.250 --> 01:01:10.750]  And they have a podcast they do about
[01:01:10.750 --> 01:01:13.010]  mental health and sports called Elevate Podcast
[01:01:13.010 --> 01:01:14.890]  I think. But they were really
[01:01:14.890 --> 01:01:17.090]  fucking nice. And it was like
[01:01:17.090 --> 01:01:19.190]  shaking Andre the Giant's hand when I...
[01:01:19.190 --> 01:01:20.450]  I felt so tiny.
[01:01:22.210 --> 01:01:22.610]  And...
[01:01:23.070 --> 01:01:24.030]  How did Jack feel?
[01:01:24.750 --> 01:01:27.010]  How did New Jack feel? I don't know. He was somewhere
[01:01:27.010 --> 01:01:28.310]  playing craps in the bathroom.
[01:01:30.270 --> 01:01:30.630]  He...
[01:01:30.630 --> 01:01:32.430]  That dude, like...
[01:01:33.370 --> 01:01:34.090]  He likes
[01:01:35.050 --> 01:01:36.210]  Vegas. He likes
[01:01:36.210 --> 01:01:38.190]  gambling in a way that like...
[01:01:38.830 --> 01:01:40.250]  Jack's very responsible
[01:01:40.250 --> 01:01:42.310]  and stuff, but he should never move there. That's all I'll say.
[01:01:42.390 --> 01:01:43.590]  He should never live in Las Vegas.
[01:01:44.370 --> 01:01:46.350]  He likes finding the cheapest
[01:01:46.350 --> 01:01:48.410]  table to play
[01:01:48.410 --> 01:01:49.610]  the game at.
[01:01:50.330 --> 01:01:52.270]  Ridiculous. Well, that's a lot safer, isn't it?
[01:01:52.450 --> 01:01:54.470]  Yeah, I think he just likes to play and he doesn't want to gamble
[01:01:54.470 --> 01:01:55.910]  a lot of money. I get it. It's like a $5
[01:01:55.910 --> 01:01:57.910]  difference and it like made
[01:01:57.910 --> 01:01:58.470]  his day.
[01:01:59.810 --> 01:02:01.690]  He's like, oh, these are $20...
[01:02:01.690 --> 01:02:03.690]  Oh, it's like a $20 minimum.
[01:02:03.970 --> 01:02:05.810]  And then we go to another place, he's like, yeah, now we're talking
[01:02:05.810 --> 01:02:07.910]  $15. And it's like, you're...
[01:02:08.910 --> 01:02:09.990]  What are you talking
[01:02:09.990 --> 01:02:11.710]  about? I was...
[01:02:11.710 --> 01:02:13.690]  We played on this craps table where the...
[01:02:13.690 --> 01:02:15.910]  It was confusing the hell out of me with the actual
[01:02:15.910 --> 01:02:17.830]  real craps table with everyone's chips
[01:02:17.830 --> 01:02:19.890]  all over the place. Sure. I was just
[01:02:19.890 --> 01:02:21.870]  watching Jack losing track of what he had down
[01:02:21.870 --> 01:02:23.930]  there. But then we played one where it was like a digital
[01:02:24.890 --> 01:02:25.830]  table, but you could
[01:02:25.830 --> 01:02:27.870]  still throw dice on it and then you could control
[01:02:27.870 --> 01:02:29.770]  all your stuff on a little screen in front of you.
[01:02:30.210 --> 01:02:31.890]  And, uh, I was watching
[01:02:31.890 --> 01:02:33.990]  Jack on that and I was like, you know what? I can kind of...
[01:02:33.990 --> 01:02:35.870]  I can kind of get a handle on this. I feel like
[01:02:35.870 --> 01:02:37.650]  maybe I should jump in. So I
[01:02:37.650 --> 01:02:39.970]  put $20 in and
[01:02:39.970 --> 01:02:42.010]  I tried to... It like added credit
[01:02:42.010 --> 01:02:43.850]  to the top of the screen. So I tried to
[01:02:43.850 --> 01:02:45.990]  drag, um, money down
[01:02:45.990 --> 01:02:47.070]  onto the pass line.
[01:02:48.810 --> 01:02:50.190]  But, um, it...
[01:02:50.550 --> 01:02:51.750]  Instead of like dragging
[01:02:52.870 --> 01:02:53.750]  the 20
[01:02:53.750 --> 01:02:55.750]  onto the pass line, it like... because it was
[01:02:55.750 --> 01:02:57.510]  a drag and not a press, it put
[01:02:57.510 --> 01:02:59.770]  $5 on everything along the
[01:02:59.770 --> 01:03:01.210]  path I dragged on. And then
[01:03:01.750 --> 01:03:03.630]  it immediately said, bet's closed!
[01:03:03.770 --> 01:03:04.730]  I was like, oh shit!
[01:03:05.890 --> 01:03:07.530]  I had stuff all over the thing!
[01:03:07.650 --> 01:03:09.170]  I had like one of them in A, I had like
[01:03:09.170 --> 01:03:11.310]  some on the field.
[01:03:11.810 --> 01:03:13.850]  I wouldn't be surprised if I had a come bet somehow.
[01:03:14.210 --> 01:03:15.590]  I mean, like, Gavin
[01:03:15.590 --> 01:03:17.730]  keeps saying like, oh, the machine did this.
[01:03:18.150 --> 01:03:19.770]  You didn't have to drag
[01:03:19.770 --> 01:03:21.450]  anything. I'd never done it before!
[01:03:21.930 --> 01:03:23.130]  I was like, can I bet?
[01:03:23.730 --> 01:03:25.390]  I drag every time
[01:03:25.390 --> 01:03:27.690]  and it worked fine. You, once again, Gavin and
[01:03:27.690 --> 01:03:29.850]  Chris, could not fucking get it.
[01:03:30.190 --> 01:03:31.670]  Dude, it was immediately... I didn't
[01:03:31.670 --> 01:03:33.650]  realize I had like one second of betting
[01:03:33.650 --> 01:03:35.210]  left. I was just trying to get my shit
[01:03:35.750 --> 01:03:37.330]  close to me. And it just went
[01:03:37.330 --> 01:03:39.390]  all over the board and locked me out immediately.
[01:03:39.550 --> 01:03:41.050]  And Jack just...
[01:03:41.590 --> 01:03:43.370]  Jack almost fell on the floor. Oh, it was just
[01:03:43.370 --> 01:03:45.670]  a fun, incompetent time
[01:03:45.670 --> 01:03:47.210]  in general. How did you do?
[01:03:47.210 --> 01:03:48.710]  You win that bet?
[01:03:49.650 --> 01:03:50.910]  You did okay.
[01:03:51.530 --> 01:03:53.530]  Overall, I think
[01:03:53.530 --> 01:03:55.190]  I went like 150 up on
[01:03:55.190 --> 01:03:57.330]  craps and I used it just to
[01:03:57.330 --> 01:03:58.430]  pay Eric back for the meal.
[01:03:58.790 --> 01:04:01.050]  And then you finished up for the weekend then, right?
[01:04:02.350 --> 01:04:02.810]  No!
[01:04:04.730 --> 01:04:05.690]  What happened?
[01:04:06.030 --> 01:04:07.270]  Well, just with all my other
[01:04:08.030 --> 01:04:08.830]  roulette losses.
[01:04:08.890 --> 01:04:11.230]  Oh, that was before, okay. I was gonna say
[01:04:11.230 --> 01:04:13.350]  like, I'm glad you didn't lose more money
[01:04:13.350 --> 01:04:14.990]  but I wish you could've
[01:04:14.990 --> 01:04:17.070]  because you have such
[01:04:17.070 --> 01:04:18.950]  a system where you're like 100
[01:04:18.950 --> 01:04:20.830]  win 100, leave.
[01:04:21.130 --> 01:04:23.110]  You almost fucked up
[01:04:23.110 --> 01:04:24.990]  like six Vegas trips
[01:04:24.990 --> 01:04:26.150]  in one go.
[01:04:26.410 --> 01:04:29.050]  I wish you could've just kept going. I wish you could've
[01:04:29.050 --> 01:04:31.010]  just kept picking colors. You would've been in your
[01:04:31.010 --> 01:04:32.990]  head on the next one, like you definitely would've put
[01:04:32.990 --> 01:04:35.050]  on green, I imagine. You have to
[01:04:35.050 --> 01:04:36.930]  have two in a row and two separate
[01:04:36.930 --> 01:04:39.090]  tables. I can definitely see why people
[01:04:39.090 --> 01:04:40.650]  just lose their entire lives to gambling.
[01:04:40.830 --> 01:04:42.990]  Because you end up looking... I didn't walk this path
[01:04:42.990 --> 01:04:44.410]  but you end up looking down the path of like,
[01:04:44.690 --> 01:04:46.470]  I probably should just put
[01:04:46.990 --> 01:04:48.930]  200, you know, and I won't lose
[01:04:48.930 --> 01:04:50.150]  twice and I'll be back where I started.
[01:04:50.690 --> 01:04:52.290]  I didn't do it but that was
[01:04:52.990 --> 01:04:55.010]  easily a path to be walked.
[01:04:55.310 --> 01:04:56.910]  Yeah, death trying to get back
[01:04:56.910 --> 01:04:58.990]  to even. Not even profit, just back
[01:04:58.990 --> 01:04:59.790]  to where you started.
[01:05:00.310 --> 01:05:03.310]  We also caused a security
[01:05:03.310 --> 01:05:05.050]  meltdown at the
[01:05:05.050 --> 01:05:06.930]  NBA Summer League, unfortunately.
[01:05:07.890 --> 01:05:08.830]  Which just
[01:05:08.830 --> 01:05:10.990]  kind of spiraled out of control
[01:05:10.990 --> 01:05:12.190]  on us really fast.
[01:05:12.430 --> 01:05:14.210]  You wanna talk about it next episode?
[01:05:14.870 --> 01:05:16.390]  Yeah, I guess we'll talk about it next episode.
[01:05:16.670 --> 01:05:19.030]  Can I have a theory as to what caused
[01:05:19.030 --> 01:05:20.970]  the security meltdown? Can I make a guess right now?
[01:05:21.390 --> 01:05:22.890]  I know you're at the
[01:05:22.890 --> 01:05:24.830]  Summer League, a lot of NBA players, they're tall, you
[01:05:24.830 --> 01:05:27.050]  expected it. They've never seen a man taller than Jack
[01:05:27.050 --> 01:05:28.890]  in those shorts. They didn't know what to do.
[01:05:29.030 --> 01:05:30.630]  They were concerned. Very close.
[01:05:31.550 --> 01:05:32.910]  If you wanna know what
[01:05:32.910 --> 01:05:34.930]  happened to cause a security meltdown
[01:05:34.930 --> 01:05:36.690]  at the NBA
[01:05:36.690 --> 01:05:38.930]  Summer League, you'll have to tune in to episode
[01:05:40.230 --> 01:05:40.990]  166 of
[01:05:40.990 --> 01:05:42.990]  the F*** Face podcast. Oh my god,
[01:05:43.070 --> 01:05:44.390]  there you have it. Our very own
[01:05:44.390 --> 01:05:46.650]  Who Shot JR style cliffhanger
[01:05:46.650 --> 01:05:47.590]  right here.
[01:05:48.750 --> 01:05:50.890]  Damn. That was action
[01:05:50.890 --> 01:05:52.970]  packed. I still don't know how long
[01:05:52.970 --> 01:05:53.730]  that episode was.
[01:05:54.650 --> 01:05:55.610]  I have no clue.
[01:05:56.710 --> 01:05:58.910]  Hey guys, Major League Fan Jack here with a look at
[01:05:58.910 --> 01:06:00.810]  next week's episode of F*** Face.
[01:06:00.970 --> 01:06:02.890]  It is 100% the summer
[01:06:02.890 --> 01:06:04.730]  of 98. Let's talk about
[01:06:04.730 --> 01:06:06.770]  basketball. More Vegas discussion?
[01:06:06.770 --> 01:06:08.830]  The sphere is insane.
[01:06:09.170 --> 01:06:10.970]  Kerpol exists. Those chips
[01:06:10.970 --> 01:06:12.770]  are bonkers. And once again,
[01:06:12.870 --> 01:06:14.230]  Andrew does not eat the pencil.
[01:06:14.590 --> 01:06:16.690]  All that and more on next week's episode of
[01:06:16.690 --> 01:06:17.230]  F*** Face.
