[00:10.400 --> 00:11.460]  Alright, action.
[01:07:45.600 --> 01:07:48.460]  but then it becomes a whole question of, well, how much is a mouthful?
[01:07:48.460 --> 01:07:48.720]  Right.
[01:07:49.040 --> 01:07:50.340]  Which is the real dilemma.
[01:07:50.340 --> 01:07:57.160]  I... my sort of general meter of measurement is it is less than your mouth being full,
[01:07:57.360 --> 01:08:02.360]  but more than when you take a bite of somebody else's item that you're, like, just getting a try of.
[01:08:02.640 --> 01:08:03.420]  Yes, it's...
[01:08:03.420 --> 01:08:04.000]  You, like, take that tiny little bite.
[01:08:04.320 --> 01:08:08.220]  It's more than when you're trying somebody else's food, but less than your whole mouth,
[01:08:08.300 --> 01:08:10.860]  and it's less... it's a comfortable amount.
[01:08:11.160 --> 01:08:13.900]  Wait, so when you try the people's food, you take a smaller bite than normal?
[01:08:14.200 --> 01:08:14.960]  Yeah, absolutely.
[01:08:15.840 --> 01:08:16.040]  Huh.
[01:08:16.040 --> 01:08:20.820]  What? You don't? You just take a normal... what you would have, typically?
[01:08:20.860 --> 01:08:24.000]  No, I try... I try to take as much in my mouth as possible.
[01:08:25.800 --> 01:08:26.200]  So...
[01:08:30.660 --> 01:08:34.160]  Hey, Nick, can we... can I get that clipped for the break show?
[01:08:35.040 --> 01:08:38.360]  Yeah, I just try to get... put as much of that in my mouth as possible.
[01:08:38.620 --> 01:08:40.200]  Yeah, I appreciate that. Thanks, man.
[01:08:41.180 --> 01:08:44.020]  So anyway, somehow we got to a spoon.
[01:08:44.020 --> 01:08:47.900]  And just how spoons... how... it's... there's different sizes for everything.
[01:08:48.060 --> 01:08:52.440]  Bras, shoes, gloves, underwear, pants...
[01:08:52.440 --> 01:08:56.160]  But we all have to use the same fucking size spoons, although we're not the same size people.
[01:08:57.060 --> 01:08:57.820]  Yeah, different mouths.
[01:08:58.480 --> 01:08:59.380]  Everybody's got a different mouth.
[01:09:00.040 --> 01:09:02.020]  Everyone has a different social etiquette.
[01:09:02.580 --> 01:09:05.440]  Maybe you're... maybe my mouth is deeper than your mouth.
[01:09:05.520 --> 01:09:11.700]  Maybe you have a shallow, wide mouth, therefore you need a less oval spoon and a more shallow, wide spoon.
[01:09:11.700 --> 01:09:17.480]  And we... when we develop the technology to measure approximately... to measure your mouth,
[01:09:17.620 --> 01:09:20.840]  then we can determine the perfect spoon size for you.
[01:09:20.980 --> 01:09:23.080]  And then you have that spoon for the rest of your life.
[01:09:23.300 --> 01:09:25.860]  It doesn't work for anybody else. It only works for you, Gavin.
[01:09:26.040 --> 01:09:28.860]  Because it's designed specifically for your mouth and mind.
[01:09:28.980 --> 01:09:31.060]  So here's what I'm immediately thinking we should do.
[01:09:31.940 --> 01:09:35.220]  I will put a balloon in your mouth.
[01:09:35.900 --> 01:09:39.800]  And then out of the end of your mouth will be the little balloon nozzle.
[01:09:39.800 --> 01:09:41.380]  And I'll just inflate it.
[01:09:42.080 --> 01:09:44.520]  That seems like a terrible plan.
[01:09:45.860 --> 01:09:49.540]  When it stops, I'll pull the balloon out and that's the size of the spoon.
[01:09:49.980 --> 01:09:52.120]  What do you mean when it stops? It'll keep going until it pops.
[01:09:52.400 --> 01:09:55.800]  No, but that will be the size... that will be the size of the balloon.
[01:09:56.380 --> 01:09:57.560]  It won't... it won't keep going.
[01:09:57.560 --> 01:09:59.480]  The size of your mouth, though. It will be the size of your mouth.
[01:09:59.520 --> 01:10:02.120]  I can't pump more air into the balloon than will fit.
[01:10:03.420 --> 01:10:07.960]  I... I think that balloon is gonna find additional holes. It's gonna create space.
[01:10:07.960 --> 01:10:09.400]  This sounds like how you die.
[01:10:09.920 --> 01:10:14.820]  Are you saying that if I cupped my hand around a deflated balloon and you blew it up, it would open my hands?
[01:10:15.220 --> 01:10:16.500]  Yeah, it would. Wouldn't it?
[01:10:17.260 --> 01:10:21.000]  I think the problem here... I disagree with where Andrew's going with it.
[01:10:21.040 --> 01:10:23.980]  I do think it's a good way to measure mouth size, but I think the problem...
[01:10:23.980 --> 01:10:27.060]  It's a terrible way. It may provide it, but it's a terrible...
[01:10:27.060 --> 01:10:27.240]  Hold on. Hold on.
[01:10:27.780 --> 01:10:32.940]  The problem is when you pull it out, it's gonna assume its natural shape again.
[01:10:33.000 --> 01:10:36.540]  It won't maintain the integrity of the shape that it's filled to in your mouth.
[01:10:36.960 --> 01:10:40.860]  And I think that... So you're gonna lose, like, your depth and your height and your width.
[01:10:40.940 --> 01:10:42.980]  It's just gonna turn back into an oval. You know what I mean?
[01:10:43.240 --> 01:10:47.020]  But if you wanna put a balloon in my mouth and blow it up, I'm all about that.
[01:10:47.320 --> 01:10:48.980]  Well, I think we'll definitely get volume.
[01:10:49.220 --> 01:10:53.000]  We might not get an accurate 3D map, but we'll definitely get volume.
[01:10:53.400 --> 01:10:56.100]  And that's a place to start. That's a data set we need.
[01:10:56.380 --> 01:11:02.160]  We can then displace water with the air-filled balloon to see the volume of your mouth.
[01:11:02.720 --> 01:11:07.240]  Nick, could you also pull that thing that Geoff said about pulling out of things?
[01:11:08.760 --> 01:11:12.920]  I think that's a great one, too, with what Gavin said. I think you got some real...
[01:11:13.580 --> 01:11:17.120]  Alright, well, that'll do it for this episode of F*** Face.
[01:11:18.540 --> 01:11:19.680]  Gonna let it make it out.
[01:11:19.940 --> 01:11:24.680]  Yeah, I thought this picture from Robin Swan was really good, too. Great sandwich.
[01:11:24.740 --> 01:11:25.620]  Oh, that was delicious!
[01:11:26.120 --> 01:11:29.940]  Interesting to put the pesto on top of the cheese and the ham.
[01:11:31.060 --> 01:11:32.880]  That's a lot of tomato. I like that.
[01:11:32.880 --> 01:11:37.100]  You wanna check out some more stuff? F***facepod.com is where you can go check us out.
[01:11:37.240 --> 01:11:42.500]  Check us out on YouTube also. Wow. Really great stuff from three insane men.
[01:11:42.920 --> 01:11:47.840]  Congratulations. If we do the balloon thing, I can't be there because I'm gonna witness a death.
[01:11:48.260 --> 01:11:49.440]  Someone's gonna choke on a balloon and die.
[01:11:49.620 --> 01:11:51.540]  And I refuse to be there for that.
[01:11:51.580 --> 01:11:52.540]  No, no, no.
[01:11:52.560 --> 01:11:56.920]  Yes, that's 100%. Of all the things that we do, that's the thing how somebody dies.
[01:11:56.920 --> 01:12:00.500]  Blow up my mouth with balloon.
[01:12:00.960 --> 01:12:04.240]  So, thank you for listening, and we'll see you next time. Bye!
[01:12:04.440 --> 01:12:05.080]  What if I use a pump?
[01:12:05.520 --> 01:12:07.500]  What if you have to blow it with your mouth?
[01:12:09.160 --> 01:12:11.860]  What if you have to manually blow the balloon up in my mouth?
[01:12:13.380 --> 01:12:14.000]  What do you mean?
[01:12:15.820 --> 01:12:19.180]  Well, like the nozzle's sticking out, right? You have to blow it up like you'd blow a balloon.
[01:12:19.880 --> 01:12:20.880]  That's what I was suggesting.
[01:12:21.280 --> 01:12:24.960]  Oh, mouth-to-mouth? Oh, I thought you were gonna use some sort of a tube or something.
[01:12:24.960 --> 01:12:26.680]  Oh, I'm even more on board.
[01:12:26.760 --> 01:12:28.980]  That's why I said it would look like we were making out.
[01:12:29.380 --> 01:12:32.400]  Oh, yeah, let's fucking get to it, dude. Are you gonna wear a shirt while you do it?
[01:12:33.960 --> 01:12:35.220]  Uh, maybe a button-up.
[01:12:35.620 --> 01:12:36.320]  Do I have to?
[01:12:38.080 --> 01:12:38.720]  Alright, bye.
[01:12:39.720 --> 01:12:42.660]  I'm writing... the smut is just writing itself at this point.
[01:12:43.580 --> 01:12:47.900]  Hey guys, Major League Fan Jack here with a look at next week's episode of F*** Face.
[01:12:48.120 --> 01:12:51.000]  No more animals. It's time to open our own franchise.
[01:12:51.520 --> 01:12:53.460]  Gavin explains the Mandelbrot Fractal.
[01:12:53.460 --> 01:12:54.980]  Andrew has a ball problem.
[01:12:55.280 --> 01:12:57.100]  What do you do on a flight with no phone?
[01:12:57.400 --> 01:12:59.180]  The GTA 6 trailer is out.
[01:12:59.440 --> 01:13:01.300]  The biggest brake shit pull ever.
[01:13:01.800 --> 01:13:03.880]  And once again, Andrew does not eat the pencil.
[01:13:04.240 --> 01:13:06.780]  All that and more on next week's episode of F*** Face.
