[00:04.900 --> 00:06.400]  Previously on F**kface.
[50:50.950 --> 50:52.290]  Oh, I got it to work.
[50:52.470 --> 50:53.630]  I got it to work. Okay.
[50:53.910 --> 50:55.050]  It's a picture of your phone.
[50:55.850 --> 50:55.970]  Nope.
[50:57.250 --> 51:00.010]  Yeah, it's a picture of your phone. Meg is in the middle.
[51:01.770 --> 51:02.490]  It's about...
[51:02.490 --> 51:03.950]  It's about 8... or your watch. Whatever.
[51:04.490 --> 51:04.850]  849.
[51:06.390 --> 51:07.770]  But it says 1430.
[51:08.290 --> 51:09.130]  So you can see them?
[51:09.570 --> 51:10.730]  I see that one image.
[51:11.470 --> 51:13.790]  But I had to download it and then look at it through preview on my Mac.
[51:14.190 --> 51:14.790]  Oh, boy.
[51:15.410 --> 51:16.910]  But I'll do it that way. I don't care.
[51:16.910 --> 51:18.050]  Am I frozen?
[51:18.930 --> 51:19.050]  No.
[51:19.650 --> 51:21.050]  Okay. My screen froze.
[51:21.350 --> 51:24.430]  I am trying to view this file on a PC
[51:24.430 --> 51:26.830]  and it takes me to the Microsoft store
[51:26.830 --> 51:28.950]  and it wants me to pay one dollar
[51:28.950 --> 51:31.570]  to download the thing so I can view the extension
[51:31.570 --> 51:34.130]  and I will outright refuse.
[51:34.710 --> 51:35.410]  It's not...
[51:35.410 --> 51:36.490]  I gotta be honest with you.
[51:36.570 --> 51:38.590]  This picture of Gavin's hairy arm is not worth a dollar.
[51:39.390 --> 51:39.610]  No.
[51:40.670 --> 51:41.650]  Oh, well, damn.
[51:42.070 --> 51:44.410]  So I see a watch. Tech rehearsal.
[51:45.570 --> 51:45.890]  1430.
[51:46.350 --> 51:48.830]  Okay, you'll have to translate the pictures for the other stuff.
[51:49.050 --> 51:49.330]  Okay.
[51:49.890 --> 51:51.730]  It's 36 degrees, 59% on your battery.
[51:52.250 --> 51:53.870]  You want me to tell my shitty story?
[51:54.310 --> 51:54.670]  I don't know.
[51:55.470 --> 51:57.390]  I didn't mean to hype this up.
[51:57.490 --> 51:58.950]  I was debating whether to tell this.
[51:58.990 --> 52:00.090]  I've never told anyone this story.
[52:00.290 --> 52:01.730]  I didn't even tell Meg until last week.
[52:01.790 --> 52:03.310]  And she was like, how have you never told me this story?
[52:04.450 --> 52:07.590]  And I'll be honest, I've just been mildly traumatized by it.
[52:07.630 --> 52:08.750]  I wasn't sure if it was funny.
[52:08.930 --> 52:10.050]  It might not be funny, alright?
[52:10.670 --> 52:11.650]  This might be loud.
[52:14.190 --> 52:15.610]  What is wrong with you?
[52:15.710 --> 52:17.070]  It can't be worse than lactating women.
[52:17.210 --> 52:18.250]  You got this. It's fine.
[52:18.330 --> 52:19.710]  I set the bar real low last week.
[52:20.090 --> 52:21.890]  Okay, so we're in Melbourne, right?
[52:22.350 --> 52:23.710]  We're doing the Age Live Tour.
[52:23.850 --> 52:24.410]  Geoff, you were there.
[52:25.390 --> 52:29.390]  We got to Melbourne, I think it was the day of the tour.
[52:30.190 --> 52:31.130]  What year is the actual date?
[52:31.890 --> 52:32.290]  2019.
[52:33.190 --> 52:33.870]  Okay, 2019.
[52:34.850 --> 52:35.650]  January 2019.
[52:36.090 --> 52:37.030]  So it's winter for us.
[52:37.030 --> 52:39.150]  But we were in Australia, so it was hot as balls.
[52:39.290 --> 52:41.130]  As you can see by my watch there,
[52:42.270 --> 52:43.250]  36 degrees Celsius.
[52:43.390 --> 52:44.390]  It's going to be about 42.
[52:44.450 --> 52:47.030]  I think it ended up being like 43, 44 degrees Celsius.
[52:47.210 --> 52:50.530]  Which is like, I don't know, 112 or something?
[52:50.710 --> 52:51.290]  I don't know, Fahrenheit?
[52:51.470 --> 52:52.010]  It was hot as hell.
[52:52.550 --> 52:53.590]  It definitely was, I remember.
[52:54.370 --> 52:57.410]  And also on my watch you can see I've got tech rehearsal at 2.30.
[52:57.550 --> 52:58.630]  That's all I've got to do that day.
[52:58.990 --> 53:01.050]  Woke up early, went for a stroll.
[53:01.210 --> 53:03.910]  We were in an area of Melbourne, I think called St. Kilda.
[53:04.610 --> 53:05.550]  If I remember correctly.
[53:06.710 --> 53:07.790]  Went for a little walk.
[53:07.870 --> 53:09.250]  There's a little park nearby the hotel.
[53:09.370 --> 53:10.290]  Just sort of strolling around.
[53:10.510 --> 53:11.970]  I found a pier.
[53:12.710 --> 53:15.090]  So I thought, ah, you know, walk down this pier.
[53:15.370 --> 53:17.010]  Look out into the ocean.
[53:17.990 --> 53:21.850]  And I saw that the water was amazingly still.
[53:22.410 --> 53:23.890]  And I was like, this can't,
[53:24.250 --> 53:25.810]  this surely can't be the ocean then.
[53:26.290 --> 53:27.530]  And then I looked on the maps,
[53:27.730 --> 53:29.730]  and I realized it's not the ocean.
[53:29.850 --> 53:31.590]  It's just like a big, what do you call that?
[53:31.650 --> 53:34.110]  Like an inlet, like a big bay by Melbourne.
[53:34.110 --> 53:35.810]  So it's like perfectly still water.
[53:36.010 --> 53:39.050]  And I thought, I've never seen a body of water this big.
[53:39.450 --> 53:40.730]  That looked so still.
[53:41.310 --> 53:42.170]  So then, I thought,
[53:42.450 --> 53:44.050]  I'll take, ah, my thing's too powerful.
[53:44.230 --> 53:45.410]  Hold on, are we going to move to Slack?
[53:45.990 --> 53:47.190]  Might have to move to Slack here.
[53:47.410 --> 53:50.470]  I love watching you struggle with tech stuff.
[53:51.490 --> 53:52.970]  It might be my favorite.
[53:54.030 --> 53:55.070]  Because you're such a little,
[53:55.210 --> 53:57.170]  such a mincy little prick about it usually.
[53:57.570 --> 53:58.910]  When everybody else's stuff goes wrong.
[53:59.350 --> 54:01.890]  Oh, it's 136 megs.
[54:02.210 --> 54:04.450]  Thank you, fell in love with just one.
[54:04.690 --> 54:05.250]  Hey!
[54:05.770 --> 54:07.890]  Okay, I'm sending a video
[54:07.890 --> 54:09.530]  of me filming
[54:09.990 --> 54:11.070]  the very still water.
[54:11.950 --> 54:13.910]  As I was filming it,
[54:14.270 --> 54:15.450]  the wind picked up.
[54:16.250 --> 54:17.410]  Oh, Jack's here.
[54:18.450 --> 54:19.790]  Is he listed?
[54:20.430 --> 54:21.930]  What is happening? Tell your story!
[54:22.270 --> 54:23.190]  What is going on?
[54:23.470 --> 54:24.530]  Where do I see this video?
[54:25.270 --> 54:25.990]  It's in Slack.
[54:27.970 --> 54:28.670]  Oh, Jesus.
[54:29.150 --> 54:30.090]  Now, as you can see,
[54:30.270 --> 54:32.630]  the second I started filming the stillness
[54:32.630 --> 54:34.570]  of the water, the wind picked up
[54:34.570 --> 54:36.470]  and, uh, sort of destroyed the illusion
[54:36.470 --> 54:38.770]  of the still water. So now there's wind blowing everywhere.
[54:38.910 --> 54:40.650]  I'm like, oh man, think of the, what's with the
[54:40.650 --> 54:42.550]  timing of that? Here's my next video.
[54:43.050 --> 54:44.730]  Is this, is this the end of the
[54:44.730 --> 54:46.450]  story? That they got windy? Nope.
[54:46.450 --> 54:48.570]  Okay. Uh, so now, I'm like
[54:48.570 --> 54:50.170]  blown away by how sudden...
[54:50.830 --> 54:52.050]  Eric said this is insane.
[54:52.330 --> 54:54.490]  I'm blown away at how suddenly windy
[54:54.490 --> 54:56.530]  this is. Immediately, like, my
[54:56.530 --> 54:58.510]  AirPod blew out of my ear. I'm chasing it
[54:58.510 --> 55:00.530]  down the pier. I did this little video of my
[55:00.530 --> 55:01.230]  own face.
[55:03.830 --> 55:04.230]  Okay.
[55:05.890 --> 55:06.530]  None of the
[55:06.530 --> 55:08.570]  videos will play for me. It's just the
[55:08.570 --> 55:10.570]  still of the beginning and the audio.
[55:10.570 --> 55:12.250]  You got it. It's just Gavin.
[55:12.470 --> 55:13.110]  It's just Gavin.
[55:14.390 --> 55:15.190]  You're missing
[55:17.050 --> 55:18.530]  nothing. I'm, I'm
[55:18.530 --> 55:20.530]  dead serious when I'm saying that
[55:20.530 --> 55:22.450]  what you're seeing in the first frame
[55:22.450 --> 55:24.190]  is just what the videos are.
[55:24.190 --> 55:26.150]  Gavin is making a case
[55:26.150 --> 55:28.170]  for the elimination of all visual
[55:28.170 --> 55:29.130]  aids going forward.
[55:30.670 --> 55:32.230]  I'm setting the goddamn scene
[55:32.230 --> 55:34.270]  right. Alright. So it's too
[55:34.270 --> 55:35.990]  windy now. The water's ruined.
[55:36.150 --> 55:38.070]  It's not still anymore. My AirPods are blowing
[55:38.070 --> 55:39.830]  out of my face. I'm just like, oh god.
[55:39.950 --> 55:42.050]  It's hot. It's like hot wind. It's
[55:42.050 --> 55:43.870]  not nice. I'm, I'm thinking
[55:43.870 --> 55:45.830]  I'm gonna leave the pier now.
[55:46.030 --> 55:48.170]  So I'm right at the end of the pier. I'm starting to walk all the
[55:48.170 --> 55:50.090]  way back. And the wind
[55:50.090 --> 55:52.030]  is just fiercely blowing against
[55:52.030 --> 55:54.090]  me to the point where it's like I'm walking against a
[55:54.090 --> 55:55.970]  wall. And, uh, the
[55:55.970 --> 55:57.410]  St. Kilda Pier
[55:58.530 --> 55:59.250]  has this
[56:00.750 --> 56:02.090]  interesting, like, curb
[56:02.090 --> 56:03.330]  thing going up it.
[56:03.710 --> 56:05.070]  Right? You see that on the picture? Yeah.
[56:05.870 --> 56:07.890]  I'm not sure if it's like some sort of water break or
[56:07.890 --> 56:09.930]  I don't know what it's for. Okay. In the map
[56:09.930 --> 56:11.330]  picture, we're going back there. Okay.
[56:11.990 --> 56:13.930]  Oh, sorry. I'll put it in the discord. Put it in the discord.
[56:14.050 --> 56:14.790]  There we go. Blam.
[56:15.810 --> 56:16.170]  Nope.
[56:17.710 --> 56:19.430]  I gotta go back to the sla- okay.
[56:19.430 --> 56:21.650]  Yes, I see the pier. Okay. Yeah, you have to
[56:21.650 --> 56:22.130]  alt-tab.
[56:23.890 --> 56:25.330]  I feel like I'm part of a
[56:25.330 --> 56:26.450]  choose-your-own-adventure.
[56:28.290 --> 56:29.490]  So I'm just, uh,
[56:29.710 --> 56:31.450]  you know, like a child. So I'm walking back up
[56:31.450 --> 56:33.310]  the pier and I'm, like, jumping up on the curb and, like,
[56:33.330 --> 56:35.390]  hopping back down. But sometimes
[56:35.390 --> 56:37.450]  the wind is so strong I can't, like,
[56:37.570 --> 56:39.510]  step up onto the curb. So I'm, like,
[56:39.590 --> 56:41.250]  stepping against the wind. I'm getting-
[56:41.250 --> 56:43.510]  I'm trying to step up one step and I'm getting blown back
[56:43.510 --> 56:45.470]  like five steps. Uh, I've
[56:45.470 --> 56:47.170]  never really felt wind like it all of a sudden.
[56:47.170 --> 56:49.310]  There was one other person on the pier.
[56:49.470 --> 56:51.250]  It was this sort of, probably, like, 50
[56:51.250 --> 56:52.790]  year old dude walking
[56:52.790 --> 56:54.650]  the other way. Walking opposite.
[56:55.390 --> 56:56.570]  And I could see him coming in the distance.
[56:57.110 --> 56:59.230]  And, uh, I'm trying to step back
[56:59.230 --> 57:01.230]  up on this curb. I get blown backwards.
[57:01.570 --> 57:03.110]  But the wind is
[57:03.110 --> 57:04.970]  hitting him in the back. And suddenly
[57:04.970 --> 57:07.330]  this massive gust slams
[57:07.330 --> 57:08.910]  me backwards like ten steps.
[57:09.390 --> 57:11.270]  And it honestly looked like
[57:11.270 --> 57:13.170]  it lifted him up in the air. It was like when
[57:13.170 --> 57:15.130]  Wee Man opened the parachute in front of that
[57:15.130 --> 57:16.810]  fan, he went
[57:16.810 --> 57:19.210]  flying! He went sailing
[57:19.210 --> 57:21.190]  towards me as I'm going sailing back.
[57:21.890 --> 57:22.270]  And, uh,
[57:23.070 --> 57:25.130]  completely ate shit over this weird
[57:25.130 --> 57:27.330]  curb. To the point where he ended up
[57:27.330 --> 57:29.090]  slumped over it. Like, his legs were
[57:29.090 --> 57:31.130]  on the wide side and his head was on, like, the narrow
[57:31.130 --> 57:32.790]  side. And, uh,
[57:33.110 --> 57:35.030]  I was like, oh, Jesus! And I'm trying to run
[57:35.030 --> 57:37.170]  towards him, but the wind is pushing him back.
[57:37.530 --> 57:38.970]  And I was like, Joe, you all right?
[57:39.490 --> 57:40.810]  And, uh, he stood up.
[57:41.650 --> 57:43.370]  And I guess his arm
[57:43.370 --> 57:44.970]  had caught that metal bit.
[57:45.770 --> 57:47.110]  And as he stood up,
[57:47.150 --> 57:49.110]  from, like, the inside of his elbow
[57:49.550 --> 57:51.650]  to, like, halfway up his bicep
[57:51.650 --> 57:52.810]  was just
[57:53.470 --> 57:55.150]  gaping open. And I was like,
[57:55.230 --> 57:57.390]  I was like, oh my God!
[57:57.710 --> 57:59.330]  Oh, Jesus! And I was like,
[57:59.390 --> 58:01.390]  do you want me to call you an ambulance?
[58:01.510 --> 58:03.430]  And he was like, no, no!
[58:03.710 --> 58:04.470]  And I was like,
[58:05.590 --> 58:07.170]  absolutely not. And I was like,
[58:07.370 --> 58:09.510]  no, you, dude, hold that
[58:09.510 --> 58:11.330]  close. It's like, there's so much
[58:11.330 --> 58:13.150]  blood! And it's like, I can see
[58:13.150 --> 58:15.290]  into your arm! And he was like, no, no,
[58:15.350 --> 58:17.370]  no, no, don't need an ambulance. And I'm like
[58:17.370 --> 58:18.850]  picking up my phone to call an ambulance.
[58:19.090 --> 58:21.410]  At this point, I realized, no idea what the emergency
[58:21.410 --> 58:23.290]  number is in Australia. Later found out
[58:23.290 --> 58:25.390]  it was 000, but that's good to know
[58:25.390 --> 58:27.310]  now. So I didn't know that. So I started
[58:27.310 --> 58:29.350]  holding down the power
[58:29.350 --> 58:31.350]  button on the phone, because that also lets
[58:31.350 --> 58:33.350]  you call emergency. And at that point, my
[58:33.350 --> 58:35.270]  phone was going like, whoop, whoop!
[58:35.470 --> 58:37.390]  As in to be like, you're about to call emergency. He heard
[58:37.390 --> 58:39.490]  that. He's like, don't do it! And I was like,
[58:39.490 --> 58:41.850]  but you need, you need like 20 stitches,
[58:41.950 --> 58:43.570]  man. And he's like, he's like, I'll
[58:43.570 --> 58:45.670]  go on my own. And we start walking.
[58:46.490 --> 58:47.450]  We start walking
[58:47.450 --> 58:49.050]  back down the pier. I'm behind him.
[58:49.250 --> 58:51.490]  And, uh, he's like struggling to
[58:51.490 --> 58:53.690]  hold his arm shut to the point where he stops.
[58:54.110 --> 58:55.130]  And, uh, I'm like,
[58:55.290 --> 58:57.630]  do you need me to like, do you want me to take my shirt off
[58:57.630 --> 58:59.290]  and like wrap it around you? And he's like,
[58:59.490 --> 59:01.250]  he was like, no, no, no. And at that point,
[59:01.290 --> 59:03.510]  while he was facing me back down
[59:03.510 --> 59:05.410]  the pier and I'm facing up, up
[59:05.410 --> 59:07.070]  the pier, the wind
[59:07.070 --> 59:08.270]  kicks up again.
[59:08.670 --> 59:10.950]  And it blew what felt like
[59:10.950 --> 59:12.330]  half a pint of his blood
[59:12.970 --> 59:13.770]  all over me.
[59:14.790 --> 59:17.090]  In my face, in my mouth,
[59:17.150 --> 59:18.670]  in my eyes, I'm suddenly,
[59:19.470 --> 59:20.870]  I watched like
[59:20.870 --> 59:22.870]  a flow of blood come out of his arm
[59:22.870 --> 59:24.670]  and just take to the wind.
[59:25.330 --> 59:26.970]  Splattered out like a big web
[59:26.970 --> 59:29.010]  and absolutely went all
[59:29.010 --> 59:31.010]  over me. And I'm, at this point, I'm just like
[59:31.010 --> 59:31.890]  aah!
[59:33.430 --> 59:35.010]  And I'm like, no, we gotta
[59:35.010 --> 59:36.610]  go turn around. And I'm like,
[59:37.510 --> 59:39.370]  I'm trying to do it without swallowing.
[59:40.430 --> 59:41.130]  Like we get
[59:41.130 --> 59:43.090]  to the end of the pier and he's like, I'm
[59:43.090 --> 59:44.550]  good from here. And I'm like, you're not!
[59:45.130 --> 59:46.990]  Hold on! And I, and I'm trying
[59:46.990 --> 59:49.230]  to like clean his blood out of my eyes and mouth.
[59:49.790 --> 59:51.030]  And in the distance, like back
[59:51.030 --> 59:53.170]  through the park I walked through, I remember I saw
[59:53.170 --> 59:54.870]  a water fountain. So I
[59:54.870 --> 59:56.450]  sprinted over to it.
[59:57.290 --> 59:59.050]  Lent over it. I'm like, I need to wash out my
[59:59.050 --> 01:00:00.750]  eyes and mouth and I'm still not,
[01:00:00.910 --> 01:00:02.710]  I'm still trying not to swallow his blood.
[01:00:02.710 --> 01:00:04.830]  So I'm hunched over the water fountain,
[01:00:04.930 --> 01:00:06.930]  the drinking fountain, holding down the button,
[01:00:07.030 --> 01:00:08.850]  but the freaking wind is blowing
[01:00:08.850 --> 01:00:10.210]  all the water away from my mouth!
[01:00:10.470 --> 01:00:12.970]  It's like blowing all around! I'm just like, I can't
[01:00:12.970 --> 01:00:14.530]  I can't get any in my mouth!
[01:00:14.650 --> 01:00:15.890]  I'm like, lent over, I'm like, aah!
[01:00:16.470 --> 01:00:18.750]  And I can't, it's like completely dry and the
[01:00:18.750 --> 01:00:20.290]  water's flicking, going all over the place.
[01:00:20.610 --> 01:00:22.690]  So I'm like shimmying around in a circle trying to
[01:00:22.690 --> 01:00:24.870]  block the wind, looking like an insane person,
[01:00:25.310 --> 01:00:26.910]  washing, trying to wash out my eyes
[01:00:26.910 --> 01:00:28.810]  and mouth and face. And then I
[01:00:29.610 --> 01:00:30.810]  I ran back to the
[01:00:30.810 --> 01:00:32.590]  end of the pier because I wanted to see what happened to this guy.
[01:00:32.670 --> 01:00:35.390]  And I can't find him, but I can find the blood trail.
[01:00:35.810 --> 01:00:36.830]  Oh my God!
[01:00:37.110 --> 01:00:38.830]  So I'm following these drips of blood
[01:00:38.830 --> 01:00:41.030]  and it went to this little car park.
[01:00:41.470 --> 01:00:42.950]  So I assume he got in a car
[01:00:42.950 --> 01:00:44.710]  or like someone was waiting for him in a car
[01:00:44.710 --> 01:00:46.570]  or something, because he immediately left
[01:00:46.570 --> 01:00:48.490]  and there was no more blood. And I spent
[01:00:49.070 --> 01:00:50.790]  15-20 minutes looking around to see
[01:00:50.790 --> 01:00:52.830]  if I could see him or like see if he'd passed out
[01:00:52.830 --> 01:00:54.610]  in a bush or something or see any more blood.
[01:00:55.150 --> 01:00:56.870]  Couldn't find him. And then, uh,
[01:00:57.130 --> 01:00:58.770]  I sort of, this is where all the pictures
[01:00:58.770 --> 01:01:00.890]  have ended, by the way, because I'm no longer
[01:01:00.890 --> 01:01:02.130]  providing official aids.
[01:01:03.610 --> 01:01:04.650]  And, uh, I sort of
[01:01:05.190 --> 01:01:06.870]  thousand yards stared my way
[01:01:06.870 --> 01:01:08.610]  back to the hotel and
[01:01:08.610 --> 01:01:10.290]  as I was walking up to the hotel, I was like,
[01:01:10.790 --> 01:01:12.790]  oh, I'm covered in blood. I'm
[01:01:12.790 --> 01:01:14.790]  covered in what might be a dead guy's blood.
[01:01:15.170 --> 01:01:16.550]  All up from head to toe.
[01:01:17.110 --> 01:01:18.010]  And I just
[01:01:18.750 --> 01:01:20.670]  powered in the front door of the hotel right
[01:01:20.670 --> 01:01:22.670]  past the desk, straight into the lift,
[01:01:23.250 --> 01:01:24.630]  took my shirt off. I was like
[01:01:24.630 --> 01:01:26.450]  scrubbing all the blood off in the bath.
[01:01:26.450 --> 01:01:28.530]  I took a shower and I ended up just crying
[01:01:28.530 --> 01:01:29.390]  in the shower.
[01:01:29.950 --> 01:01:32.750]  And I was just,
[01:01:32.910 --> 01:01:34.630]  I ended up just so traumatized
[01:01:34.630 --> 01:01:36.010]  by it. I was like, I can't believe it happened.
[01:01:36.190 --> 01:01:38.570]  And I didn't really do a good job. Like I didn't really even help
[01:01:38.570 --> 01:01:39.750]  him. I hope he's all right.
[01:01:40.450 --> 01:01:42.610]  And, uh, I never told anyone
[01:01:42.610 --> 01:01:44.570]  that story that whole day.
[01:01:44.670 --> 01:01:46.410]  I just couldn't bring myself to like bring
[01:01:46.410 --> 01:01:47.710]  my mind back to that place.
[01:01:48.370 --> 01:01:50.430]  Cause I kept seeing like all the intense visuals
[01:01:50.430 --> 01:01:52.550]  of his open flesh. I'm not very
[01:01:52.550 --> 01:01:54.470]  good with blood. And then we did like the whole show.
[01:01:54.470 --> 01:01:56.130]  This was like the end of the show that night
[01:01:56.130 --> 01:01:58.630]  where we'd been doing, uh, we'd been
[01:01:58.630 --> 01:02:00.390]  chugging beer and running around playing Mary
[01:02:00.390 --> 01:02:02.490]  Cart. And at some point I just ended up lying on the
[01:02:02.490 --> 01:02:04.510]  floor of the stage, just reflecting on the day
[01:02:04.510 --> 01:02:06.510]  as a whole. Why don't I have a shirt on
[01:02:06.510 --> 01:02:07.390]  in this fucking photo?
[01:02:08.090 --> 01:02:10.290]  I don't know. It's very similar to now.
[01:02:10.730 --> 01:02:12.430]  Yeah. So that was, uh,
[01:02:12.610 --> 01:02:14.150]  that's my Australia story. That was Melbourne.
[01:02:15.130 --> 01:02:16.290]  Um... I feel like you
[01:02:16.290 --> 01:02:18.570]  encountered Anton Chigurh on a fucking
[01:02:18.570 --> 01:02:20.250]  pier. Like that's the only
[01:02:20.250 --> 01:02:22.470]  like the unwillingness to
[01:02:22.470 --> 01:02:24.630]  get help when his arm is clearly
[01:02:24.630 --> 01:02:26.930]  like fucked. Dude. Just completely.
[01:02:27.770 --> 01:02:28.410]  The guy was aggressively having
[01:02:28.410 --> 01:02:30.510]  none of my help. He was probably
[01:02:30.510 --> 01:02:32.550]  a criminal and he didn't want the cops to come.
[01:02:32.830 --> 01:02:34.490]  He didn't want the ambulance to come. That's what I'm saying.
[01:02:34.810 --> 01:02:36.490]  They'd have to run his, yeah, he's probably like, it could
[01:02:36.490 --> 01:02:38.670]  have been like... Anton Chigurh. Yeah, Anton Chigurh
[01:02:38.670 --> 01:02:40.670]  or like just some like New York Mafia guy
[01:02:40.670 --> 01:02:41.870]  who's hiding out in Australia.
[01:02:42.430 --> 01:02:43.810]  Like no police, no cops, no cops.
[01:02:44.270 --> 01:02:46.610]  I was like zoning in and out for the rest
[01:02:46.610 --> 01:02:48.050]  of that Australia trip of just like,
[01:02:48.370 --> 01:02:50.450]  oh God, I can't believe what happened that night.
[01:02:51.070 --> 01:02:52.450]  And it wasn't even that
[01:02:52.450 --> 01:02:54.090]  bad. Like, it's not like I've watched someone
[01:02:54.790 --> 01:02:56.290]  get hit by a car or something.
[01:02:56.370 --> 01:02:58.230]  It would be much more worse. It was just the
[01:02:58.870 --> 01:03:00.330]  speed that he went from
[01:03:00.330 --> 01:03:02.150]  just strolling down the pier to
[01:03:02.150 --> 01:03:04.330]  severely injured from nowhere.
[01:03:04.490 --> 01:03:06.450]  Just like resonated weird with me.
[01:03:06.490 --> 01:03:08.350]  I felt so icky after that. I was like, oh.
[01:03:08.590 --> 01:03:10.430]  And then I was also worried that I, you know,
[01:03:10.430 --> 01:03:12.350]  had some sort of foreign blood
[01:03:12.350 --> 01:03:14.430]  borne illness in my eyes and mouth. So there was
[01:03:14.430 --> 01:03:15.990]  that fear as well. I was like, do I
[01:03:15.990 --> 01:03:18.470]  go to a doctor now? Do I tell people about
[01:03:18.470 --> 01:03:20.490]  this? I just
[01:03:20.490 --> 01:03:22.610]  didn't know what to do. So I ended up flying home with a bloody
[01:03:22.610 --> 01:03:23.250]  t-shirt.
[01:03:24.310 --> 01:03:25.930]  You saved the t-shirt?
[01:03:26.590 --> 01:03:28.410]  Yeah. And I don't know if you can tell from the
[01:03:28.410 --> 01:03:30.470]  windy video I
[01:03:30.470 --> 01:03:32.670]  posted earlier. Nice white t-shirt
[01:03:32.670 --> 01:03:34.330]  that was. Really showed all the blood.
[01:03:34.450 --> 01:03:36.610]  Real good. Gavin, I'm going to show you the perspective
[01:03:36.610 --> 01:03:38.310]  I got from your windy video.
[01:03:39.170 --> 01:03:40.450]  This is what I saw.
[01:03:40.630 --> 01:03:42.430]  Just that and wind blowing.
[01:03:45.850 --> 01:03:46.730]  This was
[01:03:46.730 --> 01:03:47.170]  the other
[01:03:47.170 --> 01:03:48.950]  perspective I got. It was just
[01:03:48.950 --> 01:03:51.070]  this image with the audio of
[01:03:51.070 --> 01:03:53.150]  wind blowing. That was all the
[01:03:53.150 --> 01:03:54.990]  visual aid that I got. But I guess I do see the
[01:03:54.990 --> 01:03:56.410]  shirt. That is a very white shirt.
[01:03:56.950 --> 01:03:58.930]  It's a very white shirt. And as you can see
[01:03:58.930 --> 01:04:00.990]  from the picture of me on stage, I changed my
[01:04:00.990 --> 01:04:02.730]  shirt. You still have the shirt
[01:04:02.730 --> 01:04:03.730]  that's covered in blood?
[01:04:04.490 --> 01:04:06.790]  I think I've mainly washed out.
[01:04:06.890 --> 01:04:08.790]  I think I washed out because I don't remember it.
[01:04:08.990 --> 01:04:12.410]  That'd be wild. Honestly, my
[01:04:12.410 --> 01:04:14.070]  brain has never seen this as a funny event.
[01:04:14.370 --> 01:04:16.310]  It's just trying to repress it
[01:04:16.310 --> 01:04:17.070]  as much as possible.
[01:04:17.750 --> 01:04:19.710]  I don't know why I stopped taking photos.
[01:04:20.690 --> 01:04:22.390]  It's very un-me-like
[01:04:22.390 --> 01:04:24.310]  to not document what happened afterwards.
[01:04:24.770 --> 01:04:25.790]  Well, you were traumatized.
[01:04:26.870 --> 01:04:27.990]  I couldn't believe it.
[01:04:27.990 --> 01:04:30.010]  You were experiencing trauma in the moment.
[01:04:31.450 --> 01:04:32.490]  You're right. It's not funny
[01:04:32.490 --> 01:04:34.410]  at all. It's like when I told the story about finding the old
[01:04:34.410 --> 01:04:36.350]  lady who had fallen down in the
[01:04:36.350 --> 01:04:38.310]  woods by my house. There's nothing funny
[01:04:38.310 --> 01:04:39.930]  about it. It's just a bizarre
[01:04:40.550 --> 01:04:40.910]  circumstance.
[01:04:42.350 --> 01:04:44.110]  That's one of the craziest stories
[01:04:44.110 --> 01:04:45.450]  I have ever heard in my life.
[01:04:45.790 --> 01:04:47.750]  I can't believe when you teased it the other day
[01:04:47.750 --> 01:04:50.210]  you said you were afraid it might be a C-story.
[01:04:50.750 --> 01:04:52.050]  Well, it's just not very
[01:04:52.050 --> 01:04:53.970]  funny. It's like funny
[01:04:53.970 --> 01:04:56.250]  because it's not funny. It doesn't have to be funny. It's insane.
[01:04:56.750 --> 01:04:57.730]  I told Meg
[01:04:57.730 --> 01:04:59.970]  and she could not believe I'd
[01:04:59.970 --> 01:05:00.370]  never told her.
[01:05:01.230 --> 01:05:03.450]  I was like, do you think it'd be good for f***face?
[01:05:03.550 --> 01:05:05.710]  She'd be like, oh, you've got to tell that
[01:05:05.710 --> 01:05:05.990]  on there.
[01:05:05.990 --> 01:05:06.650]  Yeah.
[01:05:08.450 --> 01:05:09.970]  That also goes to show you
[01:05:09.970 --> 01:05:11.990]  how f***ing precarious and
[01:05:11.990 --> 01:05:13.290]  fragile life is.
[01:05:13.810 --> 01:05:15.610]  A gust of wind
[01:05:15.610 --> 01:05:17.410]  took that guy out.
[01:05:18.650 --> 01:05:19.030]  In
[01:05:19.830 --> 01:05:21.070]  fairness, it was a
[01:05:21.750 --> 01:05:23.850]  probably the biggest wind I've ever felt.
[01:05:24.330 --> 01:05:25.490]  And I've lived with you for
[01:05:25.490 --> 01:05:26.370]  10 years.
[01:05:28.790 --> 01:05:29.730]  Dude, that's a f***ing...
[01:05:29.730 --> 01:05:31.230]  I don't know how you've held on to that story
[01:05:31.990 --> 01:05:32.950]  since 2019.
[01:05:34.830 --> 01:05:35.230]  Yeah,
[01:05:35.390 --> 01:05:36.830]  that you haven't... I would be
[01:05:36.830 --> 01:05:38.570]  convinced that I was going to be a
[01:05:38.570 --> 01:05:40.610]  28 Days Later zombie immediately
[01:05:40.610 --> 01:05:43.150]  as soon as I got covered in blood. Everybody would know.
[01:05:43.470 --> 01:05:44.270]  I'd be screaming.
[01:05:44.910 --> 01:05:46.090]  I would not handle that well.
[01:05:46.910 --> 01:05:48.670]  No kidding. I would have been like, don't touch me!
[01:05:48.730 --> 01:05:50.050]  I have AIDS. I have AIDS now.
