[00:07.530 --> 00:08.250]  We're live!
[42:40.120 --> 42:41.580]  Well, there's like, no, no, no more cheating.
[42:42.220 --> 42:44.360]  Probably a no-hitter, but no-cheater.
[42:44.580 --> 42:45.040]  That's what we call him.
[42:45.400 --> 42:49.200]  Shane Bieber, Jonathan Oviedo, Dylan Cease.
[42:49.580 --> 42:51.560]  Oh, here's a cool Estuary Ruiz card.
[42:52.340 --> 42:53.320]  Oh, I like the way you said that.
[42:53.340 --> 42:53.660]  Say it again.
[42:55.040 --> 42:55.760]  Estuary Ruiz?
[42:55.760 --> 42:56.740]  I don't know, but the way you said it
[42:56.740 --> 42:57.460]  sounded really cool.
[42:57.480 --> 42:57.880]  Isn't that right?
[42:58.500 --> 42:58.680]  Yeah.
[42:58.760 --> 42:59.860]  I think you said it correctly.
[42:59.860 --> 43:00.340]  I think it's Ruiz, yeah.
[43:01.220 --> 43:01.980]  But look at the card.
[43:02.680 --> 43:03.780]  It's like saying, like, little Lily.
[43:04.040 --> 43:05.980]  He's got little, he's got little,
[43:06.340 --> 43:08.660]  he had mitts on his gloves, his little sliding gloves.
[43:08.920 --> 43:09.400]  Little sliders?
[43:09.840 --> 43:10.020]  Yeah.
[43:10.440 --> 43:11.260]  Jazz Chisholm.
[43:11.400 --> 43:12.340]  I don't like them, but they're smart.
[43:12.640 --> 43:13.960]  He just made a mistake and he's like,
[43:14.000 --> 43:16.180]  oh, I'm so sorry, I didn't mean to freak that up.
[43:16.460 --> 43:17.100]  He's jazzed.
[43:17.120 --> 43:17.520]  He's jazzed.
[43:18.240 --> 43:18.880]  That's a show.
[43:19.100 --> 43:20.000]  I'm jazzed, right?
[43:21.160 --> 43:23.260]  Yeah, it comes on after A Thousand Pound Sisters.
[43:23.720 --> 43:24.820]  Tyler Soderstrom.
[43:24.940 --> 43:25.380]  Awesome.
[43:26.860 --> 43:27.740]  Dominic Canzone.
[43:27.980 --> 43:29.360]  If my name was Dominic Canzone,
[43:29.440 --> 43:30.600]  I'd change my name to Calzone.
[43:30.820 --> 43:32.040]  I'd be like, I'm Dominic Calzone.
[43:32.300 --> 43:32.760]  I'm with you.
[43:33.060 --> 43:33.720]  Fulton Carroll, Rookie Cup.
[43:33.820 --> 43:34.220]  That's nice.
[43:34.320 --> 43:35.460]  Is that a variation?
[43:35.860 --> 43:36.260]  New.
[43:36.980 --> 43:38.140]  And then Chris Taylor.
[43:38.460 --> 43:39.800]  Okay, moving along.
[43:40.160 --> 43:41.060]  These aren't...
[43:41.060 --> 43:44.480]  Which thing has been the most value so far, do you think?
[43:47.780 --> 43:49.720]  Maybe that photo card we got.
[43:50.440 --> 43:50.960]  Uh...
[43:52.100 --> 43:53.140]  What else did we get?
[43:53.540 --> 43:54.340]  I don't remember.
[43:54.360 --> 43:55.080]  Home run cards.
[43:55.600 --> 43:56.540]  Oh, you got the Nakey card.
[43:57.220 --> 43:58.020]  The Nakey card.
[43:59.080 --> 44:00.140]  That's probably it, huh?
[44:00.200 --> 44:00.760]  Maybe, yeah.
[44:02.280 --> 44:05.300]  Yuri Perez, Brendan Rogers, Seth Lugo,
[44:05.540 --> 44:08.180]  Ronald Acuna Jr., Emanuel Clase,
[44:08.580 --> 44:11.380]  David Bednor, Miguel Amaya,
[44:11.600 --> 44:13.360]  Clay Holmes, that's the Reds.
[44:13.440 --> 44:17.020]  Flip it over and we've got a foil Logan Allen card.
[44:17.200 --> 44:18.000]  Man, I wish I had rookies.
[44:18.380 --> 44:19.020]  Paul Goldschmidt.
[44:19.580 --> 44:21.440]  Nathaniel Lowe, Victor Medeiros, Pete Alonzo.
[44:21.560 --> 44:22.480]  Not a single...
[44:22.480 --> 44:23.740]  Oh, we got that, we got a...
[44:23.740 --> 44:26.120]  Dogshit stars of the MLB, Ellie Daly-Crews,
[44:26.160 --> 44:27.420]  but I think that's the only one we've got so far.
[44:27.480 --> 44:27.700]  Yeah.
[44:28.320 --> 44:28.760]  Unfortunately.
[44:29.000 --> 44:29.980]  No Jason Dominguez at all.
[44:30.180 --> 44:31.980]  Christian Javier, Nolan Arenado,
[44:34.080 --> 44:34.960]  Gray Kissinger.
[44:35.300 --> 44:36.420]  I wonder if he's related to Henry Kissinger.
[44:36.620 --> 44:36.860]  Yeah.
[44:37.020 --> 44:38.880]  Merrill Kelly, Anthony Volpe,
[44:39.720 --> 44:42.500]  Elias Diaz, Jaron Duran, Sterling Mart...
[44:42.500 --> 44:43.100]  How do you say it?
[44:43.360 --> 44:43.800]  Marte.
[44:44.080 --> 44:45.000]  Sterling Marte.
[44:45.460 --> 44:46.260]  Sterling Marte.
[44:46.380 --> 44:47.000]  Sterling Marte.
[44:47.140 --> 44:47.260]  Excuse me.
[44:47.260 --> 44:47.760]  Three dickheads.
[44:47.760 --> 44:49.020]  Three dickheads.
[44:49.140 --> 44:49.660]  Byron Buxton.
[44:50.060 --> 44:50.700]  Oh, that's cool.
[44:50.820 --> 44:51.220]  That's parallels.
[44:51.640 --> 44:52.420]  Nobody has a year.
[44:52.540 --> 44:54.560]  Gladdy Jr., Bobby Witt Jr.
[44:55.240 --> 44:58.480]  Someone in the chat named Zimmerzone asked,
[44:59.540 --> 45:01.360]  is Clutch My Pearls podcast any good?
[45:01.780 --> 45:02.060]  Nope.
[45:02.340 --> 45:03.460]  Nope, fucking sucks.
[45:03.620 --> 45:04.460]  Yeah, I'd skip it.
[45:04.580 --> 45:04.720]  I don't know what they're doing.
[45:05.260 --> 45:07.000]  But you should still like and subscribe and listen,
[45:07.180 --> 45:08.720]  leave a review and all that stuff.
[45:08.960 --> 45:11.700]  And you know, when we have a Patreon, like, what's up?
[45:11.740 --> 45:13.820]  This also isn't any good, what we're doing.
[45:14.480 --> 45:15.560]  I thought it'd be like this.
[45:15.660 --> 45:16.380]  But you're here.
[45:16.560 --> 45:17.060]  You're here.
[45:17.060 --> 45:17.900]  You fucking dummy.
[45:17.920 --> 45:20.180]  Dave Meyers, Miguel Waka, Sal Freelick.
[45:20.280 --> 45:21.920]  Wait, wait, don't just blow through the Padre.
[45:22.180 --> 45:23.660]  Oh, I'm sorry, hold on, let's go back.
[45:24.940 --> 45:25.620]  Miguel Waka.
[45:25.960 --> 45:26.660]  Michael Waka.
[45:26.740 --> 45:26.960]  Waka, Waka.
[45:27.120 --> 45:27.420]  Thank you.
[45:27.420 --> 45:27.860]  Michael Waka.
[45:28.180 --> 45:28.680]  Thank you.
[45:28.920 --> 45:32.660]  Right, Ryan Nelson, It's the Angels.
[45:32.660 --> 45:33.440]  I'm sitting up.
[45:33.780 --> 45:35.100]  Adley Rutschman.
[45:35.260 --> 45:36.100]  I keep moving around.
[45:36.260 --> 45:37.820]  Ooh, look at that one.
[45:37.860 --> 45:38.360]  You like them.
[45:38.580 --> 45:39.200]  Look at it.
[45:39.380 --> 45:42.560]  I like how all of their Padre cards,
[45:42.620 --> 45:44.320]  or most of them that I've noticed,
[45:45.240 --> 45:46.640]  have the cool, like...
[45:46.640 --> 45:48.360]  I love them.
[45:48.600 --> 45:50.400]  I didn't like the City Connect when it came out.
[45:50.580 --> 45:52.240]  And then as more City Connects came out,
[45:52.320 --> 45:53.620]  I liked it because at least it's something.
[45:53.820 --> 45:57.760]  Well, it's like the Spurs will do that colorway sometimes.
[45:58.680 --> 45:59.400]  And then...
[45:59.400 --> 46:01.980]  I showed Gus a picture of the creature dressed like Batman.
[46:02.520 --> 46:03.140]  Oh, gosh.
[46:03.780 --> 46:04.760]  Does that happen a lot?
[46:04.860 --> 46:05.700]  Do they do that intentionally?
[46:05.800 --> 46:06.300]  Is it a bit?
[46:06.660 --> 46:08.080]  No, it's when a bat comes into the arena.
[46:08.080 --> 46:09.100]  I know, but it happens enough
[46:09.100 --> 46:10.680]  that he's able to put his little costume on.
[46:10.720 --> 46:12.040]  I've just seen it a couple of times, you know?
[46:12.180 --> 46:14.340]  I think maybe there's a lot of bats in San Antonio.
[46:14.540 --> 46:15.960]  We're gonna see the creature in March.
[46:15.960 --> 46:16.780]  Yeah, I've heard.
[46:16.960 --> 46:17.980]  Oh, Jackson.
[46:18.300 --> 46:18.980]  That's a cool one.
[46:19.100 --> 46:19.500]  That's cool.
[46:19.600 --> 46:20.360]  80-pound throwback.
[46:20.820 --> 46:22.200]  Henry Davis stars the MLB.
[46:22.280 --> 46:22.900]  That's nice.
[46:23.540 --> 46:25.740]  Sidane Raffaella, Jonathan Indian, Bruce...
[46:26.180 --> 46:27.320]  I saw a Wemby.
[46:27.480 --> 46:30.680]  Have you seen the Wemby billboard on I-35?
[46:31.020 --> 46:31.440]  No.
[46:31.720 --> 46:33.260]  He has his arms stretched out
[46:33.260 --> 46:35.140]  with HEV bags all along them.
[46:35.140 --> 46:35.380]  Oh, that's cool.
[46:35.440 --> 46:36.920]  Oh, I can see how many HEV bags I am.
[46:36.940 --> 46:37.120]  Yeah.
[46:37.340 --> 46:38.420]  I'm 13 ice creams.
[46:38.820 --> 46:39.060]  Yeah.
[46:40.000 --> 46:42.360]  You gotta be at least 15 ice creams to be in the NBA.
[46:42.540 --> 46:43.320]  Yeah, you need to be.
[46:43.960 --> 46:45.820]  Matt McClain, Curtis Meade.
[46:46.440 --> 46:47.400]  Wonder if he...
[46:47.400 --> 46:49.120]  It's one of those dudes that makes his own Meade
[46:49.120 --> 46:49.800]  because it's his name.
[46:49.880 --> 46:50.460]  Because it's his name?
[46:50.560 --> 46:51.080]  He has to?
[46:51.160 --> 46:51.420]  Yeah, I would do that.
[46:51.860 --> 46:56.280]  Abner Uribe, Griffin Caning, Joe Musgrove.
[46:56.300 --> 46:56.880]  There you go.
[46:57.240 --> 46:59.760]  Holton Couser, Kyle Freeland.
[47:00.100 --> 47:02.420]  Ooh, Ronnie Mauricio, Ricky.
[47:02.500 --> 47:03.300]  That's cool.
[47:03.920 --> 47:06.100]  So that Kyle Freeland card right there?
[47:06.240 --> 47:06.480]  Yeah.
[47:06.560 --> 47:07.680]  That's the one that you got?
[47:07.900 --> 47:08.300]  That's the one.
[47:08.420 --> 47:08.760]  There you go.
[47:08.840 --> 47:09.820]  Thank you so much.
[47:10.020 --> 47:11.200]  So that's what the normal one looks like.
[47:11.200 --> 47:12.080]  That's like the third time
[47:12.080 --> 47:13.480]  we've seen this specific card.
[47:13.620 --> 47:14.980]  Well, he's all wrapped up in here.
[47:15.300 --> 47:15.760]  I'll nake him.
[47:15.760 --> 47:16.160]  Yeah, it's okay.
[47:16.280 --> 47:16.540]  It's okay.
[47:16.660 --> 47:19.020]  But yeah, so that's what it normally looks like.
[47:19.020 --> 47:19.180]  Cool.
[47:19.920 --> 47:20.640]  Ryan Geoffers.
[47:20.880 --> 47:22.340]  It's like turning the HUD off in a video game.
[47:22.480 --> 47:22.700]  Yeah, yeah.
[47:22.900 --> 47:23.260]  That's neat.
[47:23.720 --> 47:23.840]  Yeah.
[47:24.060 --> 47:24.520]  My head.
[47:25.060 --> 47:25.720]  Heads up this way.
[47:25.740 --> 47:26.780]  Heads up this way.
[47:27.060 --> 47:29.500]  Speaking of, your car has that and I fucking hate it.
[47:29.600 --> 47:30.780]  I cannot pay attention.
[47:31.240 --> 47:32.600]  I just stare at it.
[47:32.880 --> 47:33.860]  Did you fuck with it recently?
[47:34.180 --> 47:34.840]  No, did I?
[47:35.080 --> 47:35.440]  Maybe.
[47:35.720 --> 47:36.120]  A little bit.
[47:37.140 --> 47:38.940]  I think I felt where it was
[47:38.940 --> 47:40.860]  to see if I could put my finger over it
[47:40.860 --> 47:41.600]  while I was driving.
[47:41.600 --> 47:43.120]  I think you moved it out of place.
[47:44.300 --> 47:44.880]  When you drive...
[47:44.880 --> 47:46.040]  I got out of my car and I was like,
[47:46.100 --> 47:48.480]  why is my, why is my thing, why is my, it looks weird.
[47:48.620 --> 47:50.880]  It's like projected onto the windshield.
[47:51.260 --> 47:52.520]  Like your speed and all that shit.
[47:52.640 --> 47:53.940]  So it feels like you're in a video game,
[47:53.960 --> 47:54.720]  but I didn't like it.
[47:55.200 --> 47:56.080]  So I moved it.
[47:56.280 --> 47:56.960]  Well, I didn't know if I,
[47:57.000 --> 47:58.200]  I think I was just trying to feel like...
[47:58.200 --> 47:58.800]  And now it's back for you too.
[47:58.880 --> 47:59.580]  I think I was trying to,
[47:59.620 --> 48:00.880]  I couldn't find a button for it.
[48:00.920 --> 48:02.520]  So I was feeling around thinking
[48:02.520 --> 48:04.220]  maybe if I put a piece of paper or something
[48:04.220 --> 48:04.840]  in front of it.
[48:04.840 --> 48:05.620]  Oh my God.
[48:05.920 --> 48:06.600]  But then I didn't.
[48:06.700 --> 48:07.460]  And then I was like, oh, I guess I'll just...
[48:07.460 --> 48:08.180]  Just live with it.
[48:08.180 --> 48:09.080]  Drive distracted.
[48:09.300 --> 48:10.400]  It tells you what the speed limit is
[48:10.400 --> 48:11.320]  and how fast you're going.
[48:11.440 --> 48:11.880]  I don't even know.
[48:11.980 --> 48:12.780]  It's just like down here.
[48:13.560 --> 48:15.140]  It's like, anyways.
[48:16.440 --> 48:17.460]  Faggot James Challenge.
[48:17.460 --> 48:17.640]  Thank you.
[48:18.620 --> 48:20.000]  Faggot and then a dickhead.
[48:20.240 --> 48:21.680]  Cause I got in my car today to drive
[48:21.680 --> 48:23.100]  and I thought, what is wrong?
[48:23.300 --> 48:24.040]  Something's weird.
[48:24.200 --> 48:25.500]  And I'm like looking left and right.
[48:25.540 --> 48:27.440]  I can't figure out, something's different.
[48:27.700 --> 48:29.200]  I thought, ah, you're losing your fucking mind.
[48:29.260 --> 48:29.800]  I guess I'm not.
[48:29.900 --> 48:30.420]  I guess I'm not.
[48:30.520 --> 48:30.960]  Mike Trout.
[48:31.000 --> 48:32.060]  Faggot Mike Trout.
[48:32.060 --> 48:34.580]  David, David, David, David, David, David, David, David.
[48:34.580 --> 48:34.940]  Reester.
[48:35.520 --> 48:36.040]  Amazing win.
[48:36.140 --> 48:36.920]  And then throwback.
[48:37.060 --> 48:37.740]  Here's a Mike Trout.
[48:37.820 --> 48:38.680]  Stars the MLB.
[48:39.320 --> 48:40.760]  So those cards aren't really anything.
[48:40.760 --> 48:41.520]  Max Muncy.
[48:41.720 --> 48:42.440]  He's your favorite baseball player.
[48:42.460 --> 48:42.860]  These are...
[48:43.340 --> 48:44.120]  The Stars the MLB.
[48:44.320 --> 48:46.280]  Now, the foil ones are worth a little bit more.
[48:46.460 --> 48:47.440]  The base one's not.
[48:47.520 --> 48:47.880]  Got it.
[48:48.560 --> 48:51.120]  Maybe if the rookies...
[48:51.120 --> 48:51.700]  Mass win.
[48:52.160 --> 48:52.880]  Mass win win.
[48:53.620 --> 48:54.120]  Oh yeah.
[48:54.260 --> 48:56.220]  I wonder if he's related to...
[48:56.220 --> 48:56.600]  A mouse.
[48:56.600 --> 48:57.180]  It's not spelled the same.
[48:57.500 --> 48:57.760]  No.
[48:58.400 --> 48:58.800]  Steven.
[48:59.060 --> 49:00.680]  Base win do is what I was going to say, but...
[49:00.680 --> 49:01.140]  That's cool.
[49:02.280 --> 49:04.480]  That'd be cool if there was like a one-of-one on these.
[49:04.520 --> 49:05.480]  I can't open this.
[49:05.640 --> 49:07.940]  So you have two challenges.
[49:08.520 --> 49:09.700]  Elites of the game.
[49:09.860 --> 49:10.720]  Mookie and Shohei.
[49:10.920 --> 49:11.400]  Look at that.
[49:12.300 --> 49:13.100]  Tarek Skubel.
[49:13.400 --> 49:14.420]  I have three at home, too.
[49:15.180 --> 49:16.260]  I gotta sit down and do it.
[49:16.320 --> 49:17.440]  Rowdy Tellez.
[49:18.380 --> 49:19.180]  Luis Matos.
[49:19.580 --> 49:20.300]  Tyler O'Neal.
[49:20.520 --> 49:22.500]  Carmen Mlodzinski.
[49:22.900 --> 49:23.600]  That just rolls off the tongue.
[49:24.340 --> 49:25.140]  Christian Walker.
[49:26.740 --> 49:27.540]  Alex Bregman.
[49:27.800 --> 49:28.780]  Celebration of the Kid.
[49:29.000 --> 49:29.880]  Back when it was...
[49:29.880 --> 49:31.380]  Infamous White Sox days.
[49:31.380 --> 49:32.940]  Don't remember that at all.
[49:33.080 --> 49:33.260]  Yep.
[49:33.760 --> 49:35.480]  Henry Davis, the very tail end of his career.
[49:35.660 --> 49:36.340]  This might be nice.
[49:37.300 --> 49:37.940]  Jordan Lawler.
[49:38.080 --> 49:39.180]  I think it might've been the last team he played for.
[49:40.360 --> 49:42.240]  Alec Marsh, Joey Votto, Zach Wheeler.
[49:43.800 --> 49:46.780]  When he was in his brief journeyman phase of his career.
[49:47.480 --> 49:49.160]  I realized why I think I like,
[49:49.340 --> 49:51.120]  when I think of Greg Maddox, I think of him as a cub.
[49:51.200 --> 49:52.140]  I think of him as a brave.
[49:52.520 --> 49:53.660]  Because I'm a little older than you.
[49:54.580 --> 49:56.440]  And it's right around the time I started watching baseball.
[49:56.840 --> 49:58.780]  I think 86, 87 was his rookie year.
[49:59.120 --> 49:59.940]  And he was a cub.
[49:59.940 --> 50:01.460]  He played for the Cubs for six years.
[50:02.000 --> 50:03.740]  And so my first introduction to him was as a cub.
[50:03.780 --> 50:04.200]  I get it.
[50:05.920 --> 50:06.640]  Andy Ibanez.
[50:06.720 --> 50:08.040]  Are you familiar with Casey and JoJo?
[50:08.440 --> 50:08.640]  Yeah.
[50:09.120 --> 50:11.100]  Geoff and I played that All My Life song.
[50:11.100 --> 50:11.700]  All My Life, yeah.
[50:11.860 --> 50:12.880]  Geoff had never heard it before.
[50:13.140 --> 50:13.740]  That's insane.
[50:13.780 --> 50:15.620]  That song was inescapable in the nineties.
[50:16.140 --> 50:17.640]  That's the song that I sang that,
[50:18.260 --> 50:19.360]  said his name, The Child.
[50:19.600 --> 50:25.500]  I don't think I turned on a radio from like 18 to 35.
[50:25.700 --> 50:27.060]  You can say the name.
[50:27.060 --> 50:28.320]  But the audience doesn't know.
[50:28.320 --> 50:29.280]  They think they know.
[50:29.840 --> 50:31.000]  It doesn't come out till Wednesday.
[50:31.240 --> 50:31.460]  Yeah.
[50:31.620 --> 50:31.860]  Yeah.
[50:32.060 --> 50:34.180]  Oh, so you're going to keep it till Wednesday.
[50:34.220 --> 50:36.000]  Well, I mean, don't you want them to find out
[50:36.000 --> 50:36.600]  when they find out?
[50:36.660 --> 50:40.300]  They think they know, but like the real world, you don't.
[50:41.180 --> 50:42.420]  You have no idea.
[50:43.020 --> 50:43.500]  Bryce Harper.
[50:43.700 --> 50:44.200]  You think you know.
[50:44.200 --> 50:44.700]  Sure, sure.
[50:44.700 --> 50:46.120]  But you have no idea.
[50:46.340 --> 50:47.360]  It's just getting real.
[50:47.560 --> 50:48.520]  Also it's...
[50:48.520 --> 50:49.000]  Ha Sung Kim.
[50:49.300 --> 50:49.620]  Ha Sung Kim?
[50:49.820 --> 50:50.140]  Yeah.
[50:51.300 --> 50:52.400]  How does that...
[50:52.400 --> 50:53.980]  It was in the season against the Dodgers in Korea.
[50:54.580 --> 50:57.080]  Do you think that your little doggie would like that toy?
[50:57.460 --> 50:59.680]  He would chew the ears off of it and then rip it open
[50:59.680 --> 51:00.860]  and then tear all the stuff out.
[51:01.080 --> 51:02.160]  That's why I gave one to Gracie,
[51:02.260 --> 51:02.960]  so she can give it to Cinnamon
[51:02.960 --> 51:04.760]  and Cinnamon can just lay next to it.
[51:04.840 --> 51:05.560]  It's a cool card.
[51:05.740 --> 51:06.760]  Well, it's Cinnamon Cutlet.
[51:07.720 --> 51:10.540]  I think that needs to be in the promo photos for it.
[51:10.540 --> 51:10.800]  Cinnamon.
[51:11.440 --> 51:12.600]  It's a cinnamon roll.
[51:15.940 --> 51:16.660]  Jose Ramirez.
[51:16.780 --> 51:17.800]  Why isn't Cinnamon here?
[51:18.260 --> 51:21.140]  This is not the best photo of Tom Seaver.
[51:21.200 --> 51:22.040]  That's awful.
[51:22.300 --> 51:23.580]  He's like, I don't want to do that to him.
[51:23.740 --> 51:24.960]  I'm Tom Seaver, guys.
[51:26.240 --> 51:27.080]  Juan Soto.
[51:27.420 --> 51:28.920]  Oh, that was cool.
[51:29.100 --> 51:31.040]  Jordan Westberg, Eduardo Rodriguez.
[51:32.020 --> 51:33.240]  Do you have the box for this?
[51:33.240 --> 51:35.960]  Juan Soto, he doesn't play for San Diego.
[51:35.960 --> 51:38.060]  No, we traded him to the Yankees.
[51:38.720 --> 51:39.300]  Yeah, yeah, yeah, yeah.
[51:39.340 --> 51:41.260]  Because he was not going to sign an extension with anyone.
[51:41.480 --> 51:42.720]  He's a Boris guy.
[51:45.840 --> 51:48.260]  This guy and that guy and this guy.
[51:48.300 --> 51:49.620]  Don't skip over the Padre.
[51:49.700 --> 51:50.400]  What are you doing?
[51:51.280 --> 51:53.100]  And then, there you go.
[51:53.140 --> 51:53.620]  Thank you.
[51:53.680 --> 51:54.360]  Matt Waldron.
[51:54.360 --> 51:56.520]  You got that one in a different parallel.
[51:57.280 --> 52:02.080]  Bryce Holder, Joey Wymer, Marco Luciano, 89 throwback rookie.
[52:03.340 --> 52:06.540]  Ronnie Mauricio, Tyler Sotostream again.
[52:07.040 --> 52:08.480]  Daniel and Trent Grisham.
[52:09.000 --> 52:11.560]  Yeah, he's also a New York Yankee.
[52:11.960 --> 52:12.260]  Is he really?
[52:12.400 --> 52:13.800]  Yeah, he's part of the Soto trade.
[52:14.340 --> 52:15.820]  What did y'all get from the Yankees?
[52:15.960 --> 52:16.420]  Bunch of pictures.
[52:16.820 --> 52:18.080]  Michael King and a few other guys.
[52:18.860 --> 52:21.220]  I think it's gonna help us where we need it.
[52:21.460 --> 52:23.720]  And we didn't, Soto doesn't do anything for me.
[52:23.720 --> 52:25.960]  He's like a player, so it's like, you know, it's fine.
[52:26.360 --> 52:27.040]  I don't really care.
[52:27.240 --> 52:29.160]  We also lost that Soto trade, so it doesn't matter.
[52:29.500 --> 52:31.600]  Brian Wu, Spencer Strider.
[52:31.920 --> 52:33.200]  That's our first Spencer Strider today.
[52:33.240 --> 52:33.620]  That's weird.
[52:33.960 --> 52:36.040]  And it's in the Brave City Connect, too.
[52:36.120 --> 52:39.320]  Yeah, Jordan Romano, JT Real Muto.
[52:40.060 --> 52:41.420]  Do they only wear those at home games?
[52:41.440 --> 52:42.040]  Will Brennan.
[52:42.380 --> 52:44.360]  Yeah, they wear them at home, but not always.
[52:44.500 --> 52:44.940]  It's just sometimes.
[52:45.060 --> 52:45.420]  Just sometimes.
[52:45.560 --> 52:47.580]  I think they wear them like 12 times a year.
[52:47.700 --> 52:49.900]  Well, in NBA, they wear them 12 times a year.
[52:49.960 --> 52:51.460]  In baseball, it's like pitcher's discretion
[52:51.460 --> 52:52.380]  what uniform they use.
[52:52.380 --> 52:53.680]  A pitcher gets to choose?
[52:53.860 --> 52:54.420]  I think so.
[52:54.500 --> 52:55.260]  Grant Hartwig.
[52:55.440 --> 52:55.760]  Really?
[52:56.200 --> 52:57.820]  But aren't there multiple pitchers a game?
[52:58.740 --> 52:59.580]  The starting pitcher.
[52:59.720 --> 53:00.080]  Tatis.
[53:00.680 --> 53:01.100]  Wow.
[53:01.380 --> 53:02.460]  There he is, the man himself.
[53:02.460 --> 53:03.960]  What other little decisions does he get to make?
[53:04.400 --> 53:05.320]  Would pitch the throw.
[53:06.360 --> 53:06.960]  Well, yeah.
[53:07.640 --> 53:09.220]  If he's picking off a guy at first.
[53:09.640 --> 53:11.320]  Are these sleeve or no sleeve?
[53:11.840 --> 53:12.160]  No sleeve.
[53:12.560 --> 53:13.600]  Just these two are the last sleeve.
[53:15.160 --> 53:18.420]  And then that's the end of the monster box.
[53:18.520 --> 53:18.940]  Is that right?
[53:19.020 --> 53:21.700]  Do you think that it's like a superstitious thing
[53:21.700 --> 53:23.060]  where they're like, I pitch better
[53:23.060 --> 53:24.840]  when we wear this little outfit?
[53:25.140 --> 53:25.440]  It is.
[53:25.860 --> 53:26.360]  That's cool.
[53:26.360 --> 53:27.120]  Yeah, this little outfit.
[53:27.620 --> 53:30.080]  The Padres were on a losing streak wearing their road,
[53:30.420 --> 53:32.620]  I think the brown jersey.
[53:33.080 --> 53:35.340]  And so they would, like you Darvish would pick it
[53:35.340 --> 53:36.560]  and the whole team would like fall apart.
[53:36.640 --> 53:37.760]  It happened like three other times
[53:37.760 --> 53:40.000]  and they stopped wearing them like the rest of the year.
[53:40.180 --> 53:40.300]  Dang.
[53:40.300 --> 53:41.480]  And it's such a good jersey.
[53:41.840 --> 53:43.140]  So they went, they wore like the sand.
[53:43.260 --> 53:44.860]  That's like the classic one.
[53:45.080 --> 53:45.720]  What's wrong, babe?
[53:45.840 --> 53:46.260]  I was just thinking.
[53:46.340 --> 53:47.180]  So here's where we are.
[53:47.220 --> 53:48.320]  We got about five minutes left.
[53:48.400 --> 53:49.760]  I don't want to crack open another box.
[53:50.060 --> 53:50.640]  No, no, no.
[53:50.640 --> 53:51.960]  We've got, here's what we've got left.
[53:52.040 --> 53:53.980]  We've got the mega box.
[53:54.680 --> 53:57.620]  We've got a retail box.
[53:57.760 --> 54:00.280]  We've got the hobby and hobby jumbo.
[54:00.440 --> 54:01.520]  So we'll save those for next week.
[54:01.580 --> 54:02.920]  These are going to be where the money is.
[54:03.260 --> 54:03.780]  Oh, well.
[54:05.340 --> 54:06.000]  What'd you say, babe?
[54:06.280 --> 54:08.440]  Oh, you could probably blast the jumbo one.
[54:08.480 --> 54:09.320]  That's only...
[54:09.320 --> 54:10.300]  No, that's 20 packs.
[54:10.380 --> 54:10.900]  Oh, shit.
[54:11.280 --> 54:11.660]  We don't have that kind of time.
[54:11.920 --> 54:12.540]  But what we can do.
[54:13.140 --> 54:13.460]  Monopoly.
[54:14.340 --> 54:15.380]  Oh, yeah, you do have some.
[54:15.520 --> 54:18.300]  Five minutes left and then Gracie can go home.
[54:18.420 --> 54:19.040]  We'll go...
[54:19.040 --> 54:19.740]  So close.
[54:20.400 --> 54:21.120]  Almost there.
[54:21.260 --> 54:22.880]  Unless you guys want to do like another hour or two.
[54:23.220 --> 54:24.360]  We got the cards for it.
[54:24.380 --> 54:26.120]  I just remembered I have to be anywhere else.
[54:26.260 --> 54:27.820]  I gotta re-curl, clutch my pearls.
[54:28.600 --> 54:29.380]  With your wife.
[54:29.540 --> 54:30.620]  With my small wife.
[54:30.760 --> 54:33.980]  I'll see her for one half hour today.
[54:34.500 --> 54:35.020]  How cute are these?
[54:36.000 --> 54:36.620]  Very excited.
[54:38.480 --> 54:39.200]  Great parallels.
[54:39.280 --> 54:39.880]  You want a Wemby?
[54:40.300 --> 54:40.940]  Yeah, I want a Wemby.
[54:41.020 --> 54:41.900]  Or any Celtics.
[54:41.980 --> 54:42.680]  I think it's going to be a nice one.
[54:42.680 --> 54:43.800]  Brandon Miller, bass rookie.
[54:44.200 --> 54:44.840]  There we go.
[54:45.800 --> 54:46.320]  That's good.
[54:46.900 --> 54:48.240]  Jalen Brown, there you go.
[54:48.820 --> 54:49.780]  SGA, Purple Wave.
[54:50.060 --> 54:50.780]  That's nice.
[54:51.620 --> 54:53.740]  So we'll sleeve those Emily, if you wouldn't mind.
[54:54.160 --> 54:54.520]  Oh yeah.
[54:54.860 --> 54:55.400]  Thank you.
[54:55.700 --> 54:56.140]  All of them?
[54:56.280 --> 54:58.160]  Actually yeah, sleeve the case rolls too.
[54:58.180 --> 54:58.660]  Let me know when we do.
[54:58.680 --> 55:00.120]  I'm going to choose what order you go in.
[55:00.500 --> 55:01.080]  I like that.
[55:01.960 --> 55:03.180]  Jordan Hawkins, bass rookie.
[55:03.260 --> 55:04.140]  Nick Smith, bass rookie.
[55:04.360 --> 55:05.820]  Chet, year two card.
[55:06.000 --> 55:08.340]  And a Kobe Bufkin, Purple Wave rookie.
[55:08.440 --> 55:09.140]  That's nice.
[55:09.360 --> 55:10.900]  Okay, this one has good stuff in it.
