[00:10.570 --> 00:12.050]  B-U-S-T-I-N?
[37:32.150 --> 37:34.110]  It was Marlboro or Budweiser, and they blacked it out.
[37:34.170 --> 37:38.950]  And so that is actually a pretty valuable error, if you can get the one with the cigarette ad on it.
[37:38.950 --> 37:39.890]  Oh, that's crazy.
[37:39.970 --> 37:41.590]  That's great. And then, plus, it's, you know, the big unit.
[37:42.830 --> 37:45.690]  Mark McCaskill, George Bell.
[37:45.750 --> 37:47.050]  You know, they didn't call him that because he was tall.
[37:48.390 --> 37:48.830]  The big unit.
[37:49.470 --> 37:50.350]  They called him that because he had a...
[37:50.350 --> 37:51.110]  Yeah, got it, man.
[37:51.150 --> 37:51.450]  ...giant dick.
[37:52.370 --> 37:53.090]  Doug Jennings.
[37:55.670 --> 37:59.270]  It's the saddest or the best photo of Tommy Gregg.
[38:00.710 --> 38:01.430]  Oh, man.
[38:02.090 --> 38:03.210]  Well, first off...
[38:03.210 --> 38:07.410]  First off, we need a section for Gus Unibrow people.
[38:07.410 --> 38:09.410]  Yeah, we're saving this one.
[38:09.410 --> 38:09.750]  He's a bit of Cirolla.
[38:10.070 --> 38:10.850]  He is...
[38:10.850 --> 38:11.970]  And then, also...
[38:11.970 --> 38:15.730]  He's got, like, a whole... He's just all, like, cave-manned out.
[38:15.930 --> 38:16.170]  Yeah.
[38:16.890 --> 38:18.230]  He's all brow, dude.
[38:18.350 --> 38:19.910]  His head's kind of the shape of a thumb, too.
[38:19.910 --> 38:22.150]  The push-in is so good.
[38:22.470 --> 38:23.230]  Look at that.
[38:23.690 --> 38:24.870]  Oh, no.
[38:25.110 --> 38:27.490]  That's rough stuff.
[38:28.010 --> 38:28.690]  We're definitely saving that.
[38:28.690 --> 38:29.150]  Sorry, bud.
[38:29.190 --> 38:29.690]  That's a good one.
[38:30.790 --> 38:34.830]  Pat Borders, Jose Lind, Kirby Puckett.
[38:34.930 --> 38:35.290]  Yeah.
[38:35.490 --> 38:36.170]  Love Kirby Puckett.
[38:36.170 --> 38:37.370]  And then, Frank Viola.
[38:37.670 --> 38:38.690]  I thought you couldn't support the twins.
[38:39.150 --> 38:40.090]  I like Kirby Puckett.
[38:40.190 --> 38:40.890]  I don't like the twins.
[38:41.030 --> 38:41.450]  Kirby Puckett...
[38:41.450 --> 38:43.010]  Who disliked Kirby Puckett?
[38:43.570 --> 38:44.590]  That's a good name.
[38:44.690 --> 38:45.230]  Kirby Puckett.
[38:45.290 --> 38:45.430]  Yeah.
[38:46.090 --> 38:46.650]  Fun to say.
[38:46.890 --> 38:47.710]  Growing up, it was...
[38:47.710 --> 38:48.130]  You know what I say?
[38:48.590 --> 38:48.990]  Puckett.
[38:49.950 --> 38:51.430]  I was just saying Kirby's name.
[38:51.950 --> 38:52.670]  Hanging on to it, huh?
[38:52.770 --> 38:53.030]  Yeah.
[38:53.110 --> 38:53.790]  That's a good name.
[38:54.070 --> 38:54.430]  Emily's right.
[38:55.050 --> 38:55.730]  Here we go.
[38:57.030 --> 38:57.430]  Indians...
[38:57.430 --> 38:58.850]  Guardians, now.
[38:59.070 --> 38:59.270]  Yeah.
[38:59.490 --> 39:00.030]  Now, the Guardians.
[39:00.350 --> 39:01.670]  Thank you for the progress.
[39:02.210 --> 39:02.870]  Put that right there.
[39:03.170 --> 39:04.890]  Roberto Alomar, who's a great player.
[39:04.890 --> 39:07.450]  Was his brother Sandy Alomar?
[39:07.770 --> 39:08.470]  I don't know.
[39:08.550 --> 39:09.230]  I think so.
[39:09.450 --> 39:12.810]  I think it might be one of those, like, common last name things.
[39:12.990 --> 39:13.890]  These two dudes...
[39:14.610 --> 39:15.070]  Brian Holton...
[39:16.370 --> 39:17.330]  Curtis Wilkerson...
[39:17.330 --> 39:17.990]  Hubie Brooks...
[39:18.750 --> 39:19.710]  Brett Saberhagen.
[39:19.970 --> 39:20.290]  Nice.
[39:20.470 --> 39:21.410]  That's a good one.
[39:21.410 --> 39:22.030]  Brett Saberhagen was a great dude.
[39:22.110 --> 39:23.390]  Saberhagen's very good.
[39:23.650 --> 39:26.810]  Two more dudes...
[39:28.560 --> 39:30.140]  I've never heard this name before.
[39:30.480 --> 39:31.660]  Dale Mohorkic.
[39:32.940 --> 39:33.660]  Why is he pissed?
[39:33.660 --> 39:34.220]  Save that one.
[39:34.700 --> 39:35.520]  Why is he pissed?
[39:35.520 --> 39:36.880]  Because his last name is Mohorkic.
[39:37.680 --> 39:38.640]  That's why he's pissed.
[39:38.960 --> 39:39.640]  Oh, boy.
[39:39.640 --> 39:41.960]  It's like, I gotta play the Yankees, but I got this on the back of my fucking shirt.
[39:44.380 --> 39:45.440]  There's another shitty name.
[39:45.720 --> 39:46.460]  Jim Pankovic.
[39:48.280 --> 39:48.720]  Great.
[39:48.980 --> 39:57.340]  Brian Harvey, Tony Fernandez, Curt Young, Marvin Freeman, Todd Stottlemyre, and John Smiley.
[39:57.640 --> 39:58.300]  We struck out.
[39:58.300 --> 39:58.680]  Didn't get them, huh?
[39:58.820 --> 39:59.060]  Yeah.
[40:00.240 --> 40:01.120]  We whiffed.
[40:01.460 --> 40:03.100]  We found a couple of good ones.
[40:03.140 --> 40:03.840]  We got some decent ones in there.
[40:03.860 --> 40:05.320]  Let's move on to something else.
[40:05.320 --> 40:05.660]  All right.
[40:05.760 --> 40:06.220]  What else we got?
[40:06.320 --> 40:06.960]  Some fun stuff.
[40:06.960 --> 40:08.500]  This is your curated playlist or whatever.
[40:08.780 --> 40:09.520]  Yeah, it's cool stuff.
[40:09.620 --> 40:09.920]  What's fun?
[40:10.180 --> 40:11.080]  What do we got in here?
[40:11.240 --> 40:12.660]  Let's get away from sports for a minute.
[40:12.820 --> 40:13.000]  Okay.
[40:13.920 --> 40:14.200]  Oh, yeah.
[40:14.220 --> 40:14.880]  We'll get away from sports.
[40:14.940 --> 40:15.440]  Here's some wrestling.
[40:15.880 --> 40:16.500]  All right.
[40:17.380 --> 40:17.740]  WWE?
[40:18.280 --> 40:18.440]  Yeah.
[40:18.880 --> 40:19.240]  SummerSlam?
[40:19.620 --> 40:19.980]  SummerSlam.
[40:20.140 --> 40:22.540]  I bought just this one pack.
[40:22.660 --> 40:22.820]  Yeah.
[40:24.520 --> 40:27.340]  2019 Tops WWE SummerSlam.
[40:30.520 --> 40:32.120]  Are you familiar with Bayley?
[40:32.120 --> 40:35.060]  She just came back from, like, a two-year, I think, leg injury.
[40:35.420 --> 40:35.800]  Oh, really?
[40:35.880 --> 40:36.460]  So she's back.
[40:36.660 --> 40:36.800]  Yeah.
[40:36.900 --> 40:38.440]  So that might have been the last time she wrestled was in the start zone.
[40:38.980 --> 40:39.360]  Probably.
[40:39.720 --> 40:40.120]  Poor Bayley.
[40:40.240 --> 40:42.320]  But she's back and she's great.
[40:42.640 --> 40:43.080]  Bayley's great.
[40:43.300 --> 40:43.980]  Liv Morgan.
[40:44.160 --> 40:48.760]  She's the current Women's Champion and tweets with Fiona all the time.
[40:49.080 --> 40:49.620]  Are Fiona?
[40:49.780 --> 40:49.960]  Yeah.
[40:50.300 --> 40:50.720]  Isn't that crazy?
[40:51.200 --> 40:51.580]  Yeah.
[40:51.760 --> 40:52.500]  Are they buddies?
[40:52.700 --> 40:53.320]  Yeah, I think so.
[40:53.360 --> 40:53.540]  Wow.
[40:53.740 --> 40:54.460]  Small world.
[40:54.600 --> 40:55.100]  Weird world.
[40:55.280 --> 40:57.720]  The Miz, that's the reality TV dude.
[40:57.760 --> 40:58.080]  Yeah.
[40:58.240 --> 40:59.560]  Did you see the thing about him?
[40:59.560 --> 41:01.720]  The Woodstock documentary that just came out?
[41:01.880 --> 41:02.880]  We watched the first two episodes.
[41:03.040 --> 41:09.620]  There's, like, there's, like, a shot of him at the, like, it's like, yeah, and then it all goes crazy and then it, like, cuts to him going...
[41:10.540 --> 41:11.340]  It's fucking great.
[41:11.720 --> 41:12.380]  In, like, 99.
[41:12.500 --> 41:13.140]  So he's just, like, there.
[41:13.200 --> 41:13.620]  He's just a guy.
[41:14.360 --> 41:16.480]  Look at all the problematic white men down there.
[41:17.160 --> 41:17.480]  Fascinating.
[41:17.560 --> 41:18.260]  And now he's a pro wrestler.
[41:18.560 --> 41:19.440]  Fucked up documentary.
[41:20.440 --> 41:21.080]  Becky Lynch.
[41:21.180 --> 41:21.860]  Oh, the man.
[41:21.960 --> 41:22.480]  The man.
[41:22.560 --> 41:23.180]  I love Becky Lynch.
[41:23.980 --> 41:26.340]  She just separated her shoulder and then wrestled, like, 12 more minutes.
[41:26.420 --> 41:27.340]  It was fucked up.
[41:27.540 --> 41:28.680]  That's why she's the man.
[41:28.680 --> 41:28.800]  Yeah.
[41:29.060 --> 41:31.340]  Geoff Hardy wrestles Jinder Mahal.
[41:31.420 --> 41:31.660]  Alright.
[41:31.820 --> 41:32.540]  You all remember that.
[41:32.760 --> 41:33.900]  Geoff Hardy just got another...
[41:33.900 --> 41:34.060]  Another thing.
[41:34.060 --> 41:35.560]  Geoff Hardy rehab-a-thing.
[41:35.680 --> 41:35.980]  No, no, no.
[41:36.380 --> 41:37.120]  Fucking another thing.
[41:37.700 --> 41:41.180]  Uh, Baron Corbin and Dr. Finn Baylor do a thing.
[41:41.360 --> 41:41.840]  Doctor?
[41:42.200 --> 41:42.620]  Doctor.
[41:43.040 --> 41:44.200]  Where'd you get doctor?
[41:44.340 --> 41:46.040]  Oh, defeats Finn Baylor.
[41:46.180 --> 41:46.360]  Defeats?
[41:46.380 --> 41:46.820]  I don't know.
[41:46.860 --> 41:47.740]  I'm reading the shit upside down.
[41:48.320 --> 41:51.820]  Samoa Joe, uh, defeats AJ Styles.
[41:51.880 --> 41:52.220]  Right.
[41:52.920 --> 41:54.180]  Uh, then this thing.
[41:54.800 --> 41:55.300]  Oh, here we go.
[41:55.540 --> 41:56.880]  Here's Mandy Rose.
[41:57.000 --> 41:57.200]  Alright.
[41:57.200 --> 41:59.100]  Current NXT Women's Champion.
[41:59.440 --> 42:00.280]  Daniel Bryan.
[42:00.680 --> 42:01.160]  Current...
[42:01.160 --> 42:03.040]  Uh, he's wrestling tonight on AEW.
[42:03.240 --> 42:04.240]  Uh, Bryan Danielson.
[42:04.460 --> 42:05.360]  Alexa Bliss.
[42:05.660 --> 42:05.940]  Bliss.
[42:06.340 --> 42:06.680]  Bliss.
[42:07.920 --> 42:08.640]  Alright, she's on Raw.
[42:08.800 --> 42:08.980]  I don't know.
[42:09.020 --> 42:09.780]  A dick snippet on the brain.
[42:09.840 --> 42:10.160]  It's good.
[42:10.540 --> 42:12.720]  Uh, oh yeah, you mentioned this guy sometime.
[42:13.000 --> 42:13.720]  Roman Reigns.
[42:13.760 --> 42:14.480]  Yeah, he's...
[42:14.480 --> 42:15.760]  He's like the guy.
[42:15.940 --> 42:17.380]  He is there the guy.
[42:17.820 --> 42:18.940]  He's like the champion.
[42:19.160 --> 42:19.680]  Beats everyone.
[42:20.320 --> 42:23.400]  He's gonna wrestle The Rock, uh, at WrestleMania next year.
[42:23.560 --> 42:23.940]  What?
[42:23.960 --> 42:24.220]  Really?
[42:24.320 --> 42:24.520]  That's the rumor.
[42:24.520 --> 42:25.060]  It's his cousin.
[42:25.200 --> 42:26.220]  Here's the fucking...
[42:26.220 --> 42:26.940]  Oh, is that 92 Undertaker?
[42:26.940 --> 42:28.000]  Here's the Undertaker, yeah.
[42:28.160 --> 42:31.380]  I didn't realize how stupid the cut on his shirt sleeve is.
[42:31.400 --> 42:32.520]  Oh, it's so lame.
[42:32.620 --> 42:33.280]  He wore...
[42:33.280 --> 42:34.620]  He had like a little tie.
[42:34.820 --> 42:38.740]  Like, everything about original Undertaker's presentation, it's like a miracle that he made it.
[42:38.840 --> 42:39.440]  It's bad.
[42:40.840 --> 42:41.560]  These dudes.
[42:41.820 --> 42:42.420]  Edge and Christian.
[42:42.580 --> 42:44.480]  They totally wreak havoc about some of these guys.
[42:44.660 --> 42:46.760]  This is exciting, because Emily and I are now...
[42:46.760 --> 42:47.380]  We're big...
[42:47.380 --> 42:49.300]  We're big time into UFC now, right?
[42:49.320 --> 42:49.480]  Okay.
[42:49.520 --> 42:50.160]  Watch a lot of UFC.
[42:50.840 --> 42:52.220]  Here's Ronda Rousey.
[42:52.260 --> 42:52.540]  Yeah, yeah.
[42:52.640 --> 42:53.440]  Rowdy Ronda Rousey.
[42:53.440 --> 42:54.580]  Yeah, she wrestles in WWE.
[42:54.600 --> 42:55.480]  Is she still wrestling?
[42:55.780 --> 42:56.280]  That's cool.
[42:56.440 --> 42:57.520]  Is she still Rowdy?
[42:57.640 --> 42:58.360]  Is she still doing the...
[42:58.360 --> 42:58.640]  That's cool.
[42:58.880 --> 43:01.140]  If she comes out to bad reputation and everything, it's okay.
[43:01.160 --> 43:03.000]  How did Rowdy Roddy Piper feel about that?
[43:03.360 --> 43:04.180]  That's his jacket.
[43:04.700 --> 43:05.840]  So he's like on board.
[43:05.940 --> 43:06.360]  Oh, yeah.
[43:06.720 --> 43:07.140]  He's dead.
[43:07.140 --> 43:07.680]  Oh, he's dead now.
[43:07.900 --> 43:08.220]  Yeah, yeah.
[43:08.240 --> 43:10.220]  He gave her the jacket and everything and gave her like the nickname.
[43:10.460 --> 43:15.340]  One of the greatest cameos in the history of television was when he played the Mangler
[43:15.340 --> 43:15.980]  on It's Always Sunny in Philadelphia.
[43:15.980 --> 43:16.820]  Oh, it's great, isn't it?
[43:16.880 --> 43:17.040]  Yeah.
[43:17.740 --> 43:18.860]  And he's like, you got kids, Mangler?
[43:18.960 --> 43:19.780]  He's like, no.
[43:21.720 --> 43:22.240]  Not anymore.
[43:23.120 --> 43:23.760]  It's great.
[43:24.040 --> 43:24.880]  It's so good.
[43:25.700 --> 43:27.700]  He's got a bucket of walnuts in his back of the car.
[43:27.720 --> 43:28.140]  Yeah, he's just awesome.
[43:29.000 --> 43:29.860]  Is that Cedric Alexander?
[43:30.020 --> 43:30.940]  Some more shit happening.
[43:31.240 --> 43:32.340]  Here's this guy doing that thing.
[43:32.840 --> 43:34.180]  That's old Stone Cold, what?
[43:34.680 --> 43:35.580]  He's a Texan, right?
[43:35.720 --> 43:38.080]  Oh, hell yeah, from Victoria, Texas, what?
[43:40.340 --> 43:41.960]  That's old Stone Cold.
[43:42.540 --> 43:43.960]  Back when he had abs.
[43:46.420 --> 43:47.740]  I love Stone Cold Steve Austin.
[43:47.760 --> 43:49.360]  Dude, that's a hidden talent I didn't know you had.
[43:49.360 --> 43:50.600]  Dude, his Stone Cold impression's a blast.
[43:50.660 --> 43:51.940]  It was like he was in the room.
[43:51.940 --> 43:52.900]  I thought he was the best.
[43:53.560 --> 43:54.940]  He's a good follow on Instagram.
[43:55.180 --> 43:58.320]  He posts a lot of pictures of his dogs and his cat that lives in a barn.
[43:58.700 --> 44:00.340]  Didn't he run for office or something?
[44:00.780 --> 44:00.920]  What?
[44:01.100 --> 44:01.260]  No.
[44:01.420 --> 44:02.400]  No, that was Jesse the Body.
[44:02.580 --> 44:03.320]  Ah, sorry.
[44:03.340 --> 44:04.160]  Another follow by a guy.
[44:04.220 --> 44:06.540]  He was the governor of Minnesota.
[44:06.940 --> 44:07.340]  That's right.
[44:07.700 --> 44:08.440]  Here's another one.
[44:10.080 --> 44:11.640]  Vampire Diaries loves sex.
[44:12.300 --> 44:13.940]  I've never seen the Vampire Diaries.
[44:14.780 --> 44:16.040]  I know Michael Jones is a big fan.
[44:16.160 --> 44:17.160]  I wish he was here for this.
[44:17.240 --> 44:19.400]  I've been holding off on revenge cards until Michael shows up.
[44:19.420 --> 44:19.780]  Is this like Twilight or TV?
[44:20.200 --> 44:21.000]  Yeah, it's like TV Twilight.
[44:21.000 --> 44:24.180]  Is that guy's name Ian Summerholder or something?
[44:24.640 --> 44:25.780]  Yeah, he's like way too pretty.
[44:25.880 --> 44:27.820]  He was in Rules of Attraction.
[44:27.960 --> 44:28.660]  It's a great movie.
[44:29.380 --> 44:31.740]  I mean, it's not a good movie, but I think I really enjoy it.
[44:31.960 --> 44:32.960]  I believe...
[44:32.960 --> 44:33.460]  He was in Lost.
[44:33.820 --> 44:35.020]  He was Boone.
[44:35.340 --> 44:36.500]  Oh, yeah, Boone and Lost.
[44:36.540 --> 44:36.880]  You're right.
[44:37.420 --> 44:38.720]  That is Boone from Lost.
[44:39.820 --> 44:40.760]  So these are...
[44:40.760 --> 44:43.520]  You look for randomly inserted autograph and wardrobe cards.
[44:43.620 --> 44:46.220]  And this was sent to us by a regulation listener as well.
[44:46.800 --> 44:47.720]  Or I guess a comment leaver.
[44:47.720 --> 44:48.360]  A comment leaver.
[44:48.500 --> 44:48.680]  Yeah.
[44:49.080 --> 44:49.720]  I don't remember.
[44:49.820 --> 44:52.240]  I don't have it written down who it was, but they sent a couple of these.
[44:52.400 --> 44:54.280]  So thank you out there.
[44:54.360 --> 44:55.100]  Let's see if we got something good.
[44:55.100 --> 44:55.440]  Let's see if we...
[44:55.440 --> 44:56.740]  Oh, these are...
[44:56.740 --> 44:57.560]  We got sticky.
[44:58.000 --> 44:58.480]  Oh, weird.
[44:59.080 --> 44:59.400]  Okay.
[44:59.640 --> 45:00.540]  We have...
[45:00.540 --> 45:00.980]  Oops.
[45:01.980 --> 45:03.360]  Here's a deal with the devil.
[45:03.560 --> 45:04.280]  All right.
[45:05.780 --> 45:06.420]  And then...
[45:07.140 --> 45:07.780]  Oh, no.
[45:08.500 --> 45:09.580]  She has so much hair.
[45:09.640 --> 45:10.740]  An unexpected romance?
[45:11.000 --> 45:11.100]  Is her neck long?
[45:11.260 --> 45:11.720]  I don't know.
[45:12.460 --> 45:12.920]  How's her neck?
[45:12.980 --> 45:13.380]  She got...
[45:13.380 --> 45:14.040]  Yeah, it looks like...
[45:14.040 --> 45:14.440]  You know what I mean?
[45:14.480 --> 45:16.100]  It's like a lot of hair that's going...
[45:16.100 --> 45:16.920]  She's got a long neck.
[45:16.920 --> 45:18.380]  So, like, her head looks small.
[45:18.500 --> 45:20.020]  Let's save that for, like, extra neck.
[45:21.200 --> 45:21.760]  Well, I mean, it's...
[45:21.760 --> 45:22.440]  Little head, big neck.
[45:24.360 --> 45:25.040]  Giraffe style.
[45:25.520 --> 45:26.160]  This one...
[45:26.160 --> 45:27.920]  This is just a...
[45:28.460 --> 45:29.760]  Elena Gilbert card.
[45:30.320 --> 45:30.960]  Is that the same lady?
[45:31.140 --> 45:31.460]  Yeah.
[45:31.560 --> 45:31.800]  Yeah.
[45:32.220 --> 45:33.440]  Oh, unwelcome reunion.
[45:33.860 --> 45:34.040]  Uh-huh.
[45:34.200 --> 45:35.460]  Here we have that dude.
[45:35.960 --> 45:36.320]  And we get...
[45:36.320 --> 45:37.140]  Jesus Christ.
[45:37.220 --> 45:38.140]  That guy looks like a werewolf.
[45:38.300 --> 45:39.540]  We get a piece of a...
[45:39.540 --> 45:40.580]  Of a...
[45:40.580 --> 45:42.140]  Picture that we can put together in frame and put it on the wall.
[45:42.160 --> 45:42.520]  Lovesa.
[45:42.640 --> 45:43.360]  If we can collect it all.
[45:43.360 --> 45:43.720]  Lovesa.
[45:43.800 --> 45:45.220]  So let's save that.
[45:45.520 --> 45:46.460]  Yeah, that's what we're going to do.
[45:46.500 --> 45:47.860]  We're going to do all the vampire diaries.
[45:47.920 --> 45:48.360]  Well, I have more.
[45:48.400 --> 45:49.560]  I have more of these.
[45:49.680 --> 45:50.260]  We'll open more later.
[45:50.540 --> 45:51.100]  Some other day.
[45:51.200 --> 45:52.180]  But we'll hold on to that.
[45:52.260 --> 45:53.380]  And someday we can complete the whole...
[45:53.380 --> 45:53.880]  Yeah, we won't.
[45:53.940 --> 45:54.620]  But, yeah, no, I agree.
[45:54.860 --> 45:55.940]  Now we're going to open...
[45:56.600 --> 45:58.180]  Panini Contenders Football 2021.
[45:58.720 --> 45:59.840]  We got a little over 10 minutes.
[46:00.000 --> 46:00.680]  We got a little over 10 minutes.
[46:00.720 --> 46:02.600]  We're going to open this fast and we're going to...
[46:02.600 --> 46:03.720]  Open more shit.
[46:03.820 --> 46:04.140]  I want to...
[46:04.140 --> 46:04.880]  Stuff I want to open.
[46:05.160 --> 46:05.440]  Okay.
[46:06.600 --> 46:07.160]  Aaron Rodgers.
[46:07.300 --> 46:08.220]  Well, he's a lot of fun.
[46:09.900 --> 46:10.640]  Who do we have here?
[46:10.780 --> 46:11.360]  Tom Brady.
[46:11.460 --> 46:11.900]  Heard of him.
[46:12.920 --> 46:13.480]  Travis Kelsey.
[46:14.280 --> 46:14.840]  Lamar Jackson.
[46:15.820 --> 46:17.040]  These are all quarterbacks.
[46:17.120 --> 46:17.540]  Is that what we're doing?
[46:18.280 --> 46:18.780]  Miles Garrett.
[46:18.780 --> 46:19.480]  No, it's just...
[46:19.880 --> 46:20.320]  Just going that way.
[46:20.320 --> 46:21.280]  It just happened to be.
[46:21.320 --> 46:21.980]  DeAndre Hopkins.
[46:22.240 --> 46:22.480]  Okay.
[46:22.880 --> 46:23.440]  Chain movers.
[46:23.760 --> 46:24.880]  Not much going on there.
[46:25.340 --> 46:29.420]  With 10 minutes to go, we're going to do a box of NBA Prism.
[46:29.680 --> 46:29.940]  Okay.
[46:30.680 --> 46:33.840]  And then we're going to open one or two Jackass and Mischief cards.
[46:34.620 --> 46:37.100]  I mean, you could save the Jackass cards until we get the other guys.
[46:37.500 --> 46:38.640]  I could, but we can't.
[46:38.820 --> 46:39.560]  God damn it.
[46:39.620 --> 46:40.560]  I've been waiting for...
[46:40.560 --> 46:42.580]  I bought that box, like, three months ago.
[46:42.580 --> 46:43.480]  Yeah, when did the movie come out?
[46:44.600 --> 46:45.000]  Yeah.
[46:45.000 --> 46:46.000]  Forever ago.
[46:46.700 --> 46:46.940]  Pack sack.
[46:46.960 --> 46:47.280]  Here we go.
[46:48.300 --> 46:48.680]  Yeah.
[46:49.500 --> 46:51.600]  I'm going to make sure I don't put a relic in the pack.
[46:52.180 --> 46:52.640]  All right, hold on.
[46:54.160 --> 46:54.880]  Yeah, that'll do.
[46:55.340 --> 46:55.740]  Okay.
[46:56.140 --> 46:56.800]  Feed the pack sack.
[46:56.900 --> 46:57.100]  Pack sack.
[46:57.100 --> 46:57.620]  Pack sack's got to eat.
[46:57.760 --> 46:58.580]  Oh, boy.
[46:58.880 --> 46:59.760]  Oh, boy.
[47:00.060 --> 47:00.500]  Over here.
[47:00.980 --> 47:01.280]  Sorry.
[47:01.880 --> 47:02.280]  Sorry.
[47:02.980 --> 47:04.320]  All right, we are going to burn through these.
[47:04.440 --> 47:04.640]  Let's do it.
[47:04.660 --> 47:05.440]  Obie Toppen.
[47:05.540 --> 47:05.720]  Yeah.
[47:05.880 --> 47:06.660]  Tyler Hero.
[47:06.900 --> 47:07.160]  Boo.
[47:07.620 --> 47:08.960]  Setti Osman, silver.
[47:09.180 --> 47:09.400]  Okay.
[47:09.400 --> 47:10.020]  Nice.
[47:10.620 --> 47:11.420]  Cam Johnson.
[47:13.660 --> 47:14.460]  He's got...
[47:15.580 --> 47:16.340]  You got it.
[47:16.500 --> 47:17.680]  Sideshow Bob here, I think.
[47:18.660 --> 47:19.480]  There you go.
[47:20.100 --> 47:21.640]  There are, like, five cards in each of these?
[47:21.760 --> 47:21.860]  Four.
[47:23.020 --> 47:23.180]  Yeah.
[47:23.400 --> 47:25.000]  Sorry, can't believe I overestimated.
[47:25.280 --> 47:26.760]  Yeah, and they're fucking expensive, too.
[47:27.840 --> 47:28.240]  Great.
[47:28.420 --> 47:29.040]  Dwayne Bacon.
[47:29.340 --> 47:30.560]  These are the most insane packs that he runs.
[47:30.940 --> 47:33.220]  Dude, this box right here, Emily bought one of these.
[47:33.480 --> 47:35.420]  One of these in Detroit was $80.
[47:35.900 --> 47:36.300]  Yeah.
[47:36.540 --> 47:37.380]  Oh, my God.
[47:37.460 --> 47:39.140]  Well, it said the Hobby Box was, like, $1,000.
[47:40.180 --> 47:40.540]  Yeah.
[47:41.120 --> 47:42.820]  Well, it's more, but it's...
[47:42.820 --> 47:43.140]  Hobby Box is more.
[47:43.140 --> 47:43.960]  But it's more cards?
[47:44.620 --> 47:46.620]  Hobby Box is more than a blaster, yeah.
[47:47.700 --> 47:49.140]  At least for these.
[47:49.220 --> 47:49.580]  More money.
[47:49.820 --> 47:50.580]  More money, for sure.
[47:52.020 --> 47:52.380]  Sandro...
[47:52.380 --> 47:54.340]  I can't say this guy's last name, but he's a rookie.
[47:55.280 --> 47:55.840]  There you go.
[47:56.120 --> 47:56.540]  Oh, shit.
[47:56.640 --> 47:57.020]  This is nice.
[47:57.300 --> 47:58.980]  Trey Mann, green parallel rookie.
[47:59.100 --> 47:59.420]  That's good.
[47:59.520 --> 47:59.980]  That's cool.
[48:00.140 --> 48:00.620]  Okay, C.
[48:01.600 --> 48:02.320]  And then...
[48:02.320 --> 48:05.760]  Can we keep the Dwayne Bacon for the name and for the face?
[48:06.000 --> 48:06.300]  Yeah, for sure.
[48:06.300 --> 48:07.080]  That's a pretty good one.
[48:07.720 --> 48:09.240]  Bacon goes into, uh...
[48:09.240 --> 48:09.360]  For the face.
[48:10.320 --> 48:14.220]  Well, we had talked early on about wanting to build a team that's with dinner.
[48:14.460 --> 48:15.180]  Oh, that's right!
[48:15.340 --> 48:16.240]  Yeah, yeah, yeah.
[48:16.360 --> 48:16.400]  A meal team.
[48:16.560 --> 48:18.200]  So, Meal Team Six, we call it.
[48:19.060 --> 48:20.000]  Dwayne Bacon could be in it.
[48:20.560 --> 48:22.400]  Here's Drazen Petrovic, Cracked Ice.
[48:22.780 --> 48:23.920]  Classic Drazen Petrovic.
[48:23.980 --> 48:25.000]  Did you say Packed Ice?
[48:25.320 --> 48:25.920]  Cracked Ice.
[48:26.300 --> 48:26.620]  Oh, yeah.
[48:27.120 --> 48:27.480]  Of course.
[48:27.780 --> 48:28.600]  I can't believe I said that.
[48:29.620 --> 48:30.420]  Four cards, huh?
[48:30.500 --> 48:30.720]  All right.
[48:33.480 --> 48:34.380]  Geoff, ten minutes.
[48:34.900 --> 48:35.360]  Dwayne Bacon...
[48:35.360 --> 48:37.200]  Oh, I had another idea, I was thinking the other day.
[48:37.280 --> 48:37.480]  Okay.
[48:37.480 --> 48:38.480]  We should do...
[48:39.320 --> 48:44.820]  We should collect the rookie cards for every NBA player who's dated a Kardashian.
[48:45.940 --> 48:46.380]  That's a good idea.
[48:46.540 --> 48:47.080]  There's a lot.
[48:47.340 --> 48:47.360]  Yeah.
[48:47.440 --> 48:48.320]  There's James Harden.
[48:48.380 --> 48:48.520]  Uh-huh.
[48:48.560 --> 48:49.480]  There's Devin Booker.
[48:49.560 --> 48:49.740]  Uh-huh.
[48:49.800 --> 48:51.420]  There's, uh...
[48:51.420 --> 48:51.820]  Lamar Odom.
[48:52.000 --> 48:52.820]  Lamar Odom.
[48:53.200 --> 48:54.200]  There's, uh...
[48:54.200 --> 48:55.360]  Chris Humphries.
[48:55.660 --> 48:55.760]  Uh-huh.
[48:55.880 --> 48:56.420]  There's, uh...
[48:56.420 --> 48:57.500]  Oh, yeah, yeah, yeah.
[48:57.680 --> 48:59.260]  Ben Simmons.
[48:59.440 --> 48:59.640]  Uh-huh.
[49:00.100 --> 49:00.860]  These are good.
[49:01.820 --> 49:02.480]  There's more.
[49:02.700 --> 49:03.040]  We can make a team.
[49:03.040 --> 49:03.620]  I'm missing somebody.
[49:03.680 --> 49:04.260]  I'm missing somebody.
[49:04.260 --> 49:05.800]  I'll get back to...
[49:05.800 --> 49:06.440]  We can make a whole team.
[49:06.500 --> 49:07.140]  Yeah, you can make a whole team.
[49:07.180 --> 49:10.060]  You can have a whole starting lineup of people who dated the Kardashians.
[49:10.600 --> 49:11.560]  Who's the sixth man?
[49:12.420 --> 49:13.240]  There is a sixth man.
