[00:10.030 --> 00:11.330]  How's that asshole feeling?
[01:12:00.000 --> 01:12:04.220]  We're getting ready to go to our soccer game and I was sitting in front of the fireplace
[01:12:04.220 --> 01:12:08.160]  Getting all nice and toasty and I lit the back of my jersey on fire
[01:12:08.160 --> 01:12:15.480]  And I didn't I didn't notice until there was a giant cloud of smoke behind me and everybody in front of me was freaking out
[01:12:15.480 --> 01:12:20.760]  And so then I had to play with a hole in the back of my jersey for that game because there wasn't enough time
[01:12:20.980 --> 01:12:22.020]  to get a replacement.
[01:12:22.480 --> 01:12:28.060]  I didn't get burned in or anything, but uh
[01:12:29.280 --> 01:12:32.960]  Minor fire. I definitely used to set people on fire a lot
[01:12:33.740 --> 01:12:36.600]  Now that we're having this conversation. I'm starting to think back
[01:12:39.480 --> 01:12:41.160]  Set people on fire?
[01:12:42.060 --> 01:12:48.540]  Definitely used to like anytime anybody read a newspaper in front of me that newspaper was getting that newspaper was getting lit
[01:12:49.200 --> 01:12:51.180]  You would just pull out a lighter and do it?
[01:12:51.520 --> 01:12:57.240]  Yeah, you just like light the bottom of the newspaper in the middle where they're reading and then suddenly it all fucking catches on fire
[01:12:57.240 --> 01:13:00.560]  But those things go up fast. Yeah, they do. Yeah. Yeah, they do
[01:13:01.040 --> 01:13:06.440]  This adds a whole new layer of context to your story about the subway guy
[01:13:06.440 --> 01:13:12.400]  Like covering himself in soda. He's just worried about you setting him on fire. He's making sure he wasn't lightable
[01:13:12.400 --> 01:13:15.280]  That's entirely possible. He knew. I uh, yeah
[01:13:15.280 --> 01:13:18.300]  I uh, I used to set people's shoes on fire a lot
[01:13:19.180 --> 01:13:22.780]  Jesus Christ. I'm learning that I got off easy in the time I've known Geoff
[01:13:22.780 --> 01:13:25.640]  Have I never set you on fire?
[01:13:26.240 --> 01:13:27.640]  I think you have
[01:13:28.260 --> 01:13:33.020]  Tried with a lighter on my shoes. That does sound familiar, but I don't think it went. It didn't take
[01:13:33.020 --> 01:13:36.420]  I was about to say, I'm pretty sure I was still doing that when we were friends. Yeah, you're right
[01:13:36.420 --> 01:13:38.580]  I don't know why I would forget you trying to burn me
[01:13:38.580 --> 01:13:44.500]  I definitely slowed down but in what I was like, I would say from like 18 to like 28
[01:13:45.280 --> 01:13:49.680]  Do do not do not have paper around me and not be paying attention
[01:13:51.020 --> 01:13:52.400]  We did that immersion
[01:13:53.420 --> 01:13:58.640]  Video where was it NBA Jam where the ball catches on fire? Yeah, so they would they wrapped
[01:13:58.640 --> 01:14:05.640]  It looked like shoelaces were like dipped in sticky napalm-ish material like or like rubber cement or something
[01:14:05.640 --> 01:14:10.500]  Very flammable and those were tied around the ball and it would catch the ball like nice and evenly on fire
[01:14:10.500 --> 01:14:11.400]  but eventually the
[01:14:12.400 --> 01:14:17.480]  String would just snap and on one of the takes it snapped flew off and wrapped around my head and
[01:14:18.620 --> 01:14:22.140]  Stuck to me like a flammable glue around the back of my head. They had to
[01:14:23.140 --> 01:14:25.880]  Well initially they had to punch me in the head a lot until the flame
[01:14:27.860 --> 01:14:33.060]  Jack and I have to do that too. I don't know. I don't we did it for like one second
[01:14:33.060 --> 01:14:38.500]  I remember thinking this is so dumb Gavin and Michael already did this. Why do I why do I have to get set on fire?
[01:14:39.660 --> 01:14:45.680]  I don't remember. I remember not liking that like not having fun doing that at all. Oh, I had fun
[01:14:45.680 --> 01:14:52.680]  I did not I think I think I was pretty I think I was probably pretty I was probably like in a bad way
[01:14:53.100 --> 01:14:55.100]  You're probably live-action doubt a little bit
[01:14:55.100 --> 01:15:01.080]  Yeah, I think I was probably I was at my drunkest and like most unhealthy to probably I was having to play sports
[01:15:01.480 --> 01:15:05.020]  I don't know who I could source this to but my notes say you had a great time
[01:15:05.020 --> 01:15:06.800]  It was actually one of your favorite shoots
[01:15:09.040 --> 01:15:11.960]  Who would have said this but because I wrote it it must be true
[01:15:11.960 --> 01:15:18.080]  You must be that wrong little mole again a little pesky mole just leaking stuff about you Geoff
[01:15:18.080 --> 01:15:21.420]  You got a hand on the basketball. I
[01:15:21.420 --> 01:15:26.300]  Got a note that says Gavin has been snorting mustard for pleasure. I don't know who told me this or
[01:15:26.960 --> 01:15:30.320]  Why but I guess it's you want to talk about that Gavin?
[01:15:32.020 --> 01:15:33.160]  Yeah, tell me about it
[01:15:33.160 --> 01:15:35.540]  Well, no, I mean you're the one that did it and first of all
[01:15:35.540 --> 01:15:41.260]  It's a lie because all you consume is protein cubes and that's true. It's true that it's once a day once a day
[01:15:41.260 --> 01:15:43.060]  He likes to excite his nose with hot mustard
[01:15:43.480 --> 01:15:47.960]  What's uh, I you know, I said I didn't have any notes, but I do have I do have a note here
[01:15:47.960 --> 01:15:53.040]  That says hot dog blowgun. Oh, yeah, that was from last time. Do we talk about that?
[01:15:53.300 --> 01:15:57.640]  Yeah. Oh, yeah you getting a hot dog launched at you trying to catch it and like we went deep on
[01:15:57.640 --> 01:15:59.120]  Yeah, we're gonna fire when I have a stage four
[01:15:59.120 --> 01:16:03.920]  I think that was less a note for talking about and more a note to remember to do so build
[01:16:03.920 --> 01:16:07.580]  I think I think I want to build a hot dog blowgun. Yeah, that's that's cool
[01:16:07.580 --> 01:16:10.880]  I like that. You wrote the note so you can remember what it was. Don't remember what it was
[01:16:13.140 --> 01:16:17.620]  Yeah, but I'm not I wasn't expecting to have to know like at some point when I sat down on my notes
[01:16:17.620 --> 01:16:19.540]  I'd look at it and I go. Oh and I go back and listen the episode
[01:16:19.540 --> 01:16:24.080]  This is just because we're recording so fast in advance. So those those are lost episodes to me right now
[01:16:24.080 --> 01:16:30.140]  They don't exist until they're published. Yeah, are you gonna you gonna get that going Eric? Yeah hot dog blowgun over stage four
[01:16:30.820 --> 01:16:36.120]  Oh, there was a there was a whole spoon thing you and I wanted to do Andrew, oh, I forgot about the spoons
[01:16:36.120 --> 01:16:43.540]  Yeah, I got shit next time. Yeah again a spoon cliffhanger spoon a double spoon cliffhanger, man
[01:16:43.540 --> 01:16:49.120]  It's really gonna be a letdown. It's such a letdown already. Yeah, it's not it was just it was yeah
[01:16:49.120 --> 01:16:50.020]  It was a small thing
[01:16:50.020 --> 01:16:55.540]  But but the movie cliffhanger was also a letdown and if there's one thing that shouldn't be a letdown
[01:16:55.540 --> 01:16:59.160]  It's cliffhanger. So it's okay was the movie cliffhanger a letdown
[01:16:59.160 --> 01:17:04.920]  I feel like it wasn't well-loved. I haven't seen it. So I don't know. I don't have a personal opinion
[01:17:04.920 --> 01:17:07.440]  I remember when it came out thinking it was awesome
[01:17:07.920 --> 01:17:15.340]  Really? Yeah, there was yeah, we have a total misread on that. But you may not I just I remember liking every
[01:17:15.340 --> 01:17:21.160]  Sylvester Stallone movie I see like I grew up with Sylvester Stallone. So anything he did was cool to me
[01:17:21.160 --> 01:17:25.720]  I I have no idea if it holds up or not, but I do remember thinking it was fucking awesome at the time
[01:17:26.360 --> 01:17:32.720]  I remember it happening in Ace Ventura. What what happened? Yeah, that's that's what when I think of cliffhanger, I think of the same thing, Gavin
[01:17:33.620 --> 01:17:39.040]  I haven't seen those movies either. If I see the parody before that it's like the whole if I have a dog with a human name
[01:17:39.040 --> 01:17:42.000]  Wow, that's I'm totally on your side
[01:17:42.960 --> 01:17:46.160]  You dude Wow, we went the whole episode you brought it all the way back around
[01:17:46.160 --> 01:17:50.520]  I'm 100% on the same side when I think of cliffhanger, I think of the parody first. That's so funny
[01:17:51.280 --> 01:17:55.580]  Wow, when I think of cliffhanger, I think this is happening in my universe. I could be there
[01:17:56.080 --> 01:17:58.160]  You could be a cliffhanger. I could be dangly
[01:18:01.080 --> 01:18:02.380]  All right, that's enough
[01:18:05.780 --> 01:18:06.140]  Right
[01:18:09.160 --> 01:18:09.880]  While back
[01:18:10.500 --> 01:18:15.200]  We should flush it though. I had a good time. I had a wonderful time. Oh, no, I don't want to flush it
[01:18:15.200 --> 01:18:20.540]  You got real weird there for a little while Gavin. I don't think anybody wants to lose that. Maybe we should flush it
[01:18:21.240 --> 01:18:26.280]  Oh, yeah, we got we got Gavin not wanting his mouth to be excited free for
[01:18:28.100 --> 01:18:33.900]  Just not three times a day. Oh
[01:18:33.900 --> 01:18:34.920]  Is that the parody from
[01:18:37.320 --> 01:18:42.780]  It's the only thing that I remember is the raccoon falling that's that's got to be the sequel, right?
[01:18:44.000 --> 01:18:49.360]  That's why I fucking hated that movie the one you hate although I'd stand by him coming out of the
[01:18:49.360 --> 01:18:55.300]  The rhino's anus one of the best things that ever happened on film. Yeah, I hate that. I viscerally hate that scene
[01:18:55.300 --> 01:18:59.420]  I hate wouldn't it be fun to rebuild it and have Gavin come out of a rhino's anus
[01:19:00.820 --> 01:19:03.460]  Let's just first get anus waxed
[01:19:04.980 --> 01:19:11.100]  Well, there's an order and anus gags after our anuses are all smoothly waxed we'll be primed to
[01:19:11.960 --> 01:19:12.420]  Yeah
[01:19:14.480 --> 01:19:16.040]  It's no better time
[01:19:17.960 --> 01:19:23.960]  Has anyone ever for Halloween dressed up as a rhino with a tiny Ace Ventura figurine coming out of their ass hole
[01:19:24.800 --> 01:19:27.140]  Let's look Ace Ventura
[01:19:28.060 --> 01:19:31.140]  Rhino Halloween, it'd be a great two-part costume, you know
[01:19:31.140 --> 01:19:36.020]  I like people do the front end and back end of a horse, but it's just like one person just runs out
[01:19:36.020 --> 01:19:37.100]  Is there part of the gag?
[01:19:41.760 --> 01:19:46.020]  That definitely I think that counts oh, yeah, I mean that's definitely intentional one, right
[01:19:47.160 --> 01:19:52.740]  Somebody doing in this costume. Yep. Yeah, that's great. That works. Well, you go get married Geoff. You have fun with that
[01:19:53.300 --> 01:19:55.460]  Oh, I will have already worried by the time this happens
[01:19:55.460 --> 01:19:58.920]  Yeah, we're taking a little break because you got to go get married and all that stuff
[01:19:58.920 --> 01:20:03.160]  All right. Well, why do you sound sour about it? No, I'm just saying he's getting married
[01:20:04.060 --> 01:20:11.060]  So we're gonna take a break. I don't like the way he says it either. That's weird. Geoff is getting a married to
[01:20:12.260 --> 01:20:12.580]  Emily
[01:20:13.500 --> 01:20:15.220]  So we're gonna be on break for a little bit
[01:20:16.040 --> 01:20:17.380]  Are you trying to do a new take?
[01:20:22.500 --> 01:20:24.640]  Geoff is getting married to Emily
[01:20:25.500 --> 01:20:30.960]  Over this next weekend. I don't know. I don't know. What do you want? How do you want it to sound?
[01:20:33.120 --> 01:20:34.900]  Any appropriate amount of enthusiasm
[01:20:35.780 --> 01:20:42.060]  Geoff is getting married Emily use promo code marriage if you want 10% off your wedding
[01:20:42.060 --> 01:20:42.780]  Um
[01:20:44.100 --> 01:20:45.980]  So, you know, he doesn't mean it
[01:20:47.080 --> 01:20:50.560]  No, I'm very excited. That's wonderful. I'm so happy for Geoff and Emily
[01:20:58.480 --> 01:21:04.720]  Was definitely your best take yeah, I think we'll go with that one. Yeah, I think that's it. Yeah
[01:21:06.340 --> 01:21:08.040]  All right, that's a wrap everybody
[01:21:10.000 --> 01:21:10.280]  Hey
[01:21:11.840 --> 01:21:15.600]  Guys major league fan Jack here with a look at next week's episode of face
[01:21:15.600 --> 01:21:23.080]  Is that a dog or a horse Gavin made a speech no tattoo for Nick the best greasy spoon in Austin is top-notch
[01:21:23.080 --> 01:21:24.300]  Let's buy a franchise
[01:21:24.300 --> 01:21:31.600]  The regulation sandwiches are in and once again Andrew does not eat the pencil all that and more on next week's episode of
[01:21:46.080 --> 01:21:49.440]  All right, well I'm gonna miss you guys we're not gonna play
[01:21:49.900 --> 01:21:54.260]  Play podcasts together anymore for a little bit. Well, I thought we wrapped
[01:21:55.420 --> 01:22:02.380]  Is this the post-credits scene? Did you cut your audio? No, I'm still going but Nick even posted upload audio here
[01:22:02.380 --> 01:22:03.740]  Like we're I thought we were done
[01:22:04.680 --> 01:22:10.980]  Okay, I guess we are then. I'm sorry. Here. Let me I'm very excited for Geoff and Emily to get married
[01:22:14.340 --> 01:22:16.620]  You're going backwards man. Oh, yeah
[01:22:25.460 --> 01:22:25.880]  Oh
[01:22:25.880 --> 01:22:32.320]  Fucking hell. Hey, uh worst we're done. We'll see you next time. Thank you so much
[01:22:34.200 --> 01:22:35.500]  Gavin you want to do one too
