[00:13.210 --> 00:15.090]  Yeah! That's okay.
[48:37.090 --> 48:38.350]  it just feels good to touch, too.
[48:38.530 --> 48:41.070]  Nice fabric. Yeah, it's great fabric.
[48:41.230 --> 48:41.730]  Whatever it is.
[48:43.070 --> 48:44.790]  Okay, five cards gonna be in here.
[48:44.890 --> 48:46.810]  Oh my god. No purchase
[48:46.810 --> 48:48.250]  necessary. How did I get the cards?
[48:51.050 --> 48:52.710]  I think you got ripped off.
[48:53.230 --> 48:54.270]  Son of a bitch.
[48:55.410 --> 48:55.890]  $250.
[48:56.930 --> 48:58.230]  Some Cracker Jack shit.
[48:59.290 --> 49:00.790]  Alright, let's see. You feeling
[49:00.790 --> 49:02.910]  good? I'm feeling great
[49:02.910 --> 49:04.650]  because the first card is
[49:04.650 --> 49:06.790]  Jason Tatum. Ooh, that has
[49:06.790 --> 49:08.390]  to bode well for you tonight, right?
[49:08.530 --> 49:10.670]  Yeah, that should bode well, right? This is a
[49:10.670 --> 49:12.290]  base card. Yeah.
[49:12.690 --> 49:14.710]  Okay, the base Revolution card. Next is
[49:14.710 --> 49:15.690]  O.G. Ananobi.
[49:17.030 --> 49:18.790]  Then, oh, Jeremy
[49:18.790 --> 49:20.570]  Grant. Perpetual trade rumor,
[49:20.570 --> 49:21.430]  Jeremy Grant.
[49:22.310 --> 49:24.470]  Alright, here we go. This is Aaron
[49:25.090 --> 49:25.910]  Wiggins rookie.
[49:26.270 --> 49:28.370]  This is a Astro
[49:28.370 --> 49:30.370]  Parallel. You can see the stars.
[49:31.510 --> 49:32.710]  That's a rookie. That's very nice.
[49:33.210 --> 49:33.950]  And then,
[49:36.330 --> 49:38.170]  another Aaron Wiggins rookie card.
[49:38.270 --> 49:40.690]  So I got the regular and the Astro Parallel.
[49:40.810 --> 49:41.410]  Oh, that's pretty cool.
[49:42.050 --> 49:44.750]  That is very neat. Set those aside.
[49:45.030 --> 49:46.330]  And then we'll set this aside.
[49:47.010 --> 49:48.470]  Put the rest of this doo-doo here.
[49:49.310 --> 49:50.230]  Alright, next pack.
[49:50.310 --> 49:51.990]  Oh, feeling good. I like the way you did that.
[49:52.170 --> 49:54.070]  Feeling good, Aaron. That's good.
[49:55.290 --> 49:56.230]  Good cards so far.
[49:56.370 --> 49:57.970]  And we got our Matrix thing we can start.
[49:57.990 --> 50:00.470]  Yeah, that's pretty exciting. Who looks like they're in the Matrix?
[50:00.690 --> 50:02.250]  Oh, keeping the Celtics theme going.
[50:02.690 --> 50:04.430]  Here we got Derek White.
[50:04.610 --> 50:06.170]  This might be his first Celtics card.
[50:06.270 --> 50:06.970]  I'm excited about that.
[50:12.860 --> 50:13.660]  Throw it on the ground.
[50:14.580 --> 50:15.600]  It wasn't worth anything.
[50:16.160 --> 50:16.880]  Certainly not now.
[50:17.240 --> 50:18.600]  Okay, R.J. Barrett.
[50:20.440 --> 50:22.140]  Then De'Aaron Fox.
[50:22.620 --> 50:24.460]  Ooh, then speaking of...
[50:24.460 --> 50:25.860]  Here's another Astro Parallel.
[50:25.960 --> 50:26.560]  Here's Carmelo.
[50:27.800 --> 50:28.640]  Astro Parallel.
[50:28.820 --> 50:30.480]  Maybe the last time you see him in a Lakers uniform.
[50:30.880 --> 50:33.400]  And then, ooh, Jalen Green.
[50:34.160 --> 50:34.580]  Shockwave.
[50:34.900 --> 50:35.400]  That's pretty cool.
[50:36.200 --> 50:37.600]  Yeah, that's a rookie card.
[50:38.020 --> 50:39.660]  That's pretty cool. That's an insert.
[50:40.160 --> 50:41.420]  Neato. Alright.
[50:42.020 --> 50:42.960]  Keep a couple of those.
[50:44.880 --> 50:46.760]  Just pile on top of De'Aaron Fox.
[50:46.760 --> 50:47.960]  Yeah, yeah, yeah, I think it's fine.
[50:48.780 --> 50:50.200]  Sacramento Kings, it doesn't matter.
[50:50.720 --> 50:52.580]  No, it's never gonna matter for them.
[50:52.680 --> 50:53.240]  I feel terrible.
[50:53.520 --> 50:54.840]  A lot of talent.
[50:55.340 --> 50:57.620]  Everybody's favorite punchable face, Tyler Hero.
[50:58.480 --> 51:00.560]  Then another, here's the other Wiggins.
[51:00.660 --> 51:01.360]  Andrew Wiggins.
[51:03.120 --> 51:04.240]  Nikola Vucevic.
[51:05.980 --> 51:07.100]  Jonas Valentinus.
[51:07.460 --> 51:08.680]  That's the Astro Parallel.
[51:09.520 --> 51:10.940]  And then...
[51:10.940 --> 51:11.600]  Oh, cool.
[51:12.940 --> 51:14.060]  Rookie Revolution.
[51:14.060 --> 51:16.060]  Rookie Revolution is a Moses Moody rookie card.
[51:16.280 --> 51:16.760]  That's pretty cool.
[51:16.860 --> 51:19.600]  I feel like you're getting a couple of good ones each pack.
[51:19.760 --> 51:21.440]  Yeah, I'm not getting...
[51:22.380 --> 51:23.080]  Big hits.
[51:23.480 --> 51:24.840]  Anywhere near the money I paid.
[51:25.000 --> 51:26.160]  Now that I think about it.
[51:27.940 --> 51:29.080]  Not even close.
[51:29.700 --> 51:29.820]  Nah.
[51:32.220 --> 51:33.220]  What are you gonna do?
[51:34.180 --> 51:35.600]  Carl Anthony Towns.
[51:35.640 --> 51:36.480]  I guess you could stop buying.
[51:37.340 --> 51:38.980]  Bradley Beal, that's one thing I could do.
[51:39.780 --> 51:40.800]  Oh, here's Darius Baisley.
[51:40.800 --> 51:43.080]  These are all obviously base cards.
[51:43.160 --> 51:44.140]  But the base cards are so pretty.
[51:44.680 --> 51:45.540]  Oh, here we go.
[51:45.660 --> 51:47.780]  Here's a Kawhi Leonard Vortex.
[51:48.320 --> 51:50.320]  This is a Fractal.
[51:51.160 --> 51:54.180]  Believe it or not, this is a different parallel than the other one.
[51:54.180 --> 51:54.900]  Can you guys believe that?
[51:54.920 --> 51:55.500]  It's different.
[51:55.660 --> 51:58.080]  I know you're watching this and going, man, I can't believe that.
[51:58.240 --> 52:00.920]  And then this JT Thor base rookie.
[52:00.920 --> 52:01.220]  Great.
[52:03.020 --> 52:04.580]  So that's kind of like the promise here.
[52:04.640 --> 52:05.780]  You got some rookie stuff.
[52:06.300 --> 52:10.780]  You get one parallel and one rookie or insert per pack.
[52:10.780 --> 52:13.860]  I believe this is how this kind of thing typically goes.
[52:15.660 --> 52:16.780]  So you can see like...
[52:16.780 --> 52:18.600]  So the first three cards are typically base cards.
[52:18.800 --> 52:21.060]  Gary Trent Jr. base, Jackson Jr. base.
[52:21.140 --> 52:21.940]  This is the Jr. pack.
[52:22.260 --> 52:23.620]  Only people with the last name Jr.
[52:23.700 --> 52:25.160]  Except for Rudy Gobert who fucked it up.
[52:26.100 --> 52:27.740]  Boy, there's trouble down in Utah.
[52:28.040 --> 52:28.920]  Oh, man.
[52:29.300 --> 52:31.640]  Rudy Gobert refuses to play with Donovan Mitchell again.
[52:31.640 --> 52:33.560]  He's really great. It's great.
[52:34.100 --> 52:36.820]  Then another Laker, Russell Westbrook.
[52:37.040 --> 52:39.400]  This is the groove parallel.
[52:39.400 --> 52:40.560]  The man himself.
[52:41.780 --> 52:43.640]  It's cool. You see him going up for that shot.
[52:43.740 --> 52:44.980]  He's missing. It's pretty exciting.
[52:45.340 --> 52:46.740]  Over and over. It captured it in perpetuity.
[52:47.360 --> 52:48.520]  And then a Trey Mann rookie.
[52:48.900 --> 52:49.720]  That's just the base.
[52:52.000 --> 52:52.600]  They're pretty.
[52:52.780 --> 52:54.560]  If nothing else, they're pretty.
[52:54.740 --> 52:55.480]  They're good looking cards.
[52:57.860 --> 52:58.300]  Cool.
[53:00.320 --> 53:00.760]  Yeah.
[53:00.960 --> 53:02.240]  You feeling good now?
[53:02.260 --> 53:02.680]  I might have.
[53:04.220 --> 53:04.980]  Here we go.
[53:04.980 --> 53:06.580]  Here's Kawhi Leonard.
[53:07.080 --> 53:08.620]  Base card.
[53:08.940 --> 53:10.740]  Clint Capella base card.
[53:11.540 --> 53:12.860]  Harrison Barnes
[53:12.860 --> 53:13.720]  base card.
[53:14.420 --> 53:15.680]  Then here's a
[53:17.260 --> 53:17.940]  numbered
[53:18.800 --> 53:20.100]  Cosmic Parallel.
[53:20.200 --> 53:21.520]  Davion Mitchell rookie.
[53:21.880 --> 53:23.980]  Numbered to 99.
[53:24.540 --> 53:26.780]  You can see that back there at the bottom.
[53:27.300 --> 53:28.660]  This is number...
[53:28.660 --> 53:30.000]  67 of 99.
[53:30.480 --> 53:31.820]  That might be the big hit of the pack.
[53:31.820 --> 53:33.740]  If it's not, it's this.
[53:34.060 --> 53:35.760]  The Evan Mobley Vortex.
[53:36.120 --> 53:36.540]  Oh, cool.
[53:37.340 --> 53:39.820]  That is also a...
[53:43.260 --> 53:44.580]  It's a parallel of some kind.
[53:44.880 --> 53:45.480]  But it doesn't say.
[53:46.360 --> 53:47.940]  Anyway, very cool.
[53:48.440 --> 53:49.080]  Nice one.
[53:50.460 --> 53:51.440]  Didn't win rookie of the year.
[53:52.900 --> 53:54.100]  Definitely going to be a superstar.
[53:54.460 --> 53:55.220]  Is this the last one here?
[53:55.360 --> 53:56.140]  The last pack.
[53:57.400 --> 53:58.940]  We have five minutes left.
[53:59.020 --> 54:01.360]  We can get something weird and go out on top.
[54:01.360 --> 54:02.160]  Yeah, we can do that.
[54:02.440 --> 54:03.400]  Andy Davis.
[54:05.440 --> 54:06.560]  Zion again.
[54:07.860 --> 54:08.960]  You're going to hang on to it.
[54:09.060 --> 54:09.700]  I love Zion.
[54:10.140 --> 54:10.720]  Lugens Dort.
[54:12.660 --> 54:15.640]  Just the strangest NBA name ever.
[54:15.780 --> 54:16.360]  Lugens Dort.
[54:16.440 --> 54:18.360]  Lugens Dort.
[54:18.600 --> 54:19.900]  He's awesome.
[54:20.380 --> 54:21.960]  He's really...
[54:22.780 --> 54:25.080]  Oh, here we go.
[54:25.280 --> 54:26.240]  Man, they're really...
[54:26.240 --> 54:27.540]  All the different parallels.
[54:27.540 --> 54:28.640]  That's a really cool looking card.
[54:30.260 --> 54:31.360]  That's Ty Jones.
[54:31.480 --> 54:33.180]  I think that's the coolest looking card you've gotten.
[54:33.460 --> 54:34.580]  That's really crazy.
[54:34.680 --> 54:36.260]  If he becomes a superstar, it'll be worth something too.
[54:36.760 --> 54:38.220]  And then final rookie card.
[54:38.360 --> 54:39.040]  This is actually not bad.
[54:39.100 --> 54:41.180]  Jonathan Kuminga for the Golden State Warriors.
[54:41.440 --> 54:42.580]  Having a pretty good postseason.
[54:43.680 --> 54:45.960]  So that's that on the big boys.
[54:47.940 --> 54:49.100]  We got five minutes left.
[54:49.220 --> 54:50.760]  Yeah, you got something that...
[54:50.760 --> 54:51.460]  You want to do that?
[54:51.620 --> 54:54.460]  Are you going to look and pull or close your eyes?
[54:54.460 --> 54:56.100]  What if I got the...
[54:56.100 --> 54:57.980]  Yeah, that's why I thought you were looking and pulling.
[54:58.400 --> 54:58.980]  Here we go.
[54:59.480 --> 55:02.220]  This is going to...
[55:02.220 --> 55:04.320]  That looks the most...
[55:04.320 --> 55:05.640]  90's fucked up.
[55:06.500 --> 55:07.800]  This is...
[55:08.460 --> 55:10.880]  Brain straining doodle wonkers.
[55:11.780 --> 55:14.540]  If you're wondering what the 90's looked like,
[55:14.680 --> 55:17.160]  it was that but everything all the time.
[55:17.300 --> 55:17.460]  Yeah.
[55:17.660 --> 55:21.920]  A friend of a friend was stoned and drew that everywhere.
[55:22.020 --> 55:23.560]  Everything everywhere all at once but this.
[55:23.560 --> 55:24.060]  It was that.
[55:24.320 --> 55:25.340]  It's disgusting.
[55:25.780 --> 55:29.720]  Absolutely vile cartoon and then Duckman was on.
[55:35.700 --> 55:36.200]  I...
[55:36.200 --> 55:37.960]  Grunge music and this shit.
[55:39.040 --> 55:40.380]  Yeah, but we got Syphil and Ollie.
[55:41.940 --> 55:42.940]  Sticky situation.
[55:43.340 --> 55:44.880]  These are like little games and shit.
[55:45.540 --> 55:46.640]  No, they got like little dudes.
[55:46.840 --> 55:47.940]  Little dudes in the back.
[55:49.080 --> 55:49.580]  Also...
[55:49.580 --> 55:50.220]  Oh yeah, here we go.
[55:50.380 --> 55:53.440]  Here's a ringer skink.
[55:53.900 --> 55:54.480]  Okay.
[55:55.160 --> 55:57.440]  And then here's foom for fink.
[55:57.660 --> 55:58.680]  These suck.
[55:59.880 --> 56:01.440]  Ring skink.
[56:01.620 --> 56:02.500]  These suck.
[56:02.560 --> 56:03.820]  Stickers are pretty cool.
[56:07.430 --> 56:08.620]  These cards suck.
[56:08.880 --> 56:10.960]  Skink and skink, ring skink.
[56:12.240 --> 56:13.440]  Ringer skink.
[56:13.800 --> 56:14.600]  Ring skink.
[56:14.900 --> 56:15.340]  Skinkening.
[56:15.340 --> 56:15.580]  Skink.
[56:15.820 --> 56:17.380]  We got some tops.
[56:17.540 --> 56:19.780]  20 holiday.
[56:20.620 --> 56:22.220]  We might find something fun.
[56:22.400 --> 56:25.400]  We might get a card with a Christmas sweater.
[56:25.780 --> 56:26.280]  Relic.
[56:26.520 --> 56:29.120]  Maybe a...
[56:29.880 --> 56:30.920]  What do you call it?
[56:31.760 --> 56:32.200]  That thing.
[56:33.300 --> 56:33.940]  Snowflake.
[56:35.700 --> 56:36.380]  Kyle Schwarber.
[56:36.840 --> 56:37.920]  Brian Reynolds.
[56:38.060 --> 56:39.160]  Cody Bellinger.
[56:39.620 --> 56:40.800]  Jake Rogers.
[56:40.800 --> 56:42.180]  Yon Moncada.
[56:42.480 --> 56:43.300]  Dee Gordon.
[56:43.920 --> 56:45.000]  Jack Flaherty.
[56:45.320 --> 56:46.540]  Rick Porcello.
[56:47.480 --> 56:48.500]  Juan Soto.
[56:49.840 --> 56:51.400]  And Kevin Newman.
[56:51.820 --> 56:55.080]  I like Juan Soto because every time he takes a strike, he grabs his dick.
[56:55.380 --> 56:55.860]  A lot.
[56:56.180 --> 56:57.920]  And you just go, I guess it's baseball.
[56:58.780 --> 57:00.440]  No one else does this.
[57:00.540 --> 57:01.840]  It's the Soto Shuffle.
[57:02.000 --> 57:03.920]  I know what he'll be doing afterwards in the parking lot.
[57:04.800 --> 57:05.840]  Backing off.
[57:06.640 --> 57:06.880]  Alright.
[57:06.880 --> 57:08.920]  And then, this is for you, Tops Finest.
[57:09.260 --> 57:10.400]  We're back in the wrestling world.
[57:10.500 --> 57:11.100]  Let's do it.
[57:11.680 --> 57:12.760]  Drew McIntyre on the cover.
[57:12.840 --> 57:14.140]  Let's see if we get anyone good.
[57:14.300 --> 57:16.400]  Can't go wrong with that name.
[57:17.980 --> 57:19.280]  Tegan Knox, rookie.
[57:19.440 --> 57:20.240]  Doesn't work there anymore.
[57:21.480 --> 57:24.080]  This is a numbered parallel.
[57:24.300 --> 57:25.280]  Edge parallel.
[57:27.500 --> 57:27.980]  Numbered...
[57:27.980 --> 57:30.520]  This is number 23 of 150.
[57:31.600 --> 57:33.100]  Then Roderick Strong.
[57:33.440 --> 57:33.940]  That's cool.
[57:33.940 --> 57:34.960]  What is he doing?
[57:35.140 --> 57:36.480]  He's doing the Stronghold.
[57:36.600 --> 57:37.740]  He's not enjoying it.
[57:37.840 --> 57:39.940]  And then Johnny Gargano.
[57:41.340 --> 57:42.800]  What's Johnny Gargano up to today?
[57:43.520 --> 57:44.560]  Streaming on Twitch, probably.
[57:45.180 --> 57:45.720]  That's a big thing.
[57:45.920 --> 57:48.000]  A lot of Stritch Tweemers.
[57:49.160 --> 57:50.400]  We're streaming on Twitch also.
[57:52.440 --> 57:53.980]  What do they do on Twitch?
[57:54.180 --> 57:54.960]  Do they open baseball cards?
[57:55.260 --> 57:56.020]  Yeah, sometimes.
[57:57.600 --> 57:59.080]  What are we opening?
[57:59.280 --> 58:00.260]  This is 91 Tops again.
[58:00.260 --> 58:00.780]  Really?
[58:01.260 --> 58:03.200]  We're ending with 91 Tops?
[58:04.580 --> 58:05.840]  Dan Plezak.
[58:06.140 --> 58:07.100]  Al Jeter.
[58:07.420 --> 58:09.800]  Not to be confused with the other Jeter.
[58:10.820 --> 58:11.620]  Sean Dunstan.
[58:11.940 --> 58:14.460]  One of the hardest-throwing baseball players of all time.
[58:15.500 --> 58:19.560]  Once in my life, I wanted to catch Sean Dunstan's fastest throw.
[58:20.100 --> 58:21.040]  Milt Koehler.
[58:21.980 --> 58:23.180]  Juan Gonzalez.
[58:25.500 --> 58:26.460]  Rance Mullin.
[58:26.960 --> 58:27.700]  What the fuck?
[58:29.940 --> 58:30.660]  Rance Mullinix.
[58:30.920 --> 58:32.000]  That's a great baseball name.
[58:32.000 --> 58:33.200]  He looks like an accountant.
[58:33.300 --> 58:34.340]  His name is Rance.
[58:34.480 --> 58:35.440]  Look at his fucking face.
[58:36.800 --> 58:37.960]  Look at his glasses.
[58:38.140 --> 58:39.220]  You didn't even point out the glasses.
[58:41.600 --> 58:42.940]  This is a slow stroke.
[58:43.940 --> 58:44.920]  You might be done for.
[58:45.120 --> 58:45.920]  I don't know if I'm going to make it.
[58:46.280 --> 58:47.140]  Julio Franco.
[58:49.100 --> 58:49.820]  Ozzy Canseco.
[58:50.840 --> 58:52.280]  Not to be confused with the other Canseco.
[58:52.680 --> 58:54.360]  Although they both were athletics.
[58:55.180 --> 58:55.980]  Jim Presley.
[58:57.440 --> 58:58.240]  Randy Velarde.
[59:01.040 --> 59:01.840]  Mike Aldrete.
[59:02.680 --> 59:03.360]  Matt Williams.
[59:05.140 --> 59:05.940]  Junior Felix.
[59:07.580 --> 59:09.480]  No Zims from the 91s.
[59:09.840 --> 59:10.620]  But we did get an accountant.
[59:10.840 --> 59:11.540]  Yeah, we got an accountant.
[59:12.920 --> 59:14.140]  We should probably wrap up.
[59:14.480 --> 59:15.560]  Yeah, I guess that'll do it.
[59:15.640 --> 59:17.020]  I feel like we got some good stuff.
[59:17.200 --> 59:18.320]  I feel like we got some fun.
[59:18.640 --> 59:21.460]  This was an hour-long break shit.
[59:22.340 --> 59:23.320]  Face break shit.
[59:24.680 --> 59:26.400]  I think we want to do these more frequently.
[59:26.780 --> 59:28.580]  I would ultimately like to do them weekly.
[59:28.700 --> 59:29.020]  Yes.
[59:29.440 --> 59:31.840]  And I think we're really close to being able to do that.
[59:31.940 --> 59:34.900]  And then we'll still do some bigger ones.
[59:34.920 --> 59:36.000]  I think with the whole group.
[59:36.120 --> 59:37.860]  But I think weekly it'll probably be
[59:37.860 --> 59:39.400]  just you, me and you.
[59:40.480 --> 59:41.660]  With Gavin's around.
[59:41.840 --> 59:42.720]  Like that kind of stuff.
[59:42.880 --> 59:43.960]  I think that's the cadence.
[59:44.160 --> 59:46.860]  Just you and I and maybe one other person, but not needed.
[59:47.040 --> 59:48.740]  And then we'll do that three weeks.
[59:48.740 --> 59:50.960]  And then once a month we do a big one.
[59:51.180 --> 59:51.720]  I think that'll be a lot of fun.
[59:51.900 --> 59:52.440]  Time to feed the dog.
[59:53.620 --> 59:56.060]  The time to feed the dog alarm means that
[59:57.200 --> 59:58.340]  we have to go.
[59:58.860 --> 59:59.880]  Thank you for watching.
[01:00:00.620 --> 01:00:01.640]  Face break shit.
[01:00:02.440 --> 01:00:04.560]  If you want to watch this later, it'll be on YouTube, I'm sure.
[01:00:04.660 --> 01:00:05.900]  So you can go subscribe to the YouTube channel.
[01:00:06.440 --> 01:00:07.680]  YouTube.com slash...
[01:00:07.680 --> 01:00:09.500]  It's YouTube.com slash twitch
[01:00:11.540 --> 01:00:12.460]  roosterteeth break shit.
[01:00:12.700 --> 01:00:13.860]  You can find these.
[01:00:14.440 --> 01:00:16.120]  Brendan will help us with SEO. Thank you, Brendan.
[01:00:16.500 --> 01:00:17.880]  And you guys can...
[01:00:17.880 --> 01:00:20.240]  Oh, go buy an anal passage shirt. It's still up.
[01:00:20.880 --> 01:00:22.660]  Holy shit, did people buy the anal passage shirt.
[01:00:22.740 --> 01:00:23.600]  We've got to talk about that tomorrow.
[01:00:24.420 --> 01:00:26.080]  We did not expect you to buy it.
[01:00:26.120 --> 01:00:27.460]  You guys are crazy. You guys are ridiculous.
[01:00:28.360 --> 01:00:30.000]  We'll see you next time on
[01:00:30.480 --> 01:00:31.360]  Face Break Shit.
[01:00:31.560 --> 01:00:31.920]  Goodbye.
