[00:00.000 --> 00:00.780]  It's an Xbox.
[53:51.600 --> 53:53.180]  Oh, thank you, you got me back.
[53:54.120 --> 53:54.620]  Ah, damn.
[53:55.400 --> 53:56.520]  Nick, do you want to start repairing?
[53:57.160 --> 53:58.240]  Yeah, reviving you, Geoff.
[53:58.600 --> 53:59.740]  No, you're not.
[54:01.160 --> 54:01.380]  Fuck!
[54:03.320 --> 54:03.600]  I'm down.
[54:05.100 --> 54:06.660]  I'm just going to go ferryman.
[54:07.340 --> 54:08.100]  Oh, God.
[54:08.540 --> 54:09.800]  Alright, just keep it all together, Nick.
[54:10.440 --> 54:11.500]  By yourself, you got this.
[54:11.540 --> 54:14.080]  Just do all the work.
[54:15.920 --> 54:16.340]  Oh, God.
[54:16.820 --> 54:17.380]  Just bucket.
[54:17.380 --> 54:18.600]  Just bucket.
[54:19.260 --> 54:20.440]  Get on those buckets.
[54:23.620 --> 54:24.980]  Let me out.
[54:25.480 --> 54:30.560]  Oh, God.
[54:33.500 --> 54:34.040]  Okay.
[54:34.960 --> 54:36.820]  Alright, door open. Here we go.
[54:37.380 --> 54:37.660]  Oh, God.
[54:38.980 --> 54:40.740]  Bucket, bucket, bucket.
[54:41.360 --> 54:43.120]  Let me go, I'll just go to the ferryman.
[54:44.540 --> 54:46.000]  I'm not in the boat.
[54:48.040 --> 54:49.520]  It's sunk, it's sunk, we sunk.
[54:49.880 --> 54:50.360]  Oh, really?
[54:54.340 --> 54:55.640]  How do I find a mermaid?
[54:57.280 --> 54:58.760]  Uh, it'll spawn in a minute.
[55:00.680 --> 55:01.620]  So we sunk, huh?
[55:02.180 --> 55:03.660]  Yeah, that was a tough fight.
[55:04.800 --> 55:06.120]  I wonder how close we were to beating it.
[55:07.380 --> 55:08.380]  We got his armor off.
[55:08.520 --> 55:12.200]  We could head back here and try to get him again.
[55:12.540 --> 55:12.720]  Yeah.
[55:12.720 --> 55:13.580]  I'm just gonna hang out.
[55:14.180 --> 55:15.100]  Hey, look, it's a mermaid.
[55:18.440 --> 55:20.400]  Oh, I don't wanna fight that guy again.
[55:21.240 --> 55:22.060]  Do we wanna...
[55:22.060 --> 55:23.240]  We almost killed it, I assume.
[55:24.580 --> 55:27.420]  Like, it doesn't regain health, is what I'm saying.
[55:28.800 --> 55:29.040]  Oh.
[55:29.280 --> 55:33.380]  So if we fought it again, it would be low health like that?
[55:33.860 --> 55:36.300]  Yeah, if we come back, it'll remain...
[55:36.300 --> 55:37.080]  The progress remains.
[55:37.320 --> 55:38.500]  Oh, then we should go do that, yeah.
[55:38.840 --> 55:40.700]  And we can recoup all the stuff that we just lost.
[55:40.700 --> 55:41.920]  Nick is killing pigs.
[55:42.240 --> 55:44.640]  Yeah, let's just quickly...
[55:45.080 --> 55:45.980]  I'm in the ferryman.
[55:49.580 --> 55:51.080]  We lost all that shit though, yeah?
[55:51.280 --> 55:52.520]  Yeah, but we can retrieve it.
[55:52.580 --> 55:54.020]  It'll be in the ocean for a little bit.
[55:54.720 --> 55:57.820]  It will sink. And you can go down and get it too, if it sinks.
[55:58.140 --> 55:59.980]  Yeah, let's just quickly try to get back there.
[56:00.080 --> 56:01.940]  So let's raise anchor as soon as you get on the boat.
[56:03.960 --> 56:04.520]  I'm with ya.
[56:05.380 --> 56:06.600]  I'm coming back from the ferryman.
[56:08.020 --> 56:08.700]  I'm on the boat.
[56:09.400 --> 56:10.260]  Coming to the boat.
[56:10.380 --> 56:11.700]  You can hop on anchor please.
[56:14.660 --> 56:15.460]  Thank you.
[56:17.820 --> 56:18.880]  I'm behind you.
[56:24.380 --> 56:26.700]  Will we have a bunch of fresh supplies now?
[56:27.280 --> 56:27.540]  Yep.
[56:28.940 --> 56:31.180]  That'll be helpful, we should load the cannons in a second.
[56:31.380 --> 56:32.560]  I'll load them.
[56:33.660 --> 56:33.900]  Okay.
[56:35.040 --> 56:36.700]  Should I lower the sails?
[56:36.700 --> 56:37.100]  Yes.
[56:38.260 --> 56:39.140]  One sec.
[56:39.920 --> 56:40.840]  You gotta go northeast.
[56:41.740 --> 56:43.660]  And then drop sails.
[56:44.940 --> 56:46.140]  So raise them now?
[56:46.460 --> 56:47.100]  Or lower them now?
[56:48.020 --> 56:48.540]  Yeah, go ahead.
[56:50.140 --> 56:53.600]  Okay, let's drop sails and try to catch wind so we go faster if we can.
[56:55.240 --> 56:57.120]  Is it the opposite way we're looking right now?
[56:58.360 --> 57:01.080]  You want the wind to blow into the sail.
[57:01.520 --> 57:01.760]  Yeah.
[57:02.640 --> 57:04.720]  So if you look at the wind in the sky...
[57:04.720 --> 57:05.900]  Yeah, I'm looking at it.
[57:06.120 --> 57:06.840]  There it goes.
[57:07.600 --> 57:10.280]  Let's get the boat equipped with cannons and all that.
[57:11.380 --> 57:13.540]  I'm loading cannonballs right now.
[57:13.660 --> 57:14.080]  Sweet.
[57:14.500 --> 57:16.480]  Alright, sails are up.
[57:17.380 --> 57:18.240]  I'll load it up.
[57:22.460 --> 57:24.700]  Don't forget we do more damage with the different kinds of cannon.
[57:24.840 --> 57:27.080]  Like the double shots and the incendiary shots.
[57:28.300 --> 57:30.740]  Alright, I'm loaded up with wood and food.
[57:30.820 --> 57:33.120]  I have wood, I should grab some food.
[57:33.860 --> 57:34.880]  Where's the food?
[57:35.960 --> 57:39.700]  Be on the lookout once we start getting closer to the area.
[57:39.800 --> 57:40.660]  If you recognize it.
[57:40.860 --> 57:42.240]  To see your stuff floating in the water.
[57:42.540 --> 57:43.060]  Yeah, absolutely.
[57:43.240 --> 57:44.520]  Start harpooning before it disappears.
[57:44.640 --> 57:45.880]  I don't recognize anything.
[57:46.100 --> 57:48.060]  Everything was dark and there was a big ass shark.
[57:48.280 --> 57:49.040]  I don't recognize anything.
[57:49.640 --> 57:51.880]  This definitely looks like the same water.
[57:53.200 --> 57:55.260]  Yeah, I've seen this water before.
[57:55.540 --> 57:57.620]  Yeah, with the white caps and all the waves.
[57:57.760 --> 57:59.040]  I've definitely seen waves.
[58:00.500 --> 58:00.880]  Cool.
[58:01.480 --> 58:04.500]  Looks like we're going straight at this rock.
[58:05.320 --> 58:05.720]  Cropping.
[58:06.920 --> 58:09.080]  Okay, we can adjust the sails.
[58:09.800 --> 58:10.220]  Catch them.
[58:13.410 --> 58:13.950]  And then...
[58:13.950 --> 58:16.070]  I think you gotta make a turn.
[58:17.530 --> 58:18.630]  Okay, turning in a sec.
[58:20.670 --> 58:21.250]  I'm turning.
[58:21.850 --> 58:24.090]  I can't see where I'm going because the sail's in the way.
[58:24.190 --> 58:25.590]  But I'm just turning hard right.
[58:25.930 --> 58:26.870]  Let me know when to turn back.
[58:27.490 --> 58:28.150]  Keep going hard right.
[58:28.590 --> 58:29.230]  There you go.
[58:29.450 --> 58:31.490]  You got it. You can even out.
[58:32.530 --> 58:33.830]  You can go a little left.
[58:35.130 --> 58:35.990]  Yeah, definitely left.
[58:37.250 --> 58:38.430]  That might be good.
[58:40.510 --> 58:43.250]  There is an outcrop of islands.
[58:43.250 --> 58:44.370]  Yeah, there's a little island here.
[58:44.610 --> 58:47.030]  Over to our front left.
[58:47.690 --> 58:48.570]  Is that a ship over there?
[58:48.630 --> 58:49.030]  What is that?
[58:49.930 --> 58:50.570]  Should I avoid it?
[58:51.630 --> 58:52.870]  There's a ship.
[58:53.110 --> 58:54.110]  Go here right.
[58:54.110 --> 58:54.150]  Wait.
[58:55.430 --> 58:57.030]  I see a ship over there.
[58:57.490 --> 58:59.150]  Yeah, that's the ship from before.
[59:00.050 --> 59:00.810]  Yeah, that's good, Geoff.
[59:01.350 --> 59:03.710]  I'll get up in the crow's nest and see if I can spot it.
[59:06.470 --> 59:07.770]  There's something in the water.
[59:08.030 --> 59:08.590]  Where's that?
[59:11.130 --> 59:11.870]  Straight ahead.
[59:12.470 --> 59:13.410]  Just to the left.
[59:13.510 --> 59:16.190]  On that far left pointy island that's up there.
[59:17.450 --> 59:18.930]  There's something in the water.
[59:19.010 --> 59:20.090]  But I can't tell what it is.
[59:22.090 --> 59:23.390]  It's like moving around.
[59:28.300 --> 59:29.480]  I see what you're talking about.
[59:29.980 --> 59:31.560]  I think it's right in front of us.
[59:32.940 --> 59:35.280]  I think it's the Megalodon.
[59:35.300 --> 59:36.200]  I see the Megalodon.
[59:37.860 --> 59:38.700]  Straight ahead.
[59:38.940 --> 59:40.800]  He's right in front of that big rock.
[59:40.820 --> 59:41.560]  Slightly to the left.
[59:42.080 --> 59:43.240]  The big left rock.
[59:43.380 --> 59:47.240]  I don't see our ship, but I care more about killing him.
[59:47.680 --> 59:48.680]  The sail length.
[59:48.720 --> 59:49.200]  What do we want to do?
[59:50.380 --> 59:52.540]  Let's raise one more of the sails.
[59:52.640 --> 59:53.660]  We'll keep one down.
[59:53.840 --> 59:55.540]  Alright, I'm coming back down.
[59:55.660 --> 59:57.400]  I'm going to raise this front sail.
[59:58.380 --> 59:59.100]  Sounds good.
[59:59.760 --> 01:00:02.900]  Just so we can keep everything in the back.
[01:00:03.180 --> 01:00:05.200]  Oh yeah, he's dead ahead.
[01:00:06.960 --> 01:00:08.480]  He is dead ahead.
[01:00:08.620 --> 01:00:08.820]  Is he?
[01:00:09.540 --> 01:00:09.900]  Yeah.
[01:00:12.700 --> 01:00:14.180]  Oh, he has spotted us.
[01:00:14.260 --> 01:00:15.460]  He is coming right for us.
[01:00:16.840 --> 01:00:17.660]  Oh, I hear him.
[01:00:18.000 --> 01:00:18.840]  Oh, he's coming.
[01:00:19.500 --> 01:00:20.520]  Right ahead of us.
[01:00:20.720 --> 01:00:20.740]  Shit.
[01:00:22.800 --> 01:00:24.460]  I'm going to check the lower decks.
[01:00:25.140 --> 01:00:25.560]  Hey, guess what?
[01:00:26.220 --> 01:00:29.360]  Hey, guess what? Three holes at least.
[01:00:31.340 --> 01:00:32.300]  Where is he? On the left or the right?
[01:00:32.620 --> 01:00:33.920]  He's coming up on the left.
[01:00:33.920 --> 01:00:35.540]  Oh god, we are filling with water.
[01:00:36.600 --> 01:00:37.300]  I'm stuck.
[01:00:38.960 --> 01:00:40.280]  I'm going to go ahead and kill him real fast.
[01:00:40.600 --> 01:00:43.000]  Just kill him real fast.
[01:00:45.700 --> 01:00:46.340]  Alright.
[01:00:47.660 --> 01:00:49.940]  I think I got all the holes plugged.
[01:00:51.060 --> 01:00:52.100]  Nice shot, dude.
[01:00:53.820 --> 01:00:55.380]  He's coming for us.
[01:00:56.320 --> 01:00:56.760]  Oh shit.
[01:00:57.500 --> 01:00:59.020]  God, I hit him hard there. That's great.
[01:00:59.500 --> 01:00:59.980]  Other side.
[01:01:00.160 --> 01:01:02.060]  To the left.
[01:01:03.180 --> 01:01:05.160]  I'm going to tilt this to him.
[01:01:05.960 --> 01:01:06.280]  Ow.
[01:01:06.600 --> 01:01:08.320]  He bit us hard.
[01:01:08.700 --> 01:01:11.400]  But we...
[01:01:11.400 --> 01:01:12.440]  I'm down.
[01:01:12.440 --> 01:01:13.200]  Whoa.
[01:01:14.420 --> 01:01:15.540]  I'm on top of the deck.
[01:01:16.220 --> 01:01:17.100]  Getting water.
[01:01:18.820 --> 01:01:19.700]  Thank you.
[01:01:19.820 --> 01:01:22.160]  I'm reviving Nick and I'll come back and help with the water reference.
[01:01:22.200 --> 01:01:23.000]  How's the water situation?
[01:01:23.460 --> 01:01:24.980]  It's bad. It's filling up.
[01:01:25.360 --> 01:01:25.820]  You're up.
[01:01:29.140 --> 01:01:30.140]  Alright, getting water.
[01:01:31.180 --> 01:01:32.440]  I'm fixing the shit.
[01:01:33.000 --> 01:01:33.040]  Water.
[01:01:33.380 --> 01:01:34.540]  Nick, you on repair.
[01:01:35.720 --> 01:01:36.880]  Where the fuck is it?
[01:01:36.940 --> 01:01:37.720]  Piece of shit.
[01:01:39.720 --> 01:01:41.600]  Nick, that's where the babies are, right?
[01:01:42.200 --> 01:01:42.580]  Water.
[01:01:43.140 --> 01:01:44.020]  Enemy's down.
[01:01:47.320 --> 01:01:48.260]  This dickhead.
[01:01:50.440 --> 01:01:51.860]  He's coming in for another bite.
[01:01:52.020 --> 01:01:52.360]  Get ready.
[01:01:53.340 --> 01:01:54.460]  Which side?
[01:01:56.700 --> 01:01:58.160]  We need more water out.
[01:01:58.820 --> 01:01:59.980]  I'm working on it.
[01:02:00.700 --> 01:02:01.260]  Water.
[01:02:01.440 --> 01:02:02.140]  Oh my god.
[01:02:02.620 --> 01:02:04.600]  It's every hole in the second deck also.
[01:02:04.600 --> 01:02:05.040]  Yep.
[01:02:15.340 --> 01:02:16.780]  We need bucket help.
[01:02:18.540 --> 01:02:21.000]  I have to go back for more wood so I'm going to bucket.
[01:02:23.160 --> 01:02:23.980]  I'll do wood.
[01:02:24.460 --> 01:02:24.880]  I got five.
[01:02:25.700 --> 01:02:26.840]  Is it down?
[01:02:27.980 --> 01:02:29.820]  I think there might be one down below.
[01:02:30.740 --> 01:02:31.460]  I got it.
[01:02:31.460 --> 01:02:33.340]  Oh, there's three.
[01:02:33.500 --> 01:02:33.780]  Okay.
[01:02:34.980 --> 01:02:36.320]  There's three at the front of the ship.
[01:02:36.840 --> 01:02:37.780]  I got one.
[01:02:39.140 --> 01:02:39.620]  Two.
[01:02:40.720 --> 01:02:41.380]  Yeah, I'm coming back.
[01:02:44.580 --> 01:02:45.060]  Three.
[01:02:45.720 --> 01:02:45.920]  Another bite.
[01:02:46.260 --> 01:02:47.440]  I hate these guys.
[01:02:48.160 --> 01:02:50.000]  What is under the water attacking me?
[01:02:50.100 --> 01:02:52.860]  Alright, and...
[01:02:55.190 --> 01:02:56.230]  I think that's it.
[01:02:57.850 --> 01:02:58.370]  That's it.
[01:02:59.490 --> 01:03:00.510]  Yeah, we've stopped.
[01:03:00.510 --> 01:03:04.470]  I repaired the hole on the second level.
[01:03:04.590 --> 01:03:05.010]  Thank you.
[01:03:05.710 --> 01:03:07.350]  Ship is coming.
[01:03:08.210 --> 01:03:08.350]  What?
[01:03:09.330 --> 01:03:10.310]  Yeah, ship's coming.
[01:03:12.230 --> 01:03:13.590]  Looks like a dickhead.
[01:03:14.270 --> 01:03:15.990]  Yeah, I think we're still taking on a little bit of water.
[01:03:16.170 --> 01:03:17.010]  Yep, sure are.
[01:03:18.710 --> 01:03:20.330]  I'm second deck repairing still.
[01:03:21.290 --> 01:03:22.410]  And we still have a hole in the bottom.
[01:03:22.810 --> 01:03:22.950]  Yep.
[01:03:25.010 --> 01:03:25.830]  Alright, I'll go down.
[01:03:27.790 --> 01:03:28.230]  Oh!
[01:03:29.130 --> 01:03:30.350]  He's got electrocuted.
[01:03:30.490 --> 01:03:31.510]  Oh, I can hear them talking.
[01:03:32.450 --> 01:03:34.110]  Who uses comms in this game?
[01:03:34.210 --> 01:03:34.730]  What a dork.
[01:03:36.750 --> 01:03:38.690]  Oh man, I just fixed it all.
[01:03:39.030 --> 01:03:40.370]  Okay, we need buckets.
[01:03:41.530 --> 01:03:42.170]  Yeah, yeah, I'm working.
[01:03:42.230 --> 01:03:43.630]  Hold on, I'm repairing this and then I got my bucket.
[01:03:43.770 --> 01:03:44.790]  Alright, bucket.
[01:03:47.890 --> 01:03:48.770]  Repairing the bottom hole.
[01:03:53.360 --> 01:03:54.920]  These electric assholes are the worst.
[01:03:54.920 --> 01:03:55.440]  They're the worst.
[01:03:55.880 --> 01:03:58.060]  This fight wouldn't be so bad if it wasn't for them.
[01:03:58.060 --> 01:03:59.080]  Electric assholes.
[01:04:02.260 --> 01:04:04.380]  Wish we could have one more crew, you know?
[01:04:06.100 --> 01:04:08.740]  If we just didn't have these little guys, it would be fine.
[01:04:09.020 --> 01:04:09.880]  Okay, if we could get Nick out.
[01:04:10.260 --> 01:04:11.220]  Yeah, right on the second deck.
[01:04:11.440 --> 01:04:12.280]  There's a guy on top of him.
[01:04:13.300 --> 01:04:15.360]  Bottom floor is fully repaired, I can get Nick.
[01:04:15.540 --> 01:04:18.040]  I'm down the stairs, there's one on top of me.
[01:04:18.480 --> 01:04:19.160]  He's almost dead.
[01:04:19.420 --> 01:04:20.360]  Which set of stairs?
[01:04:21.580 --> 01:04:22.580]  Geoff, get Geoff.
[01:04:22.740 --> 01:04:23.660]  I got him, I got him.
[01:04:25.760 --> 01:04:26.640]  No way.
[01:04:26.900 --> 01:04:27.380]  Wait, are you back?
[01:04:27.500 --> 01:04:27.840]  Alright, cool.
[01:04:28.080 --> 01:04:28.520]  Yeah, I'm back.
[01:04:31.500 --> 01:04:32.320]  Where the fuck is he?
[01:04:33.360 --> 01:04:34.100]  Where's the Meg?
[01:04:34.860 --> 01:04:38.100]  I think that what other boat was,
[01:04:38.200 --> 01:04:39.420]  he got all fucked up and took him.
[01:04:39.760 --> 01:04:41.520]  But, where's our stuff?
[01:04:41.860 --> 01:04:42.480]  Where's our stuff?
[01:04:43.740 --> 01:04:44.940]  Uh, let's see.
[01:04:46.720 --> 01:04:48.020]  Did those pricks do that?
[01:04:48.640 --> 01:04:50.660]  Yeah, the Meg is on their boat now.
[01:04:50.720 --> 01:04:51.580]  So let's head over to him.
[01:04:51.580 --> 01:04:53.080]  Let's go get our stuff.
[01:04:53.400 --> 01:04:54.440]  If we can still get it.
[01:04:56.180 --> 01:04:57.320]  I saw it, but then like,
[01:04:57.380 --> 01:04:58.660]  everything went fucking crazy.
[01:04:58.960 --> 01:05:00.000]  What are we looking for?
[01:05:00.780 --> 01:05:02.200]  Just sparkles in the water.
[01:05:03.180 --> 01:05:04.020]  Got it.
[01:05:08.140 --> 01:05:09.740]  What's that colorful thing
[01:05:09.740 --> 01:05:11.040]  to the front left of us?
[01:05:11.440 --> 01:05:12.840]  The pink and...
[01:05:12.840 --> 01:05:14.320]  That is a sunken ship, Trevor.
[01:05:14.960 --> 01:05:16.100]  But not ours.
[01:05:17.200 --> 01:05:17.600]  Got it.
[01:05:18.960 --> 01:05:21.480]  You know, honestly, our stuff might have sunk by now.
[01:05:21.480 --> 01:05:21.980]  Yeah.
[01:05:24.080 --> 01:05:25.620]  There's like three boats
[01:05:25.620 --> 01:05:26.740]  on that Megalodon now.
[01:05:27.900 --> 01:05:29.200]  Well, we might as well get in on the mix.
[01:05:29.480 --> 01:05:31.280]  We don't want them to reap all the benefits
[01:05:31.280 --> 01:05:32.180]  of our hard work.
[01:05:33.100 --> 01:05:33.460]  Okay.
[01:05:34.900 --> 01:05:37.160]  Oh, never mind. They're fighting each other.
[01:05:37.760 --> 01:05:39.740]  Oh my God. We don't want to go over there.
[01:05:40.220 --> 01:05:41.520]  It is an AI ship,
[01:05:41.760 --> 01:05:43.300]  two human ships, and
[01:05:43.300 --> 01:05:44.140]  a Megalodon.
[01:05:44.360 --> 01:05:46.780]  Oh, that's awesome.
[01:05:47.000 --> 01:05:48.580]  Let's just watch the carnage.
[01:05:48.580 --> 01:05:49.420]  Yeah, no kidding.
[01:05:50.020 --> 01:05:51.520]  Oh, I'm going to the crow's nest.
[01:05:52.560 --> 01:05:53.360]  What's this?
[01:05:54.200 --> 01:05:55.340]  Hey, what's this front left?
[01:05:55.940 --> 01:05:58.700]  It's just supplies. It's going to be food and
[01:05:59.460 --> 01:06:00.140]  ammo and shit.
[01:06:00.180 --> 01:06:02.160]  I think the AI might be shooting at the Meg.
[01:06:02.660 --> 01:06:03.160]  Oh, really?
[01:06:04.400 --> 01:06:06.520]  I think so. I think the sloop's attacking the Megalodon
[01:06:06.520 --> 01:06:07.600]  and so is the AI ship.
[01:06:07.840 --> 01:06:08.760]  Our stuff's to the left!
[01:06:10.440 --> 01:06:11.220]  That's our shit.
[01:06:11.940 --> 01:06:12.200]  Where?
[01:06:13.040 --> 01:06:14.640]  To the left that you're harpooning, I think.
[01:06:14.640 --> 01:06:16.360]  It just seems like barrels.
[01:06:16.520 --> 01:06:17.720]  Oh, it's just random barrels?
[01:06:18.120 --> 01:06:19.460]  Oh my God.
[01:06:20.400 --> 01:06:21.160]  Oh, nope.
[01:06:21.280 --> 01:06:23.980]  They're shooting at each other now.
[01:06:25.080 --> 01:06:25.580]  The ships.
[01:06:28.620 --> 01:06:30.760]  The Megalodon has peeled off from the fight.
[01:06:30.940 --> 01:06:32.360]  Anything, Andrew? Can you see below?
[01:06:32.960 --> 01:06:33.940]  A lot of cannonballs.
[01:06:34.360 --> 01:06:35.320]  We want to pull these up.
[01:06:36.340 --> 01:06:37.100]  Uh-oh.
[01:06:39.360 --> 01:06:40.240]  The other...
[01:06:40.240 --> 01:06:42.700]  The ship is now turned and engaged as well.
[01:06:42.700 --> 01:06:44.540]  Oh, wow. This is so cool to watch.
[01:06:44.540 --> 01:06:45.560]  Now all three are fighting.
[01:06:45.900 --> 01:06:47.300]  Megalodon's going nuts over there.
[01:06:47.700 --> 01:06:48.720]  We gotta get in on this.
[01:06:48.880 --> 01:06:51.520]  The Megalodon has circled and is coming back for the human ship.
[01:06:51.600 --> 01:06:52.480]  He's taking hits.
[01:06:53.820 --> 01:06:55.620]  It's like he's stuck in the middle of a...
[01:06:55.620 --> 01:06:57.660]  of a fucking cannonball triangle.
[01:06:57.880 --> 01:07:00.220]  Is the human ship the little one in the middle, Geoff?
[01:07:00.840 --> 01:07:03.000]  The human ship is the little one in the middle
[01:07:03.000 --> 01:07:04.500]  and the one that's parked to the right.
[01:07:05.320 --> 01:07:06.660]  Oh, that's also a human ship?
[01:07:06.760 --> 01:07:06.880]  Yeah.
[01:07:06.880 --> 01:07:07.000]  Okay.
[01:07:10.520 --> 01:07:12.580]  Geoff, you want to grab any cannonballs over here from the left?
[01:07:12.960 --> 01:07:13.320]  In this barrel?
[01:07:14.740 --> 01:07:14.980]  Yeah.
[01:07:19.960 --> 01:07:20.700]  Meg's coming for us!
[01:07:20.860 --> 01:07:21.500]  Meg's coming for us!
[01:07:23.580 --> 01:07:24.900]  How do I get down quick?
[01:07:25.740 --> 01:07:27.040]  Oh, shit. Come on.
[01:07:27.320 --> 01:07:28.480]  No! Come on!
[01:07:29.120 --> 01:07:29.500]  No!
[01:07:31.420 --> 01:07:33.260]  Can we turn? Can we do anything?
[01:07:33.320 --> 01:07:34.860]  I can't get him.
[01:07:36.180 --> 01:07:36.900]  Come on!
[01:07:37.660 --> 01:07:38.360]  Come on!
[01:07:39.800 --> 01:07:41.000]  Where are you, you prick?
[01:07:41.200 --> 01:07:41.760]  He went under.
[01:07:42.440 --> 01:07:43.520]  Okay, let's go to the other side.
[01:07:44.760 --> 01:07:45.180]  There he is!
[01:07:45.280 --> 01:07:45.460]  Where?
[01:07:48.660 --> 01:07:49.740]  He's coming in for a bite.
[01:07:50.280 --> 01:07:50.900]  Yeah, he got us.
[01:07:51.820 --> 01:07:52.380]  Alright, I'm going down.
[01:07:54.000 --> 01:07:55.100]  I'll go repair.
[01:07:55.840 --> 01:07:56.120]  Water.
[01:07:57.100 --> 01:08:00.480]  Boy, the angles on the cannons really suck.
[01:08:00.500 --> 01:08:02.440]  Yep, they suck fucking ass.
[01:08:02.440 --> 01:08:05.020]  This must have been what it was like to really be a pirate.
[01:08:07.520 --> 01:08:08.320]  Getting shots in?
[01:08:08.760 --> 01:08:09.220]  Yeah, I see it.
[01:08:10.280 --> 01:08:10.820]  Left or right?
[01:08:12.240 --> 01:08:14.480]  He's going around the front. He's going to be over on the other side.
[01:08:16.120 --> 01:08:16.700]  Hey, Nick, helping?
[01:08:16.760 --> 01:08:17.060]  Thank you.
[01:08:18.180 --> 01:08:20.240]  God, we have so many holes.
[01:08:21.020 --> 01:08:22.000]  Okay, he's coming around to the left.
[01:08:23.340 --> 01:08:24.220]  Alright, I'm going to hit him.
[01:08:27.220 --> 01:08:29.160]  Alright, we are down to the last six planks of wood.
[01:08:30.420 --> 01:08:32.760]  Uh, I think we're okay right now, Andrew.
[01:08:32.860 --> 01:08:33.260]  He's coming.
[01:08:34.820 --> 01:08:35.600]  Give him everything.
[01:08:35.740 --> 01:08:36.760]  Got him, got him. Nice.
[01:08:36.760 --> 01:08:37.900]  We fucked him up.
[01:08:40.700 --> 01:08:43.100]  Alright, let me go do some bucket.
[01:08:43.800 --> 01:08:44.740]  Okay, we got guys.
[01:08:46.220 --> 01:08:49.420]  That is, like, so low on the priority list.
[01:08:49.920 --> 01:08:52.020]  It's like, the guy's coming.
[01:08:52.160 --> 01:08:53.860]  You just go, well, I guess we'll just weather this storm.
[01:08:53.860 --> 01:08:54.460]  God, I'm down.
[01:08:55.660 --> 01:08:56.560]  I'm on the top deck.
[01:08:56.560 --> 01:08:58.620]  Okay, I'm going to kill this...
[01:08:58.620 --> 01:08:59.820]  Andrew, can you get him while I'm...
[01:09:01.860 --> 01:09:02.900]  Alright, he's dead.
[01:09:03.840 --> 01:09:04.440]  I think he's got me.
[01:09:04.540 --> 01:09:04.680]  Water.
[01:09:05.760 --> 01:09:06.720]  Sorry, I didn't know.
[01:09:09.060 --> 01:09:10.440]  Come on, come on, come on.
[01:09:11.060 --> 01:09:11.480]  Got you.
[01:09:12.840 --> 01:09:13.920]  What side, what side?
[01:09:14.660 --> 01:09:15.780]  He's right in front of us right now.
[01:09:15.780 --> 01:09:16.780]  He's coming around to the left side.
[01:09:18.760 --> 01:09:20.240]  I'll load up a cannon as well here.
[01:09:20.520 --> 01:09:21.440]  Everybody on cannons?
[01:09:21.900 --> 01:09:23.180]  Oh, I don't have anything in that one.
[01:09:23.920 --> 01:09:24.440]  Got him.
[01:09:27.800 --> 01:09:28.520]  Got him.
[01:09:29.020 --> 01:09:30.040]  Fire, fire, fire, fire.
[01:09:30.440 --> 01:09:31.040]  Got him!
[01:09:32.880 --> 01:09:35.440]  Load up the cannons, load up the cannons.
[01:09:37.260 --> 01:09:37.620]  Loaded.
[01:09:39.240 --> 01:09:40.560]  He's on the left side, he's on the right side.
[01:09:43.520 --> 01:09:44.100]  Dead on.
[01:09:44.480 --> 01:09:46.600]  Oh, he's taking a lot of hits.
[01:09:50.930 --> 01:09:53.030]  Just make sure your cannon's loaded up when you're done.
[01:09:53.030 --> 01:09:53.590]  Yep.
[01:09:54.650 --> 01:09:55.770]  All these are loaded.
[01:09:57.190 --> 01:09:58.670]  Okay, I'm focusing on the guys for a minute.
[01:09:59.270 --> 01:09:59.510]  Me too.
[01:10:01.010 --> 01:10:02.310]  Okay, we got him.
[01:10:03.750 --> 01:10:04.430]  Checking the basement.
[01:10:05.170 --> 01:10:05.890]  Guys, he's coming.
[01:10:06.630 --> 01:10:07.990]  Right side, right side, right side.
[01:10:08.230 --> 01:10:09.850]  I don't want to use it on him.
[01:10:11.250 --> 01:10:12.610]  No, there was no good shot.
[01:10:14.810 --> 01:10:15.930]  He's over here on the right.
[01:10:16.250 --> 01:10:17.450]  He's coming up on the back.
[01:10:20.170 --> 01:10:20.450]  Alright.
[01:10:20.450 --> 01:10:21.830]  King Crane said everything's okay.
[01:10:21.950 --> 01:10:23.590]  Okay, make sure you're all loaded up.
[01:10:24.810 --> 01:10:25.290]  Yep.
[01:10:32.280 --> 01:10:34.820]  Who uses the voice function, you dork?
[01:10:35.420 --> 01:10:36.040]  Shut up.
[01:10:38.320 --> 01:10:38.420]  Oh.
[01:10:41.880 --> 01:10:42.700]  Here he comes.
[01:10:44.300 --> 01:10:44.780]  Don't.
[01:10:45.120 --> 01:10:47.420]  I don't know that this is going to let me hit him from this angle.
[01:10:50.600 --> 01:10:51.640]  I'm off the boat!
[01:10:54.380 --> 01:10:55.500]  I'm about to hit him.
[01:10:55.520 --> 01:10:56.460]  Eric overboard!
[01:10:57.940 --> 01:10:58.240]  I'm down.
[01:10:59.420 --> 01:11:00.700]  I'm also down on top.
[01:11:02.700 --> 01:11:03.520]  Eric overboard!
[01:11:05.360 --> 01:11:06.660]  This is no good.
[01:11:07.180 --> 01:11:09.140]  We gotta go help that guy with the galleon, fellas.
