[00:02.580 --> 00:04.380]  It's Summer Games Fest!
[01:12:55.690 --> 01:12:56.930]  I like that it's all in the twos.
[01:12:57.050 --> 01:12:57.570]  Like, the, uh...
[01:12:58.010 --> 01:12:58.290]  Ooh.
[01:12:58.510 --> 01:12:59.670]  ...animation for it is really cool.
[01:13:00.130 --> 01:13:00.930]  Good music, too.
[01:13:01.390 --> 01:13:01.550]  Yep.
[01:13:02.030 --> 01:13:02.730]  Except for Silvershare.
[01:13:02.830 --> 01:13:03.190]  Fuck them.
[01:13:03.250 --> 01:13:03.930]  But the rest of it's...
[01:13:03.930 --> 01:13:04.770]  I'm with you.
[01:13:11.050 --> 01:13:12.230]  I like the aquarium.
[01:13:16.710 --> 01:13:17.030]  Okay.
[01:13:19.930 --> 01:13:20.710]  I'm into that.
[01:13:20.870 --> 01:13:21.570]  I hope it's multiplayer.
[01:13:22.270 --> 01:13:22.670]  It's a game pass.
[01:13:23.170 --> 01:13:24.290]  I don't think it will be.
[01:13:24.530 --> 01:13:26.190]  No, it's gotta be a single-player game, right?
[01:13:26.590 --> 01:13:27.030]  Shouldn't be.
[01:13:27.070 --> 01:13:27.650]  It should be multiplayer.
[01:13:28.330 --> 01:13:29.850]  Then we could all play it together and it'd be fun.
[01:13:31.190 --> 01:13:31.950]  What about this one?
[01:13:31.970 --> 01:13:33.510]  But, uh, we don't want it to have fun, I guess.
[01:13:33.510 --> 01:13:34.330]  That can be three of us.
[01:13:34.410 --> 01:13:34.890]  Oh, that's me.
[01:13:36.310 --> 01:13:36.950]  I'm that one.
[01:13:37.410 --> 01:13:37.830]  I'm Fish.
[01:13:37.830 --> 01:13:38.670]  You're the Fish.
[01:13:40.810 --> 01:13:41.970]  Tag yourself, I'm the Fish.
[01:13:59.840 --> 01:14:00.680]  Oh, look.
[01:14:03.980 --> 01:14:10.800]  Not that these games aren't gonna be great, but there is a lot of similar art style to these games.
[01:14:11.300 --> 01:14:16.240]  And I am not someone who typically enjoys this style of art for games.
[01:14:16.380 --> 01:14:18.040]  Like, the games that they represent.
[01:14:18.540 --> 01:14:21.660]  But there are plenty of people that do, and they must be having a great time.
[01:14:21.660 --> 01:14:25.360]  It's been a strong summer game showcase for them, for sure.
[01:14:26.600 --> 01:14:28.840]  They got 40 games that all look exactly like this.
[01:14:32.070 --> 01:14:33.630]  I do want to be that Fish guy, though.
[01:14:34.010 --> 01:14:34.750]  I hear that.
[01:14:36.770 --> 01:14:39.970]  We fight for a future filled with hope.
[01:14:40.410 --> 01:14:44.730]  That was me trying to conjure extra box office dollars for Funnel System Bloodlines.
[01:14:51.080 --> 01:14:53.500]  Seems like the industry is heading in a direction.
[01:14:55.120 --> 01:14:56.860]  I think it's been going in this direction.
[01:14:59.520 --> 01:15:02.330]  It seems like Geoff lifted his head up long enough to see the...
[01:15:03.940 --> 01:15:05.860]  I think that, like, the direction, though.
[01:15:05.920 --> 01:15:07.520]  That's why I asked if these are, like, mobile games.
[01:15:07.640 --> 01:15:09.340]  Because all, like, mobile games look like that.
[01:15:09.500 --> 01:15:11.800]  And now, like, actual games look like that.
[01:15:11.960 --> 01:15:12.840]  So I don't know. Very interesting.
[01:15:12.880 --> 01:15:14.020]  That definitely looks like a mobile game.
[01:15:14.520 --> 01:15:14.720]  Right?
[01:15:24.380 --> 01:15:25.920]  Action beat him up, Eric.
[01:15:26.560 --> 01:15:27.800]  Now we're talking, baby.
[01:15:31.470 --> 01:15:32.130]  Ooh, skull.
[01:15:35.470 --> 01:15:37.730]  I don't know if I could play this because of the nose thing.
[01:15:39.310 --> 01:15:39.910]  Not me.
[01:15:42.710 --> 01:15:44.210]  Well, it doesn't speak to Andrew.
[01:15:44.350 --> 01:15:45.370]  He's never had a hurt nose.
[01:15:47.830 --> 01:15:50.670]  Andrew just sees weak nose and he's like, I can't, I can't relate.
[01:15:51.570 --> 01:15:55.950]  If I'm being honest, this fighting style is kind of lackluster.
[01:15:56.770 --> 01:15:57.810]  A little sluggish.
[01:15:58.090 --> 01:15:59.850]  Nick, please, I'm the negative one. Let me do it for you.
[01:15:59.890 --> 01:16:00.370]  Oh, sorry.
[01:16:00.550 --> 01:16:01.670]  This looks boring as fuck.
[01:16:01.910 --> 01:16:02.530]  There you go.
[01:16:02.810 --> 01:16:06.990]  I think there's a, like, oh, we want to, like, keep some realism to it.
[01:16:07.030 --> 01:16:08.810]  And it's like, oh, that's not why I'm playing the video game.
[01:16:09.490 --> 01:16:10.710]  Yeah, that looks real.
[01:16:11.270 --> 01:16:14.450]  It's like when you see, like, giant fighting robots and they go like, oh, yeah,
[01:16:14.470 --> 01:16:16.010]  this is, like, how fast they would actually move.
[01:16:16.030 --> 01:16:17.410]  And it's like, oh, I don't think you understand.
[01:16:17.510 --> 01:16:18.890]  Giant fighting robots don't exist.
[01:16:19.050 --> 01:16:20.030]  You can do anything with them.
[01:16:20.750 --> 01:16:21.570]  I like this.
[01:16:22.770 --> 01:16:23.610]  I'm into this.
[01:16:23.610 --> 01:16:29.250]  I like it in closed space fighter.
[01:16:29.370 --> 01:16:30.250]  Oh, that was sick.
[01:16:30.590 --> 01:16:32.850]  Oh, I like it in closed space fighter.
[01:16:33.090 --> 01:16:33.910]  This looks pretty cool.
[01:16:35.130 --> 01:16:35.950]  Whoa, shit.
[01:16:42.320 --> 01:16:43.420]  I'll give this a try.
[01:16:47.550 --> 01:16:48.250]  They're in the apartment.
[01:16:48.410 --> 01:16:49.630]  It felt very raid-like to me.
[01:16:49.730 --> 01:16:50.930]  And I'm all about that.
[01:16:50.990 --> 01:16:51.250]  Big time.
[01:16:51.390 --> 01:16:52.850]  Andrew, I felt the exact same way.
[01:16:53.710 --> 01:16:55.990]  Axe of Blood is also a sick name.
[01:16:55.990 --> 01:16:56.310]  All right.
[01:16:56.310 --> 01:16:57.450]  That's a great name.
[01:16:57.550 --> 01:16:58.370]  That is a cool name.
[01:16:59.110 --> 01:17:01.070]  In a world of fractured blooms.
[01:17:01.270 --> 01:17:03.010]  Thank God there's an Axe of Blood.
[01:17:04.590 --> 01:17:05.230]  It does.
[01:17:05.310 --> 01:17:06.270]  It looks very Sifu.
[01:17:06.650 --> 01:17:07.350]  It looks like Sifu.
[01:17:11.210 --> 01:17:19.490]  Oh, I like Shredder's Revenge quite a bit.
[01:17:19.990 --> 01:17:20.190]  Yep.
[01:17:21.390 --> 01:17:22.230]  Is this Scott Pilgrim?
[01:17:37.090 --> 01:17:38.550]  Someone has to do something.
[01:17:38.730 --> 01:17:39.490]  Yeah, so there you go.
[01:17:39.490 --> 01:17:39.910]  That is Scott Pilgrim.
[01:17:39.910 --> 01:17:40.990]  You called it.
[01:17:41.390 --> 01:17:46.030]  Like, from the beginning, it sounded like Onomataguchi or someone ripping them off.
[01:17:46.050 --> 01:17:49.390]  And then this looked like this game.
[01:17:49.430 --> 01:17:50.910]  I had a friend that worked on this first one.
[01:17:52.010 --> 01:17:53.230]  And I really liked it.
[01:17:53.450 --> 01:17:55.270]  And then you couldn't buy it for like 10 years.
[01:17:55.850 --> 01:17:56.430]  Oh, really?
[01:17:56.670 --> 01:17:56.890]  Yeah.
[01:17:56.910 --> 01:17:58.810]  I did not like this game.
[01:17:59.590 --> 01:17:59.950]  Really?
[01:18:00.150 --> 01:18:01.010]  Oh, I love this game.
[01:18:01.170 --> 01:18:02.610]  Like, this style of game is like my favorite.
[01:18:02.950 --> 01:18:03.490]  I just love it.
[01:18:03.510 --> 01:18:04.070]  I don't like the property.
[01:18:04.270 --> 01:18:04.670]  I don't like that.
[01:18:04.690 --> 01:18:05.350]  I didn't like the game.
[01:18:05.550 --> 01:18:06.850]  It was big in the Achievement Hunter office.
[01:18:06.990 --> 01:18:09.250]  I think a lot of people played it, but I just couldn't get into it.
[01:18:09.250 --> 01:18:10.050]  This is...
[01:18:10.690 --> 01:18:11.550]  You're not the...
[01:18:11.550 --> 01:18:14.330]  You are not the demographic for this thing.
[01:18:14.550 --> 01:18:17.710]  And as I get older, the more I go, it's embarrassing how much I like this.
[01:18:20.110 --> 01:18:23.010]  I feel the same way about Weezer, where it's just like...
[01:18:23.010 --> 01:18:25.230]  It's fine that I liked it at the age that I liked it.
[01:18:25.290 --> 01:18:27.410]  But like, I can't do it anymore.
[01:18:28.150 --> 01:18:30.270]  You put on Pinkerton now and you just go,
[01:18:30.870 --> 01:18:33.250]  Okay, as long as there's no one else around, this is fine.
[01:18:33.350 --> 01:18:33.550]  Yeah.
[01:18:33.950 --> 01:18:35.530]  I'm alone in my car and it's quiet.
[01:18:35.690 --> 01:18:36.050]  Exactly.
[01:18:36.450 --> 01:18:38.110]  Yeah, it feels very similar.
[01:18:41.170 --> 01:18:43.410]  I really liked the comic. The comic was a lot of fun.
[01:18:43.750 --> 01:18:44.970]  I gotta say, I never read the comic.
[01:18:45.110 --> 01:18:45.610]  I've only seen the movie.
[01:18:45.970 --> 01:18:46.050]  Never read the comic?
[01:18:46.230 --> 01:18:48.890]  I mean, it was good. It's just the same kind of shit.
[01:18:49.410 --> 01:18:51.130]  Never read the comic, never saw the movie.
[01:18:51.850 --> 01:18:52.970]  Well, you didn't miss much on the movie.
[01:18:53.290 --> 01:18:54.290]  No, no, they were...
[01:18:54.290 --> 01:18:56.430]  I mean, the comic and the movie were like the same thing.
[01:18:56.650 --> 01:18:58.930]  Like, if you watch the movie, it's like the same shit.
[01:18:59.250 --> 01:18:59.770]  I didn't do either.
[01:18:59.870 --> 01:19:03.150]  But first, we have a very special message from Maggie Robertson,
[01:19:03.490 --> 01:19:07.970]  TGA winner in 2021 for her performance in Resident Evil Village.
[01:19:08.630 --> 01:19:10.030]  Are we in Resident Evil?
[01:19:15.110 --> 01:19:15.790]  Oh, is she...
[01:19:15.790 --> 01:19:16.210]  Oh, that lady.
[01:19:16.310 --> 01:19:17.290]  She did the voice, yeah.
[01:19:17.770 --> 01:19:17.950]  Yeah.
[01:19:20.130 --> 01:19:21.470]  We had that game already.
[01:19:22.390 --> 01:19:24.970]  Is it like a VR version? Does that exist yet?
[01:19:25.990 --> 01:19:27.730]  I think it... I think there already is a VR version.
[01:19:28.410 --> 01:19:29.550]  There was for 7.
[01:19:32.670 --> 01:19:33.970]  Okay, it's just like a general...
[01:19:35.450 --> 01:19:37.150]  This better end in a new Resident Evil.
[01:19:37.150 --> 01:19:38.750]  Oh, it's a sale. There you go.
[01:19:38.810 --> 01:19:39.730]  It's a Capcom sale.
[01:19:41.390 --> 01:19:42.410]  You mother...
[01:19:47.000 --> 01:19:50.240]  If... We better get a Resident Evil game with Jill and Leon.
[01:19:51.800 --> 01:19:52.360]  Whoa.
[01:19:53.680 --> 01:19:54.240]  Nick.
[01:19:56.220 --> 01:19:56.680]  Whoa.
[01:19:57.480 --> 01:19:58.400]  They're just like...
[01:19:59.780 --> 01:20:00.900]  I spilled!
[01:20:03.820 --> 01:20:07.000]  He just... Dude, you just do yourself no favors. It's the best.
[01:20:09.740 --> 01:20:11.360]  Whoa, I spilled everywhere.
[01:20:13.800 --> 01:20:14.520]  So gratuitous.
[01:20:14.580 --> 01:20:19.300]  Eric, have you ever seen the Shane Gillis show on Netflix Tires?
[01:20:19.600 --> 01:20:22.320]  No, I haven't watched it. Is it worth watching?
[01:20:22.760 --> 01:20:26.280]  It's all right. Nick reminds me of somebody in the show, but if you haven't seen it, it won't matter.
[01:20:26.720 --> 01:20:26.900]  Okay.
[01:20:27.820 --> 01:20:28.880]  I don't know how to take that.
[01:20:29.600 --> 01:20:31.340]  Is it like the manager guy? Like his homie?
[01:20:31.500 --> 01:20:33.100]  Yes, the manager guy. Yeah.
[01:20:34.020 --> 01:20:35.580]  Getting in his own way kind of guy?
[01:20:35.840 --> 01:20:36.120]  Yeah.
[01:20:36.680 --> 01:20:37.480]  What do you mean?
[01:20:40.540 --> 01:20:41.140]  Uh...
[01:20:41.140 --> 01:20:41.760]  I'm the bear.
[01:20:45.680 --> 01:20:47.360]  A glorious morning has dawned.
[01:20:47.360 --> 01:20:49.040]  The f*** is going on here?
[01:20:50.200 --> 01:20:51.900]  On something that's simply...
[01:20:53.620 --> 01:20:54.080]  Oh.
[01:20:57.180 --> 01:20:57.780]  Scum.
[01:21:03.160 --> 01:21:03.760]  Hmm.
[01:21:04.500 --> 01:21:04.980]  Geoff, thoughts?
[01:21:06.460 --> 01:21:07.580]  What is...
[01:21:07.580 --> 01:21:08.480]  Pee pee on a burger, Geoff.
[01:21:08.820 --> 01:21:09.980]  I don't know what it is, man.
[01:21:09.980 --> 01:21:10.280]  What?
[01:21:10.880 --> 01:21:12.520]  Is it a multiplayer?
[01:21:12.880 --> 01:21:14.200]  It's definitely multiplayer.
[01:21:14.200 --> 01:21:16.780]  Yeah, I think that's the only thing is that it's multiplayer.
[01:21:18.120 --> 01:21:19.700]  I mean, I'll f***ing play it.
[01:21:19.920 --> 01:21:20.940]  But what kind of multiplayer?
[01:21:21.080 --> 01:21:22.420]  Is it co-op multiplayer or is it...
[01:21:23.400 --> 01:21:24.640]  You know what it felt like was...
[01:21:24.640 --> 01:21:25.680]  I think it's like Rust.
[01:21:26.660 --> 01:21:26.900]  Okay.
[01:21:27.060 --> 01:21:28.660]  Yeah, what's like that...
[01:21:30.480 --> 01:21:32.640]  That extreme sports game where you're like...
[01:21:32.640 --> 01:21:35.360]  It's by like a Ubisoft game where you're like flying up the...
[01:21:35.360 --> 01:21:36.520]  That game that I play all the time.
[01:21:36.580 --> 01:21:38.580]  Yeah, it felt like that, but with...
[01:21:38.580 --> 01:21:39.360]  But you kill people.
[01:21:41.960 --> 01:21:42.880]  What do we got here?
[01:21:42.880 --> 01:21:44.360]  I'm so excited for this.
[01:21:44.560 --> 01:21:46.320]  I think it is going to be terrible.
[01:21:46.700 --> 01:21:47.920]  But I'm very excited.
[01:21:48.260 --> 01:21:49.080]  It's called Mind's Eye.
[01:21:49.200 --> 01:21:50.960]  It comes out in like four days.
[01:21:51.360 --> 01:21:51.840]  Oh.
[01:21:52.220 --> 01:21:57.520]  It is a producer of GTA 5 left, made his own studio and made this.
[01:21:57.620 --> 01:22:00.240]  And just everything around it has been disastrous.
[01:22:00.840 --> 01:22:02.040]  What do you mean disastrous?
[01:22:02.740 --> 01:22:05.460]  Is this the one that's supposed to be like Cyberpunk?
[01:22:05.800 --> 01:22:06.680]  It looks like kind of like...
[01:22:06.680 --> 01:22:06.980]  Sort of.
[01:22:07.880 --> 01:22:11.520]  Yeah, it looks very GTA 5 in the gameplay that they have shown.
[01:22:12.200 --> 01:22:17.200]  Just like two heads of the studio just left, like right before the game comes out.
[01:22:17.480 --> 01:22:22.140]  And they were saying things in the press, like implying that Rockstar has been
[01:22:22.140 --> 01:22:25.080]  paying for people to put criticism against their game.
[01:22:25.260 --> 01:22:26.620]  Just crazy shit.
[01:22:27.120 --> 01:22:31.000]  This is the game where the head of their legal department left
[01:22:31.000 --> 01:22:32.620]  right before the game launches, right?
[01:22:32.680 --> 01:22:33.000]  Yes.
[01:22:33.480 --> 01:22:34.960]  OK, I have heard about this.
[01:22:35.280 --> 01:22:36.120]  I'm very excited.
[01:22:36.580 --> 01:22:37.440]  I'm going to play this.
[01:22:37.740 --> 01:22:38.720]  I'm going to play this.
[01:22:39.040 --> 01:22:40.820]  I can't wait to play this now.
[01:22:40.820 --> 01:22:45.700]  There's a weird create your own story, like builder within the game.
[01:22:45.760 --> 01:22:51.340]  So it's unclear, like how much of it is like expected the audience to create.
[01:22:51.520 --> 01:22:53.140]  Yeah, like a forge thing.
[01:22:53.220 --> 01:22:54.160]  Is there multiplayer?
[01:22:55.180 --> 01:22:55.240]  Oh!
[01:22:55.240 --> 01:22:55.680]  Oh!
[01:22:56.780 --> 01:22:57.600]  Look at that, Andrew.
[01:22:58.320 --> 01:23:01.740]  OK, I was ironically in before.
[01:23:02.020 --> 01:23:03.780]  Now I'm unironically very in.
[01:23:03.780 --> 01:23:05.240]  This is this is the guy, right?
[01:23:06.120 --> 01:23:08.880]  Uh, no, this is the head of IO Interactive.
[01:23:08.880 --> 01:23:11.200]  I think he's unaffiliated with Builder Rocket Boy.
[01:23:12.020 --> 01:23:17.100]  And yes, you may have noticed Agent 47 will be contracted
[01:23:17.100 --> 01:23:19.380]  for a very special assignment in.
[01:23:20.680 --> 01:23:22.880]  Yes, I love how that is.
[01:23:23.000 --> 01:23:26.320]  We're putting Hitman in this game in a very limited way.
[01:23:26.400 --> 01:23:27.560]  This is not a Hitman game.
[01:23:27.680 --> 01:23:28.240]  We are not affiliated.
[01:23:28.620 --> 01:23:29.080]  Yeah, a very special assignment.
[01:23:30.060 --> 01:23:30.960]  You will see him for 8 minutes.
[01:23:30.980 --> 01:23:31.580]  This looks so cool.
[01:23:31.700 --> 01:23:32.720]  I can't wait for first light.
[01:23:32.820 --> 01:23:34.580]  This week we finally revealed 007 First Light to the world.
[01:23:34.580 --> 01:23:35.400]  Yeah, this looks very cool.
[01:23:35.480 --> 01:23:37.260]  And your reactions were heartwarming.
[01:23:38.000 --> 01:23:40.260]  It's coming in 2026.
[01:23:40.480 --> 01:23:43.860]  But we want to make the wait more exciting.
[01:23:44.300 --> 01:23:47.400]  We are bringing someone into Hitman, the World of Assassination,
[01:23:47.480 --> 01:23:49.960]  who is very dear to the Bond universe.
[01:23:50.700 --> 01:23:51.660]  This rocks.
[01:23:52.220 --> 01:23:53.280]  Are we going to kill Sean Bean again?
[01:23:53.300 --> 01:23:54.620]  I love IO Interactive.
[01:23:54.740 --> 01:23:55.800]  They might be my favorite developer.
[01:23:56.280 --> 01:23:57.700]  Whatever this is, we got to play it.
[01:23:58.240 --> 01:24:00.160]  Are they putting Pierce Brosnan in Hitman?
[01:24:04.300 --> 01:24:05.260]  Wait, wait.
[01:24:07.380 --> 01:24:08.220]  Le Chiffre.
[01:24:11.360 --> 01:24:12.100]  That's so cool.
[01:24:12.140 --> 01:24:13.420]  Oh, we got to do this.
[01:24:14.960 --> 01:24:17.320]  Oh, we are going to get Le Chiffre.
[01:24:17.480 --> 01:24:18.600]  That's very cool.
[01:24:19.280 --> 01:24:21.120]  I've invited these people for a reason.
[01:24:22.460 --> 01:24:23.760]  Oh, hell yeah.
[01:24:24.120 --> 01:24:25.780]  Mr. Rengang, he's back.
[01:24:26.020 --> 01:24:27.360]  Do you think you can sit down and play cards with him?
[01:24:28.080 --> 01:24:29.740]  Oh, you absolutely should be.
[01:24:30.780 --> 01:24:32.020]  That's such a Hitman thing.
[01:24:32.900 --> 01:24:34.640]  Oh, you can poison his eye drops.
[01:24:35.520 --> 01:24:37.460]  Rangekai 55, you got to whack his balls.
[01:24:40.740 --> 01:24:42.200]  Oh, we're playing poker with him.
[01:24:49.990 --> 01:24:52.970]  Oh my god.
[01:24:53.770 --> 01:24:54.630]  I'm buying it.
[01:24:55.250 --> 01:24:56.250]  I don't even know if I have to.
[01:24:56.370 --> 01:24:56.930]  I'm buying it.
[01:24:57.550 --> 01:24:58.710]  Well, we got to film it.
[01:25:02.810 --> 01:25:04.950]  You can't play it till Gavin gets back.
[01:25:05.630 --> 01:25:07.870]  I see, but he's never coming back.
[01:25:09.510 --> 01:25:11.750]  Mark the Frog said he's never seen a James Bond movie.
[01:25:15.850 --> 01:25:16.650]  That reads...
[01:25:16.650 --> 01:25:17.750]  I mean, yeah, that checks out.
[01:25:17.850 --> 01:25:21.250]  Oh, Amazon owns the license to this now, huh?
[01:25:21.430 --> 01:25:23.490]  Yeah, they just have been putting it on.
[01:25:24.710 --> 01:25:27.290]  There's a huge push they've been making of like,
[01:25:27.350 --> 01:25:29.710]  all the Bond movies are now streaming on Amazon Prime.
[01:25:30.090 --> 01:25:30.490]  Wait, what?
[01:25:32.390 --> 01:25:34.250]  Oh, Mads is here.
[01:25:34.950 --> 01:25:35.430]  Interesting.
[01:25:36.970 --> 01:25:37.790]  Hey, are they ever...
[01:25:38.590 --> 01:25:40.310]  Are they ever going to bring back Hannibal?
[01:25:41.230 --> 01:25:41.750]  No.
[01:25:41.950 --> 01:25:42.170]  No.
[01:25:42.430 --> 01:25:43.930]  No, I think it's not coming back.
[01:25:49.230 --> 01:25:50.010]  He doesn't...
[01:25:50.290 --> 01:25:52.610]  He doesn't give a fuck about this.
[01:25:52.790 --> 01:25:53.270]  This rocks.
[01:25:56.850 --> 01:25:58.550]  Kojima wouldn't hire me back.
[01:25:59.190 --> 01:26:01.230]  So I said, fuck you.
[01:26:06.410 --> 01:26:10.910]  It is rare to be a Bond villain, get killed in the Bond movie,
[01:26:10.990 --> 01:26:13.530]  and then get to replay that character like 10 years later.
[01:26:23.980 --> 01:26:26.100]  I played Mark the Frog says,
[01:26:26.400 --> 01:26:29.720]  I played Quantum of Solace for PS2, but I didn't have any memory cards.
[01:26:29.920 --> 01:26:32.280]  So I only played the first level over and over again.
[01:26:32.280 --> 01:26:33.500]  Quantum of Solace was great.
[01:26:34.760 --> 01:26:36.320]  That A, that was a good game.
[01:26:36.320 --> 01:26:40.160]  That is an old school video game problem that we all dealt with.
[01:26:41.000 --> 01:26:42.340]  It's a better game than movie.
[01:26:42.760 --> 01:26:46.220]  Every time we get new lore with this guy, man, it's really something.
[01:26:50.920 --> 01:26:58.720]  Yeah, sure, whatever.
[01:26:59.300 --> 01:27:01.900]  Yeah, shut the fuck up.
[01:27:01.940 --> 01:27:02.620]  Let me read these lines.
[01:27:03.320 --> 01:27:08.380]  Well, I think they're saying that you can just literally play poker,
[01:27:08.640 --> 01:27:09.580]  which is awesome.
[01:27:09.760 --> 01:27:10.540]  Oh, that's funny.
[01:27:12.500 --> 01:27:14.160]  Oh, fuck yeah.
[01:27:17.940 --> 01:27:21.360]  Goddamn, Mark the Frog said breakfast at Walthouse is $16.
[01:27:21.780 --> 01:27:23.080]  That's expensive, man.
[01:27:23.700 --> 01:27:25.020]  Should be like $8.95.
[01:27:28.780 --> 01:27:31.740]  It's those fucking hash brown tariffs.
[01:27:33.320 --> 01:27:36.160]  Oh, cool.
[01:27:39.560 --> 01:27:41.540]  Probably like a gunskin, I imagine.
[01:27:44.920 --> 01:27:45.860]  Oh, man.
[01:27:47.480 --> 01:27:48.780]  I'm on the Xbox store right now.
[01:27:48.880 --> 01:27:49.420]  It isn't available.
[01:27:57.320 --> 01:27:59.240]  Put Hitman in a Lego game.
[01:27:59.780 --> 01:28:01.880]  Yeah, dude, I'd play Lego Hitman.
[01:28:01.880 --> 01:28:03.520]  Oh, that'd be great.
[01:28:04.000 --> 01:28:05.060]  Lego Hitman would be really fun.
[01:28:05.500 --> 01:28:07.180]  It's garotz people's heads off.
[01:28:07.320 --> 01:28:07.440]  Yeah.
[01:28:08.580 --> 01:28:09.640]  Oh, this could be fun.
[01:28:10.140 --> 01:28:11.440]  A lot of Lego this time around.
[01:28:13.500 --> 01:28:16.540]  If this is like Mario Party, we'll play Mario Party.
[01:28:17.400 --> 01:28:21.000]  Are we doing this 30 turns in 30 days?
[01:28:23.440 --> 01:28:25.100]  They wouldn't do that to us.
[01:28:26.560 --> 01:28:28.100]  Would we do that to us?
[01:28:28.260 --> 01:28:31.100]  We would do it to us, but I don't think the Lego people would.
[01:28:31.880 --> 01:28:35.080]  Oh, we gotta, we gotta do it.
[01:28:35.200 --> 01:28:36.820]  I mean, we're definitely playing this.
[01:28:36.820 --> 01:28:38.020]  We have to play it one way or another.
[01:28:38.220 --> 01:28:38.700]  Yeah, yeah, yeah.
[01:28:38.720 --> 01:28:40.720]  It's just, I don't think there will be 30 turns.
[01:28:41.020 --> 01:28:41.820]  60 turns.
[01:28:43.380 --> 01:28:44.760]  I think with 60 games.
[01:28:46.280 --> 01:28:48.040]  Yeah, a turn for every game.
[01:28:50.180 --> 01:28:52.180]  60 mini games doesn't feel like a lot.
[01:28:53.600 --> 01:28:55.100]  I wonder how many Mario Party has.
[01:28:56.280 --> 01:28:59.260]  Like 100 and something, 125 or something.
[01:28:59.260 --> 01:29:00.260]  Smashing a crate?
[01:29:00.720 --> 01:29:02.120]  Those were literally just on screen.
[01:29:09.240 --> 01:29:12.060]  Something I've never considered, but like makes sense.
[01:29:12.840 --> 01:29:14.240]  It's, it's so smart.
[01:29:14.460 --> 01:29:14.520]  Yep.
[01:29:16.840 --> 01:29:19.200]  Looking, uh, looking forward to that.
[01:29:20.720 --> 01:29:24.700]  I think it's interesting that it's the Nintendo Switch 2 logo is just Nintendo Switch.
[01:29:24.920 --> 01:29:28.400]  Next, a new look at a new team shooter from Dream Haven and Moonshot Games.
[01:29:28.600 --> 01:29:33.420]  20 players across five ships venture into the most treacherous region of space.
[01:29:33.420 --> 01:29:35.780]  Hoping to get their hands on the artifact.
[01:29:36.480 --> 01:29:40.760]  The game is called Wild Gate and the open beta starts next week during Steam Next Fest.
[01:29:41.120 --> 01:29:46.340]  And we're also very happy to announce the game will launch on July 24th for PC,
[01:29:46.620 --> 01:29:48.260]  PlayStation 5, and Xbox.
[01:29:48.820 --> 01:29:52.880]  Let's see what it means to get into some serious space shenanigans.
[01:29:55.100 --> 01:29:57.680]  He almost fumbled shenanigans, but he pulled it off.
[01:29:58.480 --> 01:29:58.900]  Way to go, Geoff.
[01:30:04.740 --> 01:30:06.520]  This vicious circle?
[01:30:07.500 --> 01:30:09.520]  That was my exact thought.
[01:30:09.840 --> 01:30:15.480]  I was just like, don't say it, don't say it, don't say it.
[01:30:16.120 --> 01:30:17.660]  Oh, I'm so glad we're recording this.
[01:30:22.580 --> 01:30:23.860]  Oh, Geoff.
[01:30:24.160 --> 01:30:24.880]  Oh, it's so good.
[01:30:33.140 --> 01:30:34.700]  That really tickled me, man.
[01:30:36.400 --> 01:30:37.920]  Well, I aim to entertain.
[01:30:38.940 --> 01:30:41.780]  Also, it genuinely is the first thing I thought of when I saw this color.
[01:30:42.500 --> 01:30:44.820]  It looks so similar.
[01:30:46.020 --> 01:30:47.060]  This is slower, though.
[01:30:48.360 --> 01:30:49.280]  Yeah, you want the speed.
[01:30:49.360 --> 01:30:51.880]  You want to play... what's it called?
[01:30:53.620 --> 01:30:53.920]  What?
[01:30:53.920 --> 01:30:54.720]  Split?
[01:30:55.040 --> 01:30:56.540]  Wild Gate.
[01:30:57.020 --> 01:30:57.760]  Yeah, wild whatever.
[01:30:59.200 --> 01:30:59.520]  Wild Circle.
[01:31:04.320 --> 01:31:05.600]  Hell yeah.
[01:31:07.760 --> 01:31:08.820]  Love Guacamelee.
[01:31:09.140 --> 01:31:10.940]  Nobody Saves the World was also really good.
[01:31:19.740 --> 01:31:20.380]  Blighted.
[01:31:21.060 --> 01:31:22.140]  Mmm, Blighted.
[01:31:28.410 --> 01:31:31.110]  Guacamelee, that's another popular game I never played that wasn't my thing.
[01:31:31.450 --> 01:31:32.110]  Yeah, loved it.
[01:31:32.850 --> 01:31:33.890]  Never played it.
[01:31:34.170 --> 01:31:34.990]  It was like a Metroid game.
[01:31:38.770 --> 01:31:39.890]  What the hell?
[01:31:47.480 --> 01:31:52.540]  Oh, not Sorcisto.
[01:31:57.540 --> 01:31:59.080]  No, Sorcisto, no.
[01:32:04.640 --> 01:32:07.880]  Oh, Hades.
[01:32:08.860 --> 01:32:09.300]  Yeah.
[01:32:10.020 --> 01:32:11.660]  So this is historically accurate.
[01:32:14.740 --> 01:32:16.420]  We have to kill Sorcisto.
[01:32:17.740 --> 01:32:19.020]  Oh, the horse thing.
[01:32:19.600 --> 01:32:22.680]  Okay, that's co-op.
[01:32:22.840 --> 01:32:23.340]  I like that.
[01:32:24.020 --> 01:32:26.620]  Yeah, I think they said that it's like you and a friend.
[01:32:26.880 --> 01:32:27.260]  It's like, okay.
[01:32:27.520 --> 01:32:29.400]  Oh, this is the Eric and Andrew game.
[01:32:30.120 --> 01:32:30.900]  I'll play it.
[01:32:33.920 --> 01:32:36.740]  Hey, Eric, Andrew really wants to play it with you.
