[00:00.000 --> 00:01.140]  Let's set sail.
[40:56.070 --> 40:56.970]  Lowering sails.
[40:56.970 --> 40:57.750]  Okay.
[40:58.150 --> 41:00.210]  This bitch right here, we're coming for you.
[41:00.390 --> 41:01.390]  He is dead ahead.
[41:01.630 --> 41:02.590]  He's trying to hide from us.
[41:02.810 --> 41:05.230]  Oh, he's on the other side of the island. He's trying to get away, I think.
[41:06.170 --> 41:07.310]  He's a little hidey bitch.
[41:07.590 --> 41:09.550]  That's okay. That's okay. We know where you're going.
[41:09.890 --> 41:10.770]  We're on to you.
[41:11.550 --> 41:13.010]  This is the first time I've seen light.
[41:14.750 --> 41:15.910]  Outside of the bottom of the ship.
[41:16.130 --> 41:17.710]  Yeah, it's been pretty busy down there.
[41:18.470 --> 41:21.450]  Oh, he's, uh, he, if you keep going this way, we're gonna run right, yeah.
[41:21.470 --> 41:22.310]  There he is.
[41:23.010 --> 41:23.250]  Yeah.
[41:23.250 --> 41:27.250]  Don't worry, Nick, you've officially earned your maritime stripes after today.
[41:27.370 --> 41:27.770]  Yay!
[41:29.230 --> 41:30.510]  All right, lining up on him.
[41:30.870 --> 41:31.570]  Here we go.
[41:33.070 --> 41:34.430]  Okay, he is coming.
[41:35.710 --> 41:36.490]  Yeah, this is good.
[41:36.770 --> 41:38.410]  We're gonna intersect his loser ass.
[41:38.570 --> 41:39.070]  Yeah, definitely.
[41:40.450 --> 41:41.750]  Get ready to die.
[41:42.930 --> 41:44.030]  Oh, get ready to undie.
[41:44.050 --> 41:46.770]  Make sure we're all loaded up on cannonballs, because he might come over to the right.
[41:46.930 --> 41:47.650]  Yeah, great call.
[41:47.790 --> 41:48.850]  I think they're all full.
[41:48.890 --> 41:49.670]  Looks like we're all loaded.
[41:51.210 --> 41:51.530]  Okay.
[41:51.570 --> 41:52.430]  We're coming up on him.
[41:52.450 --> 41:53.390]  He's, he's coming up.
[41:53.450 --> 41:54.890]  If you adjust a little bit left...
[41:55.410 --> 41:55.910]  Oh, fuck.
[41:55.990 --> 41:56.570]  This is gonna be tough.
[41:57.070 --> 41:58.090]  No, we got this motherfucker.
[41:58.090 --> 41:59.070]  Just get ready to line up.
[41:59.130 --> 42:00.310]  Everybody just get on the cannon.
[42:00.490 --> 42:02.090]  It's gonna take everything we have.
[42:02.350 --> 42:03.530]  Oh, here we go.
[42:03.790 --> 42:05.770]  I'm afraid he's gonna head over to the right really fast.
[42:05.770 --> 42:06.170]  Here we go.
[42:06.550 --> 42:07.370]  All right, boys, you ready?
[42:08.010 --> 42:08.210]  All right.
[42:08.590 --> 42:09.110]  Cannon's away.
[42:09.190 --> 42:09.330]  Boom!
[42:12.390 --> 42:13.070]  Well, that was it.
[42:13.270 --> 42:13.870]  That's all I could do.
[42:14.990 --> 42:15.430]  One boom.
[42:15.550 --> 42:15.850]  Okay, spinning left.
[42:16.930 --> 42:17.690]  Okay, he's on the left side.
[42:17.710 --> 42:18.290]  He's on the left side.
[42:18.290 --> 42:19.230]  He's behind us.
[42:19.330 --> 42:20.510]  Can't get to him, can't get to him.
[42:20.590 --> 42:21.350]  Getting some shots.
[42:23.350 --> 42:24.610]  All right, we're still good here.
[42:25.170 --> 42:26.250]  Yeah, boat looks good down below.
[42:26.830 --> 42:28.870]  We got like five or six hits into him.
[42:28.910 --> 42:29.270]  That's great.
[42:29.310 --> 42:29.870]  Yeah, that was great.
[42:30.110 --> 42:30.890]  Gotta be pretty weak.
[42:33.830 --> 42:34.970]  I like the Hail Mary.
[42:35.170 --> 42:36.130]  I don't, I don't mind that.
[42:36.290 --> 42:37.870]  That's, that's how we took out the last ones.
[42:38.210 --> 42:38.730]  We'll get those motherfuckers.
[42:38.730 --> 42:39.410]  Oh, look at those two.
[42:39.630 --> 42:40.250]  Those two are...
[42:40.250 --> 42:41.550]  It was just me and Geoff shooting deep.
[42:41.930 --> 42:44.210]  Just gotta get, gotta get it locked in.
[42:44.690 --> 42:45.010]  Yep.
[42:47.250 --> 42:50.570]  Because once you hit him once, you kind of know where he's at.
[42:50.890 --> 42:52.410]  Nah, all right, let's hold it, let's hold up.
[42:52.810 --> 42:53.350]  Little bitch.
[42:53.390 --> 42:53.510]  Yep.
[42:53.910 --> 42:55.210]  All right, load up on, uh...
[42:55.210 --> 42:55.430]  Yeah.
[42:56.110 --> 42:57.710]  Load up on cannonballs and everything.
[42:57.890 --> 42:58.490]  Let me check everything.
[42:59.530 --> 43:01.090]  Yeah, make sure, make sure we're clean.
[43:01.250 --> 43:01.730]  We're clean.
[43:02.450 --> 43:02.710]  Okay.
[43:03.150 --> 43:06.510]  Any of these have cannonballs in them, please?
[43:06.930 --> 43:09.870]  He's on our left still, but the way we're going, we're good.
[43:10.690 --> 43:11.150]  Yeah, we're good.
[43:12.010 --> 43:13.270]  Okay, I got five at least.
[43:13.370 --> 43:14.430]  I don't see any more treasure.
[43:15.570 --> 43:17.730]  Yeah, I'm at seven cannonballs, so we should be okay.
[43:17.850 --> 43:19.970]  About to see a bunch and kill this prick.
[43:20.550 --> 43:20.810]  Yeah.
[43:21.550 --> 43:22.210]  All right.
[43:22.530 --> 43:23.630]  Is he trying to run from us?
[43:23.890 --> 43:25.210]  I think he's trying to flee.
[43:25.570 --> 43:25.950]  No.
[43:26.390 --> 43:26.710]  I think so.
[43:26.950 --> 43:31.930]  I think, I think he's just trying, I think he's trying to keep distance and then come straight on.
[43:32.530 --> 43:33.550]  That's not going to happen.
[43:34.070 --> 43:35.390]  All right, I'm going to snipe him.
[43:36.010 --> 43:36.810]  Coming up on him.
[43:37.950 --> 43:38.330]  Hey.
[43:40.210 --> 43:40.590]  Hey.
[43:42.410 --> 43:43.710]  Geoff's just shooting him with bullets.
[43:43.710 --> 43:46.510]  You know what, Geoff?
[43:47.930 --> 43:48.370]  Yeehaw.
[43:48.650 --> 43:50.070]  Never, never stop attacking.
[43:51.590 --> 43:53.110]  With everything you've got.
[43:54.470 --> 43:56.270]  This is what I learned in the army, boys.
[43:56.930 --> 43:57.430]  Hell yeah.
[43:57.970 --> 43:59.370]  Did I get close that time?
[44:01.690 --> 44:03.290]  He's got a pretty hard drop off.
[44:03.930 --> 44:04.930]  Yeah, but if you aim high enough.
[44:06.290 --> 44:10.650]  Okay, so we're going dead ahead to him still. We're chasing him down.
[44:11.250 --> 44:11.510]  Yep.
[44:12.950 --> 44:16.030]  Should we open the sails to get more speed to gain on him, or do you think we're okay?
[44:16.430 --> 44:17.790]  Yeah, yeah, that could work.
[44:18.390 --> 44:20.630]  I mean, we are catching up to him pretty good.
[44:22.370 --> 44:23.770]  He's getting pretty close.
[44:24.490 --> 44:26.790]  Cut inward also to get the angle on him a little bit.
[44:26.790 --> 44:27.270]  Yeah, absolutely.
[44:29.710 --> 44:34.070]  Like when there's barrels in the water, like there's just some barrels that are just nothing.
[44:34.170 --> 44:35.690]  There could be food in that.
[44:35.930 --> 44:38.890]  Oh, okay, so if there's anything in the water, just grab it.
[44:38.970 --> 44:39.370]  Absolutely.
[44:39.970 --> 44:41.390]  If you can harpoon it, yeah.
[44:41.390 --> 44:44.550]  Got it, got it. Good to know. Did not know that.
[44:45.010 --> 44:48.170]  Okay, so you're going to want to cut a little bit more inward.
[44:48.870 --> 44:48.990]  Yep.
[44:50.370 --> 44:53.870]  Just on the other side of this island.
[44:54.810 --> 44:56.650]  Can you imagine if Call of Duty worked this well?
[44:56.890 --> 44:58.550]  Oh shit, he's firing on us.
[45:01.030 --> 45:02.490]  Oh, going back down.
[45:05.470 --> 45:07.490]  Alright, looks like he's making a turn also.
[45:10.030 --> 45:12.110]  You want to straighten out from here? Might be okay?
[45:12.310 --> 45:12.730]  Yeah, I am.
[45:12.850 --> 45:15.490]  I just don't want to hit that island.
[45:15.750 --> 45:16.470]  Yeah, yeah, yeah.
[45:16.470 --> 45:17.050]  You're doing great.
[45:17.670 --> 45:18.990]  We're going to level up on him.
[45:19.470 --> 45:20.690]  Or get level with him.
[45:20.790 --> 45:21.810]  He's going to be on the right, right?
[45:22.350 --> 45:23.530]  Yeah, he'll be on the right.
[45:23.790 --> 45:24.330]  Should be.
[45:24.750 --> 45:25.770]  Alright, he's hit us a few times.
[45:25.770 --> 45:26.690]  Oh fuck, he's hitting us more.
[45:26.770 --> 45:27.270]  I think he's going to...
[45:27.270 --> 45:27.430]  Yeah.
[45:27.850 --> 45:28.770]  Oh, fuck me.
[45:30.010 --> 45:31.270]  Okay, taking left.
[45:31.810 --> 45:32.070]  Yep.
[45:32.070 --> 45:33.150]  About to be in firing position.
[45:34.290 --> 45:35.670]  Oh boy, come on around.
[45:35.790 --> 45:36.010]  Come on.
[45:36.010 --> 45:36.790]  Come on, you little dickhead.
[45:37.570 --> 45:41.590]  I got a cannonball with your dead ass name on it.
[45:41.650 --> 45:41.770]  Oh my god.
[45:41.770 --> 45:42.430]  Keep going, Andrew.
[45:42.510 --> 45:43.270]  You're doing great, you're doing great.
[45:43.450 --> 45:43.950]  Yep, yep, yep.
[45:44.510 --> 45:45.830]  Make sure you're loaded, locked and ready.
[45:45.870 --> 45:46.250]  Here we go.
[45:46.550 --> 45:47.410]  Locked and loaded.
[45:47.610 --> 45:48.310]  Ready, Freddy.
[45:48.310 --> 45:48.670]  Here we go.
[45:48.770 --> 45:51.390]  I'm going to shove it right up his asshole.
[45:51.790 --> 45:52.330]  Blast him.
[45:52.390 --> 45:52.870]  In the window.
[45:55.250 --> 45:55.870]  Blast him.
[45:57.630 --> 45:58.530]  Hitting him hard.
[45:59.350 --> 46:00.210]  Hitting him fast.
[46:01.070 --> 46:01.590]  Joining you.
[46:01.610 --> 46:01.910]  Got him.
[46:02.310 --> 46:03.050]  Hell yeah!
[46:03.610 --> 46:04.430]  Good job, boys.
[46:04.670 --> 46:04.850]  Yes!
[46:04.850 --> 46:06.050]  And then one to go on.
[46:06.490 --> 46:06.630]  Alright.
[46:07.030 --> 46:07.090]  Yeah!
[46:07.970 --> 46:09.290]  There's our loot right there.
[46:09.330 --> 46:09.870]  We've done it!
[46:10.050 --> 46:11.310]  Yeah, it went back the other way.
[46:11.490 --> 46:12.790]  Okay, let's raise sails.
[46:13.150 --> 46:13.330]  Yep.
[46:13.670 --> 46:14.410]  For sharper turning.
[46:14.890 --> 46:15.290]  Wow.
[46:15.770 --> 46:16.170]  Perfect.
[46:16.730 --> 46:16.950]  Cool.
[46:17.790 --> 46:18.930]  Great job, guys.
[46:18.970 --> 46:19.510]  A great victory.
[46:20.310 --> 46:21.850]  You know, nobody fell in the water either.
[46:22.750 --> 46:23.430]  No, that was impressive.
[46:23.430 --> 46:24.370]  Hey, that's pretty impressive.
[46:24.570 --> 46:25.950]  Nick, you did a great fucking job.
[46:26.030 --> 46:27.170]  Nick MVP on that thing.
[46:27.210 --> 46:27.870]  Oh, absolutely.
[46:28.050 --> 46:28.450]  Absolutely.
[46:28.450 --> 46:30.710]  Nick tore it up down below.
[46:30.710 --> 46:31.830]  That was insane.
[46:32.670 --> 46:33.070]  Unbelievable.
[46:33.550 --> 46:34.170]  You know what, guys?
[46:34.170 --> 46:35.790]  I think we should rename it.
[46:35.950 --> 46:38.730]  It should no longer be called MVP from this point forward.
[46:38.810 --> 46:39.570]  It should be called MVP.
[46:40.370 --> 46:40.730]  Yeah!
[46:41.350 --> 46:42.070]  Oh, wow.
[46:42.430 --> 46:42.790]  Yeah!
[46:42.790 --> 46:43.350]  The MVP.
[46:43.550 --> 46:44.030]  I like it.
[46:44.570 --> 46:44.830]  Yeah.
[46:45.550 --> 46:46.810]  Nick, you just tore that up, man.
[46:46.830 --> 46:47.390]  That was crazy.
[46:47.730 --> 46:49.130]  That was nuts all around.
[46:49.530 --> 46:50.130]  Well done, fellas.
[46:50.310 --> 46:52.390]  I don't know how you did that, man, but you did it.
[46:52.510 --> 46:55.510]  Well, it helped that Andrew and Geoff would pop down periodically to be like,
[46:55.590 --> 46:56.330]  there's water in here.
[46:56.870 --> 46:58.350]  Head a little...
[46:58.350 --> 46:58.910]  Yeah, you got it.
[46:58.910 --> 46:59.210]  You got it.
[46:59.210 --> 46:59.510]  You got it.
[46:59.510 --> 46:59.850]  You got it.
[47:00.270 --> 47:00.350]  Yeah.
[47:02.410 --> 47:03.030]  That way.
[47:03.610 --> 47:04.130]  Geoff's eager.
[47:04.370 --> 47:04.510]  That way.
[47:04.670 --> 47:05.670]  I'm trying to get a seagull.
[47:07.270 --> 47:08.710]  I'm trying to get that same fucking bird.
[47:08.870 --> 47:09.270]  Come here.
[47:11.710 --> 47:12.390]  I want to get one.
[47:12.430 --> 47:13.370]  I want to spear a ghost.
[47:16.230 --> 47:17.290]  So what is...
[47:17.290 --> 47:20.790]  Andrew, out to like the left, there's like a violet kind of swirly thing.
[47:20.870 --> 47:21.350]  What is that?
[47:21.610 --> 47:22.310]  It's a different...
[47:22.310 --> 47:25.230]  That is like an underwater event thing you can do.
[47:25.230 --> 47:25.630]  Oh, okay.
[47:25.770 --> 47:26.390]  Just go over there.
[47:26.470 --> 47:27.170]  You can swim down.
[47:27.570 --> 47:28.190]  No, thanks.
[47:28.450 --> 47:29.410]  I'm fine on the boat.
[47:30.610 --> 47:31.110]  All right, Geoff.
[47:31.110 --> 47:31.430]  You got him?
[47:32.230 --> 47:32.550]  Yeah.
[47:32.570 --> 47:34.070]  Look at all that treasure.
[47:36.210 --> 47:36.530]  Almost.
[47:37.010 --> 47:37.610]  You got it.
[47:38.450 --> 47:39.110]  Here it comes.
[47:39.270 --> 47:39.670]  You got it.
[47:39.730 --> 47:40.270]  Here it comes.
[47:40.550 --> 47:41.390]  And you got it.
[47:41.450 --> 47:41.830]  Here it comes.
[47:41.850 --> 47:43.010]  Yeah, these guys are hard to get.
[47:43.750 --> 47:43.970]  Almost.
[47:44.690 --> 47:44.950]  Almost.
[47:44.950 --> 47:45.430]  There you go.
[47:45.490 --> 47:45.970]  There you go.
[47:45.970 --> 47:46.250]  All right.
[47:46.250 --> 47:47.030]  You're locked on, baby.
[47:47.250 --> 47:47.470]  Nope.
[47:47.530 --> 47:47.830]  Almost.
[47:48.090 --> 47:48.690]  Here we go.
[47:48.770 --> 47:49.190]  There they are.
[47:49.250 --> 47:49.550]  All right, Geoff.
[47:49.570 --> 47:49.950]  You got it.
[47:49.950 --> 47:50.550]  There you go.
[47:50.690 --> 47:51.150]  There's another.
[47:51.430 --> 47:52.090]  You got another one.
[47:52.250 --> 47:52.730]  Oh, you got it.
[47:52.730 --> 47:53.830]  You're locked on right here, baby.
[47:54.090 --> 47:54.290]  Nope.
[47:54.390 --> 47:54.750]  Too low.
[47:54.970 --> 47:55.290]  Almost.
[47:55.590 --> 47:55.690]  Loads of skulls.
[47:55.690 --> 47:56.230]  Gotta get them.
[47:57.050 --> 47:57.510]  There you go.
[47:58.290 --> 47:59.030]  There you go.
[47:59.610 --> 48:00.730]  Locked on, baby.
[48:00.870 --> 48:01.110]  There you...
[48:01.110 --> 48:01.370]  Yeah.
[48:01.590 --> 48:02.250]  Look at you.
[48:02.330 --> 48:02.630]  One more.
[48:02.690 --> 48:02.990]  One more.
[48:03.290 --> 48:03.670]  Yeah.
[48:04.090 --> 48:04.890]  Geoff got it all.
[48:05.970 --> 48:07.070]  Where does it all go?
[48:07.390 --> 48:08.010]  We take it to town.
[48:08.030 --> 48:08.890]  So we gotta...
[48:08.890 --> 48:10.370]  Yeah, we gotta cash it out.
[48:11.190 --> 48:11.810]  That is so much.
[48:11.810 --> 48:12.210]  So we just...
[48:12.210 --> 48:13.990]  I've never seen so much loot in my life.
[48:15.550 --> 48:15.950]  It's crazy.
[48:15.950 --> 48:16.290]  We have two choices.
[48:16.530 --> 48:22.490]  We can go directly to a port to cash out or we can stop at this fortress and get some
[48:22.490 --> 48:24.070]  more loot and then head to the port.
[48:26.050 --> 48:28.330]  I'm down with getting more loot, I guess.
[48:28.510 --> 48:28.930]  The fortress right here?
[48:28.930 --> 48:29.370]  How long is it?
[48:29.990 --> 48:30.770]  To the right.
[48:31.090 --> 48:31.710]  See that...
[48:31.710 --> 48:34.350]  The thing that was shooting cannonballs at us when we were coming across?
[48:34.830 --> 48:35.990]  We could go do that real quick.
[48:36.430 --> 48:36.790]  Is that...
[48:36.790 --> 48:37.150]  Oh, jeez.
[48:37.190 --> 48:37.710]  Will we die?
[48:39.750 --> 48:40.150]  Probably.
[48:40.350 --> 48:40.530]  Okay.
[48:40.530 --> 48:41.430]  But, like, we'll be fine.
[48:41.590 --> 48:42.530]  We'll respawn on the boat.
[48:43.830 --> 48:44.170]  Okay.
[48:44.510 --> 48:44.910]  All right.
[48:44.970 --> 48:45.990]  We just gotta fight some phantoms.
[48:46.410 --> 48:47.210]  Yeah, let's do it, I guess.
[48:47.230 --> 48:47.870]  So let's lower sails.
[48:47.970 --> 48:50.390]  Let's go to that green lit castle.
[48:50.610 --> 48:52.150]  Is that swords or guns with phantoms?
[48:52.150 --> 48:53.370]  It's gonna be...
[48:53.370 --> 48:54.770]  You can do either.
[48:55.210 --> 48:56.590]  Sword's probably preferable.
[48:57.450 --> 48:58.490]  Okay, get ready.
[49:00.610 --> 49:01.750]  We're gonna come in a little hot.
[49:04.390 --> 49:05.290]  What are we doing?
[49:05.870 --> 49:07.730]  We're gonna drop anchor in a minute.
[49:09.030 --> 49:09.590]  Okay.
[49:09.950 --> 49:11.730]  Hit drop anchor right now, Eric, please.
[49:12.310 --> 49:12.990]  Lower anchor?
[49:13.310 --> 49:13.810]  Lower anchor.
[49:14.090 --> 49:14.770]  I jumped!
[49:15.030 --> 49:15.490]  I missed.
[49:17.130 --> 49:17.890]  Anchor's lowered?
[49:18.530 --> 49:19.030]  Awesome.
[49:19.270 --> 49:19.810]  Thank you.
[49:21.170 --> 49:21.950]  Okay, if you guys...
[49:21.950 --> 49:25.130]  I just wanna hop over to that island and start fighting phantoms and shit.
[49:25.530 --> 49:26.250]  I walk the plank.
[49:28.150 --> 49:29.510]  I'll get the boat prepped.
[49:29.630 --> 49:32.050]  Do I need a gun or do I need a sword?
[49:32.050 --> 49:32.670]  Do you have a sword?
[49:33.150 --> 49:33.670]  I don't know.
[49:34.010 --> 49:34.730]  Yeah, I think you have both.
[49:34.990 --> 49:35.010]  Push Y?
[49:35.510 --> 49:36.910]  Just feels like a thing I would have.
[49:37.030 --> 49:37.770]  I do have a sword.
[49:39.730 --> 49:40.530]  Start swinging.
[49:40.670 --> 49:41.070]  Whoa!
[49:41.290 --> 49:42.270]  There's a macaw?
[49:42.870 --> 49:43.690]  I want the bird.
[49:43.890 --> 49:45.690]  I released my macaw into the boat earlier.
[49:45.690 --> 49:46.670]  Oh, that's sick.
[49:46.790 --> 49:47.510]  Oh, there's dudes.
[49:50.770 --> 49:51.170]  Okay.
[49:52.430 --> 49:53.750]  They're definitely dead.
[49:55.810 --> 49:57.670]  Is the combat pretty quick or pretty slow?
[49:58.950 --> 50:00.070]  Pretty quick-ish.
[50:00.410 --> 50:01.050]  Yeah, quick-ish.
[50:04.010 --> 50:04.450]  Okay.
[50:04.810 --> 50:05.630]  Gonna be fucking them up pretty easily.
[50:06.150 --> 50:06.370]  Yep.
[50:07.010 --> 50:07.490]  I'm with you, Nick.
[50:08.130 --> 50:08.510]  Thank you.
[50:09.730 --> 50:10.570]  Nice, good kill.
[50:10.770 --> 50:11.290]  Thank you!
[50:11.970 --> 50:12.450]  Ooh, what's this?
[50:13.270 --> 50:15.630]  I was gonna say, are we like... so we're like checking these things?
[50:17.650 --> 50:18.090]  Okay.
[50:18.350 --> 50:19.310]  I'm going up.
[50:19.490 --> 50:20.490]  Oh, I got a gold pouch.
[50:22.010 --> 50:22.310]  Nice.
[50:23.190 --> 50:24.220]  Oh no, they fucking respawned.
[50:25.630 --> 50:26.050]  Don't do that.
[50:26.390 --> 50:28.170]  We're gonna have to fight a few waves of them.
[50:28.290 --> 50:29.170]  Like, you guys all left.
[50:29.250 --> 50:31.170]  I was in this room and suddenly I turned around and they were all back again.
[50:31.210 --> 50:31.670]  Oh, I'm sorry.
[50:31.910 --> 50:32.390]  No, that's okay.
[50:33.590 --> 50:34.070]  That's okay.
[50:34.130 --> 50:34.630]  I took care of them.
[50:35.490 --> 50:36.010]  I'm deadly.
[50:36.090 --> 50:36.370]  Good job.
[50:37.590 --> 50:38.090]  I'm deadly.
[50:39.330 --> 50:40.190]  Where'd you guys go?
[50:41.770 --> 50:42.350]  I got your back.
[50:42.350 --> 50:43.250]  Oh, thank you very much, Nick.
[50:43.510 --> 50:44.330]  Did you guys go downstairs?
[50:44.810 --> 50:45.150]  We went up.
[50:45.170 --> 50:45.630]  I went up.
[50:46.030 --> 50:46.190]  Oh.
[50:46.350 --> 50:47.450]  Ooh, here's a skull.
[50:47.730 --> 50:48.330]  Do I want that?
[50:49.150 --> 50:49.910]  Yeah, take it.
[50:49.910 --> 50:51.070]  Ooh, what's this?
[50:51.110 --> 50:52.290]  A fortress storeroom key.
[50:52.510 --> 50:53.690]  We're gonna eventually load all that stuff onto the boat.
[50:53.930 --> 50:55.530]  I have a key for the storeroom.
[50:55.750 --> 50:56.170]  I got a...
[50:56.170 --> 50:56.510]  Oh, cool.
[50:56.530 --> 50:57.110]  Oh, nice.
[50:57.370 --> 50:57.970]  Is that down?
[50:58.770 --> 50:59.770]  Go to the top.
[50:59.830 --> 51:01.070]  You can unlock it at the very top.
[51:01.210 --> 51:01.970]  The very top.
[51:02.010 --> 51:02.170]  Okay.
[51:03.350 --> 51:03.710]  This?
[51:04.150 --> 51:04.510]  Yes!
[51:05.890 --> 51:06.530]  We're in!
[51:07.390 --> 51:07.750]  Cool.
[51:07.970 --> 51:08.290]  Nice.
[51:08.390 --> 51:08.790]  Good job, Nick.
[51:09.410 --> 51:09.950]  Thank you.
[51:10.110 --> 51:11.250]  Ooh, Eric, look at this.
[51:11.490 --> 51:13.290]  A sapphire mermaid gem.
[51:13.770 --> 51:14.130]  Cool.
[51:14.650 --> 51:15.970]  I guess I'll take this back to the ship.
[51:15.970 --> 51:16.690]  Oh, I'm fighting...
[51:16.690 --> 51:17.850]  There's like three guys on me?
[51:17.990 --> 51:18.470]  Oh boy.
[51:19.910 --> 51:21.190]  The first four guys are back.
[51:21.210 --> 51:21.850]  Oh, they're gone.
[51:23.590 --> 51:25.670]  Kill you guys over and over again, huh?
[51:26.050 --> 51:26.910]  What the fuck?
[51:27.030 --> 51:28.170]  Why are there three guys on me?
[51:28.210 --> 51:28.530]  Ah!
[51:28.870 --> 51:30.570]  Andrew, what's the best way to get this stuff back to the ship?
[51:31.510 --> 51:32.150]  Uh, just...
[51:32.150 --> 51:32.950]  I'm killing them, Eric.
[51:32.950 --> 51:33.290]  What you're doing.
[51:33.490 --> 51:33.570]  Don't worry.
[51:33.670 --> 51:33.970]  Thank you.
[51:33.970 --> 51:36.030]  Unless we get a chest we can drop it into.
[51:36.170 --> 51:36.510]  Got it.
[51:36.570 --> 51:38.210]  Sometimes you'll find an empty chest in there.
[51:38.350 --> 51:39.190]  Don't forget to eat, Eric.
[51:39.790 --> 51:40.870]  I'm eating right now.
[51:42.630 --> 51:43.790]  Alright, is there anything else upstairs?
[51:44.130 --> 51:44.530]  Just drop it.
[51:44.550 --> 51:46.410]  I didn't see anything, but I didn't look real good.
[51:47.350 --> 51:49.090]  There's stuff in the storeroom, I think, still.
[51:49.330 --> 51:50.170]  Which is on the...
[51:50.170 --> 51:51.270]  Oh, yeah, there definitely is.
[51:51.310 --> 51:52.910]  There's chests of the damned and stuff.
[51:53.470 --> 51:53.650]  Cool.
[51:53.930 --> 51:54.250]  Oh, sweet.
[51:56.070 --> 51:57.350]  Oh no, the ghosts are back.
[51:57.990 --> 51:58.350]  No!
[51:59.370 --> 51:59.850]  It's alright.
[52:00.570 --> 52:00.930]  Cool.
[52:01.190 --> 52:01.390]  Ah!
[52:05.560 --> 52:06.200]  Alright, there's one.
[52:06.200 --> 52:06.660]  Leave me alone!
[52:06.960 --> 52:07.800]  Can we go back and get the rest?
[52:08.540 --> 52:09.420]  Yep, just keep going.
[52:16.200 --> 52:17.680]  Alright, you boys still with me?
[52:18.560 --> 52:18.960]  I'm up.
[52:19.840 --> 52:21.380]  I'm at the top with Nick.
[52:21.760 --> 52:21.960]  Okay.
[52:22.080 --> 52:22.500]  Let's see.
[52:24.280 --> 52:25.160]  Gunpowder barrel.
[52:26.340 --> 52:27.460]  Ooh, a lid.
[52:27.900 --> 52:29.200]  Ooh, a cannonball barrel.
[52:30.720 --> 52:31.160]  Ah!
[52:31.320 --> 52:32.260]  That's not Eric at all!
[52:34.940 --> 52:36.700]  Do we want the chest of the damned?
[52:37.200 --> 52:37.380]  Yeah.
[52:37.580 --> 52:37.900]  Yes.
[52:38.780 --> 52:39.220]  Okay.
[52:43.960 --> 52:44.840]  I want that.
[52:45.500 --> 52:45.940]  Okay.
[52:46.000 --> 52:46.700]  I have it.
[52:46.960 --> 52:47.560]  Ooh, there's a hat.
[52:48.000 --> 52:49.520]  Grab that bad boy and take him to the...
[52:50.160 --> 52:51.240]  Do I just take it down to the boat?
[52:52.140 --> 52:55.760]  Just drop it in front of the harpoon.
[52:56.540 --> 52:57.820]  We can harpoon it later.
[52:58.100 --> 52:58.840]  Where's the harpoon?
[52:59.580 --> 53:00.320]  On the boat.
[53:00.440 --> 53:00.860]  On our boat.
[53:01.200 --> 53:02.520]  He's saying drop it in the water.
[53:03.280 --> 53:07.500]  No, I'm saying drop it on the cement in front of the harpoon.
[53:08.440 --> 53:09.180]  I got you covered.
[53:10.360 --> 53:10.780]  Ah!
[53:11.420 --> 53:12.560]  Now I understand.
[53:12.700 --> 53:12.920]  Thank you.
[53:14.480 --> 53:14.900]  Ow!
[53:15.000 --> 53:16.060]  You son of a bitch!
[53:16.420 --> 53:17.920]  Alright, I dropped a crate in front of the harpoon.
[53:18.980 --> 53:20.540]  I think we killed the phantoms now.
[53:21.180 --> 53:21.620]  Yeah.
[53:21.760 --> 53:22.160]  Phantom.
[53:22.740 --> 53:24.000]  Yeah, just keep killing phantoms.
[53:25.520 --> 53:27.500]  Does anybody have the fortress treasure key?
[53:27.640 --> 53:29.300]  Because there's a whole room full of treasure right here.
[53:29.400 --> 53:31.760]  We'll get that once we kill the boss.
[53:31.880 --> 53:32.440]  The phantom boss.
[53:32.600 --> 53:32.700]  Okay.
[53:33.120 --> 53:35.200]  He's going to keep fighting waves of them until it spawns.
[53:36.460 --> 53:37.280]  Let me eat my banana.
[53:38.240 --> 53:38.640]  Banana.
[53:42.220 --> 53:43.280]  So many phantoms.
[53:44.100 --> 53:45.160]  I'm here to help.
[53:45.860 --> 53:46.380]  I have a coconut.
[53:46.600 --> 53:46.960]  Thank you.
[53:51.490 --> 53:52.290]  Got it.
[53:52.330 --> 53:52.770]  Thank you.
[53:52.970 --> 53:54.430]  Fucking wasted his monkey ass.
[53:55.090 --> 53:55.830]  Ooh, a hatch.
[53:57.390 --> 53:58.110]  A hatch?
[53:58.290 --> 53:58.790]  Oh, wow.
[53:59.430 --> 54:01.310]  Oh, it's just a shortcut to the lower level.
[54:01.890 --> 54:02.090]  Oh.
[54:02.310 --> 54:02.690]  Boo.
[54:02.950 --> 54:03.350]  Boo.
[54:03.430 --> 54:04.090]  Not secret.
[54:04.250 --> 54:05.270]  This is what we want.
[54:05.390 --> 54:07.170]  We want to get in right here.
[54:08.410 --> 54:09.390]  Look inside there.
[54:09.650 --> 54:10.270]  See all that treasure?
[54:10.490 --> 54:10.750]  Oh!
[54:11.870 --> 54:13.630]  We're looking for like a key or something?
[54:13.790 --> 54:14.150]  After we kill the phantoms.
[54:14.150 --> 54:17.550]  Oh, we got to keep fighting phantoms and then the boss one will spawn and he'll drop it.
[54:17.890 --> 54:19.650]  There's more food down here.
[54:19.710 --> 54:21.050]  We got food down in this area.
