[00:03.080 --> 00:04.040]  What happened?!
[56:31.160 --> 56:32.840]  My wife just texted me.
[56:32.920 --> 56:34.180]  I forgot all my snacks at work.
[56:34.520 --> 56:37.060]  I could be in a situation right now where I could be
[56:37.060 --> 56:38.760]  putting snacks in a car,
[56:38.880 --> 56:40.860]  driving her the snacks, taking care of my wife.
[56:42.360 --> 56:42.800]  Unfortunately,
[56:43.120 --> 56:44.860]  I'm here like, hey, if you watch this
[56:44.860 --> 56:46.660]  and you're supporting this
[56:46.660 --> 56:48.840]  channel, you can stop.
[56:49.360 --> 56:49.700]  No.
[56:49.700 --> 56:50.440]  No.
[56:51.860 --> 56:53.220]  You know, this might be done.
[56:53.500 --> 56:55.940]  I think this might be it, guys.
[56:58.760 --> 56:59.780]  GTA the movie.
[57:01.640 --> 57:03.080]  On the first heist,
[57:03.300 --> 57:05.060]  I assume they only get harder.
[57:05.700 --> 57:05.880]  No.
[57:07.320 --> 57:07.860]  Yeah.
[57:09.880 --> 57:11.380]  The last one's an absolute bollock.
[57:11.380 --> 57:12.560]  I've never completed the next one.
[57:13.020 --> 57:13.540]  Which one's that one?
[57:14.780 --> 57:17.520]  You end up on bikes going through the cliffs and shit.
[57:17.520 --> 57:17.720]  Oh.
[57:21.460 --> 57:23.000]  Okay, Gavin.
[57:23.900 --> 57:25.580]  Shoot him when we get close.
[57:25.920 --> 57:27.420]  Okay, I'm just gonna get out my
[57:27.420 --> 57:28.240]  silenced gun now.
[57:29.320 --> 57:31.400]  And when he tells us to stop, I'll open up
[57:31.400 --> 57:32.220]  the front of his head.
[57:34.420 --> 57:35.640]  I kind of have a feeling
[57:35.640 --> 57:37.580]  that no matter what, the alarm is supposed to go off
[57:37.580 --> 57:39.500]  there because he complains in the cutscene
[57:39.500 --> 57:41.200]  about hiring professionals.
[57:41.580 --> 57:43.000]  I just think it's unavoidable.
[57:48.870 --> 57:49.190]  Okay.
[57:50.310 --> 57:50.630]  Okay.
[57:51.630 --> 57:51.950]  Uh.
[57:53.030 --> 57:53.350]  Okay.
[57:56.010 --> 57:57.550]  I mean, so far...
[57:57.550 --> 57:59.110]  I have the bus. I'm thinking about driving it
[57:59.110 --> 57:59.710]  into the windmills.
[58:03.430 --> 58:04.150]  I'll meet you there.
[58:05.170 --> 58:06.010]  Okay, well, there we go.
[58:06.310 --> 58:08.830]  And that was nobody's.
[58:08.950 --> 58:10.710]  I need blame. I need that to be blamed.
[58:11.170 --> 58:12.210]  You can put it on Nick if you want.
[58:12.530 --> 58:13.450]  Yeah, you can blame the windmills.
[58:14.190 --> 58:15.210]  Alright, I'll do it.
[58:16.210 --> 58:17.770]  You can tell he didn't have
[58:18.410 --> 58:19.990]  guts behind it. That's sad.
[58:24.490 --> 58:26.170]  Welcome to Motown.
[58:26.470 --> 58:27.850]  Alright, I see you coming. I see you coming.
[58:30.850 --> 58:31.370]  Okay.
[58:31.970 --> 58:34.550]  All clear. Going to collect him.
[58:37.090 --> 58:38.210]  Put my gun away
[58:38.210 --> 58:39.510]  so I run even faster.
[58:40.230 --> 58:41.450]  What's up, buddy?
[58:42.230 --> 58:42.970]  Ah!
[58:43.610 --> 58:45.810]  I watched it happen.
[58:49.870 --> 58:51.010]  What happened?
[58:52.190 --> 58:53.130]  What happened that time?
[58:53.630 --> 58:55.390]  Nick got sideswiped by the jet.
[58:55.850 --> 58:57.250]  The jet flew into me.
[59:01.550 --> 59:02.290]  I...
[59:02.290 --> 59:03.490]  Gavin's legitimately
[59:03.490 --> 59:04.370]  going to run out of ammo.
[59:06.030 --> 59:06.910]  Team Tape.
[59:07.490 --> 59:09.690]  Team Tape.
[59:17.410 --> 59:18.130]  Oh.
[59:18.130 --> 59:19.430]  What the fuck just happened?
[59:20.150 --> 59:20.890]  Uh-oh.
[59:20.990 --> 59:22.230]  Eric failed!
[59:25.070 --> 59:26.410]  That's insane.
[59:27.590 --> 59:28.610]  I equipped...
[59:28.610 --> 59:30.390]  I equipped the sticky bombs
[59:30.390 --> 59:32.270]  before I got in my car,
[59:32.570 --> 59:33.930]  and it kept them equipped
[59:33.930 --> 59:36.530]  when every other time it's been.
[59:36.890 --> 59:39.290]  My gun? That's crazy.
[59:43.350 --> 59:44.530]  Eric's on the board!
[59:44.770 --> 59:46.590]  This is really fucking nuts.
[59:46.810 --> 59:48.610]  This is so nuts.
[59:49.250 --> 59:51.610]  What is happening?
[59:53.810 --> 59:54.330]  Okay.
[59:54.630 --> 59:56.910]  Well, at least we didn't do anything yet.
[59:57.390 --> 59:58.210]  That's fine.
[59:58.510 --> 59:59.970]  For the sake of the audience, can we tell you
[59:59.970 --> 01:00:01.750]  that the last two things we all played together
[01:00:01.750 --> 01:00:03.970]  were Chain Together and Pico Part?
[01:00:05.010 --> 01:00:07.790]  So this is really another feather in the cap.
[01:00:09.630 --> 01:00:10.490]  Oh, boy.
[01:00:11.010 --> 01:00:13.370]  Hey, you might not want to worry about lunch
[01:00:13.370 --> 01:00:14.470]  and just start thinking about dinner.
[01:00:15.170 --> 01:00:16.750]  Yeah, it's done.
[01:00:17.210 --> 01:00:18.090]  My lunch is dead.
[01:00:18.430 --> 01:00:20.710]  My lunch died due to a fan
[01:00:21.250 --> 01:00:22.490]  about an hour ago.
[01:00:22.870 --> 01:00:24.450]  How about the next person who fails?
[01:00:25.370 --> 01:00:26.370]  Nick, no!
[01:00:26.670 --> 01:00:28.470]  This is on you!
[01:00:28.850 --> 01:00:29.910]  You have to just
[01:00:30.830 --> 01:00:33.010]  be the guy that this was on!
[01:00:33.530 --> 01:00:33.990]  That's you!
[01:00:34.550 --> 01:00:34.650]  Kevin!
[01:00:37.450 --> 01:00:38.490]  What happened?
[01:00:38.670 --> 01:00:40.490]  The cops were alerted?
[01:00:40.810 --> 01:00:41.090]  What?
[01:00:41.610 --> 01:00:44.810]  He drove over
[01:00:44.810 --> 01:00:46.030]  a prison guard
[01:00:46.350 --> 01:00:47.630]  on the way to the prison.
[01:00:47.830 --> 01:00:48.890]  I'm gonna piss my pants!
[01:00:50.410 --> 01:00:52.110]  Oh, that's right! Nick had to piss!
[01:00:52.670 --> 01:00:54.510]  Oh, it's been so fucking long!
[01:00:54.630 --> 01:00:55.690]  Quick, chug the beer!
[01:00:55.690 --> 01:00:57.690]  Oh, man!
[01:01:09.090 --> 01:01:11.330]  At least there isn't much
[01:01:11.330 --> 01:01:13.010]  for us to go further back.
[01:01:13.110 --> 01:01:14.730]  We can't regress much.
[01:01:14.870 --> 01:01:15.770]  Shut up! Shut up!
[01:01:18.470 --> 01:01:19.690]  For us, it's not.
[01:01:19.690 --> 01:01:21.690]  The last time you said that was easy,
[01:01:22.030 --> 01:01:23.790]  Gavin jumped out of a moving vehicle.
[01:01:23.790 --> 01:01:25.190]  Oh, yeah, that was pretty cool.
[01:01:25.630 --> 01:01:27.730]  If the handbrake was decent, we wouldn't be in this predicament.
[01:01:28.170 --> 01:01:29.810]  Yeah, I can't believe the handbrake was bad.
[01:01:29.930 --> 01:01:31.430]  Yeah, I can't believe those windmills
[01:01:31.430 --> 01:01:32.030]  keep spinning.
[01:01:38.000 --> 01:01:38.740]  Now, imagine
[01:01:38.740 --> 01:01:40.040]  this was on a hard setting.
[01:01:41.280 --> 01:01:42.200]  No, no, no, no, no.
[01:01:42.380 --> 01:01:43.480]  No, no, no, no, no, no!
[01:01:44.700 --> 01:01:45.600]  No, no, no!
[01:01:46.200 --> 01:01:46.600]  No!
[01:01:48.280 --> 01:01:51.220]  The bus flipped! I shot the guard!
[01:01:51.360 --> 01:01:52.780]  It went off a jump!
[01:01:53.240 --> 01:01:53.640]  No!
[01:01:53.640 --> 01:01:55.260]  It's on its side!
[01:01:55.420 --> 01:01:56.480]  I can't get in it!
[01:01:57.020 --> 01:01:57.640]  What do you mean?
[01:01:58.180 --> 01:02:00.300]  Get a car and push it.
[01:02:00.620 --> 01:02:02.900]  No shit!
[01:02:03.300 --> 01:02:04.380]  I'm gonna go up the hill.
[01:02:06.520 --> 01:02:07.000]  Pffft!
[01:02:08.720 --> 01:02:10.100]  I killed the guard.
[01:02:10.300 --> 01:02:12.000]  The car kept going straight down this hill.
[01:02:12.300 --> 01:02:14.140]  And it just hit a ramp
[01:02:14.140 --> 01:02:15.440]  and tipped. That was it.
[01:02:16.180 --> 01:02:17.540]  Eric, that's as many
[01:02:17.540 --> 01:02:18.440]  fails as Nick.
[01:02:18.900 --> 01:02:21.660]  I don't know what to tell you on that one, bud.
[01:02:21.660 --> 01:02:22.820]  That's crazy.
[01:02:23.660 --> 01:02:24.700]  That was nuts.
[01:02:25.020 --> 01:02:27.940]  I am so seamless on this thing, this is so easy
[01:02:27.940 --> 01:02:29.340]  and the car just went meh.
[01:02:29.700 --> 01:02:30.840]  I think we're just gonna tip over this time.
[01:02:31.220 --> 01:02:33.960]  I was trying to listen out for what the guard was gonna say
[01:02:33.960 --> 01:02:35.680]  and then you just started screaming no.
[01:02:37.360 --> 01:02:37.700]  Alright.
[01:02:38.160 --> 01:02:39.100]  Here's what I'm gonna do.
[01:02:39.560 --> 01:02:41.040]  I'm gonna get to the plane.
[01:02:41.240 --> 01:02:43.740]  I'm gonna go pee. I'm gonna come back and hop in the plane.
[01:02:44.140 --> 01:02:44.380]  Okay.
[01:02:45.320 --> 01:02:46.920]  That sounds great. Hey, Nick,
[01:02:47.080 --> 01:02:48.980]  I love it. Flawless.
[01:02:48.980 --> 01:02:51.080]  I can't imagine
[01:02:51.080 --> 01:02:53.020]  how that's gonna go wrong, so I'm very
[01:02:53.020 --> 01:02:54.660]  excited. Well, I have a
[01:02:54.660 --> 01:02:56.820]  7 minute and 52 second window
[01:02:56.820 --> 01:02:58.040]  from now
[01:02:58.040 --> 01:03:00.160]  to get to the plane.
[01:03:02.220 --> 01:03:04.380]  Well, it depends
[01:03:06.260 --> 01:03:07.300]  on how it goes.
[01:03:07.340 --> 01:03:08.140]  I think the
[01:03:08.820 --> 01:03:10.740]  8th time I'm tripping this bus
[01:03:10.740 --> 01:03:11.180]  to the music.
[01:03:13.180 --> 01:03:14.940]  I just don't believe that we're
[01:03:14.940 --> 01:03:16.200]  actually gonna start it anymore.
[01:03:20.480 --> 01:03:20.960]  Oh,
[01:03:21.060 --> 01:03:23.120]  nice jump. Good jump.
[01:03:26.200 --> 01:03:28.740]  See, that's not God there.
[01:03:31.960 --> 01:03:33.220]  No, not this time.
[01:03:33.620 --> 01:03:34.860]  Okay, I've reached
[01:03:34.860 --> 01:03:36.820]  the plane. Okay, go piss.
[01:03:36.940 --> 01:03:38.300]  Go. Alright. Go piss, girl.
[01:03:39.480 --> 01:03:39.660]  What?
[01:03:41.100 --> 01:03:41.920]  Just go.
[01:03:47.200 --> 01:03:48.040]  Do we have
[01:03:48.040 --> 01:03:49.980]  to wait for this? You don't think
[01:03:49.980 --> 01:03:52.100]  I'm smashing the right trigger right now?
[01:03:54.740 --> 01:03:56.040]  And that's a good point.
[01:03:56.740 --> 01:03:57.760]  You got me there.
[01:03:57.880 --> 01:03:59.640]  That was a good point. You think I'm being impatient
[01:03:59.640 --> 01:04:01.940]  driving up and then I just get really patient during
[01:04:01.940 --> 01:04:02.360]  the game?
[01:04:04.080 --> 01:04:05.460]  Yeah, that's a good point.
[01:04:07.280 --> 01:04:07.720]  Okay.
[01:04:08.520 --> 01:04:09.760]  Eric, everything good?
[01:04:10.320 --> 01:04:11.060]  Yeah, so far.
[01:04:13.000 --> 01:04:13.740]  I'm just picking
[01:04:13.740 --> 01:04:15.860]  my spot now where I can shoot
[01:04:15.860 --> 01:04:16.320]  the driver.
[01:04:18.100 --> 01:04:18.400]  Alright,
[01:04:18.480 --> 01:04:19.920]  I had to cut that off early just to make sure.
[01:04:20.840 --> 01:04:22.360]  You, like, clenched your piss
[01:04:22.360 --> 01:04:24.460]  off? Oh yeah, it hurts. It hurts real bad.
[01:04:25.240 --> 01:04:26.280]  You had time. You had seven
[01:04:26.280 --> 01:04:28.280]  minutes. Well, now I'm down to
[01:04:28.280 --> 01:04:28.680]  530.
[01:04:30.860 --> 01:04:31.940]  Did you take the armor, Andrew?
[01:04:32.480 --> 01:04:33.700]  No, I didn't. I left it for you.
[01:04:34.040 --> 01:04:34.160]  Oh.
[01:04:38.060 --> 01:04:39.060]  I've got no health, though.
[01:04:40.200 --> 01:04:41.320]  And neither do I.
[01:04:41.320 --> 01:04:42.160]  Spam it.
[01:04:44.440 --> 01:04:45.240]  Oh, shit.
[01:04:45.480 --> 01:04:47.700]  I just spent 104 grand on ammo.
[01:04:48.000 --> 01:04:48.940]  Oh, shit.
[01:04:51.600 --> 01:04:52.000]  Snacks.
[01:04:52.560 --> 01:04:54.100]  Chomp, chomp, chomp, chomp.
[01:04:54.760 --> 01:04:55.540]  We're doing good.
[01:04:57.400 --> 01:04:59.240]  Alright, we're dancing the dance of death here.
[01:04:59.320 --> 01:05:00.080]  Keep doing your thing.
[01:05:01.340 --> 01:05:03.140]  Yeah, I'm not gonna do any sudden movements.
[01:05:03.280 --> 01:05:04.100]  That's for fucking sure.
[01:05:04.300 --> 01:05:06.880]  I can't do this yet because the cops are right here.
[01:05:07.000 --> 01:05:07.260]  Shit.
[01:05:07.820 --> 01:05:08.160]  Oh.
[01:05:09.440 --> 01:05:10.560]  You're fine. Keep doing your thing.
[01:05:12.000 --> 01:05:13.280]  Okay, leading him to the
[01:05:13.280 --> 01:05:13.620]  vehicle.
[01:05:16.200 --> 01:05:16.960]  You here, Gavin?
[01:05:17.420 --> 01:05:18.920]  Okay, I'm gonna wait for you to get closer.
[01:05:19.260 --> 01:05:20.300]  No, get in. I'll be there.
[01:05:21.900 --> 01:05:22.900]  I don't know why
[01:05:22.900 --> 01:05:24.840]  I'm listening to you, but I'm listening to your instructions.
[01:05:24.840 --> 01:05:25.960]  I just wait for him to call it out.
[01:05:29.660 --> 01:05:30.100]  I'm in.
[01:05:30.860 --> 01:05:32.540]  Okay, we're now leaving the prison.
[01:05:39.320 --> 01:05:40.440]  Alright, we're on our way out.
[01:05:42.140 --> 01:05:42.780]  How far?
[01:05:43.160 --> 01:05:45.440]  We are about 45 seconds.
[01:05:45.500 --> 01:05:46.520]  Oh god, not again.
[01:05:47.860 --> 01:05:49.200]  Alright, I'm gonna circle one more time.
[01:05:49.600 --> 01:05:50.060]  Yeah, that's fine.
[01:05:50.920 --> 01:05:52.780]  I'm gonna see if I can take out anything that's close.
[01:05:53.680 --> 01:05:55.100]  I'm coming to you guys.
[01:05:55.260 --> 01:05:55.980]  I see you dead ahead.
[01:05:57.460 --> 01:05:58.520]  Just keep doing what you're doing.
[01:05:58.980 --> 01:06:00.280]  Okay, coming in for a landing.
[01:06:01.340 --> 01:06:02.060]  Cutting into the runway?
[01:06:02.080 --> 01:06:03.540]  Yeah, Nick, go ahead and put it down.
[01:06:04.080 --> 01:06:04.300]  Okay.
[01:06:08.240 --> 01:06:09.000]  Oh, Jesus.
[01:06:09.960 --> 01:06:11.740]  I'm doing everything I can here.
[01:06:12.320 --> 01:06:14.500]  Yeah, no, it's the missiles is what scared me.
[01:06:14.780 --> 01:06:14.840]  Yeah.
[01:06:14.920 --> 01:06:16.040]  Okay, we're on our way.
[01:06:17.180 --> 01:06:19.040]  Okay, I have stopped.
[01:06:20.460 --> 01:06:22.600]  Okay, I'm just flipping cop cars.
[01:06:22.860 --> 01:06:23.420]  I see you, I see you.
[01:06:23.860 --> 01:06:24.600]  Keep doing it.
[01:06:24.820 --> 01:06:25.300]  You're good.
[01:06:26.800 --> 01:06:28.760]  I got all these helicopters.
[01:06:28.860 --> 01:06:30.660]  Okay, I'm gonna go behind you, Nick.
[01:06:30.780 --> 01:06:32.520]  I'm gonna cut around Gavin, just so you know.
[01:06:33.880 --> 01:06:34.780]  I'm gonna end up behind.
[01:06:35.760 --> 01:06:36.680]  Okay, come around behind.
[01:06:36.680 --> 01:06:38.300]  I have the door open for you.
[01:06:38.940 --> 01:06:39.980]  Oh, balls.
[01:06:40.260 --> 01:06:41.740]  I got him!
[01:06:42.360 --> 01:06:43.880]  Yeah, Eric!
[01:06:44.680 --> 01:06:46.240]  Hop in, fellas.
[01:06:47.580 --> 01:06:48.180]  Where's Dipshit?
[01:06:49.080 --> 01:06:50.600]  He's coming, he's coming, he's getting in.
[01:06:51.080 --> 01:06:51.600]  Get in!
[01:06:52.280 --> 01:06:53.400]  He's glitched.
[01:06:55.260 --> 01:06:56.380]  He's glitched.
[01:06:57.620 --> 01:06:57.840]  Go!
[01:06:58.560 --> 01:06:59.300]  We're off.
[01:07:01.600 --> 01:07:02.840]  Takeoff, takeoff, takeoff.
[01:07:02.920 --> 01:07:03.900]  Yep, yep, yep, yep.
[01:07:03.900 --> 01:07:05.860]  Yep, yep, yep, yep.
[01:07:05.860 --> 01:07:07.320]  You're up.
[01:07:08.260 --> 01:07:08.920]  Okay, go.
[01:07:09.260 --> 01:07:09.700]  They're up.
[01:07:11.840 --> 01:07:13.900]  Okay, now just start aiming towards the yellow.
[01:07:14.100 --> 01:07:15.900]  I'm with you, you guys do everything you need to do.
[01:07:16.260 --> 01:07:17.660]  I'll try to take these helicopters out.
[01:07:17.800 --> 01:07:17.940]  You're good.
[01:07:18.040 --> 01:07:19.780]  Okay, everybody...
[01:07:21.580 --> 01:07:23.660]  Nick, you have the opportunity
[01:07:23.660 --> 01:07:25.580]  to do the funniest thing in the world.
[01:07:25.720 --> 01:07:26.140]  No!
[01:07:26.680 --> 01:07:27.080]  No!
[01:07:28.380 --> 01:07:32.020]  What kind of person is Nick?
[01:07:32.020 --> 01:07:33.860]  Find out in about
[01:07:33.860 --> 01:07:35.040]  15 seconds.
[01:07:36.360 --> 01:07:37.240]  No, no!
[01:07:39.760 --> 01:07:41.240]  We're losing the police.
[01:07:41.540 --> 01:07:43.020]  You're doing good, you're doing good. Keep it going.
[01:07:43.380 --> 01:07:44.800]  I don't see a goddamn thing.
[01:07:46.860 --> 01:07:48.040]  I don't know what you're
[01:07:48.040 --> 01:07:48.640]  talking about.
[01:07:50.100 --> 01:07:51.060]  Just flying up.
[01:07:51.260 --> 01:07:53.020]  I'm with you, I'm with you. Keep it going.
[01:07:58.540 --> 01:08:00.620]  I'm gonna bail out to distract the cops.
[01:08:00.620 --> 01:08:02.240]  No, we'll fail.
[01:08:03.240 --> 01:08:04.880]  Right into the fans.
[01:08:09.230 --> 01:08:10.850]  We're so close
[01:08:10.850 --> 01:08:12.530]  to lose the wanted rating.
[01:08:12.690 --> 01:08:13.230]  Yeah, we're trying.
[01:08:13.930 --> 01:08:16.230]  I'm gonna get out and get in your helicopter.
[01:08:17.390 --> 01:08:18.010]  Die!
[01:08:18.470 --> 01:08:19.550]  I swear to God.
[01:08:20.650 --> 01:08:20.990]  Oh God.
[01:08:22.950 --> 01:08:23.490]  It's okay.
[01:08:25.610 --> 01:08:26.250]  We're okay.
[01:08:26.250 --> 01:08:27.010]  How high are we supposed to go?
[01:08:28.670 --> 01:08:30.110]  We're doing great.
[01:08:30.110 --> 01:08:31.210]  We just have to keep going.
[01:08:32.190 --> 01:08:34.170]  We just gotta keep aiming towards
[01:08:34.170 --> 01:08:35.010]  that yellow dot.
[01:08:36.690 --> 01:08:38.170]  I think this has
[01:08:38.170 --> 01:08:39.150]  us bail out at the end.
[01:08:39.470 --> 01:08:41.890]  What is shoot? What deploys your shoot?
[01:08:42.810 --> 01:08:43.390]  The A button.
[01:08:43.670 --> 01:08:44.590]  What is shoot?
[01:08:49.450 --> 01:08:49.870]  Please
[01:08:49.870 --> 01:08:51.510]  deploy it very early.
[01:08:52.590 --> 01:08:54.270]  Yes, I've seen that first tank.
[01:08:54.430 --> 01:08:55.170]  We're going to the drop zone.
[01:08:55.170 --> 01:08:57.350]  I think I took out all the helicopters. I think we're good.
[01:08:58.430 --> 01:08:58.950]  Alright.
[01:09:00.170 --> 01:09:00.790]  Let's see.
[01:09:00.890 --> 01:09:02.530]  It looks like the wanted level is going away.
[01:09:03.730 --> 01:09:04.710]  Ours is gone.
[01:09:05.130 --> 01:09:06.830]  Mine is just about there.
[01:09:07.230 --> 01:09:08.410]  Regroup on the beach.
[01:09:09.890 --> 01:09:10.030]  Okay.
[01:09:10.750 --> 01:09:11.930]  Use the cops.
[01:09:13.450 --> 01:09:14.910]  Point break style.
[01:09:16.350 --> 01:09:17.630]  There we go.
[01:09:18.510 --> 01:09:19.650]  Still got your handcuffs on.
[01:09:19.650 --> 01:09:19.890]  Later.
[01:09:21.990 --> 01:09:23.370]  When would I have had time to take
[01:09:23.370 --> 01:09:23.750]  them off?
[01:09:27.830 --> 01:09:28.390]  Alright.
[01:09:36.960 --> 01:09:37.500]  Okay.
[01:09:40.140 --> 01:09:41.080]  Does this look cool?
[01:09:42.680 --> 01:09:43.840]  That looks pretty awesome.
[01:09:45.060 --> 01:09:45.900]  Don't land
[01:09:45.900 --> 01:09:46.740]  in the chopper blades.
[01:09:48.740 --> 01:09:49.860]  I've seen that
[01:09:49.860 --> 01:09:51.520]  on this state. I've seen that
[01:09:51.520 --> 01:09:53.420]  on hard mode.
[01:09:53.540 --> 01:09:56.040]  Wait for your team to arrive at the beach. A seagull
[01:09:56.040 --> 01:09:57.880]  just flew into my chopper blades.
[01:10:00.020 --> 01:10:00.860]  Just stay clear.
[01:10:00.960 --> 01:10:02.220]  Land in the water if you need to.
[01:10:02.300 --> 01:10:03.420]  Don't land up top.
[01:10:03.620 --> 01:10:05.940]  Well, I guess you can. It might just be harder
[01:10:05.940 --> 01:10:07.400]  to get down here, but I'm here.
[01:10:09.100 --> 01:10:09.900]  How do you make
[01:10:09.900 --> 01:10:10.600]  a soft landing?
[01:10:11.540 --> 01:10:12.860]  Pull back on the stick.
[01:10:13.140 --> 01:10:14.700]  And just don't land in the chopper blades.
[01:10:17.360 --> 01:10:18.240]  Just get out
[01:10:18.240 --> 01:10:20.160]  of the helicopter to stop the blades.
[01:10:20.680 --> 01:10:21.600]  Are you going to hop in or what?
[01:10:26.400 --> 01:10:26.920]  Oh!
[01:10:27.920 --> 01:10:28.440]  Gavin!
[01:10:28.660 --> 01:10:29.260]  Look at that!
[01:10:30.100 --> 01:10:30.280]  Oh!
[01:10:36.040 --> 01:10:38.020]  That shit was not funny.
[01:10:38.840 --> 01:10:40.000]  I almost ran
[01:10:40.000 --> 01:10:41.620]  into the rotor. Holy God.
[01:10:42.340 --> 01:10:43.100]  The tail rotor.
[01:10:43.800 --> 01:10:45.680]  You would have died
[01:10:45.680 --> 01:10:46.640]  because of the rotor.
[01:10:50.040 --> 01:10:51.980]  Okay, now we just got to get back to the city.
[01:10:51.980 --> 01:10:54.300]  I am so stressed.
[01:10:54.420 --> 01:10:54.980]  No!
[01:10:56.200 --> 01:10:57.760]  Take us to the windmill farm.
[01:10:57.960 --> 01:10:58.900]  Take us to the windmill farm.
[01:10:59.320 --> 01:11:00.920]  Shut the fuck up!
[01:11:00.980 --> 01:11:02.000]  Just on the other side of this mountain.
[01:11:02.700 --> 01:11:04.000]  There's so many fans.
[01:11:04.720 --> 01:11:07.140]  What? It's fun.
[01:11:07.820 --> 01:11:09.640]  My air conditioning was just fixed.
[01:11:09.740 --> 01:11:11.640]  I appreciate it. Don't need to see it.
[01:11:13.300 --> 01:11:13.840]  All good.
[01:11:16.500 --> 01:11:17.060]  Oh!
[01:11:18.240 --> 01:11:19.360]  Thank God!
[01:11:19.980 --> 01:11:21.740]  Oh my God!
[01:11:22.560 --> 01:11:23.120]  Oh!
[01:11:24.960 --> 01:11:26.100]  We did it!
[01:11:26.580 --> 01:11:28.000]  We did it, team!
[01:11:28.780 --> 01:11:29.900]  Heist passed!
[01:11:31.540 --> 01:11:32.980]  That's right, Blandom.
[01:11:33.180 --> 01:11:35.300]  I deserve bronze. Yeah, absolutely.
[01:11:36.100 --> 01:11:37.360]  Is there anything lower than bronze
[01:11:37.360 --> 01:11:39.120]  that we can give you? An accurate rating.
[01:11:41.400 --> 01:11:43.300]  I bet you want to use that immunity bullet, don't you?
[01:11:48.760 --> 01:11:49.320]  Yeah!
[01:11:50.620 --> 01:11:51.700]  I got hot bun.
[01:11:52.980 --> 01:11:54.100]  Me too.
[01:11:54.740 --> 01:11:55.180]  Yeah!
[01:11:56.600 --> 01:11:58.240]  High fives. High fives all around.
[01:11:58.860 --> 01:12:00.700]  Rat crew. Way to go, rats.
[01:12:01.220 --> 01:12:01.740]  Oh, man.
[01:12:03.260 --> 01:12:04.520]  Clink in those glasses.
[01:12:04.820 --> 01:12:05.680]  We're the rat pack.
[01:12:06.060 --> 01:12:08.980]  We are the rat pack. That is no other group.
[01:12:09.100 --> 01:12:10.100]  It is only us.
[01:12:10.460 --> 01:12:12.500]  Thank you so much for watching
[01:12:12.500 --> 01:12:14.600]  this gameplay. I hope you
[01:12:14.600 --> 01:12:16.520]  enjoyed it. Friendships may have been
[01:12:16.520 --> 01:12:18.280]  broken here, but we'll come together.
[01:12:18.640 --> 01:12:20.660]  Love isn't gone, it's just lost.
[01:12:20.820 --> 01:12:22.640]  We gotta find it. We'll find it again.
[01:12:22.920 --> 01:12:24.540]  We'll be back soon. If you want to check out
[01:12:24.540 --> 01:12:26.120]  our podcast, we are the Regulation Pod.
[01:12:26.440 --> 01:12:27.720]  Want to check out our Patreon?
[01:12:28.240 --> 01:12:30.200]  The Regulation Podcast on Patreon.
[01:12:31.400 --> 01:12:32.240]  I think that's it.
[01:12:32.780 --> 01:12:34.940]  Or what? Regulatrion.
[01:12:34.960 --> 01:12:36.620]  Regulatrion. That's right.
[01:12:36.780 --> 01:12:38.800]  Thanks, Gavin. I am fried,
[01:12:39.100 --> 01:12:40.180]  so I forgot that.
[01:12:40.180 --> 01:12:41.480]  But we remembered it.
[01:12:41.520 --> 01:12:42.920]  Because that's what a squad does.
[01:12:43.360 --> 01:12:44.500]  Get out of my face.
[01:12:45.340 --> 01:12:46.720]  Get out of his face.
[01:12:48.900 --> 01:12:50.840]  From the angle I'm at,
[01:12:50.940 --> 01:12:52.040]  that's not what it looked like
[01:12:52.040 --> 01:12:53.120]  you wanted to suck on.
[01:12:53.380 --> 01:12:55.720]  It looked like a wild time.
[01:12:56.840 --> 01:12:57.520]  Go rats!
[01:12:58.520 --> 01:12:59.320]  We're out.
[01:13:00.040 --> 01:13:00.600]  Bye!
[01:13:01.960 --> 01:13:03.000]  I'm really sorry.
