[00:00.000 --> 00:01.800]  Andrew's singing the song.
[01:12:29.370 --> 01:12:31.310]  Eleven months! Wow, thank you so much.
[01:12:33.470 --> 01:12:34.410]  Oh, that's a good sound.
[01:12:34.810 --> 01:12:35.610]  That's a great sound.
[01:12:35.810 --> 01:12:36.670]  That is good.
[01:12:36.670 --> 01:12:37.890]  I don't know about that.
[01:12:39.690 --> 01:12:42.150]  I could just go back and forth over that bridge for a while.
[01:12:47.570 --> 01:12:49.010]  Horses do sound good.
[01:12:49.610 --> 01:12:50.830]  They sound great.
[01:12:57.730 --> 01:13:02.710]  I think horse sounds are underrated.
[01:13:04.250 --> 01:13:05.230]  You think so?
[01:13:05.750 --> 01:13:09.250]  I mean, that's not what people talk about when they talk about horses.
[01:13:10.030 --> 01:13:10.890]  What do they talk about?
[01:13:11.590 --> 01:13:15.550]  They talk about how majestic they are, how fast they are, how powerful they are, beautiful,
[01:13:16.010 --> 01:13:18.450]  they've got long manes, or they can jump real good.
[01:13:18.690 --> 01:13:21.230]  But they don't ever be like, man, listen to it though, it sounds fucking awesome.
[01:13:22.970 --> 01:13:24.630]  I feel the same way about basketball.
[01:13:26.810 --> 01:13:27.910]  Great sounding sport.
[01:13:31.710 --> 01:13:34.510]  My mother-in-law cannot watch basketball because of that noise.
[01:13:34.510 --> 01:13:34.930]  Really?
[01:13:35.470 --> 01:13:36.090]  Yeah.
[01:13:37.630 --> 01:13:40.550]  A nice crack of a baseball bat is good too.
[01:13:40.650 --> 01:13:43.330]  I think baseball is the best sounding sport.
[01:13:46.430 --> 01:13:49.230]  I know the dogs smell pretty good, it's a good smelling sport.
[01:13:49.530 --> 01:13:51.310]  Best sounding sport.
[01:13:51.490 --> 01:13:54.370]  I think in arena, hockey sounds phenomenal.
[01:13:54.690 --> 01:13:56.130]  Hockey is pretty good.
[01:13:56.370 --> 01:14:02.370]  There's like a floor level of noise at hockey that is pretty interesting.
[01:14:03.650 --> 01:14:05.890]  There's a noise floor.
[01:14:07.830 --> 01:14:10.490]  There's a crispness to the air too because it's kind of cold.
[01:14:12.210 --> 01:14:13.550]  Everything sounds a little sharper.
[01:14:14.410 --> 01:14:18.110]  It feels like you're entering a space for an activity.
[01:14:18.590 --> 01:14:20.190]  In a unique way compared to other sports.
[01:14:21.750 --> 01:14:25.530]  Going to a football game, it's no different than the weather outside generally.
[01:14:25.810 --> 01:14:29.750]  It can be a really hot day and then you go into an ice rink and it just feels different.
[01:14:30.790 --> 01:14:35.350]  I don't want to take any flak for saying this, but the only good thing about live football is the pre-gaming.
[01:14:36.810 --> 01:14:37.770]  And tailgating.
[01:14:38.450 --> 01:14:40.950]  Watching football in stands is just not that much fun.
[01:14:40.950 --> 01:14:42.470]  It's like the worst live sport.
[01:14:43.670 --> 01:14:46.250]  I think the worst live sport is racing.
[01:14:47.570 --> 01:14:50.830]  I don't even count that as a sport to go watch.
[01:14:51.750 --> 01:14:52.770]  I'm with you though.
[01:14:53.230 --> 01:14:54.110]  I don't know.
[01:14:55.010 --> 01:14:56.290]  Yeah, definitely.
[01:14:56.290 --> 01:14:59.110]  I think we're just loud enough.
[01:15:00.930 --> 01:15:08.330]  This old guy looks like if you had King Charles and also a Koopa that you gave sick.
[01:15:16.730 --> 01:15:18.930]  NASCAR is different. I've been 20 times. It's amazing.
[01:15:19.290 --> 01:15:21.530]  NASCAR is more compact though, isn't it? It's just a loop.
[01:15:22.230 --> 01:15:24.050]  I've been to F1 twice and I liked it.
[01:15:24.050 --> 01:15:28.010]  I enjoyed the hell out of it both times, but I also am not clamoring to go back.
[01:15:31.290 --> 01:15:36.250]  I've been to F1 and NASCAR. I don't think either is a terribly exciting sport to go see.
[01:15:41.950 --> 01:15:43.950]  Once we do this race, we can wrap it up.
[01:15:47.310 --> 01:15:49.430]  Are we car racing? Is that what's happening?
[01:15:49.810 --> 01:15:51.590]  Or horse racing?
[01:15:51.590 --> 01:15:54.830]  Either way, I don't really care. I just want to race.
[01:15:56.030 --> 01:15:59.450]  It would be funny if he gave you a car to race after never touching a car.
[01:16:00.670 --> 01:16:04.150]  It takes you the whole horse tutorial to show you how to get in this car.
[01:16:05.750 --> 01:16:12.090]  We're going to give you 45 minutes of knife fighting tutorials, but you just have to win this car race right now.
[01:16:13.270 --> 01:16:14.810]  Do you have your learner's permit?
[01:16:17.230 --> 01:16:18.990]  Do you have a license for this?
[01:16:22.530 --> 01:16:23.990]  Oh, it's the day of the...
[01:16:23.990 --> 01:16:24.650]  Oh, we're horse racing.
[01:16:26.790 --> 01:16:28.810]  I wonder if you'll be able to stab while you race.
[01:16:29.970 --> 01:16:30.990]  That'd be wicked.
[01:16:31.870 --> 01:16:33.610]  Maybe you can spur other horses.
[01:16:35.030 --> 01:16:36.730]  Backwards spurring so they slow down.
[01:16:38.190 --> 01:16:43.390]  I'll also say dirt track round car racing is fucking awesome live because we've been going to that Cottonball Speedway.
[01:16:49.460 --> 01:16:53.600]  We're going to like a big no-ring deathmatch pro wrestling show tonight.
[01:16:54.320 --> 01:16:54.960]  Oh, awesome.
[01:16:55.200 --> 01:17:00.380]  No-ring is like so crazy. It's just people fighting in a bar. It's awesome.
[01:17:06.740 --> 01:17:11.320]  You don't see the whole thing, but you see it when it gets close to you. It's at like Hotel Vegas.
[01:17:18.400 --> 01:17:19.800]  Oh, you're going to run out of spurs, buddy.
[01:17:20.920 --> 01:17:21.900]  I'm letting it charge.
[01:17:23.600 --> 01:17:26.040]  I'm going to get a blue shell and change this whole race.
[01:17:27.320 --> 01:17:30.340]  It's like the exact Breath of the Wild spur system.
[01:17:31.660 --> 01:17:33.260]  I can't figure it out, you know.
[01:17:34.100 --> 01:17:36.360]  Do you feel like you have an advantage because of that, Andrew?
[01:17:37.500 --> 01:17:38.420]  For sure, yeah.
[01:17:39.320 --> 01:17:41.960]  As someone who played one hour of Breath of the Wild, yeah.
[01:17:43.060 --> 01:17:49.420]  I like that you played every single second of Mind's Eye, but played an hour of Breath of the Wild.
[01:17:53.660 --> 01:17:55.340]  Some games have it, some games don't.
[01:18:01.240 --> 01:18:02.800]  He likes what he likes. What do you want?
[01:18:04.060 --> 01:18:08.740]  I'll be honest. I liked Tears of the Kingdom like eight times more than Breath of the Wild.
[01:18:08.820 --> 01:18:13.440]  Oh, man. I was the other way. I love Breath of the Wild, but Tears of the Kingdom, I'm only just now getting into.
[01:18:15.580 --> 01:18:16.880]  I like it so much more.
[01:18:24.500 --> 01:18:27.600]  So this whole city just goes like, all right, horse time.
[01:18:31.020 --> 01:18:31.820]  Getting bullied.
[01:18:35.630 --> 01:18:37.150]  Dude, you're supposed to win this race.
[01:18:37.730 --> 01:18:38.510]  I'm walking in.
[01:18:39.150 --> 01:18:42.650]  Okay, is there any crashing you can do? Can you smash a horse off the track?
[01:18:43.130 --> 01:18:43.630]  So far, no.
[01:18:44.370 --> 01:18:46.750]  Okay, that was close.
[01:18:47.410 --> 01:18:50.830]  I was like, they didn't teach me how to do that. I hope I don't have to hit anything.
[01:18:52.130 --> 01:18:53.270]  All right, spurs time, baby.
[01:18:54.290 --> 01:18:56.070]  Cut you off, cut you off, cut you off, cut you off.
[01:18:56.290 --> 01:18:57.310]  Nice, good cut off.
[01:18:58.250 --> 01:18:59.070]  Look at that.
[01:19:00.230 --> 01:19:01.610]  Uh-oh, uh-oh.
[01:19:01.670 --> 01:19:03.070]  Let's go, you spurs.
[01:19:03.730 --> 01:19:04.290]  Right, Gavin?
[01:19:05.970 --> 01:19:08.010]  Come on, you spurs.
[01:19:09.290 --> 01:19:10.290]  Go, spurs, go.
[01:19:11.170 --> 01:19:12.050]  Wimby time, baby.
[01:19:17.530 --> 01:19:20.010]  Come on, you better fucking blow by this fucking horse, bro.
[01:19:20.630 --> 01:19:21.330]  I'm trying.
[01:19:22.270 --> 01:19:23.090]  You got it.
[01:19:23.390 --> 01:19:24.590]  Here we go, he's slowing down.
[01:19:25.870 --> 01:19:30.830]  I bet this game makes you go and this race lasts until you get first place.
[01:19:32.150 --> 01:19:33.450]  Oh no, you've been done.
[01:19:33.610 --> 01:19:33.990]  Uh-oh.
[01:19:34.090 --> 01:19:35.830]  Nope, nope, nope, nope, I got the inside.
[01:19:37.010 --> 01:19:37.890]  Ooh, nice.
[01:19:38.270 --> 01:19:40.190]  Knock him off the fucking...
[01:19:40.190 --> 01:19:42.350]  You're not even close to that horse.
[01:19:43.310 --> 01:19:44.730]  He's so much faster than you.
[01:19:44.910 --> 01:19:46.290]  Yeah, he's better actually.
[01:19:48.190 --> 01:19:48.630]  Spurs.
[01:19:49.950 --> 01:19:50.390]  Spurs.
[01:19:52.070 --> 01:19:52.510]  Spurs.
[01:19:56.310 --> 01:19:57.850]  You caught him there, boys.
[01:19:58.630 --> 01:19:59.450]  You did it.
[01:19:59.550 --> 01:20:00.690]  Oh, come on.
[01:20:00.870 --> 01:20:01.230]  Spurs.
[01:20:02.470 --> 01:20:02.910]  Spurs!
[01:20:02.930 --> 01:20:03.990]  Are they shooting at you?
[01:20:04.570 --> 01:20:05.010]  Spurs!
[01:20:06.190 --> 01:20:08.450]  They're firing confetti at you or something.
[01:20:08.910 --> 01:20:09.290]  Yeah!
[01:20:10.550 --> 01:20:11.430]  It's right there.
[01:20:11.550 --> 01:20:12.210]  Oh, it's fine.
[01:20:12.550 --> 01:20:13.310]  It's still fine.
[01:20:13.570 --> 01:20:15.370]  Go, go, go, go, go, Wimby!
[01:20:15.830 --> 01:20:16.270]  Wimby!
[01:20:17.250 --> 01:20:20.770]  And there you have it, Horse Racing Simulator 2K25.
[01:20:21.890 --> 01:20:24.110]  Comes to a close, we've done it.
[01:20:24.110 --> 01:20:27.610]  Like a true mafia game, we won the horse race.
[01:20:30.710 --> 01:20:31.670]  It's, uh...
[01:20:31.670 --> 01:20:36.710]  I think a brave move to have a mafia game where you don't kill anybody for the first 80 minutes.
[01:20:38.330 --> 01:20:39.530]  But you do race a horse.
[01:20:44.450 --> 01:20:45.690]  Do another hour.
[01:20:46.510 --> 01:20:49.830]  Can you imagine if you didn't win that race and had to do it again?
[01:20:50.050 --> 01:20:50.170]  No.
[01:20:55.330 --> 01:20:56.490]  You wanna do another hour, Andrew?
[01:21:01.230 --> 01:21:02.270]  Eric's got rasslin'.
[01:21:02.270 --> 01:21:04.350]  I got time. We can keep, uh...
[01:21:04.770 --> 01:21:06.470]  I can go. I actually...
[01:21:06.470 --> 01:21:07.570]  What did I say that?
[01:21:07.910 --> 01:21:08.530]  I don't know!
[01:21:09.210 --> 01:21:11.030]  You fucking dug your own gravy, dummy.
[01:21:11.590 --> 01:21:13.790]  I got my mom in town and I'm cooking dinner for her today.
[01:21:15.010 --> 01:21:17.590]  Well, you better tell her to order in because we're doing mafia!
[01:21:17.590 --> 01:21:17.770]  Mafia!
[01:21:21.750 --> 01:21:26.330]  I just feel bad shitting on a game for an hour straight when it might get good.
[01:21:26.410 --> 01:21:27.170]  It might get good.
[01:21:27.550 --> 01:21:28.190]  It really might.
[01:21:28.910 --> 01:21:31.830]  I will say, as the person playing, I'm having fun.
[01:21:32.530 --> 01:21:37.770]  I'm gonna play all of this what I watched Andrew do when I play mafia later tonight, probably.
[01:21:39.250 --> 01:21:39.890]  After you've cooked?
[01:21:40.530 --> 01:21:42.030]  Yeah. After everybody goes to bed.
[01:21:42.670 --> 01:21:43.590]  But while he's eating dinner.
[01:21:44.150 --> 01:21:45.470]  I'll sit in my room by myself.
[01:21:45.850 --> 01:21:46.430]  Koopa Charles.
[01:21:47.650 --> 01:21:48.430]  Deliver this.
[01:21:49.550 --> 01:21:50.430]  Bond's compliments.
[01:21:54.970 --> 01:21:56.890]  What an awkward cheat tab.
[01:21:59.790 --> 01:22:00.890]  Is there any cheats?
[01:22:03.030 --> 01:22:03.450]  What do you mean?
[01:22:03.590 --> 01:22:04.670]  Hey, you got big head mode or what?
[01:22:05.530 --> 01:22:05.750]  Yeah.
[01:22:06.150 --> 01:22:09.050]  Yeah, can we turn all the enemies into tofu?
[01:22:17.030 --> 01:22:20.610]  I wonder if there is any game that turns everyone into milfs.
[01:22:27.280 --> 01:22:28.380]  What are you doing down here?
[01:22:30.260 --> 01:22:31.860]  Tapping you on the shoulder, idiot.
[01:22:36.720 --> 01:22:39.100]  You just won the shit out of that race and nobody cares.
[01:22:45.980 --> 01:22:50.880]  Oh, you get to do a delivery mission.
[01:22:51.920 --> 01:22:52.200]  Cool.
[01:22:54.320 --> 01:22:57.380]  Contemplate if I want to join the Jedi's or become a Sith.
[01:22:59.780 --> 01:23:01.760]  Your father showed me a kindness.
[01:23:02.580 --> 01:23:03.540]  I can do that song.
[01:23:11.100 --> 01:23:12.260]  Pizza rolls!
[01:23:13.200 --> 01:23:15.360]  I want pizza rolls!
[01:23:21.870 --> 01:23:25.850]  Much like Qui-Gon Jinn, buy one get one half off.
[01:23:26.110 --> 01:23:27.110]  Where would you go without me?
[01:23:28.310 --> 01:23:29.570]  I guess that was Dark Maul.
[01:23:29.690 --> 01:23:29.930]  Yeah.
[01:23:31.530 --> 01:23:32.370]  Stop it.
[01:23:33.510 --> 01:23:36.590]  None of these characters know who Mr. Bean is.
[01:23:40.350 --> 01:23:43.970]  They'll all die before Mr. Bean happens.
[01:23:44.110 --> 01:23:46.630]  That's what I think about whenever I'm reading the Bible.
[01:23:50.070 --> 01:23:51.370]  They'll never know what that means.
[01:23:56.330 --> 01:23:56.710]  Oh boy.
[01:23:57.950 --> 01:24:00.910]  They don't know about Doctor Who as well. That's not true. Doctor Who went back in time.
[01:24:02.130 --> 01:24:03.190]  That's probably the good Doctor.
[01:24:08.190 --> 01:24:13.390]  I would love for a game to reveal it's a Doctor Who game with seven hours into it.
[01:24:14.610 --> 01:24:14.970]  Crazy.
[01:24:16.290 --> 01:24:17.370]  That'd be really cool.
[01:24:25.070 --> 01:24:26.890]  Come on. Pick a bottle. Any bottle.
[01:24:27.190 --> 01:24:28.710]  Yeah, stand there and look at me like a dipshit.
[01:24:28.830 --> 01:24:29.870]  Yeah, that's what I meant. Thanks, man.
[01:24:30.910 --> 01:24:32.630]  And the Don, of course.
[01:24:32.910 --> 01:24:35.930]  Don? Bene. On to the next one.
[01:24:38.430 --> 01:24:39.530]  Who was he?
[01:24:39.770 --> 01:24:40.930]  I have no idea.
[01:24:41.670 --> 01:24:45.850]  That noise was so real and not a joke.
[01:24:45.950 --> 01:24:49.230]  When you watch a movie, Gavin, you go, oh, more talking.
[01:24:50.190 --> 01:24:54.710]  If I was 80 minutes into a movie and this is what we've done, I'd be livid.
[01:24:55.370 --> 01:24:55.870]  Really?
[01:24:56.190 --> 01:24:56.390]  Yes.
[01:24:56.890 --> 01:25:00.590]  Especially if it was advertised as Fast and the Furious.
[01:25:02.150 --> 01:25:03.350]  Where's your next stop?
[01:25:03.930 --> 01:25:06.870]  It says Via Nino Agave.
[01:25:07.270 --> 01:25:09.050]  But that's on the other side of town.
[01:25:09.230 --> 01:25:09.950]  Oh, great.
[01:25:10.450 --> 01:25:12.210]  Oh, no. The other side of town.
[01:25:12.510 --> 01:25:13.510]  Can't wait for me to leave.
[01:25:13.890 --> 01:25:20.590]  That's just Dino. Don't take it personally. But are you going to leave? I mean...
[01:25:20.590 --> 01:25:22.370]  I don't plan to.
[01:25:22.870 --> 01:25:24.990]  But he says this game is all Charlie work.
[01:25:27.770 --> 01:25:30.170]  Thank you, front of the green line. Five gifted. Hell yeah.
[01:25:30.610 --> 01:25:35.510]  Dude, I wish Andrew could bash rats with a baseball bat. At least that would...
[01:25:35.510 --> 01:25:35.970]  I could chase them.
[01:25:36.350 --> 01:25:36.750]  Yeah.
[01:25:37.790 --> 01:25:42.890]  I don't have a sprint button, unfortunately, in this scenario. I can't shake up their wine though.
[01:25:44.010 --> 01:25:46.130]  It sounds like you're shaking the shit out of it.
[01:25:46.230 --> 01:25:51.370]  I wonder if we should make a chart of time to kill from pressing start on a video game.
[01:25:51.930 --> 01:25:52.870]  I think that's a great idea.
[01:25:53.310 --> 01:25:53.970]  For each game.
[01:25:53.970 --> 01:25:54.650]  What's that?
[01:25:54.650 --> 01:26:02.290]  That's like how our wives podcast, the Clutch by Pearls, has the, like, what page the first coming is on.
[01:26:02.410 --> 01:26:02.510]  Yeah.
[01:26:02.990 --> 01:26:05.250]  Like, what minute the first killing is.
[01:26:08.990 --> 01:26:17.190]  It's cool that they let him actually carry wine. After that last night fight, I was worried they would make him walk around with an empty box and deliver... practice deliver wine.
[01:26:20.630 --> 01:26:20.950]  Yeah.
[01:26:20.950 --> 01:26:27.510]  Should we make a Slack channel called Time to Kill? And just track every game we play, how long it takes for the first kill?
[01:26:27.530 --> 01:26:27.890]  Yeah, let's do that.
[01:26:28.090 --> 01:26:28.170]  Yeah.
[01:26:28.490 --> 01:26:28.970]  Pretty good.
[01:26:31.750 --> 01:26:33.810]  And then we can put it in a chart at the end of the year.
[01:26:34.110 --> 01:26:34.230]  Yeah.
[01:26:40.500 --> 01:26:42.640]  I mean, the kill has to be around the corner in this one.
[01:26:44.460 --> 01:26:50.260]  Somebody asked how the peace and employment sales are. That's a great question, Wargasm. I haven't looked in four months.
[01:26:51.040 --> 01:26:51.760]  Is that right?
[01:26:51.760 --> 01:26:52.120]  I have no fucking clue.
[01:26:53.900 --> 01:26:55.060]  I don't even think Czech anymore.
[01:26:59.200 --> 01:27:01.640]  Oh, in Mafia 2, you have to carry crates around at a warehouse?
[01:27:03.480 --> 01:27:03.780]  Wow.
[01:27:05.720 --> 01:27:08.100]  It's an homage to the best mission of Mafia 2.
[01:27:08.780 --> 01:27:13.380]  All of the intros to the Mafia games, except this one, have been filled with action.
[01:27:14.260 --> 01:27:20.360]  Mafia 1 opens up with, like, you're getting away from, like, your taxi driver driving mobsters, trying to evade.
[01:27:21.060 --> 01:27:24.060]  Mafia 2 opens with you're fighting in a war.
[01:27:24.840 --> 01:27:26.320]  And Mafia 3 is a heist going on.
[01:27:28.480 --> 01:27:29.440]  That was a knife we could have bought.
[01:27:29.720 --> 01:27:33.540]  Okay, so I'm confused. Tell him to put the blade away so you guys can hit each other with the hilt.
[01:27:35.540 --> 01:27:35.940]  Yeah.
[01:27:36.440 --> 01:27:37.620]  Am I going to kill somebody now?
[01:27:38.100 --> 01:27:39.920]  Oh, Andrew, what a way to go out. This'll be it.
[01:27:40.740 --> 01:27:42.360]  This is it. This is the game.
[01:27:42.380 --> 01:27:42.560]  Lay on, bro.
[01:27:42.780 --> 01:27:43.320]  Don't forget to parry!
[01:27:43.620 --> 01:27:44.320]  You forgot to parry.
[01:27:44.400 --> 01:27:45.240]  Oh, shit.
[01:27:45.240 --> 01:27:45.920]  You forgot to parry.
[01:27:46.640 --> 01:27:47.580]  You forgot to parry.
[01:27:47.700 --> 01:27:48.800]  You're going to need to parry.
[01:27:49.040 --> 01:27:50.040]  I'm here for you.
[01:27:50.480 --> 01:27:50.820]  He did it.
[01:27:51.080 --> 01:27:51.500]  There you go.
[01:27:51.960 --> 01:27:54.780]  I was telling you the controls in the top left. You didn't need that practice.
[01:27:56.040 --> 01:27:56.900]  You forgot to parry.
[01:27:57.060 --> 01:27:58.540]  Oh, you got some blood on your back.
[01:27:58.540 --> 01:27:58.840]  You dodged.
[01:28:02.220 --> 01:28:03.700]  I think I'm more of a dodge guy.
[01:28:04.680 --> 01:28:06.980]  I think the parry is the thing that's working for you, man.
[01:28:09.960 --> 01:28:10.680]  Oh, nice!
[01:28:11.300 --> 01:28:11.800]  Stab him in the butthole.
[01:28:12.020 --> 01:28:12.640]  Stab him right in the butthole.
[01:28:12.760 --> 01:28:13.420]  Give him a second butthole.
[01:28:15.100 --> 01:28:16.380]  Make his poop confused.
[01:28:21.360 --> 01:28:22.160]  I don't know what that means.
[01:28:22.540 --> 01:28:23.340]  We're getting a real kill.
[01:28:27.300 --> 01:28:28.580]  Why is it echoing?
[01:28:32.100 --> 01:28:32.940]  Oh my god.
[01:28:35.680 --> 01:28:36.040]  Parry!
[01:28:38.100 --> 01:28:40.360]  I don't think I can parry the red one.
[01:28:40.500 --> 01:28:43.320]  Dodge first, slow him down.
[01:28:50.900 --> 01:28:52.340]  Oh, you got this, dude.
[01:28:52.700 --> 01:28:53.620]  You don't stand a chance.
[01:29:00.020 --> 01:29:01.240]  Got him! Got him!
[01:29:01.600 --> 01:29:01.940]  Murder.
[01:29:02.240 --> 01:29:03.340]  I don't think you're going to kill him.
[01:29:03.520 --> 01:29:03.780]  Maybe?
[01:29:04.180 --> 01:29:04.580]  No.
[01:29:05.680 --> 01:29:06.700]  Maybe by accident?
[01:29:07.440 --> 01:29:10.020]  These people shrug off stab wounds like...
[01:29:10.300 --> 01:29:10.960]  ...tub toes.
[01:29:10.980 --> 01:29:11.500]  Yeah, there you go.
[01:29:12.800 --> 01:29:14.060]  You don't even get to kill him.
[01:29:15.960 --> 01:29:17.620]  This is the third knife fight.
[01:29:27.340 --> 01:29:30.640]  It depends on what month you were born.
[01:29:31.860 --> 01:29:33.380]  Ah, pizza knife again.
[01:29:33.600 --> 01:29:34.840]  He's confused with the pizza knife.
[01:29:34.840 --> 01:29:36.680]  Is that a fight with a marshmallow knife?
[01:29:44.800 --> 01:29:47.380]  You're about to get a stern cutscene talking to you.
[01:29:47.420 --> 01:29:48.720]  The pacifist run continues.
[01:30:10.500 --> 01:30:12.400]  Melania is with that guy who was stabbing.
[01:30:18.220 --> 01:30:31.300]  Yeah, everything except that part.
[01:30:38.710 --> 01:30:41.910]  And that's Mafia the Old Country.
[01:30:44.910 --> 01:30:47.070]  I'm going to keep playing independently of this.
[01:30:47.210 --> 01:30:48.750]  And I will update the time to kill.
[01:30:49.250 --> 01:30:49.910]  How long it takes.
[01:30:50.230 --> 01:30:52.710]  Would love to hear it.
[01:30:52.790 --> 01:30:54.230]  Thank you guys so much for watching.
[01:30:54.650 --> 01:30:55.510]  Check out the Patreon.
[01:30:56.250 --> 01:30:58.250]  Check out our gameplay channel.
[01:30:58.750 --> 01:31:00.110]  Check out the podcast.
[01:31:00.830 --> 01:31:02.270]  And that's Andrew's achievement.
[01:31:02.790 --> 01:31:03.230]  Incredible.
[01:31:04.770 --> 01:31:05.530]  We did it.
[01:31:05.650 --> 01:31:06.410]  Thank you guys so much.
[01:31:06.550 --> 01:31:07.670]  And we will see you next time.
[01:31:08.070 --> 01:31:08.970]  There's another knife.
[01:31:09.210 --> 01:31:09.990]  Fourth knife fight.
[01:31:10.110 --> 01:31:10.530]  Wow.
[01:31:10.810 --> 01:31:11.190]  Bye.
[01:31:12.490 --> 01:31:12.950]  Bye.
[01:31:13.010 --> 01:31:13.190]  Thanks.
[01:31:13.310 --> 01:31:13.470]  Sorry.
[01:31:13.570 --> 01:31:13.750]  Bye.
[01:31:14.130 --> 01:31:14.590]  Bye.
[01:31:15.370 --> 01:31:15.830]  Sorry.
