[00:00.000 --> 00:00.680]  Andrew, thoughts?
[58:04.780 --> 58:05.440]  Oh, I'm sorry, everyone coming down.
[58:06.760 --> 58:08.540]  Everyone up, everyone up!
[58:11.500 --> 58:13.460]  Yes, son!
[58:18.990 --> 58:19.430]  Go!
[58:19.810 --> 58:21.310]  Get out of this hellscape!
[58:24.570 --> 58:25.370]  Hell yeah!
[58:26.470 --> 58:27.770]  Easy, baby stuff.
[58:28.030 --> 58:31.190]  We doing more dodging?
[58:33.950 --> 58:34.350]  Yeah!
[58:35.470 --> 58:36.510]  I like this.
[58:40.950 --> 58:43.290]  Do you think one color's good and one color's bad?
[58:43.370 --> 58:44.710]  Yeah, can I get hit by a Toadstool?
[58:45.110 --> 58:46.990]  I don't think so. I think they're all bad.
[58:47.010 --> 58:47.430]  Oh, God.
[58:48.170 --> 58:49.390]  I can eat all the red ones.
[58:50.470 --> 58:51.410]  Can I eat the blue?
[58:52.070 --> 58:53.090]  I'll take the blue raspberry.
[58:54.470 --> 58:55.130]  Oh, God!
[58:55.430 --> 58:55.810]  I got them all!
[59:01.610 --> 59:02.930]  Where does it want me to...
[59:03.550 --> 59:04.210]  Sorry about that.
[59:04.290 --> 59:05.010]  Someone's getting hit.
[59:06.230 --> 59:06.810]  That was me.
[59:08.410 --> 59:09.710]  Can you take a hit?
[59:10.570 --> 59:11.790]  Yeah, you can.
[59:11.810 --> 59:13.850]  You can take two and then you die on the third.
[59:15.070 --> 59:16.350]  Is it group health?
[59:16.350 --> 59:17.610]  It is group health, yes.
[59:18.150 --> 59:21.470]  Well, just don't get hit again.
[59:22.930 --> 59:23.430]  I won't.
[59:26.430 --> 59:27.550]  Oh, and you put it that way.
[59:28.230 --> 59:28.810]  Pretty easy.
[59:31.210 --> 59:34.430]  Like, there's way more white than blue and red, so stay in the white.
[59:35.670 --> 59:36.170]  Someone got hit.
[59:37.990 --> 59:39.330]  Alright, we're gonna have to start moving now.
[59:39.570 --> 59:41.290]  Oh, I think you and I are locked in here, Geoff.
[59:41.610 --> 59:44.590]  Gavin is doing his best to stay right on top of me.
[59:45.350 --> 59:46.390]  You're in front of me.
[59:47.110 --> 59:52.110]  I don't know why you came directly over to me and touched me the entire time.
[59:52.150 --> 59:54.990]  I don't know what is wrong with you, but something is wrong with you.
[59:55.950 --> 59:57.590]  Just get away from me.
[59:57.710 --> 59:58.910]  Just get away from me.
[59:58.910 --> 59:59.650]  We're almost done.
[01:00:00.770 --> 01:00:05.650]  Let me tell you that as someone who has to stay with Geoff for that whole thing, there is not a lot of choice.
[01:00:05.790 --> 01:00:06.650]  Good job.
[01:00:08.130 --> 01:00:09.610]  Andrew, you did a great job.
[01:00:09.670 --> 01:00:10.530]  Thank you, guys, so much.
[01:00:10.530 --> 01:00:11.530]  Thanks for being here.
[01:00:11.530 --> 01:00:12.590]  You did a great job.
[01:00:13.270 --> 01:00:15.350]  You did a great job, too. And so did Gavin.
[01:00:15.850 --> 01:00:16.970]  I don't know about that.
[01:00:17.050 --> 01:00:18.890]  That was like being in a revolving door.
[01:00:19.610 --> 01:00:21.150]  This is it, Parkville Dodger, guys.
[01:00:21.210 --> 01:00:22.890]  This is gonna do it, our last level.
[01:00:23.190 --> 01:00:25.350]  As we take it to 5.01 PM.
[01:00:25.650 --> 01:00:28.670]  We might have to go to 5.02 depending on how long...
[01:00:28.670 --> 01:00:29.890]  I'm playing Marvel Rivals, baby.
[01:00:30.370 --> 01:00:32.350]  I played a little Marvel Rivals yesterday. It's cool.
[01:00:32.930 --> 01:00:34.190]  It's fun. It's fun as hell.
[01:00:34.810 --> 01:00:36.730]  Still no Call of Duty, but...
[01:00:36.730 --> 01:00:37.950]  No, no, definitely not.
[01:00:38.390 --> 01:00:39.530]  But I can play as the Raccoon.
[01:00:39.530 --> 01:00:40.250]  I enjoy it.
[01:00:41.130 --> 01:00:42.550]  Oh, here we go.
[01:00:43.970 --> 01:00:45.270]  Hey, watch out for the second round.
[01:00:46.310 --> 01:00:47.050]  Oh, okay.
[01:00:47.830 --> 01:00:48.850]  Alright, you and you right here.
[01:00:49.670 --> 01:00:51.510]  We're kissing. We're boys and we're kissing.
[01:00:52.090 --> 01:00:52.310]  Yeah.
[01:00:53.290 --> 01:00:54.810]  Oh god, oh god, oh god. Go left!
[01:00:54.950 --> 01:00:55.310]  Gavin!
[01:00:59.650 --> 01:01:01.790]  Oh god, go left, go left, go left.
[01:01:01.970 --> 01:01:02.890]  Go left, go left, go left.
[01:01:03.050 --> 01:01:03.990]  There's too many of us.
[01:01:05.870 --> 01:01:06.230]  Ow!
[01:01:07.010 --> 01:01:08.470]  Go, go right, go right.
[01:01:08.550 --> 01:01:09.750]  You're too far, you're too far.
[01:01:10.230 --> 01:01:10.950]  Oh god.
[01:01:12.490 --> 01:01:12.890]  Gavin!
[01:01:13.650 --> 01:01:16.450]  I'm doing so amazingly on this level.
[01:01:16.890 --> 01:01:17.610]  Can we stand on each other?
[01:01:17.730 --> 01:01:18.850]  Oh, we can stand on each other.
[01:01:19.270 --> 01:01:22.090]  Hey, Gavin, Gavin did it. Way to go.
[01:01:23.150 --> 01:01:24.170]  Yeah, we definitely
[01:01:24.170 --> 01:01:25.510]  can't call that a Gavin.
[01:01:26.670 --> 01:01:27.950]  Yeah, and then also,
[01:01:28.310 --> 01:01:30.210]  the question was who's fucking them up
[01:01:30.210 --> 01:01:32.090]  the most, and Gavin is the winner.
[01:01:32.790 --> 01:01:33.890]  I don't think I've been hit yet.
[01:01:33.890 --> 01:01:35.530]  I don't know if you can, it looks like
[01:01:35.530 --> 01:01:37.790]  in between rounds, you cannot be on top of each other.
[01:01:37.830 --> 01:01:38.770]  Jeez, that's tough.
[01:01:39.130 --> 01:01:40.750]  I was just trying to jump on the floor.
[01:01:41.250 --> 01:01:41.870]  It's okay.
[01:01:44.990 --> 01:01:45.390]  Uh...
[01:01:45.390 --> 01:01:47.910]  I don't like the nomenclache.
[01:01:51.640 --> 01:01:52.040]  Ooh.
[01:01:52.280 --> 01:01:52.600]  Okay.
[01:01:53.340 --> 01:01:54.400]  I'm gonna get over here with you, Geoff.
[01:01:55.920 --> 01:01:57.460]  Well, that's Andrew.
[01:01:57.840 --> 01:01:58.920]  Oh, that is Andrew.
[01:01:59.540 --> 01:02:01.020]  Go that way, go that way.
[01:02:01.040 --> 01:02:02.200]  Go that way, go that way.
[01:02:02.200 --> 01:02:02.380]  You idiot.
[01:02:04.940 --> 01:02:05.820]  Oh, God.
[01:02:06.280 --> 01:02:06.480]  Move.
[01:02:06.680 --> 01:02:08.480]  Yeah, there you go.
[01:02:11.140 --> 01:02:11.740]  Nice.
[01:02:12.480 --> 01:02:13.240]  Oh, God.
[01:02:13.660 --> 01:02:14.480]  Over there.
[01:02:15.300 --> 01:02:15.840]  Oh, stack.
[01:02:17.180 --> 01:02:18.220]  Good stack.
[01:02:19.180 --> 01:02:20.560]  Do it again, Andrew, me and you.
[01:02:21.000 --> 01:02:22.320]  Stack me and you, Gavin.
[01:02:23.600 --> 01:02:24.200]  Stack.
[01:02:24.640 --> 01:02:26.500]  Oh, boys, that was it.
[01:02:26.500 --> 01:02:27.000]  No!
[01:02:27.000 --> 01:02:27.420]  No!
[01:02:29.940 --> 01:02:31.000]  Gavin zigged when he should have zagged.
[01:02:31.680 --> 01:02:32.440]  That happens.
[01:02:33.720 --> 01:02:35.140]  It happens to the best of them.
[01:02:37.100 --> 01:02:37.960]  What about the worst?
[01:02:38.500 --> 01:02:39.640]  The worst of them.
[01:02:40.220 --> 01:02:40.980]  Somebody got hit.
[01:02:41.380 --> 01:02:43.800]  It was not I.
[01:02:44.840 --> 01:02:46.860]  I mean, that was just an insane move
[01:02:46.860 --> 01:02:47.480]  by you, Gavin.
[01:02:51.200 --> 01:02:52.440]  All right, we got time.
[01:02:52.700 --> 01:02:53.100]  We got space.
[01:02:53.100 --> 01:02:53.920]  We got time, we got space.
[01:02:55.360 --> 01:02:57.240]  This next one, I think people are going to have to stack.
[01:02:57.580 --> 01:02:58.640]  Yep. Gavin, get on.
[01:02:59.620 --> 01:03:00.380]  Stacked and ready.
[01:03:00.700 --> 01:03:02.640]  You don't have to there, Geoff, but I'm fine with it.
[01:03:03.120 --> 01:03:03.820]  Don't bother me, none.
[01:03:04.280 --> 01:03:07.340]  Now, I will say, that bothered me.
[01:03:07.340 --> 01:03:08.260]  I can see how that would.
[01:03:09.060 --> 01:03:11.480]  I thought you'd go left, but you didn't.
[01:03:11.640 --> 01:03:13.120]  I just hope on the stats
[01:03:13.120 --> 01:03:14.980]  it does not show that as my death
[01:03:14.980 --> 01:03:15.960]  because it definitely wasn't.
[01:03:16.340 --> 01:03:17.160]  Why are you trying to kill me?
[01:03:17.280 --> 01:03:18.460]  Nice dodge, Geoff.
[01:03:18.460 --> 01:03:19.680]  Go left.
[01:03:20.160 --> 01:03:20.680]  Dip shit.
[01:03:22.060 --> 01:03:24.000]  In the previous round, though, you were
[01:03:24.900 --> 01:03:27.620]  a bit stingy with the space.
[01:03:35.980 --> 01:03:37.060]  Nice, good work, boys.
[01:03:38.060 --> 01:03:39.420]  Me and you, Gavin. We got this.
[01:03:39.780 --> 01:03:40.560]  All right, Andrew, big time.
[01:03:41.200 --> 01:03:41.360]  Yep.
[01:03:42.860 --> 01:03:44.680]  Oh, boy, that was close. Me and you again.
[01:03:45.060 --> 01:03:47.200]  The only way we can go from here is right, so
[01:03:47.200 --> 01:03:48.280]  I'll move us.
[01:03:49.880 --> 01:03:50.240]  Nice!
[01:03:50.240 --> 01:03:51.880]  Yes, good work. Guys!
[01:03:52.240 --> 01:03:54.200]  We did it! Pico, Park,
[01:03:54.280 --> 01:03:56.320]  Gavin, and Eric forever. We did it.
[01:03:56.640 --> 01:03:58.340]  That's it. That's how you
[01:03:58.340 --> 01:04:00.380]  do it. Pico Part 2 is a baby
[01:04:00.380 --> 01:04:02.300]  game for babies. We're the
[01:04:02.300 --> 01:04:04.020]  kings, the Parkful Dodgers.
[01:04:04.680 --> 01:04:04.820]  Woo!
[01:04:06.080 --> 01:04:08.140]  How many more levels do we got?
[01:04:08.300 --> 01:04:09.760]  Another world first.
[01:04:10.180 --> 01:04:11.060]  Four more.
[01:04:11.380 --> 01:04:13.580]  We can beat it again next time?
[01:04:14.000 --> 01:04:15.720]  And we have the dark levels after this.
[01:04:17.000 --> 01:04:18.100]  And then there's
[01:04:18.100 --> 01:04:19.560]  an infinity mode at some point, too.
[01:04:19.800 --> 01:04:22.160]  Well, guys, we did it. Thank you so much
[01:04:22.160 --> 01:04:23.940]  for watching. It's been Pico Park 2.
[01:04:24.100 --> 01:04:25.120]  This is Regulation Podcast.
[01:04:25.840 --> 01:04:27.420]  Please subscribe to us on Patreon.
[01:04:27.560 --> 01:04:29.780]  Patreon.com slash TheRegulationPod.
[01:04:29.880 --> 01:04:31.700]  We do this every Friday at 4pm.
[01:04:31.860 --> 01:04:33.940]  I don't know if we're doing it next Friday because of the
[01:04:33.940 --> 01:04:35.540]  holiday, but maybe?
[01:04:35.960 --> 01:04:37.860]  Who can say? Either way, you can
[01:04:37.860 --> 01:04:40.220]  watch this on our Regulation Gaming
[01:04:40.220 --> 01:04:41.600]  channel, and
[01:04:41.600 --> 01:04:43.780]  that'll do it for us, for myself,
[01:04:44.120 --> 01:04:45.940]  for Andrew, for Gavin, for Nick, for
[01:04:45.940 --> 01:04:47.800]  Geoff. This has been
[01:04:47.800 --> 01:04:50.060]  a game stream. We appreciate
[01:04:50.060 --> 01:04:52.080]  you for watching, and we'll see
[01:04:52.080 --> 01:04:53.220]  you next time. Bye!
[01:04:53.880 --> 01:04:54.360]  Bye!
