[00:01.280 --> 00:02.060]  You all right, Gavin?
[03:43:26.950 --> 03:43:28.790]  he plays the long game or the short game.
[03:43:28.910 --> 03:43:30.370]  He's just simply playing the game.
[03:43:30.510 --> 03:43:31.390]  I'm playing the now game.
[03:43:32.330 --> 03:43:33.630]  For a good time, not a long time.
[03:43:34.030 --> 03:43:36.550]  Andrew caused the whole chat to have to retract an idiot flag.
[03:43:36.650 --> 03:43:37.710]  Pretty incredible.
[03:43:37.790 --> 03:43:38.630]  Flags down.
[03:43:38.630 --> 03:43:38.730]  Incredible.
[03:43:42.210 --> 03:43:44.490]  And then Crucified Donkey with the 50 gifted.
[03:43:44.850 --> 03:43:45.930]  Thank you so much.
[03:43:46.690 --> 03:43:47.510]  Way to go, Donkey.
[03:43:47.670 --> 03:43:48.470]  What are you doing there, bud?
[03:43:49.930 --> 03:43:50.790]  I'm just thinking.
[03:43:52.410 --> 03:43:54.530]  Because Gavin can steal one of my things.
[03:43:54.770 --> 03:43:55.890]  Oh yeah, what can I get?
[03:43:56.710 --> 03:43:58.210]  So if I get two chompers
[03:43:58.210 --> 03:43:59.350]  and he can only steal one,
[03:43:59.430 --> 03:44:00.690]  I still have my second chomper.
[03:44:01.230 --> 03:44:02.030]  I can't believe that.
[03:44:04.990 --> 03:44:05.970]  Where are you headed?
[03:44:05.970 --> 03:44:07.810]  To where the star was.
[03:44:14.130 --> 03:44:15.410]  Damn it.
[03:44:17.550 --> 03:44:20.370]  No one's gone anywhere near any of my traps.
[03:44:20.730 --> 03:44:20.890]  Nope.
[03:44:24.330 --> 03:44:24.870]  Nice.
[03:44:26.890 --> 03:44:28.250]  Andrew had no stars
[03:44:28.250 --> 03:44:29.870]  like two turns ago.
[03:44:31.570 --> 03:44:32.530]  That vault.
[03:44:33.370 --> 03:44:34.050]  Six star vault.
[03:44:34.850 --> 03:44:38.410]  Well, there's still ten coins in it, so...
[03:44:38.410 --> 03:44:39.810]  Hey, Jay, the joke's on you.
[03:44:50.490 --> 03:44:51.670]  Oh, you didn't go to the shop?
[03:44:52.590 --> 03:44:53.070]  No.
[03:44:54.390 --> 03:44:55.170]  He wanted the mushroom.
[03:44:56.870 --> 03:44:57.590]  There you go.
[03:44:57.830 --> 03:44:58.990]  Double dice? Nice.
[03:45:00.070 --> 03:45:01.030]  Alright, I'm on my way.
[03:45:01.990 --> 03:45:02.670]  I have a plan.
[03:45:04.050 --> 03:45:05.110]  What's your plan, Gavin?
[03:45:06.550 --> 03:45:07.690]  Let's roll dice.
[03:45:08.250 --> 03:45:10.210]  Is that your star steal?
[03:45:11.310 --> 03:45:12.050]  The what?
[03:45:12.050 --> 03:45:13.630]  Your other star steal?
[03:45:15.850 --> 03:45:17.210]  I think you're locked in now.
[03:45:17.710 --> 03:45:20.090]  Oh, that worked out, though.
[03:45:21.950 --> 03:45:22.910]  No one's down there.
[03:45:23.190 --> 03:45:24.430]  Geoff's right behind you!
[03:45:24.570 --> 03:45:26.270]  I'll put it down next turn, then.
[03:45:27.670 --> 03:45:28.110]  More coins?
[03:45:29.530 --> 03:45:30.210]  Rich get richer.
[03:45:32.210 --> 03:45:32.610]  Gavin!
[03:45:33.350 --> 03:45:34.850]  You should go to the right, go to the vault.
[03:45:34.950 --> 03:45:35.530]  Go to the vault.
[03:45:38.550 --> 03:45:39.830]  What's the thing up here?
[03:45:39.830 --> 03:45:40.650]  Go to the vault.
[03:45:41.330 --> 03:45:42.250]  No, there's Boo up there.
[03:45:42.970 --> 03:45:43.410]  No.
[03:45:44.930 --> 03:45:46.990]  The vault's got 10 coins in it.
[03:45:47.310 --> 03:45:48.490]  Wait, wait, wait.
[03:45:49.610 --> 03:45:51.830]  Is the gate open still, or did it relock?
[03:45:52.070 --> 03:45:52.830]  It relocked.
[03:45:54.730 --> 03:45:55.830]  Andrew said it relocked.
[03:45:56.490 --> 03:45:57.170]  Sounds like a lie.
[03:45:57.350 --> 03:45:58.130]  Go right.
[03:45:58.970 --> 03:46:00.730]  I don't think that gate up top was ever open.
[03:46:00.990 --> 03:46:01.450]  It wasn't.
[03:46:05.040 --> 03:46:06.260]  Listen, I know what we can do.
[03:46:07.460 --> 03:46:09.320]  We can go steal Andrew's stars.
[03:46:09.320 --> 03:46:12.840]  I have to love the sound of that.
[03:46:16.880 --> 03:46:22.560]  Oh, shit!
[03:46:23.160 --> 03:46:24.240]  This might work out for Nick.
[03:46:30.060 --> 03:46:31.640]  Every trap you put down
[03:46:31.640 --> 03:46:32.480]  gets you a star!
[03:46:32.680 --> 03:46:33.060]  Yes!
[03:46:33.060 --> 03:46:33.080]  Yes!
[03:46:37.960 --> 03:46:38.360]  Jesus!
[03:46:39.280 --> 03:46:40.500]  I'm in first place again.
[03:46:41.560 --> 03:46:42.840]  I really should have put that trap down.
[03:46:42.880 --> 03:46:43.240]  Yeah!
[03:46:45.160 --> 03:46:47.100]  Andrew never needs to worry about money again
[03:46:47.100 --> 03:46:47.900]  as long as he lives.
[03:46:49.360 --> 03:46:51.320]  I'm going to need that to give you all stars.
[03:46:52.940 --> 03:46:54.900]  I guess you truly are a dillionaire.
[03:46:56.620 --> 03:46:57.060]  Oh, yay.
[03:46:57.160 --> 03:46:57.620]  12 more.
[03:47:00.440 --> 03:47:01.540]  We equal 410.
[03:47:02.160 --> 03:47:03.360]  Andrew's just living off interest.
[03:47:03.920 --> 03:47:07.060]  Oh, another double the coins?
[03:47:09.020 --> 03:47:09.260]  Oh!
[03:47:10.000 --> 03:47:11.020]  Hey, just let me win.
[03:47:13.060 --> 03:47:14.440]  We can't let him get any more money.
[03:47:15.500 --> 03:47:16.360]  I don't think it matters.
[03:47:16.520 --> 03:47:17.140]  It doesn't matter.
[03:47:17.840 --> 03:47:19.660]  It does if he gets a star for it in the end.
[03:47:19.960 --> 03:47:21.300]  What do you mean? I have 410.
[03:47:22.500 --> 03:47:24.240]  You're going to really stop me from getting it.
[03:47:24.240 --> 03:47:24.860]  Yeah, why not?
[03:47:31.480 --> 03:47:35.080]  Easy, baby.
[03:47:35.280 --> 03:47:35.820]  Walk in.
[03:47:37.900 --> 03:47:38.880]  Let's just not get hit.
[03:47:41.240 --> 03:47:42.460]  Let's just not get hit.
[03:47:45.920 --> 03:47:47.500]  He's just doing circles in the middle.
[03:47:47.700 --> 03:47:48.320]  Let's just not get hit.
[03:47:52.620 --> 03:47:53.060]  Nice.
[03:47:58.440 --> 03:47:59.460]  Nick's having fun.
[03:47:59.540 --> 03:48:00.360]  Yeah, I'm having a great time.
[03:48:00.520 --> 03:48:03.500]  Nick's just having fun with his friends.
[03:48:04.000 --> 03:48:04.560]  Nick, stop.
[03:48:04.840 --> 03:48:05.400]  Nick, you can get me.
[03:48:06.620 --> 03:48:07.360]  Nick, stop.
[03:48:08.860 --> 03:48:09.740]  I quit.
[03:48:10.940 --> 03:48:12.600]  Like Nintendo analyzing that game.
[03:48:12.740 --> 03:48:15.100]  I want to stop moving three seconds before the end.
[03:48:16.700 --> 03:48:17.860]  I wasn't going to catch you.
[03:48:19.920 --> 03:48:21.180]  You don't want to waste the energy.
[03:48:21.300 --> 03:48:22.280]  Yeah, I hear that.
[03:48:22.280 --> 03:48:23.360]  I got a lot of schemes.
[03:48:25.000 --> 03:48:26.780]  Sometimes Nick has four stars.
[03:48:27.100 --> 03:48:27.560]  Crazy.
[03:48:28.200 --> 03:48:30.060]  They're all star steal spaces too.
[03:48:31.520 --> 03:48:32.000]  Oops.
[03:48:41.130 --> 03:48:42.270]  Nick's doing some maps.
[03:48:42.470 --> 03:48:42.670]  Yeah, I'm thinking.
[03:48:42.970 --> 03:48:44.290]  Alright, we're on 28 of 30.
[03:48:45.190 --> 03:48:47.410]  Guys, you got to lock in who's winning this thing.
[03:48:47.910 --> 03:48:49.050]  Know it in your hearts.
[03:48:49.650 --> 03:48:51.150]  There's like ten traps on the board.
[03:48:51.170 --> 03:48:52.330]  Yeah, it's real bad.
[03:48:52.870 --> 03:48:53.750]  Hell yeah.
[03:48:54.630 --> 03:48:55.570]  Let's see what happens.
[03:48:55.870 --> 03:48:57.290]  Sure, who cares.
[03:48:58.970 --> 03:48:59.850]  Wow, he looks really funny.
[03:49:00.010 --> 03:49:00.710]  He does look funny.
[03:49:02.990 --> 03:49:03.430]  Headbutt.
[03:49:04.950 --> 03:49:05.190]  Oh!
[03:49:06.230 --> 03:49:06.950]  Wow, okay.
[03:49:08.110 --> 03:49:08.550]  Interesting.
[03:49:09.590 --> 03:49:10.210]  That was good for you.
[03:49:11.650 --> 03:49:12.610]  Just roll big.
[03:49:12.690 --> 03:49:13.450]  Is that right behind me?
[03:49:14.390 --> 03:49:14.830]  Damn.
[03:49:17.130 --> 03:49:18.610]  Yeah, I think it is right behind you.
[03:49:19.430 --> 03:49:20.490]  Son of a bitch.
[03:49:24.090 --> 03:49:26.870]  Oh, it's Mario time?
[03:49:27.010 --> 03:49:28.550]  What if we make a gentleman's agreement?
[03:49:28.730 --> 03:49:30.030]  If I one-shot the vault,
[03:49:30.290 --> 03:49:32.130]  guess it first try, I win?
[03:49:32.310 --> 03:49:33.770]  No, I don't think you're going to make it.
[03:49:33.770 --> 03:49:35.430]  Okay, if you get it first try, I'll think about it.
[03:49:35.990 --> 03:49:37.570]  I'll think about it.
[03:49:41.030 --> 03:49:41.830]  That worked.
[03:49:43.190 --> 03:49:43.710]  Yeah, great.
[03:49:45.010 --> 03:49:51.850]  Oh, boy.
[03:49:52.330 --> 03:49:52.610]  Random.
[03:49:53.510 --> 03:49:53.850]  Random.
[03:49:56.050 --> 03:49:58.470]  You hit random, you might take mine.
[03:49:58.790 --> 03:49:59.990]  Yeah, I thought I was thinking about that.
[03:49:59.990 --> 03:50:02.150]  Which is very funny.
[03:50:02.570 --> 03:50:03.450]  And then I would say,
[03:50:04.130 --> 03:50:05.090]  It's the funniest move.
[03:50:05.090 --> 03:50:07.930]  It's the funniest move for a comedy podcast.
[03:50:07.930 --> 03:50:08.790]  It's so funny.
[03:50:08.830 --> 03:50:09.890]  There's nothing funny in that!
[03:50:12.770 --> 03:50:14.250]  I felt pretty funny.
[03:50:15.310 --> 03:50:16.490]  Geoff made it pretty funny.
[03:50:18.210 --> 03:50:19.810]  Thank you for proving my point, Geoff.
[03:50:20.370 --> 03:50:21.830]  You guys don't understand comedy!
[03:50:22.430 --> 03:50:24.270]  I like the start of the demo, it's just going,
[03:50:24.430 --> 03:50:25.390]  Content, it's content.
[03:50:27.530 --> 03:50:28.330]  Content company.
[03:50:28.510 --> 03:50:29.430]  That's fucking great.
[03:50:30.850 --> 03:50:32.350]  Screaming, there's nothing funny in that.
[03:50:32.350 --> 03:50:33.890]  That was wild, I absolutely would have been
[03:50:33.890 --> 03:50:35.270]  peer pressured into doing random there.
[03:50:35.410 --> 03:50:36.870]  Oh, I thought about it, but I didn't.
[03:50:40.960 --> 03:50:41.760]  Fucking prick.
[03:50:44.000 --> 03:50:45.440]  I needed to buy some.
[03:50:46.700 --> 03:50:47.620]  Oh shit, Ray?
[03:50:51.240 --> 03:50:51.440]  Now,
[03:50:52.180 --> 03:50:53.740]  These have really been working for me.
[03:50:54.000 --> 03:50:55.160]  Yeah, sounds good.
[03:50:55.260 --> 03:50:56.380]  You've got two whole turns left.
[03:50:56.460 --> 03:50:58.760]  I was going to say, I don't get why you would buy them now,
[03:50:58.860 --> 03:50:59.580]  but yeah, absolutely.
[03:50:59.920 --> 03:51:00.660]  100% dude.
[03:51:00.940 --> 03:51:03.300]  Because Dilkong's right behind you.
[03:51:03.540 --> 03:51:04.800]  Yeah for Dilkong!
[03:51:12.380 --> 03:51:13.980]  Oh, that was close.
[03:51:14.720 --> 03:51:15.400]  Mother...
[03:51:15.400 --> 03:51:16.280]  Piss!
[03:51:17.000 --> 03:51:17.780]  Oh, Mother Piss.
[03:51:19.240 --> 03:51:20.660]  My favorite famous Broadway play.
[03:51:22.580 --> 03:51:22.940]  Ooh!
[03:51:24.480 --> 03:51:25.160]  Cool.
[03:51:25.320 --> 03:51:25.880]  More dice!
[03:51:27.880 --> 03:51:29.360]  If you could roll low,
[03:51:29.460 --> 03:51:30.280]  that would be fantastic.
[03:51:31.400 --> 03:51:33.300]  We're not speaking to each other right now.
[03:51:33.300 --> 03:51:35.480]  I made the content move!
[03:51:36.460 --> 03:51:37.660]  It was funny!
[03:51:38.220 --> 03:51:39.560]  I saved it!
[03:51:40.020 --> 03:51:41.080]  Steal the thing from Geoff.
[03:51:41.560 --> 03:51:42.180]  Hold on.
[03:51:42.580 --> 03:51:43.560]  Hold on.
[03:51:44.960 --> 03:51:45.400]  Okay.
[03:51:49.880 --> 03:51:50.980]  You put down the star steal.
[03:51:52.080 --> 03:51:53.700]  I could take your double dice and just...
[03:51:53.700 --> 03:51:54.600]  There you go!
[03:51:55.420 --> 03:51:56.960]  That you can't use at this turn.
[03:51:58.760 --> 03:51:59.820]  Yeah, good point.
[03:52:00.360 --> 03:52:00.820]  Is that true?
[03:52:01.480 --> 03:52:03.020]  You shouldn't have said anything.
[03:52:03.160 --> 03:52:03.880]  It would have fucked him.
[03:52:04.880 --> 03:52:06.600]  No, because he's still using the next turn.
[03:52:08.000 --> 03:52:08.920]  Go, go, go!
[03:52:08.920 --> 03:52:10.100]  But it did that!
[03:52:12.660 --> 03:52:13.740]  Oh, you got me!
[03:52:15.020 --> 03:52:15.380]  Incredible.
[03:52:16.960 --> 03:52:18.820]  Yeah, I could have just used the dice block I took, right?
[03:52:18.980 --> 03:52:19.180]  Yeah.
[03:52:19.760 --> 03:52:20.660]  I don't think so.
[03:52:22.420 --> 03:52:23.560]  But now we'll never know.
[03:52:24.000 --> 03:52:24.680]  Until the next turn.
[03:52:25.260 --> 03:52:26.200]  When I've used it.
[03:52:29.280 --> 03:52:30.280]  What's at the end of these?
[03:52:32.140 --> 03:52:32.940]  Don't go that way.
[03:52:33.100 --> 03:52:34.040]  If you want boo, go up.
[03:52:35.540 --> 03:52:36.320]  Yeah, I want boo.
[03:52:36.320 --> 03:52:37.620]  I'm not fucking you over, I'm helping you.
[03:52:37.680 --> 03:52:38.080]  Yeah, thanks.
[03:52:41.800 --> 03:52:42.700]  Give me the key.
[03:52:49.790 --> 03:52:51.590]  Five, five, five, one.
[03:52:54.530 --> 03:52:54.930]  Incredible.
[03:52:57.070 --> 03:52:58.730]  This is the door code to get out of the way.
[03:52:58.730 --> 03:53:02.130]  Yeah, when I guessed half the door code is when it went wrong.
[03:53:05.490 --> 03:53:06.350]  Star steal trap.
[03:53:06.350 --> 03:53:06.390]  Star steal trap.
[03:53:10.710 --> 03:53:11.590]  What do you do?
[03:53:14.900 --> 03:53:15.760]  Star steal trap.
[03:53:16.120 --> 03:53:16.520]  Star steal.
[03:53:22.320 --> 03:53:24.820]  But they might have to be returned if he gets a payoff.
[03:53:25.080 --> 03:53:25.100]  Yeah.
[03:53:27.500 --> 03:53:27.960]  Fuck.
[03:53:29.440 --> 03:53:30.060]  What short?
[03:53:30.840 --> 03:53:31.760]  And he leaves.
[03:53:32.420 --> 03:53:34.180]  He's gonna leave in front of my face.
[03:53:35.240 --> 03:53:37.460]  When has he ever paid off for you, though?
[03:53:38.060 --> 03:53:39.560]  This is a star.
[03:53:39.580 --> 03:53:40.260]  You don't need this.
[03:53:40.800 --> 03:53:41.960]  I bet there's a star in there.
[03:53:43.440 --> 03:53:44.480]  He doesn't need that.
[03:53:44.480 --> 03:53:46.720]  I just really wanted to play the minigame with all the doors.
[03:53:48.500 --> 03:53:50.300]  I actually wanted to do that, too.
[03:53:54.560 --> 03:53:55.300]  You peeing?
[03:53:55.640 --> 03:53:55.980]  Oh, yeah.
[03:53:56.640 --> 03:53:57.540]  Pickaxe dash.
[03:54:00.900 --> 03:54:01.660]  Okay, bye.
[03:54:02.880 --> 03:54:03.880]  Happy anniversary.
[03:54:04.380 --> 03:54:05.160]  I'm not leaving!
[03:54:06.460 --> 03:54:07.660]  Happy birthday, bud.
[03:54:09.380 --> 03:54:10.040]  Oh.
[03:54:11.440 --> 03:54:13.480]  Alright, we're jacking it.
[03:54:16.960 --> 03:54:17.960]  I can jack this.
[03:54:19.740 --> 03:54:21.000]  Unravel your wanking arm.
[03:54:26.110 --> 03:54:27.090]  Geoff, you gotta go!
[03:54:28.050 --> 03:54:29.490]  Geoff, please.
[03:54:30.070 --> 03:54:30.590]  Geoff, please.
[03:54:31.450 --> 03:54:32.150]  I hit back.
[03:54:35.400 --> 03:54:36.360]  It's all turnt.
[03:54:36.360 --> 03:54:38.540]  I hit the button and it said it was fine.
[03:54:39.100 --> 03:54:39.880]  What happened?
[03:54:42.460 --> 03:54:44.820]  Why do we give you the one that controls the screen?
[03:54:44.820 --> 03:54:45.740]  I don't know!
[03:54:45.900 --> 03:54:48.900]  Geoff has been disconnected because the host has left.
[03:54:49.000 --> 03:54:50.060]  You have been made host.
[03:54:55.420 --> 03:54:56.940]  Is that whole turn gone?
[03:54:59.540 --> 03:55:00.020]  Geoff.
[03:55:00.080 --> 03:55:00.780]  How do we get it back?
[03:55:01.680 --> 03:55:02.340]  Fix it!
[03:55:02.340 --> 03:55:05.320]  Andrew, he got the sleep menu
[03:55:05.320 --> 03:55:06.840]  and then very slowly
[03:55:06.840 --> 03:55:08.780]  looked at the controller and pressed sleep.
[03:55:08.940 --> 03:55:09.920]  But it said horizontal
[03:55:09.920 --> 03:55:11.360]  and so I hit what it said.
[03:55:11.580 --> 03:55:13.460]  I got it off for one minute!
[03:55:13.900 --> 03:55:14.840]  He turned it off.
[03:55:16.500 --> 03:55:18.140]  He's Troy from fucking
[03:55:18.140 --> 03:55:18.920]  community.
[03:55:19.560 --> 03:55:22.740]  With the fucking pizzas.
[03:55:23.560 --> 03:55:24.440]  I'm going home.
[03:55:25.480 --> 03:55:26.340]  I'm leaving.
[03:55:27.240 --> 03:55:28.100]  I'm leaving.
[03:55:29.280 --> 03:55:29.840]  I'm leaving.
[03:55:35.700 --> 03:55:36.940]  Everyone hit the button.
[03:55:38.300 --> 03:55:39.060]  Alright, we're in.
[03:55:39.260 --> 03:55:40.280]  You go next.
[03:55:40.700 --> 03:55:43.060]  I don't know if we have a save point
[03:55:43.060 --> 03:55:44.720]  because of how he exited it.
[03:55:46.380 --> 03:55:47.460]  Hold on, wait.
[03:55:47.560 --> 03:55:48.820]  Did we just replace each other's things?
[03:55:49.260 --> 03:55:50.520]  Okay, I'm Mario now. That's fine.
[03:55:51.000 --> 03:55:52.660]  No, no, no.
[03:55:52.660 --> 03:55:54.100]  You gotta stick with your own joycon.
[03:55:55.400 --> 03:55:55.760]  What?
[03:55:56.660 --> 03:55:57.860]  Whatever you end up with,
[03:55:57.960 --> 03:55:58.920]  you gotta keep your joycon.
[03:56:00.380 --> 03:56:01.220]  Let's see what happens.
[03:56:02.620 --> 03:56:03.260]  Alright, Geoff, you can
[03:56:03.720 --> 03:56:04.140]  advance.
[03:56:05.660 --> 03:56:06.080]  Rejoin.
[03:56:08.180 --> 03:56:09.060]  Seems right, yep.
[03:56:09.540 --> 03:56:09.740]  No.
[03:56:14.870 --> 03:56:15.710]  I have
[03:56:16.150 --> 03:56:17.510]  my laptop closed.
[03:56:18.690 --> 03:56:19.770]  I don't want to open it.
[03:56:20.270 --> 03:56:20.970]  You gotta open it.
[03:56:21.070 --> 03:56:22.490]  There's a lot of idiot flags on it.
[03:56:23.510 --> 03:56:25.830]  Geoff, what the fuck?
[03:56:25.830 --> 03:56:27.110]  It said my thing was sideways
[03:56:27.110 --> 03:56:28.870]  and it said hit this button to go back
[03:56:28.870 --> 03:56:32.130]  and so I did, and it turned off. Nick is there, he saw me do it.
[03:56:32.270 --> 03:56:33.290]  I did see it.
[03:56:33.690 --> 03:56:34.890]  But I put my hand on my head.
[03:56:35.170 --> 03:56:36.910]  I watched it, I held it out, and I went
[03:56:36.910 --> 03:56:38.310]  and I hit it.
[03:56:38.470 --> 03:56:39.830]  But in the menu, it's this way.
[03:56:40.170 --> 03:56:41.910]  But on the thing, it said it was sideways.
[03:56:42.730 --> 03:56:44.610]  In front of us, it said it was sideways.
[03:56:46.490 --> 03:56:47.070]  Nick knows?
[03:56:49.230 --> 03:56:51.690]  Why do they do that? Why do they change the buttons?
[03:56:52.630 --> 03:56:53.350]  Nintendo sucks.
[03:56:54.010 --> 03:56:55.310]  Why is this taking so long?
[03:56:56.410 --> 03:56:57.390]  Andrew, what's it look like for you?
[03:56:57.970 --> 03:56:59.330]  I'm just sitting in the lobby
[03:56:59.330 --> 03:57:00.530]  in the party plaza.
[03:57:02.150 --> 03:57:03.350]  Wait, so you left the game?
[03:57:05.030 --> 03:57:05.550]  I think
[03:57:05.550 --> 03:57:06.650]  he was kicked from the game.
[03:57:06.750 --> 03:57:07.910]  I thought he became host of the game.
[03:57:08.170 --> 03:57:09.590]  No, I'm waiting to join.
[03:57:11.070 --> 03:57:11.710]  Yeah, so are we.
[03:57:12.210 --> 03:57:13.910]  But there's nothing to join if Andrew left.
[03:57:15.770 --> 03:57:17.310]  So are we just stuck
[03:57:17.310 --> 03:57:18.370]  in a loop of re-entering?
[03:57:20.510 --> 03:57:21.370]  It says I'm
[03:57:21.370 --> 03:57:23.190]  waiting for players, and I'm in the party plaza.
[03:57:24.770 --> 03:57:25.650]  Well, we did, Gavin.
[03:57:27.710 --> 03:57:28.750]  We launched the game?
[03:57:29.270 --> 03:57:31.250]  You might have to go back to the balloon,
[03:57:32.010 --> 03:57:32.970]  set up a new lobby,
[03:57:35.190 --> 03:57:36.390]  or play Mario Kart.
[03:57:36.910 --> 03:57:38.430]  Oh, shit.
[03:57:38.870 --> 03:57:39.490]  Here, you do it.
[03:57:40.570 --> 03:57:42.490]  I mean, I might touch the controller. It's wrong.
[03:57:42.710 --> 03:57:43.270]  Can I be Mole?
[03:57:44.170 --> 03:57:46.750]  No, just get the game back, dumbass.
[03:57:46.750 --> 03:57:47.130]  Okay.
[03:57:49.030 --> 03:57:50.050]  Oh, my God.
[03:57:50.250 --> 03:57:51.550]  Do I have to full-blown
[03:57:52.530 --> 03:57:53.530]  quit the game, do you think?
[03:57:55.170 --> 03:57:56.210]  Don't ask me.
[03:57:56.470 --> 03:57:57.910]  I don't want the responsibility.
[03:57:57.910 --> 03:57:58.710]  Yes, quit the game.
[03:58:00.190 --> 03:58:02.130]  The responsibility, get real.
[03:58:03.450 --> 03:58:04.130]  Hey, you left.
[03:58:04.630 --> 03:58:05.350]  I don't know, man.
[03:58:06.850 --> 03:58:08.690]  Every time something's gone wrong, you've been out of the room.
[03:58:09.830 --> 03:58:10.870]  Yeah, what does that
[03:58:10.870 --> 03:58:12.510]  say about me
[03:58:12.510 --> 03:58:14.690]  and you fucking morons?
[03:58:14.690 --> 03:58:16.730]  This is 100%
[03:58:16.730 --> 03:58:17.470]  on Nintendo.
[03:58:17.810 --> 03:58:19.270]  That is for you.
[03:58:19.830 --> 03:58:21.310]  He's absolutely right.
[03:58:21.630 --> 03:58:22.990]  You keep pressing this.
[03:58:23.470 --> 03:58:26.550]  This is insane.
[03:58:27.250 --> 03:58:28.330]  I agree.
[03:58:28.550 --> 03:58:30.690]  I'm really disappointed in Nintendo right now.
[03:58:30.690 --> 03:58:31.450]  Yeah, I'm really upset.
[03:58:31.770 --> 03:58:32.810]  Nick and I are upset.
[03:58:36.570 --> 03:58:37.930]  Okay, so...
[03:58:39.570 --> 03:58:40.110]  Who...
[03:58:41.650 --> 03:58:42.190]  Well...
[03:58:42.190 --> 03:58:42.910]  So...
[03:58:42.910 --> 03:58:44.210]  Player two was Gavin.
[03:58:45.270 --> 03:58:47.050]  We're just going to trade controllers then.
[03:58:47.670 --> 03:58:49.230]  I don't think we're allowed to do that.
[03:58:49.410 --> 03:58:51.950]  I think Mario will be Gavin.
[03:58:52.270 --> 03:58:54.110]  No, you're a Wario guy.
[03:58:54.490 --> 03:58:55.310]  I'm not.
[03:58:55.450 --> 03:58:56.130]  We don't get along.
[03:59:00.210 --> 03:59:01.870]  I don't like upside-down M's.
[03:59:05.150 --> 03:59:05.630]  Also known
[03:59:05.630 --> 03:59:06.070]  as a W.
[03:59:08.990 --> 03:59:09.530]  Really,
[03:59:09.530 --> 03:59:11.170]  really disappointed in Nintendo.
[03:59:15.730 --> 03:59:17.090]  Never happens on an Xbox.
[03:59:17.450 --> 03:59:19.550]  Or a Playstation.
[03:59:19.570 --> 03:59:20.970]  The buttons are the buttons.
[03:59:21.190 --> 03:59:23.910]  Doesn't matter how you hold in your controller.
[03:59:24.950 --> 03:59:26.010]  Do you put it in
[03:59:26.010 --> 03:59:27.150]  sleep mode?
[03:59:29.110 --> 03:59:29.410]  Yeah.
[03:59:35.900 --> 03:59:37.340]  Wait, what's going on?
[03:59:38.180 --> 03:59:39.480]  The purple one, me.
[03:59:40.680 --> 03:59:42.000]  Because I was third, right?
[03:59:42.000 --> 03:59:42.480]  Yes.
[03:59:42.580 --> 03:59:44.440]  So you're Gash?
[03:59:45.680 --> 03:59:46.200]  No.
[03:59:48.180 --> 03:59:48.720]  I'm Gash.
[03:59:51.380 --> 03:59:53.500]  Just pick the fucking monsters.
[03:59:54.580 --> 03:59:55.460]  Hey Andrew, how you doing?
[03:59:55.960 --> 03:59:56.880]  Now what?
[03:59:58.980 --> 03:59:59.840]  Okay, join.
[04:00:02.260 --> 04:00:04.400]  Do I need to change the screen real fast?
[04:00:04.880 --> 04:00:05.400]  Probably.
[04:00:05.580 --> 04:00:06.220]  Okay, hold on.
[04:00:06.980 --> 04:00:08.200]  Hey dickheads, don't join us.
[04:00:08.200 --> 04:00:10.040]  No room to be found.
[04:00:10.400 --> 04:00:10.980]  I need an ID.
[04:00:11.760 --> 04:00:12.720]  Yeah, hang on.
[04:00:14.380 --> 04:00:16.320]  I think if someone in chat makes it in,
[04:00:16.380 --> 04:00:17.120]  they get to play.
[04:00:18.740 --> 04:00:19.980]  Everything you've said
[04:00:19.980 --> 04:00:22.180]  for the last ten minutes has made me so
[04:00:22.180 --> 04:00:24.180]  mad, I don't know what to do.
[04:00:26.760 --> 04:00:27.380]  Are we off?
[04:00:28.140 --> 04:00:29.620]  Happy one year anniversary.
[04:00:32.060 --> 04:00:33.700]  The final day of the company.
[04:00:34.800 --> 04:00:35.960]  Andrew, I'm going to get a Discord
[04:00:35.960 --> 04:00:37.040]  and tell you to leave.
[04:00:38.320 --> 04:00:39.940]  You guys are ridiculous.
[04:00:40.240 --> 04:00:40.640]  Hit send.
[04:00:41.680 --> 04:00:42.700]  Alright, send info.
[04:00:42.980 --> 04:00:44.680]  No, hit the button for room info.
[04:00:48.940 --> 04:00:50.320]  Okay, I just put it in Slack.
[04:00:50.400 --> 04:00:50.520]  Thank you.
[04:00:50.920 --> 04:00:52.340]  I'm sorry, Discord.
[04:00:53.660 --> 04:00:55.160]  Oh god, my knees.
[04:00:55.820 --> 04:00:56.440]  It's tea?
[04:01:08.640 --> 04:01:09.540]  Same passcode
[04:01:09.540 --> 04:01:10.400]  that we had before too.
[04:01:10.900 --> 04:01:11.500]  He's back.
[04:01:12.720 --> 04:01:14.180]  To the balloon.
[04:01:15.560 --> 04:01:16.980]  Alright, what state is this game in?
[04:01:18.660 --> 04:01:19.820]  I'm so worried.
[04:01:25.140 --> 04:01:26.420]  Okay, okay.
[04:01:27.420 --> 04:01:29.320]  Real early sigh of relief,
[04:01:29.460 --> 04:01:30.140]  but okay, let's see.
[04:01:32.340 --> 04:01:33.600]  That's four ready people.
[04:01:35.200 --> 04:01:36.260]  Turn 28.
[04:01:36.260 --> 04:01:36.700]  Okay.
[04:01:39.980 --> 04:01:41.420]  Geoff lost his stuff.
[04:01:46.560 --> 04:01:48.200]  I'm going to be Dilcom.
[04:01:52.300 --> 04:01:55.940]  What, we could have swapped back?
