[00:00.000 --> 00:00.800]  Dog's not too late.
[40:47.250 --> 40:47.610]  No.
[40:47.930 --> 40:48.270]  Mm-hmm.
[40:48.790 --> 40:49.670]  Why are you so against capes?
[40:49.670 --> 40:51.810]  He doesn't want us to have the cake.
[40:52.130 --> 40:52.570]  Why not?
[40:52.690 --> 40:53.750]  He's keeping it for him.
[40:53.870 --> 40:54.390]  Eat the cake myself.
[40:54.610 --> 40:55.810]  He's not gonna do it anyway.
[40:55.930 --> 40:56.710]  He just doesn't share.
[40:57.510 --> 40:58.770]  I just love eating my own cake.
[40:58.930 --> 41:00.470]  I love having my cake and eating it too.
[41:00.650 --> 41:01.670]  Is that Kesha?
[41:05.610 --> 41:09.270]  I don't think so.
[41:09.410 --> 41:10.350]  Oh, open shirt.
[41:10.630 --> 41:11.170]  We should do that.
[41:11.170 --> 41:11.890]  Whoa, that guy's awesome.
[41:11.890 --> 41:12.670]  Sunglasses at night.
[41:12.830 --> 41:13.510]  Sunglasses at night.
[41:13.670 --> 41:14.130]  There we go.
[41:15.050 --> 41:16.430]  Nighttime shades, all right.
[41:16.690 --> 41:17.670]  Almost get back our high five.
[41:17.750 --> 41:18.310]  Give me a high five.
[41:18.810 --> 41:19.710]  You guys high five.
[41:20.010 --> 41:21.130]  Double fisting right there.
[41:21.250 --> 41:22.610]  Some fist bump, let's have some in.
[41:23.130 --> 41:23.590]  Fist bump.
[41:23.990 --> 41:24.990]  Shake hands, hug.
[41:25.210 --> 41:26.030]  Almost a fist bump.
[41:33.320 --> 41:34.320]  Something's gonna happen here.
[41:34.520 --> 41:35.220]  Do something.
[41:35.540 --> 41:37.960]  Somebody shake a hand.
[41:38.020 --> 41:38.480]  High five.
[41:39.400 --> 41:40.080]  Give me a high five.
[41:40.200 --> 41:41.000]  Fist a bump.
[41:42.340 --> 41:43.640]  Oh, I can see that guy's FaceTime screen.
[41:44.060 --> 41:45.060]  Up there, if anybody needs that.
[41:45.100 --> 41:45.380]  Where?
[41:45.980 --> 41:46.440]  Is he Face...
[41:46.440 --> 41:47.460]  Is that FaceTime on your shirt?
[41:47.480 --> 41:48.080]  Is that a FaceTime screen?
[41:48.200 --> 41:48.460]  Dog!
[41:49.000 --> 41:50.300]  I think he's just holding up a camera.
[41:50.300 --> 41:51.520]  Oh, there is a dog.
[41:52.680 --> 41:53.280]  Oh, dog!
[41:53.280 --> 41:53.360]  Oh, dog!
[41:53.820 --> 41:55.020]  Yeah, I think he was just holding up a camera.
[41:55.160 --> 41:56.560]  I thought he was talking to somebody who was doing it.
[41:57.140 --> 41:57.380]  Hey.
[41:57.520 --> 41:57.960]  I guess not.
[41:58.020 --> 41:59.020]  The dog has multiple legs.
[41:59.080 --> 41:59.920]  Can those be paw-paws?
[42:02.640 --> 42:03.360]  Jesus Christ.
[42:03.360 --> 42:03.940]  Dickhead truck.
[42:05.220 --> 42:06.760]  Is anyone camera shy?
[42:07.360 --> 42:07.700]  Whoa!
[42:07.760 --> 42:08.480]  Oh, that'd be nice.
[42:08.600 --> 42:09.800]  Those are some ultimate dickhead trucks.
[42:09.880 --> 42:10.640]  Holy shit.
[42:11.120 --> 42:11.480]  Rims.
[42:11.840 --> 42:12.700]  It's the dickhead brigade.
[42:13.500 --> 42:13.860]  Whoa.
[42:13.860 --> 42:14.200]  Oh.
[42:17.120 --> 42:20.340]  Well, that's a big, beefy dude right there.
[42:22.740 --> 42:23.560]  Holy shit.
[42:23.560 --> 42:24.520]  This looks like it's a pickup.
[42:24.920 --> 42:25.000]  Yeah.
[42:26.340 --> 42:27.220]  Maybe not.
[42:27.460 --> 42:27.820]  Get in.
[42:28.020 --> 42:28.800]  Oh, is this wrong car?
[42:28.900 --> 42:30.000]  This might be wrong car.
[42:30.240 --> 42:30.440]  Oh.
[42:31.060 --> 42:31.480]  Wrong car.
[42:31.600 --> 42:32.300]  Wrong car.
[42:32.740 --> 42:33.560]  Wrong car.
[42:35.720 --> 42:36.360]  Damn it.
[42:40.740 --> 42:41.400]  Lot of good ones.
[42:41.400 --> 42:42.800]  He has an offensive t-shirts?
[42:43.240 --> 42:43.700]  No.
[42:43.700 --> 42:43.820]  Come on.
[42:45.800 --> 42:46.800]  Almost get hit by a car.
[42:47.060 --> 42:47.880]  Almost get hit by a car.
[42:47.960 --> 42:49.100]  A little bit of sheen on that head there.
[42:49.220 --> 42:49.560]  Oh, yeah.
[42:49.700 --> 42:49.860]  Yeah.
[42:50.700 --> 42:51.100]  Give it.
[42:51.200 --> 42:51.860]  I'll give it to you.
[42:52.300 --> 42:54.120]  Didn't we start with some sheen earlier?
[42:54.380 --> 42:54.620]  Almost.
[42:54.940 --> 42:55.360]  Paw-paw.
[42:55.520 --> 42:55.960]  Paw-paw.
[42:56.200 --> 42:56.820]  Paw-paw.
[42:57.160 --> 42:57.700]  Paw-paw.
[42:58.060 --> 42:59.620]  I just need a yawn.
[42:59.700 --> 43:00.300]  Somebody yawn.
[43:02.840 --> 43:03.640]  You, yawn.
[43:05.100 --> 43:06.020]  What does that shirt say?
[43:06.520 --> 43:07.060]  Is that offensive?
[43:07.560 --> 43:08.600]  Something about limes.
[43:09.240 --> 43:10.040]  The disease?
[43:11.280 --> 43:12.660]  I'm offended by limes disease.
[43:13.900 --> 43:14.700]  Limes disease.
[43:15.600 --> 43:16.180]  Oh, hoofing it.
[43:16.680 --> 43:16.980]  Hoofing it.
[43:17.920 --> 43:18.320]  Yawn.
[43:19.920 --> 43:21.000]  Put the limes in the coconut.
[43:21.460 --> 43:22.780]  So, wait, is it not wrong car?
[43:23.220 --> 43:24.180]  I think that's a different car.
[43:24.460 --> 43:24.860]  Is it?
[43:25.780 --> 43:26.960]  I think it just looks like it.
[43:28.600 --> 43:29.960]  I think we had a whole light cycle.
[43:32.040 --> 43:33.060]  Oh, look at them boots.
[43:33.960 --> 43:35.420]  Got cowboy or the, oh no.
[43:35.580 --> 43:36.460]  Combat boots.
[43:36.620 --> 43:37.360]  Combat boots.
[43:37.520 --> 43:38.680]  I need cowboy boots.
[43:39.700 --> 43:40.900]  What, there's that new boot goop?
[43:41.280 --> 43:43.000]  I need somebody to almost get hit by a car.
[43:43.960 --> 43:44.980]  That's what I need.
[43:47.940 --> 43:49.160]  Is that a luxury car?
[43:50.300 --> 43:50.520]  Where?
[43:50.900 --> 43:51.360]  I don't know.
[43:52.100 --> 43:52.840]  The Kia?
[43:53.140 --> 43:56.800]  That car has, if a car drives by multiple times,
[43:56.860 --> 43:58.160]  does that count as a person?
[43:58.320 --> 43:58.920]  I don't think so.
[44:00.320 --> 44:01.660]  I'm going all in on-
[44:01.660 --> 44:02.300]  Sweet stash.
[44:02.680 --> 44:03.820]  Almost get hit by a car.
[44:04.100 --> 44:05.040]  Oh, that's a sweet stash.
[44:05.080 --> 44:05.960]  That's a sweet stash right there.
[44:05.980 --> 44:07.660]  Oh, sweet stash, bro.
[44:07.800 --> 44:08.360]  Great stash.
[44:14.830 --> 44:16.390]  I still need cowboy boots.
[44:16.930 --> 44:17.290]  Yeah.
[44:20.730 --> 44:21.450]  That close.
[44:24.950 --> 44:26.350]  Oh shit, it's 1115.
[44:26.470 --> 44:27.130]  Oh, it's slop o'clock.
[44:27.410 --> 44:28.230]  Oh, it is slop o'clock.
[44:28.850 --> 44:29.170]  When did that happen?
[44:29.170 --> 44:30.950]  Now the games begin, boys.
[44:31.230 --> 44:32.770]  We're in the eye of the storm, it looks like.
[44:33.270 --> 44:34.270]  It's too calm.
[44:40.230 --> 44:41.710]  We're really locked in now, right?
[44:41.750 --> 44:42.310]  Yeah, we are.
[44:44.530 --> 44:45.070]  Double fist.
[44:45.070 --> 44:45.710]  God damn it.
[44:46.810 --> 44:48.650]  Anyone wearing some jeans or flip flops?
[44:48.650 --> 44:49.890]  Somebody lunged out into the street.
[44:50.650 --> 44:53.050]  She has jeans, but I can't tell what her footwear is.
[44:53.270 --> 44:53.410]  Yeah.
[44:53.530 --> 44:54.070]  That's hard to see.
[44:54.950 --> 44:55.830]  Keep an eye on her.
[44:56.250 --> 44:56.990]  Oh, no.
[44:57.130 --> 44:57.370]  No.
[44:57.970 --> 44:59.710]  They're sandals, not flip flops.
[45:00.710 --> 45:01.010]  Damn.
[45:01.350 --> 45:01.810]  Sorry, Gavin.
[45:02.050 --> 45:02.390]  That's good.
[45:03.170 --> 45:04.190]  That's a big old dude there.
[45:05.430 --> 45:07.230]  You guys wouldn't say he looked like Gavin,
[45:07.410 --> 45:08.110]  would you, in a few years?
[45:09.130 --> 45:09.810]  He's swank.
[45:11.470 --> 45:12.910]  Really need to find one of us.
[45:16.540 --> 45:19.280]  There's a bandage, a bandage, it's a boot lady again.
[45:19.520 --> 45:20.520]  Different boot lady, actually.
[45:21.220 --> 45:22.380]  Oh, that guy's saying, uh-uh.
[45:22.500 --> 45:23.360]  Is this bouncer bouncing?
[45:23.660 --> 45:24.620]  That bounce is bouncing.
[45:24.720 --> 45:25.700]  This bouncer's bouncing.
[45:26.180 --> 45:27.260]  He's saying piss off.
[45:28.560 --> 45:28.620]  Wow.
[45:28.660 --> 45:30.220]  That's it, they're bouncing, look.
[45:30.560 --> 45:31.720]  Oh, bouncer's bouncing.
[45:31.940 --> 45:33.000]  I never see that.
[45:33.040 --> 45:33.980]  I got it.
[45:34.080 --> 45:34.200]  Wow.
[45:34.320 --> 45:35.140]  That's awesome.
[45:35.740 --> 45:36.020]  Wow.
[45:36.020 --> 45:36.980]  And don't come back.
[45:37.080 --> 45:37.400]  Yeah.
[45:37.840 --> 45:39.260]  There's, what's...
[45:39.260 --> 45:40.020]  Oh, is that LeBoot?
[45:40.180 --> 45:40.780]  No, it's not good.
[45:41.140 --> 45:41.880]  No, it's close, though.
[45:41.880 --> 45:43.660]  Dude, bouncer bouncing is awesome.
[45:44.160 --> 45:44.260]  Dude.
[45:44.860 --> 45:46.240]  It's like puking in a trash can.
[45:46.360 --> 45:47.600]  When it happens, it's like Christmas.
[45:48.360 --> 45:50.420]  But only in this instance.
[45:51.120 --> 45:52.140]  When we puke, it's terrible.
[45:52.480 --> 45:53.240]  Oh, yeah, obviously.
[45:54.480 --> 45:54.920]  Bachelorette.
[45:55.320 --> 45:55.620]  Oh, bachelorette.
[45:55.900 --> 45:56.280]  Bingo.
[45:57.140 --> 45:57.880]  You serious?
[45:58.520 --> 45:59.380]  All right, you gotta order the cake.
[45:59.380 --> 46:01.500]  Dumb hat, bachelorette party, free space,
[46:01.620 --> 46:02.860]  bouncer bouncing, matching outfits.
[46:03.760 --> 46:03.880]  Ah.
[46:04.700 --> 46:06.120]  Got some rocks, you underage losers.
[46:07.520 --> 46:09.140]  Congratulations to Eric again.
[46:09.160 --> 46:10.740]  That's bullshit, every time.
[46:10.940 --> 46:11.060]  This sucks.
[46:11.740 --> 46:12.600]  Get the cake.
[46:13.100 --> 46:14.160]  Let the audience see a seat.
[46:14.160 --> 46:15.920]  The audience wants to see us next, baby.
[46:19.800 --> 46:21.820]  We're gonna turn part two of this into a mukbang.
[46:22.240 --> 46:23.540]  Do you guys wanna go on the same board
[46:23.540 --> 46:25.060]  and see who can black out or go further?
[46:25.180 --> 46:26.500]  You wanna go on a new board?
[46:26.840 --> 46:27.120]  Yeah.
[46:27.740 --> 46:28.840]  I said two things.
[46:29.100 --> 46:30.620]  I said two fucking things.
[46:30.760 --> 46:31.080]  Just keep going.
[46:31.160 --> 46:31.800]  I said two.
[46:32.240 --> 46:33.100]  Okay, thank you.
[46:33.140 --> 46:34.060]  Thank you, Andrew.
[46:34.280 --> 46:34.820]  Thank you, Andrew.
[46:34.960 --> 46:35.080]  Formal attire.
[46:35.780 --> 46:37.160]  I'm sorry, I'm thinking about cake
[46:37.160 --> 46:39.080]  and how you refused to order it.
[46:39.120 --> 46:40.320]  I'm sitting here quietly.
[46:40.520 --> 46:41.240]  You know what, Andrew?
[46:41.300 --> 46:42.000]  I'll give that.
[46:43.040 --> 46:43.660]  Formal attire?
[46:44.260 --> 46:45.300]  That's formal attire?
[46:45.560 --> 46:47.180]  I think with the shoes and the shirt
[46:47.180 --> 46:50.500]  and the dress and the sparkle, she could be...
[46:50.500 --> 46:50.920]  I disagree.
[46:52.020 --> 46:52.820]  That's wild.
[46:53.000 --> 46:54.120]  I think that she would be,
[46:54.180 --> 46:56.100]  if she was at a gala, that would look appropriate.
[46:56.380 --> 46:56.980]  I don't think so.
[46:57.000 --> 46:57.600]  Have we seen the front?
[46:58.240 --> 46:58.480]  No.
[46:58.840 --> 46:59.320]  Oh, less.
[47:01.580 --> 47:02.220]  Turn around.
[47:04.300 --> 47:06.760]  I feel like it could be worn with a pearl necklace.
[47:07.080 --> 47:07.240]  No.
[47:08.740 --> 47:10.480]  I'm really teasing that turn.
[47:10.700 --> 47:12.360]  Is she wearing an even microphone?
[47:12.600 --> 47:13.200]  I don't even know.
[47:13.200 --> 47:14.160]  Hold on, hold on.
[47:14.180 --> 47:14.540]  There it is.
[47:16.300 --> 47:17.020]  That's not...
[47:17.020 --> 47:18.280]  Nevermind, Emily says not formal.
[47:20.400 --> 47:20.760]  Nevermind.
[47:20.880 --> 47:22.040]  What's Emily's thoughts on cake?
[47:23.120 --> 47:24.840]  Yeah, she said that...
[47:24.840 --> 47:25.340]  What about that?
[47:25.540 --> 47:26.480]  Is that formal?
[47:26.540 --> 47:26.860]  We deserve cake.
[47:27.140 --> 47:27.620]  Which one?
[47:27.660 --> 47:27.920]  No.
[47:27.960 --> 47:28.920]  That wedding dress thing?
[47:29.180 --> 47:29.540]  No.
[47:30.460 --> 47:31.600]  She probably said, she said,
[47:31.740 --> 47:32.720]  add three cakes for everybody.
[47:33.600 --> 47:34.860]  But Eric, he just gets one.
[47:35.880 --> 47:37.080]  I get two, I got two bingos.
[47:37.220 --> 47:37.960]  Eric, order the cake.
[47:38.140 --> 47:39.220]  Yeah, go ahead guys, order the cake.
[47:39.620 --> 47:40.280]  You have the card.
[47:40.560 --> 47:41.480]  Yeah, I mean, you guys won.
[47:41.720 --> 47:42.040]  Go ahead.
[47:42.520 --> 47:43.260]  You won.
[47:43.560 --> 47:44.140]  Oh, that's right.
[47:44.360 --> 47:45.480]  So pick your favorite.
[47:45.480 --> 47:45.960]  Oh, they're hugging.
[47:46.860 --> 47:48.260]  Oh, that's a big hug.
[47:48.980 --> 47:50.880]  That truck is too big.
[47:51.040 --> 47:52.160]  That's crazy.
[47:52.520 --> 47:53.600]  He's back again.
[47:53.720 --> 47:54.440]  He is back again.
[47:59.530 --> 47:59.970]  What?
[48:00.090 --> 48:01.090]  Why do you pull up like that?
[48:01.230 --> 48:01.550]  Oh.
[48:02.610 --> 48:03.890]  Someone getting into that thing?
[48:04.170 --> 48:05.310]  Yeah, somebody is getting into that.
[48:09.830 --> 48:10.850]  Andrew, what do you need?
[48:12.770 --> 48:13.610]  Formal attire.
[48:14.770 --> 48:17.290]  Oh, no wonder you're pushing for it.
[48:18.110 --> 48:18.730]  I still need that.
[48:18.750 --> 48:20.910]  I feel like the wedding dress thing should be formal.
[48:21.410 --> 48:23.130]  I definitely not.
[48:23.330 --> 48:24.730]  It's probably the closest we've been.
[48:24.810 --> 48:28.530]  Isn't a formal attire like an outfit for a fancy event?
[48:28.730 --> 48:29.770]  What's more fancy than a wedding?
[48:31.450 --> 48:33.410]  I just don't think the wedding dress itself,
[48:33.750 --> 48:35.170]  outside of the wedding, is formal.
[48:35.650 --> 48:36.530]  There's that jersey.
[48:36.810 --> 48:38.790]  Is black tie formal or is that too far?
[48:39.070 --> 48:39.690]  Black tie is formal.
[48:39.790 --> 48:40.230]  Yeah, that's formal.
[48:42.330 --> 48:43.110]  Somebody yawn.
[48:43.110 --> 48:45.790]  I like Nick's like, is definition of formal, formal?
[48:45.870 --> 48:46.610]  Yeah, no shit.
[48:46.730 --> 48:47.650]  American flag shirt.
[48:48.290 --> 48:49.070]  Yeah, hell yeah.
[48:49.270 --> 48:49.590]  What?
[48:49.790 --> 48:50.430]  Is that a fish?
[48:50.570 --> 48:51.310]  That's a Texas flag.
[48:51.590 --> 48:52.230]  That's the same thing.
[48:52.650 --> 48:53.210]  Does that count?
[48:54.450 --> 48:54.850]  All right.
[48:55.470 --> 48:55.870]  No, it doesn't.
[48:55.870 --> 48:57.090]  It definitely does not count.
[48:57.510 --> 48:58.210]  Sunglasses at night?
[48:58.230 --> 48:58.590]  Let me try that.
[48:58.830 --> 48:59.410]  Another jersey.
[48:59.730 --> 49:01.050]  Oh, that's definitely a jersey, yeah.
[49:02.470 --> 49:03.590]  Ew, I wonder who's...
[49:03.590 --> 49:05.350]  I wonder who that is.
[49:05.690 --> 49:06.790]  American flag shorts!
[49:07.310 --> 49:07.810]  There you go.
[49:08.110 --> 49:08.550]  Did you see that?
[49:08.910 --> 49:10.390]  No, but I'll take your word for it.
[49:10.390 --> 49:11.210]  I'll take your word for it.
[49:11.690 --> 49:12.750]  I think, right?
[49:12.750 --> 49:12.830]  Right?
[49:14.430 --> 49:15.910]  Are we going for blackout?
[49:16.410 --> 49:17.190]  Yeah, yeah, yeah.
[49:17.210 --> 49:17.930]  Just go, yeah.
[49:18.670 --> 49:19.130]  Head sheen.
[49:20.790 --> 49:21.810]  Have we seen camo?
[49:22.590 --> 49:23.670]  No, but I would like to.
[49:23.770 --> 49:24.650]  Is that jeans and shorts?
[49:24.910 --> 49:25.790]  Or jeans and flip flops?
[49:25.990 --> 49:26.170]  No.
[49:26.290 --> 49:27.650]  No, those are like pants.
[49:27.790 --> 49:28.070]  Yeah.
[49:35.780 --> 49:37.020]  What about those?
[49:37.380 --> 49:38.940]  Fuck, those are shorts.
[49:41.160 --> 49:42.360]  Jeans shorts don't count?
[49:43.080 --> 49:43.520]  No.
[49:43.960 --> 49:44.280]  No.
[49:45.440 --> 49:46.760]  There's a spirit to this.
[49:46.920 --> 49:47.300]  Oh, God.
[49:49.080 --> 49:51.140]  I'd argue the spirit is the jean part.
[49:53.220 --> 49:54.240]  Jeans and spirit.
[49:58.330 --> 49:59.270]  Where are you from?
[49:59.330 --> 49:59.710]  I heard.
[49:59.910 --> 50:02.510]  I do feel like jean shorts could be its own category, though,
[50:02.550 --> 50:03.670]  because how often do you see that?
[50:03.930 --> 50:04.950]  Who has a mattress and a pickup?
[50:08.470 --> 50:10.850]  Ooh, we should do one that's moving out in any time.
[50:10.950 --> 50:12.890]  Ah, moving out's a good one, Nick.
[50:13.210 --> 50:14.810]  Salty stick, thank you for the subs.
[50:14.810 --> 50:16.030]  Oh, shit, yeah, thank you.
[50:18.670 --> 50:19.410]  Thank you so much.
[50:19.910 --> 50:20.530]  Thank you.
[50:21.930 --> 50:24.130]  What kind of cake I'm gonna get later?
[50:24.630 --> 50:25.290]  What do you mean, later?
[50:25.410 --> 50:25.750]  What do you mean?
[50:26.410 --> 50:27.670]  Just for myself, I have a cake.
[50:27.790 --> 50:30.470]  Just so you can gloat it over us, and we can eat it, too.
[50:30.790 --> 50:31.930]  If you have a cake later,
[50:31.990 --> 50:33.510]  what you're gonna do is waste half a cake.
[50:33.790 --> 50:34.670]  Yeah, you don't wanna waste a cake.
[50:34.670 --> 50:35.590]  Yeah, you should, yeah, throw it away.
[50:35.590 --> 50:36.210]  In this economy?
[50:36.390 --> 50:37.810]  Just have some of it and throw it away.
[50:38.210 --> 50:38.810]  Oh, they're back.
[50:39.050 --> 50:41.650]  Oh, thumbs up, yeah, we're good, yeah, we're good.
[50:42.050 --> 50:44.210]  Yeah, we're good, okay, yeah, okay.
[50:45.550 --> 50:48.310]  Is this, wait, did they get that cop to help them?
[50:50.890 --> 50:52.270]  Yeah, they had a man on the inside.
[50:53.230 --> 50:53.770]  Fuck it.
[50:54.830 --> 50:56.470]  There's a lot happening all of a sudden.
[50:56.550 --> 50:57.810]  Wasn't that a Denzel Washington movie?
[50:57.850 --> 50:59.030]  There's so many things to try to attract.
[50:59.270 --> 51:00.050]  They got a man on the inside.
[51:00.050 --> 51:00.370]  Samsung!
[51:01.350 --> 51:02.430]  My favorite player.
[51:03.930 --> 51:04.690]  North Face.
[51:07.790 --> 51:09.130]  Somebody, somebody's shoe fell off.
[51:11.310 --> 51:13.990]  Come on, come on, come on, come on.
[51:14.650 --> 51:15.270]  Come on.
[51:15.610 --> 51:16.450]  They getting in a fight?
[51:17.130 --> 51:17.530]  No.
[51:18.910 --> 51:19.230]  Oh.
[51:19.370 --> 51:20.030]  Oh, maybe.
[51:20.050 --> 51:20.830]  It's a little heated.
[51:21.910 --> 51:22.270]  Oh.
[51:22.290 --> 51:22.550]  Maybe.
[51:24.210 --> 51:25.250]  Oh, come on now.
[51:25.430 --> 51:25.810]  Oh.
[51:26.490 --> 51:27.490]  This got interesting.
[51:27.670 --> 51:28.430]  Bitch, okay.
[51:28.930 --> 51:29.330]  They fighting?
[51:30.230 --> 51:30.950]  Or are they just talking?
[51:30.970 --> 51:31.750]  I think it's just...
[51:31.750 --> 51:32.630]  I think they're just talking.
[51:32.930 --> 51:33.390]  I think they're talking.
[51:33.970 --> 51:35.770]  Oh, she's getting in her face, though.
[51:36.790 --> 51:37.710]  They're going the same direction.
[51:38.050 --> 51:38.330]  What?
[51:39.590 --> 51:40.630]  It seems as though...
[51:40.630 --> 51:41.070]  They can't be...
[51:41.070 --> 51:41.550]  I think they're just talking.
[51:41.630 --> 51:42.810]  Nah, they're just chatting.
[51:42.810 --> 51:43.570]  I think they're just talking.
[51:43.570 --> 51:43.810]  I think they're just chatting.
[51:44.130 --> 51:44.230]  Yeah.
[51:45.430 --> 51:47.010]  I think you're nice.
[51:47.450 --> 51:47.810]  Ah.
[51:49.830 --> 51:50.870]  I was with you, Geoff.
[51:53.670 --> 51:54.390]  Camo hat.
[51:55.790 --> 51:56.870]  Yeah, where?
[51:57.110 --> 51:58.110]  The guy who just went in the bar.
[51:59.550 --> 52:00.650]  All right, I'll trust you.
[52:01.550 --> 52:02.490]  I needed it.
[52:02.610 --> 52:02.990]  Thank you.
[52:10.180 --> 52:11.100]  We're locked in.
[52:12.420 --> 52:14.320]  So much was happening and then everyone went away.
[52:14.480 --> 52:14.760]  Yeah.
[52:14.760 --> 52:17.980]  It's the Evan Flo of the sloppy Joe, man.
[52:19.940 --> 52:21.880]  Hey, there's two cops right there.
[52:22.040 --> 52:22.560]  Matching outfits.
[52:22.660 --> 52:23.140]  Matching outfits.
[52:25.140 --> 52:25.720]  Puffin' it.
[52:26.980 --> 52:27.360]  Pizza.
[52:27.860 --> 52:28.680]  Is that a pizza?
[52:29.140 --> 52:29.860]  Yeah, baby.
[52:30.360 --> 52:31.720]  We've seen all the food tonight.
[52:31.960 --> 52:33.360]  We didn't have pizza when we were there, did we?
[52:34.480 --> 52:36.760]  Yeah, we had pizza at that fuckin' restaurant
[52:36.760 --> 52:37.940]  that Bernie Dog found.
[52:38.340 --> 52:40.200]  Remember, that was the night where we pleaded the second
[52:40.200 --> 52:40.540]  for the first time.
[52:40.560 --> 52:43.040]  Yeah, I thought I'd plead the Shrek again.
[52:43.040 --> 52:45.540]  When Bernie fuckin' ran everybody to the White House.
[52:45.560 --> 52:46.660]  Oh my God, it's a dickhead truck rally.
[52:46.900 --> 52:49.360]  Is that a tire in the back?
[52:49.460 --> 52:50.200]  Yeah, it sure is.
[52:50.220 --> 52:52.280]  That might've been our first dickhead truck convoy.
[52:52.400 --> 52:52.700]  Wow.
[52:55.140 --> 52:58.740]  We got a dickhead convoy truckin' through the night.
[52:59.220 --> 53:00.240]  What does that one say?
[53:01.560 --> 53:02.560]  Ah, Steph Curry.
[53:02.880 --> 53:04.380]  These guys get hooked on number 30.
[53:05.680 --> 53:07.220]  Yeah, that's American flag shorts for sure.
[53:11.630 --> 53:13.190]  Two tires in the back.
[53:13.450 --> 53:13.630]  Wow.
[53:13.630 --> 53:14.050]  Three!
[53:14.250 --> 53:15.090]  There's three tires.
[53:15.830 --> 53:16.750]  Ah, ah, ah.
[53:21.090 --> 53:24.010]  Ah, ah, ah.
[53:24.010 --> 53:24.290]  Ah, ah, ah.
[53:24.410 --> 53:25.390]  Ah, ah, ah.
[53:25.710 --> 53:27.230]  Ah, ah, ah.
[53:27.290 --> 53:27.870]  Oh wow.
[53:28.070 --> 53:30.230]  Oh my God, that was crazy.
[53:30.690 --> 53:31.790]  They legit almost got hit.
[53:32.030 --> 53:33.050]  I'll give it to you.
[53:33.270 --> 53:34.030]  I'll take that one.
[53:34.090 --> 53:34.990]  That's a bingo for me,
[53:35.050 --> 53:36.110]  but we're just clearing the board out.
[53:36.210 --> 53:36.410]  Yep.
[53:37.430 --> 53:38.290]  That was crazy.
[53:38.410 --> 53:39.710]  They went down the center.
[53:39.710 --> 53:41.230]  That car was like, fuck you.
[53:41.250 --> 53:41.950]  Yeah, no shit.
[53:41.950 --> 53:43.430]  I mean, I totally get it.
[53:43.490 --> 53:44.190]  Right there with them, yeah.
[53:44.830 --> 53:46.870]  Also, these are like the smallest,
[53:47.130 --> 53:48.710]  these are like small streets.
[53:49.650 --> 53:51.970]  Like when you're there, there's not a lot of streets.
[53:54.830 --> 53:55.990]  Someone be camera shy.
[53:57.010 --> 53:57.710]  Oh, that'd be nice.
[54:02.680 --> 54:04.080]  Candy vape machine.
[54:06.120 --> 54:07.260]  That's matching outfits.
[54:07.560 --> 54:08.340]  Nick's new hit single.
[54:08.520 --> 54:08.940]  That's it.
[54:09.680 --> 54:10.320]  Is that Pol Pol?
[54:10.540 --> 54:12.300]  Nah, but we already got one earlier.
[54:12.520 --> 54:13.180]  He's walking too.
[54:13.220 --> 54:14.360]  He ain't fucking close though.
[54:15.060 --> 54:16.500]  He's the coming one in front of us.
[54:16.660 --> 54:17.220]  Five years.
[54:19.500 --> 54:20.320]  Two years.
[54:20.540 --> 54:21.060]  Yeah, I think two.
[54:21.440 --> 54:22.360]  I think he's almost there, bud.
[54:24.480 --> 54:25.920]  In Florida, maybe, yeah.
[54:27.020 --> 54:27.400]  Spade.
[54:27.720 --> 54:27.880]  Oh!
[54:29.840 --> 54:31.100]  That's a spill drop.
[54:32.560 --> 54:33.380]  Oh, spill.
[54:34.320 --> 54:34.700]  Mm-hmm.
[54:35.100 --> 54:35.980]  That lady's lactating.
[54:36.960 --> 54:37.280]  What?
[54:37.460 --> 54:37.640]  What?
[54:38.080 --> 54:38.340]  Uh-oh.
[54:39.440 --> 54:39.960]  Oh.
[54:40.280 --> 54:40.560]  Damn.
[54:40.920 --> 54:41.380]  No.
[54:42.200 --> 54:43.200]  It's on camera, lady.
[54:43.620 --> 54:45.180]  I don't have that one.
[54:45.940 --> 54:47.120]  Chug, chug, chug.
[54:47.120 --> 54:47.620]  Chug, chug.
[54:47.900 --> 54:48.480]  Chug, chug, chug.
[54:50.680 --> 54:51.040]  Oh!
[54:51.320 --> 54:51.680]  Hey!
[54:51.940 --> 54:52.740]  Oh, no, freeze!
[54:52.780 --> 54:53.480]  Hey, where's the cake?
[54:56.340 --> 54:57.960]  We're gonna pause till Eric orders.
[54:58.140 --> 55:01.000]  Yeah, we'll hold this thing hostage till Eric orders cake.
[55:02.840 --> 55:04.240]  Man, if I won bingo earlier,
[55:04.320 --> 55:05.580]  I would have already ordered the cake.
[55:05.900 --> 55:08.300]  You can order the cake right now if you want to.
[55:08.380 --> 55:08.840]  I didn't win.
[55:09.960 --> 55:10.500]  Well, there you have it.
[55:13.200 --> 55:13.460]  Sorry.
[55:14.660 --> 55:15.800]  Nick really is a foot guy.
[55:16.040 --> 55:17.600]  No, I tapped you in the knee!
[55:17.740 --> 55:19.260]  That's the first thing he said when he came in,
[55:19.340 --> 55:20.540]  that is, can I take my shoes off?
[55:21.160 --> 55:23.160]  No, Eric started the shoe-off train.
[55:24.140 --> 55:25.180]  Why is it a train?
[55:25.700 --> 55:26.800]  Because we fall in suit.
