[00:00.600 --> 00:01.560]  Hello and welcome-
[52:45.420 --> 52:45.820]  I...
[52:45.820 --> 52:46.020]  Ugh.
[52:47.220 --> 52:48.020]  I don't...
[52:48.560 --> 52:53.780]  Honestly, when I did the Branston popsicle thing, that was so bad that it has, like,
[52:53.920 --> 52:58.460]  overtaken all the other flavors that I've tried that you've recommended over the years.
[52:58.460 --> 52:59.620]  So I don't remember if I...
[52:59.620 --> 53:03.000]  But you never had normal Branston in a normal situation, though.
[53:03.220 --> 53:03.800]  Did I not?
[53:03.900 --> 53:05.520]  Did I not just have hot Branston?
[53:06.200 --> 53:07.180]  I think I did, didn't I?
[53:07.700 --> 53:08.220]  It's not...
[53:08.220 --> 53:09.040]  Why would you have it hot?
[53:09.260 --> 53:09.540]  Hot?
[53:09.940 --> 53:10.780]  Oh, no, Branston pickle.
[53:10.980 --> 53:11.380]  No, no, no.
[53:11.420 --> 53:12.720]  Sorry, I'm thinking the...
[53:12.720 --> 53:13.080]  The...
[53:13.080 --> 53:13.280]  Whatever.
[53:13.460 --> 53:14.220]  The meat.
[53:14.580 --> 53:14.940]  Bovril.
[53:15.620 --> 53:16.440]  That's what I was thinking.
[53:17.180 --> 53:20.520]  When I had the Bovril popsicle, that's really, like...
[53:20.520 --> 53:22.820]  That was such a bad experience that...
[53:22.820 --> 53:25.340]  Yeah, you salad creamed the Bovril.
[53:25.900 --> 53:27.860]  But I think I had Bovril normally as well.
[53:28.200 --> 53:30.120]  But did you have Branston pickle normally?
[53:30.160 --> 53:30.680]  I can't even remember.
[53:30.880 --> 53:31.820]  Yeah, I had it on toast.
[53:31.920 --> 53:33.200]  I had it the way that you suggested.
[53:33.340 --> 53:34.360]  I had it on, like, a...
[53:34.360 --> 53:34.700]  Toast?
[53:35.080 --> 53:37.040]  I had it on bread with cheese or something.
[53:37.320 --> 53:38.180]  Oh, yeah, cheese sandwich.
[53:38.360 --> 53:38.680]  Classic.
[53:39.300 --> 53:40.600]  I followed your instructions.
[53:40.860 --> 53:42.140]  I can't believe you had it on toast!
[53:42.240 --> 53:42.740]  There was cheese.
[53:42.880 --> 53:43.800]  Oh, then fuck yeah!
[53:44.020 --> 53:44.740]  Well, it wasn't toast.
[53:44.840 --> 53:46.320]  It should have just been bread and cheese and Branston.
[53:46.320 --> 53:46.660]  No, no, it wasn't toasted.
[53:47.040 --> 53:47.440]  I just...
[53:47.440 --> 53:48.400]  It was a long time ago.
[53:48.480 --> 53:50.980]  I remember, though, I specifically asked you how do I eat this.
[53:51.240 --> 53:52.860]  Because I wanted a fair testing.
[53:53.540 --> 53:54.420]  Was not a fan.
[53:54.420 --> 53:58.100]  I think salad cream I was okay with, but it's sort of just gross.
[54:01.020 --> 54:02.440]  Anyway, I need an aioli.
[54:02.580 --> 54:03.480]  I want a garlic aioli.
[54:03.640 --> 54:04.360]  Would be my preference.
[54:04.540 --> 54:04.960]  I understand.
[54:05.200 --> 54:05.680]  That's fine.
[54:05.860 --> 54:06.280]  I can...
[54:06.280 --> 54:07.120]  I'm totally fine with that.
[54:07.120 --> 54:08.320]  I need that disguise on that mayo.
[54:08.860 --> 54:09.220]  Okay.
[54:09.500 --> 54:11.260]  But is that part of the regulation, Burger?
[54:11.260 --> 54:12.500]  You think it's going to be aioli?
[54:12.780 --> 54:14.180]  Well, we get to set the regulation.
[54:14.720 --> 54:16.720]  That's why I'm trying to get it over to Thousand Island.
[54:16.840 --> 54:17.860]  A very acceptable thing.
[54:18.000 --> 54:18.820]  There's no...
[54:18.820 --> 54:19.080]  That's fine.
[54:19.100 --> 54:22.220]  Thousand Island, I feel like, is weirder than a garlic aioli.
[54:22.840 --> 54:23.460]  You're nuts.
[54:23.460 --> 54:26.280]  I feel like Thousand Island is just very American.
[54:26.660 --> 54:28.220]  See, maybe that is...
[54:28.300 --> 54:29.140]  That could just be...
[54:29.140 --> 54:31.820]  Yeah, for me, I've never experienced that outside of McDonald's.
[54:32.800 --> 54:33.360]  I'm right.
[54:33.460 --> 54:33.860]  It's okay.
[54:33.980 --> 54:35.580]  But we can go garlic aioli or whatever.
[54:35.780 --> 54:36.060]  That's fine.
[54:36.140 --> 54:36.580]  Do we need...
[54:36.580 --> 54:37.780]  Is there anything else that we're missing?
[54:37.920 --> 54:38.560]  No pickle?
[54:38.720 --> 54:39.420]  Are we all in agreement?
[54:39.500 --> 54:39.900]  No pickle?
[54:40.020 --> 54:40.920]  I feel good about...
[54:40.920 --> 54:41.500]  With the onion?
[54:41.640 --> 54:42.740]  I feel good about what we got.
[54:42.780 --> 54:43.040]  I'm honest.
[54:43.120 --> 54:46.640]  I'm looking at that first burger you posted, and I'm imagining it being a little less thick,
[54:46.760 --> 54:47.360]  but like five.
[54:47.800 --> 54:48.520]  That's a good looking burger.
[54:48.560 --> 54:50.240]  I mean, that's it to me.
[54:50.560 --> 54:52.040]  It's that image of that burger.
[54:52.040 --> 54:54.960]  But two patties, a little less.
[54:55.080 --> 54:58.120]  I got a little wrinkle I'd like to throw in as a personal preference.
[54:58.420 --> 54:59.060]  Looking at it.
[54:59.440 --> 55:01.480]  What if we swap the onion with onion ring?
[55:01.720 --> 55:02.900]  How do we feel about that?
[55:03.720 --> 55:05.520]  I like the cold crunchy onion.
[55:06.040 --> 55:06.360]  Me too.
[55:06.440 --> 55:07.540]  I think it's too specialized.
[55:08.160 --> 55:08.440]  Fair enough.
[55:08.460 --> 55:13.760]  And the fried part of the onion ring can often sit too long and absorb too much and become soggy itself.
[55:14.020 --> 55:15.540]  Are we getting any bacon in this thing?
[55:16.300 --> 55:17.940]  I don't think it's a part of the regulation.
[55:18.180 --> 55:20.080]  No, not as part of the regulation.
[55:20.080 --> 55:25.640]  Okay, so the regulation burger is just a standard sesame seed bun.
[55:25.720 --> 55:26.520]  Oh, that was a burp.
[55:26.580 --> 55:36.880]  A sesame seed bun, lettuce, tomato, onion, cheese, basic burger, and a garlic aioli.
[55:38.000 --> 55:38.760]  I think that's it.
[55:38.860 --> 55:39.080]  Wow.
[55:39.480 --> 55:40.600]  What an episode.
[55:40.960 --> 55:42.700]  We locked in some big food texts.
[55:42.700 --> 55:44.920]  I think this is such a good idea.
[55:45.320 --> 55:47.680]  And now we're never going to hear the fucking end of it from Jack.
[55:47.680 --> 55:53.440]  We just went through a bunch of foods, made decisions without him, and he's going to have a lot to say.
[55:53.520 --> 55:54.040]  Well, we got a majority.
[55:54.180 --> 55:58.400]  You know, the regulation company, we have a majority system for all of our decisions.
[55:58.440 --> 55:59.520]  It's too bad he wasn't here.
[56:00.100 --> 56:00.680]  He was invited.
[56:00.860 --> 56:06.420]  But do you really think that people, when they think of a regulation burger, will put garlic aioli?
[56:06.920 --> 56:09.880]  No, again, I think it's Thousand Island, but you guys won't listen.
[56:10.080 --> 56:10.780]  I think it's ketchup.
[56:11.320 --> 56:11.980]  It's not ketchup.
[56:12.560 --> 56:13.460]  Eric hates ketchup.
[56:14.320 --> 56:16.160]  I think it's a compromise, Gavin.
[56:16.320 --> 56:17.580]  We're coming to a compromise here.
[56:17.580 --> 56:19.280]  I think this is a world in which we're all happy.
[56:20.020 --> 56:21.140]  Are you not happy with it?
[56:21.580 --> 56:22.420]  I mean, I would eat that.
[56:22.500 --> 56:25.640]  But I'm just saying, a lot of people are just like, oh, let's make burgers tonight.
[56:25.740 --> 56:28.180]  Yeah, I'll get the buns, I'll get the, you know, the meat.
[56:28.460 --> 56:29.920]  And then it's just whatever you have in the fridge.
[56:30.000 --> 56:31.740]  And what you have in the fridge is probably going to be ketchup.
[56:32.020 --> 56:34.560]  It's probably not going to be Thousand Island or garlic aioli.
[56:35.060 --> 56:36.300]  Oh, I got Thousand Island in the fridge.
[56:36.380 --> 56:37.580]  I got garlic aioli in the fridge.
[56:38.420 --> 56:38.800]  All right.
[56:39.260 --> 56:39.980]  All right, I'm wrong.
[56:40.240 --> 56:41.320]  No, I don't think you're necessarily wrong.
[56:41.600 --> 56:46.220]  If you feel strongly, I mean, we could hash it out more, but I felt like we had a good compromise.
[56:46.220 --> 56:48.760]  No, I think I think we landed on it.
[56:48.800 --> 56:49.240]  I think we're OK.
[56:49.380 --> 56:50.120]  We landed on it.
[56:50.560 --> 56:50.960]  All right.
[56:51.280 --> 56:52.120]  Because I love ketchup.
[56:52.220 --> 56:54.780]  But like, listen, if you want to go ketchup, I would go.
[56:54.880 --> 56:57.020]  But I think garlic aioli is the thing.
[56:58.200 --> 56:58.720]  What's for me?
[56:58.820 --> 57:00.600]  OK, well, we got the burger locked in.
[57:00.660 --> 57:02.040]  We got what do we got?
[57:02.080 --> 57:03.000]  Hot dog locked in.
[57:03.040 --> 57:04.200]  We got pie locked in.
[57:04.700 --> 57:05.400]  French fry.
[57:05.560 --> 57:06.160]  It's crazy.
[57:07.080 --> 57:08.480]  So OK, so let's just go through it all.
[57:08.980 --> 57:09.600]  Hot dog.
[57:10.640 --> 57:15.800]  Bun, plain bun, normal dog, ketchup and a mustard of your choice.
[57:15.800 --> 57:16.840]  Any variety.
[57:17.700 --> 57:19.940]  French fry is like the standard cut fry with salt.
[57:20.080 --> 57:20.780]  Very basic.
[57:20.920 --> 57:22.900]  Like, I think that's an easy, very accessible thing.
[57:23.480 --> 57:25.820]  Then we got pie, which is apple pie.
[57:25.940 --> 57:27.720]  Once again, I feel incredibly accessible.
[57:28.320 --> 57:29.520]  My personal favorite pie.
[57:29.680 --> 57:30.580]  Very excited about that.
[57:31.120 --> 57:38.160]  And the burger is sesame seed, lettuce, tomato, onion, American cheese, garlic aioli.
[57:38.740 --> 57:39.340]  What a meal.
[57:39.740 --> 57:40.660]  What a cookout.
[57:41.000 --> 57:42.720]  Garlic, garlic aioli, Gavin.
[57:43.120 --> 57:43.780]  Garlic aioli.
[57:43.780 --> 57:46.000]  Listen, Eric, you want it to be ketchup?
[57:46.460 --> 57:47.740]  I'll fight on the ketchup train.
[57:48.000 --> 57:50.100]  Nope, garlic aioli it is, baby.
[57:50.220 --> 57:50.700]  I'm going to lock that in.
[57:51.400 --> 57:52.020]  Thank you.
[57:52.260 --> 57:52.860]  Is that sold?
[57:53.320 --> 57:55.320]  Is there like a Heinz garlic aioli?
[57:55.460 --> 57:55.860]  Yeah, there is.
[57:56.280 --> 57:56.980]  Absolutely is.
[57:57.540 --> 57:58.040]  Show it to me.
[57:58.220 --> 57:58.900]  OK, one sec.
[57:59.000 --> 58:00.320]  Let me find a photo of it.
[58:01.620 --> 58:06.320]  Do you see that Heinz just did the 15 dressings in one as like a promotion?
[58:06.700 --> 58:07.740]  Oh yeah, I heard about that.
[58:07.840 --> 58:08.600]  The everything dressing.
[58:09.140 --> 58:10.520]  Damn, I might buy this.
[58:11.660 --> 58:12.320]  Oh, wow.
[58:12.420 --> 58:12.980]  It's awesome.
[58:12.980 --> 58:13.420]  I might.
[58:13.500 --> 58:14.240]  Yeah, that's what I have.
[58:14.320 --> 58:14.680]  I might.
[58:14.860 --> 58:15.200]  It's great.
[58:15.400 --> 58:16.160]  Yeah, I might buy that.
[58:16.260 --> 58:16.460]  It's delicious.
[58:16.500 --> 58:17.100]  That looks fucking.
[58:17.460 --> 58:19.900]  That genuinely looks really good.
[58:19.980 --> 58:20.120]  I might.
[58:20.340 --> 58:20.520]  It's good.
[58:20.660 --> 58:22.140]  I think I should start keeping this on hand.
[58:22.420 --> 58:22.540]  You should.
[58:22.760 --> 58:23.280]  Yeah, me too.
[58:23.460 --> 58:23.760]  I might.
[58:23.980 --> 58:27.000]  Hey, our lives might be different from this point on.
[58:27.100 --> 58:27.780]  It's pretty interesting.
[58:28.420 --> 58:31.640]  See, that's like, I don't know what you're imagining, but that is what I have.
[58:31.720 --> 58:33.940]  It's just a squeeze bottle of Heinz aioli.
[58:34.860 --> 58:36.380]  I think that's just really fancy.
[58:36.580 --> 58:38.520]  I just didn't grow up in that kind of household.
[58:38.760 --> 58:39.460]  No, me neither.
[58:39.600 --> 58:39.880]  I agree.
[58:39.880 --> 58:42.980]  Yeah, this is something I like have recently gotten into.
[58:43.300 --> 58:47.200]  I think it's a relatively new product for them as well, but it's delicious.
[58:47.880 --> 58:52.380]  And we applied, we set new regulations, new standards.
[58:52.920 --> 58:54.660]  We have a rule we have set up.
[58:54.740 --> 58:58.400]  I can't, as you said, Eric, can't wait to hear Geoff's reaction, especially
[58:58.400 --> 59:02.260]  to learning that we have a regulation hot dog and burger and all that stuff.
[59:02.720 --> 59:03.740]  Thank you so much for listening.
[59:03.820 --> 59:07.880]  If you have stuff that you would like us to set regulations on,
[59:07.880 --> 59:11.520]  feel free to list that in the comments of wherever you're absorbing this.
[59:12.020 --> 59:13.080]  And check out our Patreon.
[59:13.820 --> 59:17.720]  And just to be clear with us regulating stuff and the regulation thing,
[59:17.900 --> 59:18.980]  what's the goal?
[59:19.160 --> 59:22.320]  Is it so that it's if we're setting regulations?
[59:22.580 --> 59:22.720]  Yeah.
[59:22.940 --> 59:24.700]  If they want to have a regulation burger.
[59:25.360 --> 59:25.500]  Yeah.
[59:25.880 --> 59:26.740]  They now know what it is.
[59:26.740 --> 59:26.880]  Yeah.
[59:27.660 --> 59:28.480]  Yeah, they know what it is.
[59:28.500 --> 59:29.300]  It has garlic aioli.
[59:29.380 --> 59:30.120]  It has garlic aioli.
[59:30.360 --> 59:32.740]  It doesn't have onion rings on it, which is what I'd be leaning towards.
[59:32.840 --> 59:33.660]  Absolutely insane.
[59:35.380 --> 59:36.780]  Everybody get Heinz aioli.
[59:36.780 --> 59:38.500]  I'm not sponsored by Heinz.
[59:38.680 --> 59:39.660]  Maybe I'm sponsored by Heinz.
[59:39.920 --> 59:41.160]  Anyway, check out our Patreon.
[59:42.280 --> 59:44.280]  Regulatrion.com or the regulation pod.
[59:44.620 --> 59:45.020]  Find it.
[59:45.260 --> 59:46.140]  We got YouTube channels.
[59:46.560 --> 59:47.100]  You'll find it all.
[59:47.320 --> 59:48.120]  Thank you so much for listening.
[59:48.980 --> 59:49.420]  Bye.
[59:50.060 --> 59:50.380]  Bye now.
[59:50.400 --> 59:50.660]  Bye.
