[00:01.220 --> 00:03.360]  Nick! Nick, it's happening!
[01:06:26.290 --> 01:06:28.730]  Sometimes it feels like you're just stirring the pot a little bit, Gavin.
[01:06:28.910 --> 01:06:29.850]  It kind of is.
[01:06:30.910 --> 01:06:35.530]  Do you think I'm just trying to stir shit up? I was literally just like, oh, I haven't thought about it from this point of view.
[01:06:36.150 --> 01:06:37.230]  Let me put it to the group.
[01:06:37.930 --> 01:06:40.130]  Got it, shit, got it, shit, I'm gonna push back down my throat.
[01:06:41.310 --> 01:06:44.010]  I mean, we've already discussed it, I've already signed off on it, I know.
[01:06:44.350 --> 01:06:48.270]  I just had an additional concern, and I didn't want to sit on it.
[01:06:48.270 --> 01:06:54.770]  The last part where you say, I know, is the part that is not clear to any of us at all.
[01:06:55.250 --> 01:06:57.730]  Gavin, I appreciate your honesty and your elucidation.
[01:06:58.070 --> 01:06:58.410]  I appreciate the honesty.
[01:06:58.410 --> 01:07:01.530]  I also love how direct and forthright you are, and I hope you never change.
[01:07:01.630 --> 01:07:05.410]  We need that kind of honesty and bluntness in the company.
[01:07:05.410 --> 01:07:08.250]  I appreciate when you're direct and forthright, that's what I'm asking for.
[01:07:08.330 --> 01:07:10.750]  That's why I can't accept sure as an answer.
[01:07:11.230 --> 01:07:14.330]  I wasn't trying to be overly direct.
[01:07:15.010 --> 01:07:17.110]  You know, I came from being a fan.
[01:07:17.510 --> 01:07:23.430]  Sometimes I look at it differently from behind the scenes as I would as someone approaching the store as a fan.
[01:07:23.530 --> 01:07:24.110]  I just thought, oh.
[01:07:24.630 --> 01:07:28.150]  But it's just funny that you decided to have that approach after it all.
[01:07:28.530 --> 01:07:30.270]  Exactly, that is the issue.
[01:07:30.730 --> 01:07:33.370]  Like, that's the issue, is that it's after.
[01:07:34.630 --> 01:07:37.790]  I was just, yeah, just got a thought that was from outside the box.
[01:07:38.110 --> 01:07:41.410]  Yeah, and I think, like, exact same way, same eyes on it.
[01:07:41.410 --> 01:07:44.630]  It's the timing of it is what made it really funny.
[01:07:44.830 --> 01:07:46.670]  I have no problem with you bringing it up.
[01:07:46.810 --> 01:07:50.450]  I have a problem with it happening eight minutes after we launched.
[01:07:51.410 --> 01:07:52.990]  So better late than never.
[01:07:53.110 --> 01:07:55.670]  Not a part of your motto, Eric.
[01:07:55.810 --> 01:07:58.670]  I immediately said, what do you want to do?
[01:07:58.950 --> 01:08:01.930]  We can probably get a designer working on this.
[01:08:02.130 --> 01:08:02.450]  You know what?
[01:08:02.710 --> 01:08:04.670]  What is it that you want to see?
[01:08:05.050 --> 01:08:08.230]  To Eric's point, he has absolutely responded.
[01:08:08.230 --> 01:08:14.230]  You can feel the anger in the words, but the words were, let's fix this concern immediately.
[01:08:14.350 --> 01:08:16.950]  That's it. So what are we fixing?
[01:08:17.230 --> 01:08:17.490]  Nothing.
[01:08:18.610 --> 01:08:24.270]  And then it was, all credit to Geoff and Andrew, it's fine.
[01:08:25.190 --> 01:08:31.310]  I would really like for Gavin to measure when it is no longer better late than never.
[01:08:31.530 --> 01:08:33.050]  When is it crossed over?
[01:08:33.530 --> 01:08:37.230]  If the shirt is on people's bodies, it's too late.
[01:08:37.850 --> 01:08:39.390]  That certainly is true.
[01:08:39.610 --> 01:08:43.250]  I would say if the shirt is in the mail, it's too late.
[01:08:43.330 --> 01:08:45.270]  If the shirt has been printed, it's too late.
[01:08:45.270 --> 01:08:47.090]  Yeah. Hasn't, hadn't yet.
[01:08:48.090 --> 01:08:49.730]  No, we were pretty much right there.
[01:08:50.030 --> 01:08:53.090]  We were right there, but I feel like that was the last opportunity.
[01:08:53.610 --> 01:08:56.730]  We were right there, but...
[01:08:56.730 --> 01:09:01.150]  Here's the problem. Once you've sold it to a customer as a thing,
[01:09:01.270 --> 01:09:05.530]  you can't then go back and retroactively change and go like, you know, we decided to tweak the design.
[01:09:05.530 --> 01:09:08.570]  It's not the one we sold you, it's one we've decided you'll like better.
[01:09:08.910 --> 01:09:10.870]  What if, what about, what about this?
[01:09:11.350 --> 01:09:14.710]  What if we literally patch the shirt?
[01:09:16.990 --> 01:09:18.110]  Update? A shirt update?
[01:09:19.430 --> 01:09:19.870]  Sure.
[01:09:22.030 --> 01:09:27.110]  I love this shirt idea, Gavin, and I see exactly where you're going with it.
[01:09:27.210 --> 01:09:28.330]  Allow me to jump in.
[01:09:28.870 --> 01:09:29.030]  Yeah.
[01:09:29.310 --> 01:09:30.790]  And modify the idea a little bit.
[01:09:30.950 --> 01:09:31.170]  Okay.
[01:09:31.170 --> 01:09:35.990]  Because I think the problem is we can't patch a shirt unless the audience knows we're going to patch it for them.
[01:09:36.350 --> 01:09:41.490]  So what if we get them to buy a shirt and we'll just be like a regulation shirt or some kind of design.
[01:09:41.510 --> 01:09:43.550]  And then, but we let them know it's pre-patched.
[01:09:43.650 --> 01:09:48.790]  And then at some point after they purchase it, we will patch it and then mail it to them.
[01:09:48.950 --> 01:09:52.190]  And then we sell it as a shirt 1.1.
[01:09:52.450 --> 01:09:53.390]  Yes, yes.
[01:09:54.850 --> 01:09:59.250]  And then we just heat, we just like heat stamp a patch on or glue it or whatever.
[01:09:59.250 --> 01:10:01.310]  Shirt 1.1 is genius.
[01:10:01.550 --> 01:10:07.030]  We could also go the other way and just flex on the fact we're a merch store that promises no day one DLC.
[01:10:08.930 --> 01:10:13.030]  We're going to deliver you the finalized product unlike all these other merch stores.
[01:10:13.290 --> 01:10:13.630]  Very true.
[01:10:13.650 --> 01:10:17.270]  At this point, have we been talking about this too much to not mention the actual issue I thought of?
[01:10:17.790 --> 01:10:18.290]  Yeah, go ahead.
[01:10:19.270 --> 01:10:22.410]  We decided not to put the asterisk logo on it.
[01:10:23.010 --> 01:10:24.230]  We'll call it what it is. It's a butthole.
[01:10:24.250 --> 01:10:27.990]  Well, what's ironic is that you're, you were really the one who led the charge in removing it.
[01:10:30.050 --> 01:10:33.530]  Yes, you are the one that led the charge in removing it.
[01:10:33.610 --> 01:10:35.130]  You were the one that had a problem with it.
[01:10:35.470 --> 01:10:38.810]  And once you pointed it out, I couldn't unsee it and then it drove me insane.
[01:10:39.010 --> 01:10:43.930]  It didn't have it on at first and then I saw a few with it on and we decided that maybe it made sense to not have it on.
[01:10:44.070 --> 01:10:51.930]  But then, after we all agreed upon it, from a purchaser's point of view, when it didn't have that on, I just thought, oh, someone could just print this though.
[01:10:52.570 --> 01:10:59.190]  Anyone could print anything, but I like the idea that it is the most default shirt.
[01:10:59.690 --> 01:11:00.330]  Like, that's the point.
[01:11:00.670 --> 01:11:05.170]  It's true. If there's ever going to be a shirt that it looks like anyone could have printed it, it should be the regulation shirt.
[01:11:05.310 --> 01:11:08.230]  It's just a regulation shirt. That's the purpose of the shirt.
[01:11:08.550 --> 01:11:14.370]  If we were going to patch it, I would just have a piece of fabric that had the butthole on that people could sew onto the shirt.
[01:11:14.510 --> 01:11:17.510]  You know where I'd put the butthole? I've been thinking about it since you said it. You know where I'd put it?
[01:11:17.910 --> 01:11:18.270]  Where?
[01:11:18.710 --> 01:11:21.290]  Put it in the L, in regulation. That's where I'd put it.
[01:11:21.990 --> 01:11:24.490]  Well, it's not an asterisk in a letter, is it?
[01:11:24.570 --> 01:11:27.310]  Well, it's not a fucking... it's a logo for us.
[01:11:27.430 --> 01:11:27.750]  It's not.
[01:11:28.470 --> 01:11:28.630]  Yeah?
[01:11:28.730 --> 01:11:28.910]  Yeah.
[01:11:29.850 --> 01:11:34.170]  I like that idea, Andrew. Here's what I would say. I also like the idea of patching a shirt.
[01:11:34.270 --> 01:11:41.870]  I think we should come up with something... let that idea simmer for a while until we strike gold with it.
[01:11:41.950 --> 01:11:47.490]  Like, can you imagine seeing a 1.1 in the wild? A shirt that someone bought and then later bought a patch for and sewed it on?
[01:11:48.030 --> 01:11:49.530]  Oh dude, that's a pretty cool idea.
[01:11:49.870 --> 01:11:50.990]  That's a pretty cool idea.
[01:11:51.510 --> 01:11:51.690]  Yeah.
[01:11:52.850 --> 01:11:53.570]  That's pretty rad.
[01:11:54.490 --> 01:11:55.210]  I do like that.
[01:11:56.730 --> 01:11:57.370]  Well, I...
[01:11:58.190 --> 01:11:59.190]  We should do that.
[01:12:00.150 --> 01:12:02.590]  Yeah, I think we should patch the shirt. If people want it.
[01:12:02.710 --> 01:12:06.990]  You know what else was rad? Episode 24 of this podcast. That was rad.
[01:12:07.010 --> 01:12:07.970]  Now all I can think about is a patch.
[01:12:08.470 --> 01:12:14.230]  I want to make a t-shirt... we talked about it earlier, but I want to make a t-shirt that's black, that's a pocket T, that just has the butthole on the pocket.
[01:12:14.590 --> 01:12:15.990]  I think that'd be awesome.
[01:12:15.990 --> 01:12:19.750]  It's like the reverse of the regulation shirt, and it's like classy, and nobody knows it's a butthole.
[01:12:20.110 --> 01:12:27.030]  Who pointed it out the other night at dinner, Geoff, that was like, oh, you guys, your star logo, a point for each of you.
[01:12:27.490 --> 01:12:29.070]  And we went, oh.
[01:12:30.470 --> 01:12:32.330]  I think it was Vanessa, maybe.
[01:12:32.670 --> 01:12:32.890]  Yeah.
[01:12:33.030 --> 01:12:37.670]  She mentioned how it was a five-pointed star, and it was assumed that it was intentional, one for each of us.
[01:12:37.670 --> 01:12:40.470]  And we were like, absolutely, that is what that is.
[01:12:41.770 --> 01:12:43.350]  I'm so glad that it read.
[01:12:44.070 --> 01:12:44.470]  Absolutely.
[01:12:44.470 --> 01:12:46.030]  Because a lot of thought went into that.
[01:12:46.530 --> 01:12:46.670]  Definitely.
[01:12:48.410 --> 01:12:49.490]  Well, thanks for listening.
[01:12:49.750 --> 01:12:57.470]  You go to regulationstore.com, or regulationstore.store, or regulatrion.com, or patreon.com, slash theregulationpod.
[01:12:58.150 --> 01:13:07.090]  You can listen to this podcast wherever you get podcasts, or on YouTube, or you can go to the Regulation Gameplay channel on YouTube, watch some gameplays there.
[01:13:07.090 --> 01:13:13.250]  We also have twitch.tv, slash theregulationpod, where we stream live every Friday at 4 p.m. Central.
[01:13:13.350 --> 01:13:14.870]  Who knows what we're playing.
[01:13:15.370 --> 01:13:19.970]  And hopefully you've been liking the social media posts that Shelby's been putting together, because she's been doing a great job.
[01:13:20.130 --> 01:13:23.430]  So, that's it from these guys, Regulation Podcast.
[01:13:24.470 --> 01:13:25.790]  We'll see you next time.
[01:13:26.070 --> 01:13:26.850]  Everyone say bye.
[01:13:27.730 --> 01:13:28.210]  Love you, bye.
[01:13:28.570 --> 01:13:28.850]  Bye.
[01:13:29.790 --> 01:13:30.990]  Why is carrot juice so bubbly?
[01:13:31.890 --> 01:13:32.530]  I don't like it.
[01:13:32.650 --> 01:13:33.510]  I don't trust it.
[01:13:34.510 --> 01:13:35.850]  What's causing the bubbles?
[01:13:36.770 --> 01:13:37.990]  That's the beta carotene.
[01:13:38.370 --> 01:13:38.670]  Yeah.
[01:13:39.170 --> 01:13:39.850]  Shit.
[01:13:40.430 --> 01:13:41.630]  Why are you laughing at?
