[00:00.000 --> 00:01.720]  Hey, it's Paris.
[49:46.920 --> 49:48.600]  I like this take
[49:48.600 --> 49:50.880]  just because I want to see a CEO have to do that.
[49:51.140 --> 49:52.800]  I just wonder if how many
[49:52.800 --> 49:54.940]  CEOs at the end of that experience
[49:54.940 --> 49:56.780]  would actually think twice about it
[49:56.780 --> 49:58.780]  or whether they'd just be like, and that's done with
[49:58.780 --> 49:59.320]  for another year.
[49:59.860 --> 50:00.940]  I think it's that.
[50:00.940 --> 50:03.480]  I think so too.
[50:03.740 --> 50:05.060]  What part of you is going
[50:05.060 --> 50:07.120]  and David Zasloff changed
[50:07.120 --> 50:07.640]  his mind?
[50:08.500 --> 50:11.000]  I'm also so interested
[50:11.000 --> 50:12.940]  to see what his compelling case is
[50:12.940 --> 50:15.120]  about why he deserves the bonus.
[50:15.980 --> 50:17.340]  He changed his mind.
[50:17.660 --> 50:18.600]  They're splintering now.
[50:18.760 --> 50:20.760]  It's just like, oh man,
[50:20.840 --> 50:22.920]  I would love to still be
[50:22.920 --> 50:24.880]  an employee for that meeting. That would be
[50:24.880 --> 50:26.780]  phenomenal. Think about how many subsidiaries
[50:26.780 --> 50:29.040]  some of these companies have. They would have to come
[50:29.040 --> 50:31.020]  to our company, sit down
[50:31.020 --> 50:32.980]  with us, and meet with Drew Saplin
[50:32.980 --> 50:35.120]  and every other person
[50:36.540 --> 50:37.180]  to make
[50:37.180 --> 50:39.060]  the case about, all right, and here's how long you'd have
[50:39.060 --> 50:39.600]  to work.
[50:41.160 --> 50:42.500]  Here's what's going to happen eventually.
[50:42.700 --> 50:44.460]  On these big companies, potentially
[50:44.460 --> 50:46.880]  the employee will be like, asking
[50:46.880 --> 50:48.540]  the CEO, well, what have you actually done
[50:48.540 --> 50:50.700]  this year? What's the kind of work you've done?
[50:51.000 --> 50:53.000]  He'll just be like, mainly standing
[50:53.000 --> 50:54.720]  in front of all my employees, telling them
[50:54.720 --> 50:56.160]  what my bonus is going to be.
[50:56.160 --> 50:58.420]  Because it would take so freaking long.
[50:58.720 --> 51:00.100]  Yep. I had the
[51:00.100 --> 51:02.140]  courage to rename the thing
[51:02.140 --> 51:04.080]  what it was originally called, because I just
[51:04.080 --> 51:04.960]  had that vision.
[51:05.560 --> 51:06.840]  You're welcome.
[51:08.160 --> 51:10.020]  And you're welcome. Oh man,
[51:10.020 --> 51:11.500]  that's a good take. I like that.
[51:11.660 --> 51:13.900]  That's a fantastic take.
[51:13.940 --> 51:15.480]  I like that a lot. Yep. Sweet.
[51:15.920 --> 51:17.940]  Okay, Nick, round us out. What
[51:17.940 --> 51:19.500]  is your take?
[51:19.880 --> 51:21.900]  I keep getting to follow Gavin on
[51:21.900 --> 51:24.000]  some pretty big, crucial
[51:24.000 --> 51:25.960]  takes, and then I get to
[51:26.900 --> 51:28.060]  dive bomb a little
[51:28.060 --> 51:29.580]  bit. So this one,
[51:29.940 --> 51:31.340]  I think a lot of people
[51:31.960 --> 51:34.080]  try to say that you should never put
[51:34.080 --> 51:35.280]  ketchup on a hot dog, right?
[51:36.420 --> 51:38.080]  Sure. That's a thing that, I
[51:38.080 --> 51:39.660]  don't know if you grew up with it, but
[51:39.660 --> 51:42.160]  all the people I knew were like, you should never put ketchup on a hot dog.
[51:42.260 --> 51:44.140]  No problem with ketchup
[51:45.520 --> 51:46.260]  on a hot
[51:46.260 --> 51:48.060]  dog with something else. My
[51:48.060 --> 51:49.680]  take. You mean ketchup, right?
[51:50.040 --> 51:51.800]  You're saying ketchup, but you mean ketchup.
[51:53.400 --> 51:54.200]  Katsup? Katsup?
[51:54.560 --> 51:55.620]  Ketchup. Yeah, ketchup.
[51:55.960 --> 51:57.140]  Whatever. Thank you, Gavin.
[51:57.460 --> 51:59.560]  Thank you, Gavin.
[51:59.920 --> 52:01.520]  Okay. I also say
[52:01.520 --> 52:03.400]  helicopter, hillicopter most of the time.
[52:04.040 --> 52:05.640]  I never noticed that one.
[52:05.840 --> 52:06.700]  Me neither. Now I will.
[52:07.360 --> 52:09.560]  Glad to hear it. If you push forward on a
[52:09.560 --> 52:11.240]  helicopter, which direction does it go?
[52:12.340 --> 52:13.800]  Well, is it attached
[52:13.800 --> 52:14.600]  to a neck or not?
[52:17.000 --> 52:17.740]  It depends.
[52:17.880 --> 52:19.060]  Are the controls inverted or not?
[52:19.060 --> 52:20.400]  Alright, go ahead.
[52:21.440 --> 52:23.020]  Damn it. Are they inverted?
[52:23.740 --> 52:25.080]  My argument is
[52:25.080 --> 52:27.020]  that ketchup should never be
[52:27.020 --> 52:28.960]  alone on a hot dog.
[52:29.480 --> 52:31.140]  Oh. Ketchup has no
[52:31.140 --> 52:32.900]  place being the sole
[52:32.900 --> 52:35.000]  condiment on a hot dog because
[52:35.000 --> 52:37.080]  it's too sweet and takes away from the
[52:37.080 --> 52:39.120]  rest of the dog
[52:39.120 --> 52:41.260]  itself. If it's ketchup and mustard,
[52:41.760 --> 52:43.300]  you've got that nice bit
[52:43.300 --> 52:45.020]  of comparison. More
[52:45.020 --> 52:46.720]  the acidity of the
[52:46.720 --> 52:48.480]  mustard going with the ketchup
[52:48.480 --> 52:50.580]  sweetness and that compliments the dog pretty
[52:50.580 --> 52:52.560]  well, right? With a relish, it's pretty good.
[52:52.600 --> 52:54.340]  With onion, it's cutting through a little bit.
[52:54.400 --> 52:55.900]  Even if you had chili.
[52:56.520 --> 52:58.820]  My argument is ketchup alone
[52:58.820 --> 53:00.000]  on a hot dog, gross.
[53:00.300 --> 53:01.940]  With other stuff, good.
[53:02.920 --> 53:04.700]  I wonder if you're going to lose this
[53:04.700 --> 53:06.440]  poll just because of the ketchup thing.
[53:06.780 --> 53:08.620]  In the same way that people get
[53:08.620 --> 53:10.700]  so upset when people call Mario Mario
[53:10.700 --> 53:12.820]  because that's
[53:12.820 --> 53:14.620]  how they pronounce that there.
[53:14.620 --> 53:16.660]  I'm so fascinated to see the
[53:16.660 --> 53:18.360]  ketchup reaction. I also feel like
[53:18.360 --> 53:20.160]  never before have you said
[53:20.160 --> 53:22.320]  ketchup so much like catch.
[53:23.160 --> 53:24.760]  I felt like even after
[53:24.760 --> 53:26.740]  calling it out, you went even harder on it
[53:26.740 --> 53:28.600]  somehow. Like some of them, you were just saying
[53:28.600 --> 53:30.060]  catch. Ketchup?
[53:30.580 --> 53:32.300]  Is it ketchup? It's ketchup? Okay.
[53:32.560 --> 53:34.200]  Ketchup. Okay, so
[53:35.480 --> 53:36.660]  in the event of
[53:36.660 --> 53:38.400]  no condiment at all or just
[53:38.400 --> 53:40.440]  plain hot dog, it's plain hot dog for you?
[53:40.720 --> 53:42.640]  Is that the...
[53:42.640 --> 53:44.260]  In the event of no condiment at all or
[53:44.260 --> 53:46.140]  plain hot dog. So if you're going to get a hot dog
[53:46.140 --> 53:48.240]  and the only thing they have is ketchup, that means you're just
[53:48.240 --> 53:49.360]  going to have that plain dog.
[53:51.140 --> 53:52.560]  I'll take a dry dog
[53:52.560 --> 53:54.280]  over a ketchup dog. Would you allow
[53:54.280 --> 53:56.160]  some solo mustard though? Yeah.
[53:56.280 --> 53:58.220]  That's totally acceptable. Mustard is
[53:58.220 --> 54:00.040]  a very complimentary flavor to the hot dog.
[54:00.500 --> 54:01.900]  How do you feel about ketchup generally?
[54:02.480 --> 54:03.980]  I love it. It's good on fries.
[54:04.300 --> 54:05.660]  It works well with a burger.
[54:06.380 --> 54:07.900]  Ketchup, mustard, good stuff.
[54:09.060 --> 54:10.220]  But on its own,
[54:10.220 --> 54:12.560]  on a dog, just a weird flavor profile.
[54:12.780 --> 54:14.520]  Don't like it? Shouldn't allow it.
[54:14.980 --> 54:16.280]  Wow. I've
[54:16.280 --> 54:17.820]  never... Wow.
[54:18.660 --> 54:20.320]  And you think it's so bad that people
[54:20.320 --> 54:21.780]  shouldn't be allowed to do it?
[54:22.120 --> 54:23.960]  Just generally? Should just be outlawed?
[54:24.260 --> 54:25.460]  Should be a banned combination?
[54:26.100 --> 54:28.380]  Well, I hadn't thought of it that way until you mentioned it,
[54:28.400 --> 54:30.260]  but yeah. Fuck them.
[54:30.980 --> 54:31.100]  What?
[54:33.640 --> 54:34.080]  Oh.
[54:34.180 --> 54:36.120]  I'm a ketchup only
[54:36.120 --> 54:38.020]  dog guy, so I'm going to have to completely... Are you really?
[54:38.540 --> 54:39.760]  Yeah. Oh, wow.
[54:39.980 --> 54:41.840]  Absolutely I am. So sorry to hear that.
[54:42.260 --> 54:44.380]  Yeah, I guess I'm going to have to change how I do it.
[54:44.640 --> 54:46.040]  I think it's so inoffensive.
[54:46.220 --> 54:47.640]  And I think the benefits of ketchup
[54:48.300 --> 54:49.620]  compared with a plain dog
[54:50.740 --> 54:52.180]  is absolutely astronomical.
[54:52.420 --> 54:54.180]  I would always go for the ketchup over nothing.
[54:54.600 --> 54:56.140]  And I'm not even a big ketchup guy.
[54:56.780 --> 54:57.220]  Hey, Nick.
[54:58.000 --> 55:00.100]  I'm going to go with you. Why not?
[55:00.440 --> 55:00.800]  Yay!
[55:01.820 --> 55:02.940]  Surely you don't believe that.
[55:03.300 --> 55:05.120]  No, I don't, but I got it.
[55:05.120 --> 55:06.400]  Somebody's got to be on his side here.
[55:06.600 --> 55:07.900]  No, they don't.
[55:08.280 --> 55:10.260]  I don't want non-believers on my team.
[55:10.420 --> 55:12.080]  I don't want non-believers.
[55:12.080 --> 55:13.700]  He doesn't want your charity support.
[55:14.420 --> 55:16.100]  Someone's got to help this guy.
[55:16.380 --> 55:17.580]  He's hanging by a thread here.
[55:18.140 --> 55:21.400]  He's telling people they're not allowed to have ketchup.
[55:21.400 --> 55:23.420]  Look, Archie will learn both things.
[55:24.040 --> 55:25.420]  No ketchup on dog alone.
[55:25.660 --> 55:27.520]  Oh, is this something that he does right now?
[55:28.100 --> 55:29.100]  No, he doesn't fucking eat
[55:29.680 --> 55:30.160]  condiments.
[55:30.880 --> 55:31.420]  That little...
[55:32.320 --> 55:34.160]  What are you about to say?
[55:34.520 --> 55:36.680]  That little non-sauce monkey.
[55:39.220 --> 55:41.340]  He is the opposite of that character.
[55:41.600 --> 55:43.800]  The sauce guy banning sauces.
[55:44.200 --> 55:44.680]  That's crazy.
[55:45.360 --> 55:47.860]  It's not just banning the sauce.
[55:47.980 --> 55:49.860]  It's in lieu of you need more sauces.
[55:50.080 --> 55:51.520]  I can't just be the single sauce.
[55:51.680 --> 55:53.700]  I think a hot dog might be the most
[55:53.700 --> 55:56.240]  in need of condiment food that exists.
[55:56.840 --> 55:57.780]  Yeah, I don't disagree.
[55:58.200 --> 55:59.260]  I would have a dry chip.
[55:59.260 --> 56:01.640]  So he's telling you put a bunch of condiments
[56:01.640 --> 56:02.300]  on that sucker.
[56:02.600 --> 56:03.560]  Yeah, together.
[56:04.140 --> 56:07.060]  There's a certain point where when I'm putting condiments on a dog
[56:07.060 --> 56:09.740]  I feel like the effort is more than what it's worth.
[56:09.980 --> 56:11.160]  I don't want to have to open
[56:11.160 --> 56:13.400]  three different bottles for my hot dog.
[56:14.340 --> 56:15.120]  It's too much.
[56:15.140 --> 56:17.280]  If you had one bottle with three nozzles
[56:17.280 --> 56:19.180]  and it was just a singular squeeze
[56:19.180 --> 56:20.700]  for all the condiments.
[56:21.240 --> 56:23.080]  Somebody get uniform on the phone.
[56:25.600 --> 56:27.880]  The relish hole would have to be quite big.
[56:28.380 --> 56:30.440]  Didn't they do that with a peanut butter and jelly
[56:30.440 --> 56:31.080]  back in the day?
[56:31.800 --> 56:33.660]  You could get little jars of the same shit.
[56:34.500 --> 56:35.860]  Like all that goober
[56:35.860 --> 56:37.200]  gross looking goob shit.
[56:37.320 --> 56:39.160]  It was called goober.
[56:39.580 --> 56:40.480]  It was like striped.
[56:40.760 --> 56:43.060]  I saw that in stores
[56:43.060 --> 56:44.960]  the first time I came to America.
[56:46.020 --> 56:47.560]  What the hell is wrong with this place?
[56:48.460 --> 56:49.880]  Is it illegal to have it in
[56:49.880 --> 56:51.620]  England or is it just frowned upon
[56:51.620 --> 56:53.260]  so you have to put it in your ass to get it there?
[56:56.300 --> 56:57.340]  British customs
[56:57.340 --> 56:59.460]  looking for
[56:59.460 --> 57:00.380]  looking for goober
[57:00.380 --> 57:01.360]  and mines in my ass
[57:01.360 --> 57:02.800]  and they can't do anything about it.
[57:03.460 --> 57:05.160]  We know he has goober
[57:05.160 --> 57:06.920]  and we know his jelly ratings
[57:06.920 --> 57:08.480]  are off the chart on this
[57:09.060 --> 57:10.580]  this goddamn goober.
[57:11.940 --> 57:13.140]  Doing a ten hour flight
[57:13.140 --> 57:14.800]  with an ass load of goober would be
[57:14.800 --> 57:15.880]  an absolute nightmare.
[57:16.760 --> 57:18.360]  You hear the jar crack?
[57:18.720 --> 57:19.340]  Oh no.
[57:19.340 --> 57:21.260]  Oh man.
[57:21.460 --> 57:22.420]  That'd be terrible.
[57:23.480 --> 57:25.540]  What a bunch of interesting takes.
[57:25.780 --> 57:27.660]  Really, really interesting takes.
[57:27.840 --> 57:29.140]  I mean this show was created
[57:29.140 --> 57:31.740]  so that way Taylor Kitsch could have something to do
[57:31.740 --> 57:33.460]  but it really took us
[57:33.460 --> 57:34.560]  down some rabbit holes.
[57:35.760 --> 57:37.280]  Very, very interesting.
[57:38.600 --> 57:39.540]  I'm so excited
[57:39.540 --> 57:41.400]  to see how the audience feels
[57:41.400 --> 57:42.440]  about these takes.
[57:42.740 --> 57:45.640]  I'm interested in the audience opinion on the poll.
[57:45.760 --> 57:47.340]  I'm interested in the audience takes.
[57:47.340 --> 57:49.340]  I'm interested in if they want us to do another
[57:49.340 --> 57:51.460]  round of takes, Jeff's takes included.
[57:51.880 --> 57:53.680]  Jeff would have great takes.
[57:54.020 --> 57:54.180]  Yeah.
[57:54.920 --> 57:57.240]  It's not going to be inverted versus
[57:57.240 --> 57:59.420]  verted but it will be something so I'm very curious.
[58:00.320 --> 58:01.320]  Maybe he's a
[58:01.320 --> 58:02.720]  secret inverter.
[58:03.740 --> 58:04.740]  A secret inverter?
[58:05.300 --> 58:05.780]  He's not.
[58:06.280 --> 58:08.740]  I feel like my
[58:09.740 --> 58:11.180]  first take was so
[58:11.780 --> 58:13.200]  wild and useless yet
[58:13.200 --> 58:15.300]  somehow I still agree with it more than
[58:15.300 --> 58:16.580]  both of Nick's picks.
[58:19.840 --> 58:21.360]  Well, incredible.
[58:21.540 --> 58:23.260]  What's it like to be wrong?
[58:23.520 --> 58:24.040]  I'm wrong a lot.
[58:24.520 --> 58:25.780]  Maybe he's right.
[58:25.900 --> 58:28.700]  No confidence in asking
[58:28.700 --> 58:31.300]  how does it feel?
[58:33.820 --> 58:35.120]  Anyway, vote in the poll.
[58:35.120 --> 58:35.960]  Was that the end of the sentence?
[58:36.260 --> 58:39.480]  Vote in the poll. Make sure to check out
[58:39.480 --> 58:41.460]  our Patreon at the Regulation Pod.
[58:42.300 --> 58:43.340]  Regulatrion.com
[58:43.340 --> 58:44.840]  I can't wait to see what happens.
[58:45.200 --> 58:46.360]  They're voting for
[58:47.120 --> 58:49.000]  the worst take? Is that what it is?
[58:49.080 --> 58:51.300]  They're voting for the worst take to see who
[58:51.300 --> 58:53.560]  will have to hang the idiot flag
[58:53.560 --> 58:55.080]  on themselves.
[58:55.540 --> 58:56.220]  Pretty exciting.
[58:56.540 --> 58:58.360]  Pretty cool.
[58:58.720 --> 59:00.420]  Thanks for listening.
[59:01.680 --> 59:03.280]  Let us know your takes in the comments.
[59:03.540 --> 59:04.160]  Maybe that helps.
[59:05.380 --> 59:06.800]  We'll see you next time. Bye!
[59:07.140 --> 59:07.340]  Bye!
